liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Corners Won,Times Tackled,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Total Red Cards,Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Straight Red Cards,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Winning Goal,Right Foot Goals,Red Cards - 2nd Yellow,Goals from Outside Box,Headed Goals,Throw Ins to Opposition Player,Unsuccessful lay-offs,Foul Won Penalty,Penalties Taken,Penalty Goals,GK Successful Distribution,Attempts from Set Pieces,Saves Made,Penalties Conceded,Punches,Penalties Saved,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,Saves made - caught,GK Unsuccessful Distribution,Clean Sheets,Second Goal Assists,Clearances Off the Line,Last Man Tackle,Own Goal Scored,Crosses not Claimed,Set Pieces Goals,Other Goals,Penalties Off Target,Home Goals,Away Goals
USA_USL_Championship,2020,Las Vegas Lights FC,77025w8dkzb0t0768xce12xux,A. Alvarez,Goalkeeper,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Las Vegas Lights FC,9odqxkb5kucctyhjx8t337emt,Q. Amarikwa,Forward,0,4.0,6.0,353.0,2.0,1.0,3.0,,,66.0,3.0,11.0,17.0,,36.0,,1.0,1.0,3.0,1.0,,13.0,55.0,13.0,4.0,26.0,,76.0,5.0,9.0,6.0,45.0,11.0,5.0,27.0,,17.0,3.0,,26.0,2.0,9.0,5.0,7.0,5.0,138.0,1.0,6.0,4.0,,38.0,25.0,10.0,10.0,23.0,4.0,4.0,,7.0,,6.0,4.0,57.0,,11.0,,4.0,6.0,,2.0,,2.0,21.0,17.0,,39.0,49.0,19.0,2.0,3.0,2.0,34.0,2.0,3.0,17.0,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Las Vegas Lights FC,br3w9h9wkn7u2l7ud20wc30fd,N. Billingsley,Defender,20,14.0,,742.0,78.0,,,4.0,,306.0,4.0,17.0,66.0,2.0,118.0,13.0,1.0,23.0,14.0,4.0,,7.0,120.0,136.0,30.0,40.0,5.0,315.0,3.0,11.0,8.0,241.0,18.0,4.0,63.0,,16.0,2.0,,56.0,,72.0,9.0,20.0,21.0,572.0,,9.0,7.0,4.0,83.0,121.0,9.0,10.0,57.0,,11.0,2.0,10.0,,10.0,13.0,100.0,15.0,18.0,,14.0,9.0,,1.0,,,36.0,112.0,,244.0,252.0,17.0,,,24.0,43.0,6.0,17.0,47.0,0.0,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Las Vegas Lights FC,ekd5grsk9i1ls5dt273gh1fbp,E. Burgos,Midfielder,10,9.0,2.0,691.0,7.0,8.0,8.0,2.0,3.0,231.0,10.0,14.0,44.0,19.0,149.0,5.0,3.0,21.0,4.0,20.0,1.0,3.0,132.0,64.0,6.0,39.0,4.0,254.0,4.0,7.0,4.0,166.0,14.0,34.0,60.0,13.0,76.0,21.0,,97.0,11.0,27.0,7.0,10.0,8.0,443.0,43.0,15.0,3.0,2.0,46.0,86.0,13.0,10.0,24.0,14.0,28.0,4.0,12.0,,2.0,6.0,51.0,1.0,15.0,,45.0,15.0,28.0,,1.0,2.0,24.0,48.0,,178.0,194.0,5.0,2.0,,3.0,27.0,3.0,6.0,22.0,0.0,3.0,,3.0,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,
USA_USL_Championship,2020,Las Vegas Lights FC,eecchw0xji02pxoauns30bm5l,J. Carrera,Midfielder,8,3.0,2.0,749.0,,5.0,1.0,1.0,,331.0,1.0,6.0,64.0,1.0,187.0,6.0,,17.0,12.0,1.0,,9.0,74.0,102.0,11.0,35.0,3.0,340.0,6.0,11.0,9.0,278.0,20.0,6.0,52.0,,82.0,11.0,,38.0,3.0,33.0,8.0,21.0,17.0,445.0,,13.0,10.0,,62.0,120.0,10.0,10.0,35.0,5.0,10.0,1.0,14.0,,2.0,4.0,73.0,6.0,20.0,,3.0,13.0,,,,2.0,29.0,74.0,,279.0,288.0,11.0,2.0,2.0,7.0,38.0,4.0,9.0,33.0,0.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Las Vegas Lights FC,jst12glyieoxn3c8pe24njzd,Y. Chester,Forward,11,11.0,3.0,520.0,5.0,5.0,3.0,,4.0,172.0,3.0,17.0,54.0,2.0,96.0,3.0,,4.0,4.0,8.0,1.0,10.0,72.0,49.0,9.0,25.0,4.0,172.0,2.0,5.0,12.0,143.0,13.0,14.0,29.0,,15.0,8.0,,34.0,1.0,36.0,5.0,7.0,6.0,286.0,,10.0,3.0,1.0,61.0,42.0,32.0,10.0,34.0,6.0,,2.0,9.0,,6.0,10.0,77.0,,14.0,,11.0,10.0,,,,1.0,33.0,61.0,3.0,143.0,143.0,16.0,1.0,1.0,5.0,43.0,4.0,7.0,28.0,0.0,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Las Vegas Lights FC,9b0965zjf6z50wbaj1otv5psl,S. Conneh,Forward,22,,,120.0,,,3.0,,,26.0,2.0,4.0,10.0,,12.0,,,,2.0,1.0,1.0,3.0,17.0,6.0,,8.0,,26.0,1.0,2.0,4.0,17.0,1.0,4.0,8.0,,8.0,1.0,,8.0,2.0,5.0,2.0,2.0,,59.0,,2.0,,,14.0,6.0,5.0,10.0,18.0,3.0,1.0,,5.0,,9.0,,26.0,,2.0,,,2.0,,1.0,,,5.0,2.0,,18.0,18.0,12.0,,,,8.0,,1.0,9.0,0.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Las Vegas Lights FC,a7fq4xj02lv2w9bhk9chucjqh,A. Culwell,Defender,23,,,90.0,,,,,,25.0,,,3.0,,7.0,3.0,,4.0,,2.0,,1.0,7.0,12.0,,3.0,,26.0,,,,15.0,2.0,2.0,7.0,,4.0,,,3.0,,1.0,1.0,,4.0,34.0,,1.0,,,,11.0,2.0,10.0,2.0,,4.0,,,,2.0,,3.0,6.0,2.0,,,1.0,,,,,,8.0,,18.0,19.0,3.0,,,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Las Vegas Lights FC,4yqbrtn4plw6ukovr928ga0h5,R. Dally,Forward,81,18.0,5.0,1011.0,6.0,2.0,9.0,,3.0,259.0,17.0,40.0,103.0,3.0,149.0,1.0,,2.0,4.0,9.0,1.0,33.0,152.0,81.0,7.0,47.0,4.0,276.0,7.0,10.0,13.0,219.0,21.0,20.0,49.0,,92.0,12.0,,65.0,8.0,33.0,12.0,16.0,2.0,484.0,1.0,14.0,3.0,2.0,90.0,45.0,60.0,10.0,40.0,11.0,8.0,3.0,15.0,,5.0,21.0,128.0,5.0,22.0,1.0,18.0,14.0,,1.0,1.0,1.0,55.0,36.0,3.0,210.0,227.0,38.0,2.0,,4.0,88.0,3.0,5.0,35.0,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2020,Las Vegas Lights FC,dtv5ke9qxpecb7kktisex8161,R. del Campo,Defender,2,,,719.0,,3.0,,7.0,2.0,324.0,,,14.0,,82.0,12.0,1.0,46.0,3.0,1.0,1.0,11.0,71.0,191.0,3.0,21.0,2.0,340.0,2.0,10.0,,231.0,13.0,4.0,67.0,,43.0,2.0,,48.0,1.0,35.0,8.0,3.0,19.0,413.0,,11.0,3.0,8.0,21.0,165.0,11.0,10.0,26.0,3.0,42.0,,8.0,,17.0,,49.0,22.0,14.0,1.0,,11.0,,1.0,,,12.0,118.0,2.0,257.0,273.0,28.0,,,3.0,23.0,,7.0,9.0,0.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
