liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Passes Own Half,Successful Short Passes,Unsuccessful Crosses open play,Goal Assists,Shots Off Target (inc woodwork),Duels,Goals from Inside Box,Left Foot Goals,Ground Duels,Second Goal Assists,Successful Long Passes,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Hit Woodwork,Starts,Ground Duels won,Total Fouls Won,Clean Sheets,Aerial Duels,Goals Conceded Inside Box,Total Shots,Aerial Duels lost,Through balls,Yellow Cards,Unsuccessful Short Passes,Total Clearances,PutThrough/Blocked Distribution Won,Substitute Off,Aerial Duels won,Unsuccessful lay-offs,Total Passes,Penalty Goals Conceded,Goals from Outside Box,Total Touches In Opposition Box,Set Pieces Goals,Assists (Intentional),Foul Attempted Tackle,Interceptions,Successful Launches,PutThrough/Blocked Distribution,Foul Won Penalty,Tackles Won,Penalty Goals,Touches,Goals Conceded Outside Box,Time Played,Recoveries,Successful Corners into Box,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Lay-offs,Successful Open Play Passes,Penalties Taken,Duels won,Leftside Passes,Unsuccessful Passes Opposition Half,Goals,Successful Passes Opposition Half,Successful Passes Own Half,Total Tackles,Unsuccessful Corners into Box,Unsuccessful Long Passes,Backward Passes,Index,Blocked Shots,Times Tackled,Penalties Off Target,Total Losses Of Possession,Successful Crosses & Corners,Unsuccessful Crosses & Corners,Ground Duels lost,Duels lost,Total Fouls Conceded,Successful Dribbles,Shots On Target ( inc goals ),Unsuccessful Launches,Games Played,Successful Crosses open play,Blocks,Offsides,Throw Ins to Own Player,Attempts from Set Pieces,Open Play Passes,Key Passes (Attempt Assists),Tackles Lost,Appearances,Corners Won,Rightside Passes,Corners Taken (incl short corners),Unsuccessful Dribbles,Forward Passes,Home Goals,Away Goals,Winning Goal,Substitute On,Throw Ins to Opposition Player,Clearances Off the Line,Right Foot Goals,Penalties Conceded,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves Made,Handballs conceded,Straight Red Cards,Total Red Cards,Other Goals,Red Cards - 2nd Yellow,Crosses not Claimed,Last Man Tackle,Goalkeeper Smother,Saves made - caught,Penalties Saved,Penalties Faced,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves from Penalty,Punches,Headed Goals,Own Goal Scored
USA_MLS,2018,Real Salt Lake,agc0r2g9n02fzcwiouofsdazt,A. Putna,Goalkeeper,51,3.0,24.0,,,,1.0,,,,,9.0,1.0,12.0,,1.0,,,,1.0,,,,,,,,,,1.0,,45.0,,,,,,,,4.0,,,,,58.0,1.0,135.0,13.0,,33.0,,25.0,,1.0,8.0,9.0,,4.0,29.0,,,12.0,,81.0,,,,12.0,,,,,,,,7.0,2.0,,,,,,34.0,,,2.0,,7.0,,,30.0,,,,1.0,,,,,12.0,5.0,1.0,6.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,
USA_MLS,2018,Real Salt Lake,8nhhvbpx65k9rxtltgek5cq8l,N. Rimando,Goalkeeper,18,124.0,485.0,,,,24.0,,,14.0,,306.0,64.0,382.0,,36.0,8.0,8.0,7.0,10.0,55.0,,,,,8.0,27.0,,1.0,10.0,,1173.0,6.0,,1.0,,,,2.0,78.0,,,1.0,,1496.0,9.0,3195.0,309.0,,791.0,,522.0,,18.0,176.0,258.0,,135.0,656.0,1.0,,374.0,1.0,59.0,,,,387.0,,,6.0,6.0,,2.0,,181.0,36.0,,,,,,698.0,,,36.0,1.0,193.0,,,803.0,,,,,,,,,342.0,88.0,121.0,116.0,,,,,,3.0,,2.0,8.0,2.0,8.0,1.0,11.0,27.0,32.0,2.0,17.0,,
USA_MLS,2018,Real Salt Lake,8l0cspqghxzham6ltd2wvsjjd,P. Ruiz,Midfielder,6,19.0,220.0,11.0,,7.0,60.0,,,51.0,,33.0,14.0,69.0,,5.0,24.0,2.0,,9.0,12.0,10.0,7.0,1.0,2.0,44.0,8.0,7.0,3.0,2.0,,322.0,1.0,,2.0,,,7.0,13.0,2.0,19.0,,9.0,,452.0,2.0,531.0,35.0,,253.0,2.0,247.0,,26.0,38.0,62.0,,171.0,82.0,17.0,1.0,25.0,29.0,60.0,3.0,,,105.0,,12.0,27.0,34.0,9.0,5.0,3.0,11.0,13.0,,3.0,,22.0,1.0,316.0,9.0,8.0,13.0,1.0,100.0,2.0,,155.0,,,,8.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,16dzxpieo1asiprh1h3h4uz11,A. Rusnák,Midfielder,11,33.0,1027.0,15.0,5.0,23.0,178.0,8.0,4.0,155.0,2.0,103.0,56.0,177.0,3.0,31.0,76.0,23.0,3.0,23.0,47.0,53.0,19.0,5.0,2.0,128.0,9.0,15.0,6.0,4.0,1.0,1307.0,5.0,3.0,71.0,1.0,3.0,15.0,7.0,3.0,36.0,,11.0,3.0,1778.0,9.0,2771.0,114.0,36.0,1130.0,40.0,1046.0,4.0,80.0,375.0,237.0,11.0,830.0,346.0,23.0,55.0,49.0,258.0,61.0,19.0,,,381.0,46.0,93.0,79.0,98.0,21.0,30.0,30.0,9.0,33.0,5.0,1.0,6.0,17.0,10.0,1213.0,73.0,12.0,33.0,20.0,382.0,105.0,15.0,292.0,,,,2.0,3.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,730zlb0kpah9nuhbt4cadx3h1,S. Saucedo,Midfielder,23,18.0,263.0,8.0,2.0,19.0,178.0,1.0,1.0,163.0,3.0,36.0,22.0,86.0,1.0,10.0,86.0,37.0,,15.0,19.0,44.0,12.0,1.0,1.0,64.0,8.0,14.0,6.0,3.0,2.0,385.0,2.0,3.0,45.0,,2.0,8.0,7.0,,25.0,2.0,24.0,,690.0,3.0,1079.0,49.0,7.0,299.0,11.0,288.0,,89.0,47.0,89.0,4.0,220.0,90.0,32.0,10.0,22.0,105.0,100.0,4.0,,,185.0,11.0,21.0,77.0,89.0,14.0,17.0,25.0,8.0,30.0,4.0,,8.0,18.0,3.0,373.0,17.0,8.0,30.0,15.0,153.0,18.0,20.0,80.0,,,,20.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,3eq3fqw11mkpwb6ici8epqz11,J. Savarino,Forward,7,33.0,829.0,50.0,9.0,32.0,432.0,5.0,1.0,406.0,2.0,59.0,61.0,203.0,,35.0,189.0,75.0,5.0,26.0,51.0,65.0,22.0,4.0,3.0,161.0,6.0,16.0,7.0,4.0,1.0,1091.0,6.0,2.0,139.0,,8.0,20.0,18.0,3.0,52.0,,19.0,,1768.0,10.0,3112.0,156.0,,888.0,58.0,879.0,,193.0,436.0,222.0,7.0,633.0,270.0,31.0,2.0,42.0,236.0,68.0,17.0,,,510.0,15.0,52.0,217.0,239.0,35.0,83.0,33.0,11.0,35.0,15.0,1.0,18.0,4.0,,1081.0,41.0,12.0,35.0,37.0,180.0,2.0,55.0,239.0,,,,,1.0,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,erxgoewhliov1iaty10425dcl,L. Silva,Forward,20,9.0,170.0,1.0,,11.0,94.0,4.0,2.0,55.0,,7.0,15.0,50.0,,10.0,23.0,9.0,,39.0,14.0,27.0,22.0,2.0,,48.0,6.0,4.0,8.0,17.0,4.0,227.0,2.0,1.0,44.0,,,3.0,4.0,,7.0,1.0,6.0,1.0,365.0,1.0,855.0,20.0,,177.0,25.0,162.0,1.0,40.0,55.0,42.0,5.0,115.0,62.0,9.0,,2.0,83.0,48.0,4.0,,,106.0,,1.0,32.0,54.0,5.0,5.0,16.0,,20.0,,,6.0,1.0,,212.0,13.0,3.0,20.0,6.0,62.0,,5.0,27.0,,,,10.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,
USA_MLS,2018,Real Salt Lake,f5cmlyf69p88bb6qabbjhris5,M. Silva,Defender,30,48.0,656.0,,,2.0,153.0,,,76.0,,54.0,28.0,105.0,1.0,20.0,39.0,10.0,4.0,77.0,24.0,4.0,33.0,,7.0,48.0,82.0,8.0,3.0,44.0,,815.0,2.0,,8.0,,,17.0,48.0,7.0,12.0,,13.0,,1044.0,4.0,1688.0,77.0,,710.0,,690.0,,83.0,305.0,57.0,,95.0,615.0,27.0,,57.0,77.0,45.0,,,,118.0,,,37.0,70.0,26.0,3.0,2.0,29.0,20.0,,14.0,,,,786.0,1.0,14.0,20.0,1.0,171.0,,1.0,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
USA_MLS,2018,Real Salt Lake,bvul29budd3kem4w0clzjz4kp,C. Sparrow,Goalkeeper,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2018,Real Salt Lake,bwfrdgzxp3959vwsbbs7vr9p1,S. Sunday,Midfielder,8,39.0,842.0,1.0,1.0,4.0,193.0,,,167.0,,74.0,28.0,112.0,,17.0,79.0,17.0,2.0,26.0,24.0,5.0,13.0,1.0,7.0,89.0,10.0,15.0,8.0,13.0,1.0,1028.0,1.0,,3.0,,,32.0,30.0,4.0,29.0,,38.0,,1246.0,4.0,1512.0,142.0,,916.0,20.0,893.0,,92.0,312.0,74.0,,413.0,503.0,50.0,,23.0,153.0,100.0,3.0,,,166.0,,1.0,88.0,101.0,40.0,12.0,1.0,8.0,25.0,,1.0,,1.0,,1003.0,9.0,12.0,25.0,2.0,301.0,,5.0,262.0,,,,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
