liga,temporada,equipo,id,nombre,posicion,dorsal,Duels lost,Tackles Lost,Total Clearances,Aerial Duels won,Yellow Cards,Time Played,Unsuccessful Short Passes,Throw Ins to Own Player,Goals Conceded Outside Box,Assists (Intentional),Unsuccessful Dribbles,Forward Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Foul Attempted Tackle,Unsuccessful Passes Opposition Half,Tackles Won,Blocked Shots,Successful Passes Own Half,Substitute On,Key Passes (Attempt Assists),Goals Conceded Inside Box,Substitute Off,Total Fouls Won,Successful Crosses & Corners,Successful Dribbles,Recoveries,Overruns,Throw Ins to Opposition Player,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Leftside Passes,Total Fouls Conceded,Goals Conceded,PutThrough/Blocked Distribution,Duels,Starts,Unsuccessful Launches,Through balls,Aerial Duels lost,Aerial Duels,Total Shots,Total Losses Of Possession,Successful Open Play Passes,Times Tackled,Ground Duels,Successful Crosses open play,Penalty Goals Conceded,Goal Assists,Appearances,Unsuccessful Passes Own Half,Unsuccessful Crosses & Corners,Total Touches In Opposition Box,Backward Passes,Penalties Conceded,Total Tackles,Touches,Interceptions,Successful Short Passes,Successful Passes Opposition Half,Successful Lay-offs,Successful Launches,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful lay-offs,Total Passes,Blocks,Open Play Passes,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Ground Duels lost,Games Played,Rightside Passes,Index,PutThrough/Blocked Distribution Won,Unsuccessful Crosses open play,Ground Duels won,Corners Won,Winning Goal,Right Foot Goals,Goals,Offsides,Left Foot Goals,Hit Woodwork,Headed Goals,Goals from Inside Box,Clean Sheets,Home Goals,Away Goals,Total Red Cards,Goal Kicks,GK Successful Distribution,Straight Red Cards,Goals from Outside Box,Attempts from Set Pieces,Clearances Off the Line,Successful Corners into Box,Foul Won Penalty,Red Cards - 2nd Yellow,Set Pieces Goals,Unsuccessful Corners into Box,Corners Taken (incl short corners),Penalties Taken,Penalty Goals,Handballs conceded,Other Goals,Own Goal Scored,Punches,Saves made - parried,Saves Made,GK Unsuccessful Distribution,Catches,Saves Made from Outside Box,Saves Made from Inside Box,Penalties Faced,Drops,Goalkeeper Smother,Saves made - caught,Last Player Tackle,Second Goal Assists,Penalties Saved,Saves from Penalty,Penalties Off Target,Crosses not Claimed
USA_USL_League_One,2024,Richmond Kickers,aw1stc4erqzwcmiv4m2yyqdt6,N. Aune,Defender,24,20.0,2.0,19.0,26.0,,517.0,34.0,10.0,1.0,,1.0,150.0,64.0,2.0,45.0,5.0,2.0,157.0,4.0,1.0,9.0,1.0,4.0,1.0,1.0,22.0,,12.0,30.0,2.0,92.0,7.0,10.0,2.0,58.0,5.0,18.0,,7.0,33.0,3.0,82.0,222.0,2.0,25.0,1.0,1.0,,9.0,19.0,,9.0,16.0,,7.0,374.0,5.0,214.0,76.0,,5.0,232.0,,296.0,2.0,285.0,38.0,1.0,18.0,13.0,9.0,38.0,10.0,,,12.0,5.0,0.0,,,,,,,,,,,,7.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Richmond Kickers,3h4klx76chahvxu5t810fze21,D. Barnathan,Defender,2,66.0,8.0,44.0,32.0,,1608.0,89.0,21.0,4.0,,5.0,310.0,158.0,9.0,116.0,16.0,3.0,441.0,2.0,10.0,23.0,2.0,8.0,4.0,1.0,61.0,,4.0,69.0,4.0,258.0,13.0,27.0,11.0,130.0,19.0,40.0,,41.0,73.0,10.0,192.0,646.0,9.0,57.0,3.0,1.0,,21.0,46.0,4.0,29.0,89.0,,24.0,1066.0,25.0,598.0,243.0,8.0,20.0,680.0,,838.0,5.0,801.0,64.0,6.0,82.0,25.0,21.0,181.0,10.0,6.0,4.0,32.0,4.0,0.0,,,,,2.0,,,2.0,,,1.0,14.0,14.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Richmond Kickers,bh8ci2ku56str20jzftbv3mqx,A. Billhardt,Midfielder,20,109.0,6.0,3.0,6.0,1.0,1294.0,77.0,15.0,3.0,1.0,43.0,109.0,86.0,9.0,99.0,22.0,12.0,110.0,2.0,16.0,19.0,10.0,28.0,9.0,35.0,60.0,4.0,,9.0,6.0,136.0,14.0,22.0,34.0,206.0,15.0,3.0,1.0,12.0,18.0,17.0,233.0,323.0,70.0,188.0,4.0,1.0,1.0,17.0,15.0,28.0,59.0,116.0,,28.0,766.0,11.0,326.0,233.0,7.0,2.0,334.0,2.0,420.0,1.0,408.0,97.0,11.0,8.0,97.0,17.0,59.0,10.0,11.0,20.0,91.0,11.0,0.0,,5.0,5.0,4.0,1.0,1.0,4.0,,2.0,3.0,,,,,1.0,1.0,,4.0,,,,6.0,12.0,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Richmond Kickers,97d846tm7ngsjqwkbz8xm3alm,A. Bosua,Forward,9,58.0,1.0,7.0,38.0,1.0,461.0,54.0,1.0,3.0,,7.0,38.0,59.0,13.0,56.0,4.0,3.0,19.0,8.0,4.0,7.0,5.0,9.0,,5.0,11.0,1.0,,5.0,5.0,24.0,22.0,10.0,12.0,115.0,5.0,2.0,,22.0,60.0,12.0,97.0,45.0,13.0,55.0,,,1.0,13.0,7.0,4.0,30.0,27.0,,5.0,219.0,2.0,53.0,35.0,5.0,,54.0,4.0,113.0,,104.0,57.0,7.0,1.0,36.0,13.0,24.0,10.0,7.0,4.0,19.0,4.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Richmond Kickers,6twhs1y8bihm7vc9dib8hgezt,K. Çela,Defender,16,17.0,2.0,32.0,13.0,4.0,561.0,14.0,,,,1.0,126.0,44.0,1.0,24.0,3.0,1.0,206.0,1.0,5.0,5.0,1.0,4.0,,1.0,10.0,,,30.0,1.0,78.0,8.0,5.0,2.0,40.0,6.0,19.0,,6.0,19.0,2.0,50.0,262.0,1.0,21.0,,,,7.0,20.0,,5.0,16.0,,5.0,388.0,5.0,245.0,66.0,,10.0,272.0,,316.0,6.0,304.0,23.0,1.0,27.0,11.0,7.0,96.0,10.0,1.0,,10.0,,1.0,1.0,1.0,,,1.0,,1.0,1.0,1.0,0.0,,4.0,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
USA_USL_League_One,2024,Richmond Kickers,6irdqdoxw9rw7crvf90itm4no,C. Cole,Defender,3,11.0,2.0,6.0,7.0,,171.0,5.0,4.0,1.0,,,32.0,9.0,,8.0,,,59.0,3.0,2.0,3.0,,,,2.0,9.0,,10.0,4.0,,24.0,,4.0,1.0,22.0,1.0,1.0,,7.0,14.0,,27.0,85.0,4.0,8.0,,,,4.0,3.0,2.0,3.0,7.0,,2.0,133.0,1.0,82.0,28.0,,1.0,87.0,,96.0,2.0,94.0,11.0,,5.0,4.0,4.0,33.0,10.0,,2.0,4.0,1.0,0.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Richmond Kickers,eulwjq6luuo75u1288u6gp9uc,G. Cox,Midfielder,33,7.0,,,,,44.0,4.0,1.0,1.0,,1.0,1.0,4.0,,6.0,3.0,,6.0,3.0,,1.0,,,,,2.0,,,,1.0,10.0,,2.0,1.0,10.0,,,,3.0,3.0,1.0,12.0,13.0,4.0,7.0,,,,3.0,1.0,3.0,5.0,6.0,,3.0,30.0,,13.0,7.0,,,13.0,,17.0,,17.0,3.0,,,4.0,3.0,,10.0,,3.0,3.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Richmond Kickers,8vxptg3hrexqg02k1gbrj16hg,Gui França,Defender,14,28.0,9.0,38.0,16.0,2.0,599.0,30.0,,1.0,,,200.0,64.0,2.0,41.0,5.0,1.0,257.0,5.0,,10.0,4.0,3.0,,2.0,34.0,,2.0,34.0,4.0,62.0,9.0,11.0,6.0,63.0,7.0,19.0,,13.0,29.0,7.0,73.0,339.0,3.0,34.0,,1.0,,12.0,24.0,1.0,15.0,28.0,,14.0,515.0,6.0,315.0,91.0,,7.0,348.0,,412.0,4.0,401.0,35.0,3.0,33.0,15.0,12.0,122.0,10.0,2.0,1.0,19.0,,0.0,,1.0,,,,1.0,1.0,,0.0,1.0,,5.0,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Richmond Kickers,e3mvxgy6ggpbhm4lzv20ouig9,S. Fitch,Midfielder,4,65.0,8.0,45.0,34.0,6.0,2070.0,110.0,183.0,5.0,3.0,10.0,335.0,151.0,8.0,143.0,28.0,2.0,370.0,,27.0,30.0,,16.0,15.0,12.0,86.0,,21.0,41.0,7.0,357.0,24.0,35.0,25.0,163.0,23.0,22.0,1.0,15.0,49.0,9.0,266.0,740.0,19.0,114.0,15.0,1.0,3.0,23.0,60.0,52.0,39.0,196.0,,36.0,1410.0,14.0,710.0,402.0,,5.0,757.0,,908.0,7.0,890.0,98.0,2.0,47.0,50.0,23.0,20.0,10.0,11.0,52.0,64.0,10.0,0.0,,1.0,5.0,,1.0,1.0,1.0,3.0,0.0,1.0,,,,,,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2024,Richmond Kickers,dhh0p6sdet3puhqt4m8cm5yxg,G. Garnett,Midfielder,38,45.0,7.0,80.0,19.0,1.0,1689.0,66.0,3.0,4.0,1.0,3.0,313.0,130.0,2.0,67.0,20.0,1.0,698.0,1.0,3.0,24.0,7.0,9.0,,3.0,54.0,,,64.0,2.0,339.0,5.0,28.0,15.0,103.0,20.0,45.0,1.0,23.0,42.0,4.0,148.0,840.0,4.0,61.0,,,1.0,21.0,63.0,,19.0,95.0,,27.0,1204.0,14.0,821.0,175.0,,14.0,873.0,,1003.0,9.0,969.0,58.0,2.0,52.0,22.0,21.0,256.0,10.0,6.0,,39.0,1.0,0.0,,,1.0,,,,,3.0,,,,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
