liga,temporada,equipo,id,nombre,posicion,dorsal,Total Losses Of Possession,Ground Duels lost,Shots Off Target (inc woodwork),Successful Dribbles,Total Fouls Conceded,Leftside Passes,Penalty Goals Conceded,Ground Duels won,Throw Ins to Opposition Player,Recoveries,Throw Ins to Own Player,Goals Conceded Outside Box,Total Passes,Clearances Off the Line,Touches,Aerial Duels lost,Shots On Target ( inc goals ),Unsuccessful Passes Own Half,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Duels,Total Touches In Opposition Box,Corners Won,Ground Duels,Unsuccessful Crosses open play,Goals Conceded Inside Box,Unsuccessful Crosses & Corners,Index,Duels won,Hit Woodwork,Yellow Cards,Successful Open Play Passes,Successful Passes Own Half,Successful Lay-offs,Successful Short Passes,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Duels lost,Successful Crosses & Corners,Successful Crosses open play,Total Shots,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Tackles,Unsuccessful Short Passes,Backward Passes,Forward Passes,Aerial Duels won,Appearances,Clean Sheets,Successful Passes Opposition Half,Unsuccessful Dribbles,Games Played,Total Clearances,Tackles Won,Tackles Lost,Aerial Duels,Open Play Passes,Key Passes (Attempt Assists),Unsuccessful Launches,Times Tackled,Successful Long Passes,Total Fouls Won,Rightside Passes,Successful Launches,PutThrough/Blocked Distribution,Interceptions,Blocks,Starts,Foul Attempted Tackle,Unsuccessful Passes Opposition Half,Winning Goal,Corners Taken (incl short corners),Through balls,Substitute Off,Substitute On,Unsuccessful Corners into Box,Goals from Inside Box,Handballs conceded,Goals,Right Foot Goals,Blocked Shots,Overruns,Unsuccessful lay-offs,Home Goals,Away Goals,Successful Corners into Box,Last Player Tackle,Left Foot Goals,Offsides,Goals from Outside Box,Headed Goals,Straight Red Cards,Total Red Cards,Assists (Intentional),Goal Assists,Penalties Conceded,Attempts from Set Pieces,Red Cards - 2nd Yellow,Goal Kicks,GK Successful Distribution,Foul Won Penalty,Second Goal Assists,Saves Made from Outside Box,Saves Made,Penalties Faced,GK Unsuccessful Distribution,Punches,Catches,Goalkeeper Smother,Saves Made from Inside Box,Drops,Saves made - parried,Set Pieces Goals,Penalties Taken,Penalty Goals,Own Goal Scored,Saves made - caught,Saves from Penalty,Penalties Saved,Crosses not Claimed,Other Goals,Penalties Off Target
Mexico_Liga_MX,2023-2024,Club Tigres UANL,609edevf8qla1f6vi4mjkkgkp,J. Angulo,Defender,27,270.0,58.0,9.0,4.0,25.0,58.0,1.0,86.0,31.0,134.0,121.0,5.0,934.0,,1385.0,16.0,5.0,39.0,758.0,1896.0,190.0,15.0,4.0,144.0,14.0,16.0,14.0,10.0,116.0,,7.0,731.0,424.0,1.0,685.0,87.0,16.0,74.0,7.0,7.0,14.0,21.0,176.0,57.0,89.0,135.0,379.0,30.0,22.0,6.0,341.0,13.0,22.0,38.0,32.0,25.0,46.0,905.0,15.0,41.0,18.0,73.0,26.0,362.0,14.0,30.0,27.0,6.0,22.0,11.0,151.0,1.0,,3.0,8.0,,,,,3.0,,,2.0,,1.0,2.0,,1.0,3.0,3.0,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tigres UANL,8f8h57y9u27itkkdehbdss4b9,J. Aquino,Midfielder,20,337.0,65.0,7.0,23.0,16.0,386.0,2.0,110.0,31.0,120.0,148.0,5.0,1141.0,,1689.0,18.0,2.0,71.0,954.0,1875.0,211.0,20.0,12.0,175.0,62.0,15.0,62.0,10.0,128.0,,1.0,931.0,437.0,1.0,904.0,56.0,20.0,83.0,12.0,12.0,9.0,20.0,187.0,55.0,131.0,184.0,480.0,18.0,22.0,4.0,529.0,9.0,22.0,27.0,35.0,20.0,36.0,1118.0,18.0,36.0,28.0,50.0,33.0,91.0,9.0,49.0,27.0,4.0,22.0,12.0,178.0,0.0,,,6.0,,,,1.0,,,3.0,1.0,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tigres UANL,auegpd36ras84mp8q6j6gs8a1,J. Brunetta,Midfielder,11,354.0,92.0,21.0,56.0,14.0,104.0,3.0,104.0,1.0,97.0,10.0,6.0,646.0,,1170.0,15.0,26.0,13.0,525.0,1593.0,218.0,71.0,32.0,196.0,10.0,29.0,91.0,10.0,111.0,,5.0,486.0,129.0,14.0,478.0,26.0,19.0,107.0,51.0,4.0,47.0,35.0,121.0,18.0,95.0,126.0,210.0,7.0,18.0,1.0,447.0,34.0,18.0,5.0,14.0,4.0,22.0,593.0,66.0,,75.0,47.0,30.0,206.0,,42.0,4.0,,18.0,8.0,199.0,0.0,102.0,15.0,5.0,,62.0,8.0,1.0,10.0,5.0,18.0,9.0,,6.0,4.0,36.0,,5.0,2.0,2.0,,,,10.0,11.0,,13.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tigres UANL,61huc8rado1jmr8ilgyv2aqxh,Samir,Defender,3,95.0,39.0,3.0,3.0,24.0,191.0,1.0,51.0,1.0,74.0,8.0,4.0,817.0,,1001.0,24.0,3.0,37.0,742.0,1447.0,149.0,10.0,1.0,90.0,,11.0,,10.0,86.0,,4.0,712.0,561.0,,698.0,52.0,6.0,63.0,,,6.0,15.0,75.0,31.0,23.0,80.0,233.0,35.0,19.0,6.0,181.0,5.0,19.0,40.0,19.0,12.0,59.0,785.0,1.0,30.0,7.0,44.0,17.0,313.0,8.0,11.0,24.0,9.0,16.0,16.0,38.0,0.0,,,2.0,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tigres UANL,34w0dseqk24955er7shltiggl,J. Caicedo,Forward,0,146.0,56.0,15.0,10.0,23.0,50.0,4.0,24.0,,24.0,,6.0,204.0,,394.0,36.0,19.0,9.0,146.0,1156.0,153.0,71.0,8.0,80.0,4.0,14.0,4.0,10.0,61.0,,3.0,113.0,55.0,12.0,140.0,2.0,2.0,92.0,,,34.0,20.0,58.0,5.0,56.0,84.0,18.0,37.0,14.0,1.0,91.0,11.0,14.0,14.0,3.0,2.0,73.0,171.0,10.0,,29.0,6.0,9.0,52.0,,10.0,3.0,1.0,14.0,5.0,53.0,0.0,,,8.0,,,4.0,1.0,5.0,3.0,2.0,4.0,6.0,2.0,3.0,,,1.0,11.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tigres UANL,dta2hcu8sq62dx9diax5shk9,S. Córdova,Midfielder,17,244.0,106.0,10.0,21.0,36.0,96.0,1.0,77.0,,56.0,8.0,2.0,411.0,,754.0,24.0,11.0,11.0,323.0,1278.0,224.0,44.0,15.0,183.0,23.0,11.0,26.0,10.0,94.0,1.0,5.0,315.0,91.0,5.0,304.0,15.0,11.0,130.0,6.0,5.0,21.0,13.0,88.0,18.0,73.0,85.0,120.0,17.0,18.0,,238.0,20.0,18.0,4.0,12.0,6.0,41.0,403.0,15.0,4.0,64.0,19.0,38.0,110.0,2.0,24.0,7.0,2.0,18.0,21.0,103.0,0.0,6.0,1.0,16.0,,2.0,1.0,3.0,1.0,,11.0,3.0,1.0,0.0,1.0,1.0,,,3.0,,1.0,,,3.0,4.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tigres UANL,8nfubgjn9bepubvpc1a640h2i,S. Fierro,Midfielder,26,14.0,10.0,,,5.0,47.0,,2.0,,15.0,,,141.0,,151.0,4.0,,1.0,131.0,189.0,16.0,,,12.0,1.0,2.0,1.0,10.0,2.0,,2.0,129.0,78.0,1.0,127.0,,,14.0,,,,2.0,10.0,,10.0,22.0,21.0,,9.0,1.0,53.0,,9.0,1.0,,,4.0,139.0,1.0,,2.0,4.0,2.0,51.0,,2.0,2.0,,2.0,2.0,10.0,0.0,,,1.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tigres UANL,22iqqk9sbs82tmmyd17m2omlm,M. Flores,Midfielder,24,40.0,15.0,1.0,5.0,2.0,7.0,,9.0,,18.0,,1.0,81.0,,135.0,5.0,2.0,3.0,67.0,189.0,29.0,10.0,6.0,24.0,1.0,2.0,5.0,10.0,9.0,,1.0,65.0,23.0,,62.0,2.0,5.0,20.0,,,3.0,3.0,14.0,3.0,12.0,25.0,13.0,,10.0,,44.0,7.0,10.0,1.0,3.0,,5.0,79.0,1.0,2.0,12.0,5.0,1.0,36.0,,7.0,1.0,,1.0,2.0,16.0,0.0,5.0,,1.0,9.0,3.0,1.0,,1.0,1.0,3.0,,,0.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tigres UANL,c6mn8nsx1djyybi6vs3wvd6qy,R. Fulgencio,Midfielder,22,87.0,32.0,3.0,9.0,5.0,41.0,1.0,17.0,,28.0,1.0,3.0,213.0,,339.0,3.0,6.0,8.0,188.0,621.0,53.0,21.0,3.0,49.0,24.0,4.0,26.0,10.0,18.0,,,185.0,64.0,2.0,168.0,5.0,4.0,35.0,6.0,4.0,9.0,7.0,25.0,5.0,20.0,43.0,35.0,1.0,15.0,1.0,130.0,7.0,15.0,5.0,5.0,,4.0,210.0,9.0,2.0,19.0,20.0,3.0,94.0,3.0,10.0,3.0,,6.0,2.0,43.0,1.0,5.0,,4.0,9.0,2.0,3.0,,3.0,3.0,6.0,2.0,,2.0,1.0,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,Club Tigres UANL,745jx9uzim73pkz4qavdzt7je,J. Garza,Midfielder,14,12.0,3.0,1.0,1.0,1.0,22.0,,9.0,1.0,12.0,12.0,,60.0,,98.0,,,,56.0,133.0,12.0,1.0,,12.0,4.0,3.0,4.0,10.0,9.0,,1.0,55.0,27.0,,54.0,1.0,1.0,3.0,,,1.0,3.0,4.0,6.0,3.0,13.0,24.0,,5.0,,29.0,,5.0,1.0,4.0,2.0,,59.0,1.0,1.0,,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,,8.0,0.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
