liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Penalties Taken,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Penalty Goals,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Penalties Conceded,Own Goal Scored,Clearances Off the Line,Headed Goals,Total Red Cards,Straight Red Cards,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Foul Won Penalty,Set Pieces Goals,Penalties Saved,Saves from Penalty,Last Man Tackle,Red Cards - 2nd Yellow,Penalties Off Target,Other Goals,Second Goal Assists,Penalty Goals Conceded,Times Tackled,Home Goals,Away Goals,Winning Goal
USA_MLS,2016,Colorado Rapids,9q8xpcj3qk72bxdpby4bi5az9,C. Froschauer,Goalkeeper,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,d2h4k9ncbn2727zwv9qvkswr9,S. Gashi,Midfielder,11,20.0,6.0,2421.0,12.0,1.0,11.0,3.0,10.0,1.0,909.0,18.0,174.0,48.0,540.0,10.0,5.0,41.0,23.0,38.0,5.0,37.0,456.0,223.0,38.0,194.0,950.0,18.0,48.0,10.0,677.0,24.0,79.0,235.0,33.0,238.0,64.0,297.0,22.0,3.0,124.0,29.0,49.0,36.0,1499.0,89.0,30.0,28.0,2.0,202.0,5.0,309.0,57.0,72.0,94.0,41.0,15.0,38.0,4.0,22.0,24.0,14.0,263.0,6.0,29.0,9.0,98.0,30.0,55.0,1.0,1.0,3.0,132.0,229.0,5.0,2.0,690.0,715.0,61.0,2.0,1.0,3.0,1.0,3.0,23.0,169.0,15.0,25.0,70.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,ds4ydkz3y7hnymqsnef0wa0h5,J. Greenspan,Defender,20,,,1.0,,1.0,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,3.0,,1.0,,,1.0,,,,1.0,2.0,,,,,1.0,1.0,,2.0,,,,,1.0,,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,6pqwh2z47uwgr9u9y8n79ppzp,M. Hairston,Midfielder,94,23.0,10.0,1418.0,30.0,11.0,9.0,1.0,3.0,2.0,468.0,13.0,146.0,6.0,223.0,3.0,2.0,11.0,20.0,6.0,2.0,17.0,217.0,149.0,30.0,92.0,469.0,11.0,11.0,10.0,356.0,9.0,15.0,103.0,,71.0,17.0,104.0,4.0,3.0,82.0,14.0,30.0,22.0,788.0,,25.0,6.0,1.0,121.0,1.0,105.0,48.0,45.0,66.0,9.0,,10.0,6.0,18.0,8.0,21.0,146.0,14.0,11.0,1.0,23.0,25.0,,,,4.0,63.0,147.0,2.0,,365.0,366.0,25.0,1.0,1.0,5.0,,,20.0,80.0,10.0,37.0,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,89lallj6tfsq8oipln6hgglhx,T. Howard,Goalkeeper,1,,,1740.0,,,,54.0,,,342.0,,,,71.0,86.0,1.0,154.0,,,3.0,,168.0,347.0,2.0,5.0,577.0,,,,291.0,17.0,,159.0,,140.0,,127.0,,,191.0,19.0,,32.0,780.0,,19.0,,,3.0,,336.0,,66.0,3.0,,,127.0,,1.0,,,3.0,7.0,20.0,,,19.0,,,,,,101.0,,,265.0,418.0,,8.0,,,,,,,2.0,4.0,3.0,,,,,,,58.0,230.0,,4.0,1.0,,5.0,27.0,22.0,31.0,7.0,6.0,56.0,,,2.0,2.0,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,8x1vc98s6awlt3kn9c6rq2ml1,J. Jones,Midfielder,13,9.0,4.0,1033.0,,2.0,23.0,2.0,3.0,2.0,587.0,8.0,126.0,1.0,315.0,5.0,5.0,36.0,10.0,11.0,2.0,27.0,255.0,126.0,30.0,120.0,596.0,4.0,29.0,5.0,405.0,7.0,22.0,156.0,,136.0,14.0,140.0,6.0,1.0,68.0,11.0,25.0,25.0,851.0,,13.0,15.0,3.0,148.0,,189.0,26.0,62.0,108.0,11.0,,35.0,1.0,37.0,38.0,9.0,213.0,11.0,9.0,,9.0,13.0,,1.0,1.0,1.0,78.0,145.0,3.0,,432.0,440.0,65.0,3.0,4.0,2.0,,,19.0,105.0,11.0,13.0,70.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,a54meptpw868057cp9tjqr4d1,S. Le Toux,Forward,7,40.0,4.0,2130.0,19.0,11.0,11.0,3.0,3.0,3.0,843.0,15.0,171.0,13.0,455.0,17.0,3.0,31.0,28.0,10.0,2.0,29.0,432.0,166.0,53.0,223.0,862.0,15.0,16.0,8.0,588.0,31.0,21.0,254.0,4.0,172.0,48.0,270.0,4.0,,120.0,24.0,56.0,38.0,1307.0,16.0,35.0,9.0,2.0,175.0,,258.0,83.0,95.0,106.0,11.0,,20.0,9.0,28.0,19.0,9.0,223.0,20.0,33.0,,54.0,35.0,8.0,2.0,,2.0,88.0,261.0,3.0,1.0,590.0,608.0,48.0,3.0,1.0,6.0,,3.0,32.0,117.0,21.0,31.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,7qla3o405z7168s9y50oigs7p,Z. MacMath,Goalkeeper,18,,,1710.0,,,,83.0,,,323.0,,,,113.0,120.0,3.0,218.0,,,2.0,1.0,232.0,225.0,,4.0,560.0,,1.0,,161.0,14.0,,222.0,,48.0,,182.0,,,216.0,19.0,1.0,40.0,768.0,,19.0,1.0,,4.0,,441.0,,57.0,13.0,,,177.0,,5.0,11.0,,16.0,15.0,16.0,,,19.0,,,,,2.0,71.0,,,223.0,338.0,12.0,6.0,,,,,,3.0,,3.0,2.0,1.0,,,,,,45.0,161.0,1.0,10.0,3.0,6.0,15.0,25.0,16.0,20.0,2.0,4.0,69.0,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,dnm3m8nto9bof5syhtb6w8es5,E. Miller,Defender,3,55.0,4.0,2508.0,192.0,3.0,1.0,12.0,,,970.0,12.0,224.0,17.0,376.0,44.0,3.0,87.0,11.0,2.0,3.0,32.0,428.0,394.0,57.0,139.0,979.0,1.0,26.0,7.0,697.0,24.0,4.0,226.0,,67.0,19.0,219.0,3.0,66.0,88.0,27.0,23.0,62.0,1644.0,,30.0,12.0,9.0,136.0,,353.0,26.0,42.0,114.0,2.0,,56.0,17.0,14.0,37.0,12.0,205.0,72.0,27.0,,55.0,30.0,,1.0,1.0,,59.0,335.0,,,745.0,753.0,69.0,9.0,,,,,47.0,91.0,10.0,57.0,77.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,zykalc2oixfyvayradbcxp05,M. Pappa,Midfielder,10,14.0,1.0,920.0,5.0,12.0,8.0,1.0,2.0,,506.0,8.0,95.0,10.0,295.0,,2.0,26.0,6.0,7.0,1.0,3.0,226.0,135.0,17.0,73.0,519.0,7.0,11.0,22.0,402.0,9.0,20.0,99.0,5.0,110.0,21.0,121.0,10.0,2.0,74.0,10.0,18.0,12.0,773.0,25.0,22.0,9.0,,129.0,1.0,170.0,20.0,100.0,53.0,13.0,4.0,18.0,2.0,14.0,,21.0,132.0,,10.0,2.0,34.0,22.0,18.0,,2.0,3.0,76.0,144.0,1.0,,413.0,420.0,3.0,,,3.0,,4.0,12.0,79.0,5.0,10.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,7qs9bvy7xg2btj6jkyalhx6mt,Z. Pfeffer,Midfielder,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,427gutu4gr6yqt1s60w88ghjp,D. Powers,Midfielder,8,9.0,2.0,2294.0,4.0,6.0,17.0,4.0,1.0,,1209.0,9.0,185.0,6.0,637.0,18.0,4.0,58.0,11.0,19.0,3.0,29.0,361.0,382.0,41.0,163.0,1234.0,7.0,32.0,7.0,933.0,21.0,25.0,221.0,4.0,345.0,34.0,206.0,12.0,,134.0,26.0,21.0,41.0,1599.0,17.0,32.0,20.0,2.0,180.0,,382.0,48.0,46.0,106.0,6.0,1.0,80.0,2.0,42.0,18.0,18.0,227.0,17.0,24.0,,26.0,32.0,12.0,3.0,2.0,2.0,92.0,322.0,1.0,,990.0,1013.0,47.0,9.0,3.0,4.0,,7.0,27.0,121.0,14.0,27.0,88.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,6kq8itr9qyntj286s7q1mxrrp,D. Serna,Midfielder,17,2.0,1.0,280.0,17.0,6.0,,1.0,1.0,,83.0,3.0,15.0,1.0,38.0,9.0,1.0,14.0,2.0,1.0,,6.0,58.0,19.0,4.0,19.0,89.0,2.0,4.0,2.0,52.0,1.0,4.0,33.0,,9.0,3.0,27.0,1.0,4.0,11.0,3.0,5.0,10.0,167.0,5.0,9.0,,,29.0,1.0,41.0,2.0,97.0,8.0,3.0,,4.0,1.0,1.0,1.0,7.0,36.0,7.0,1.0,1.0,4.0,9.0,2.0,,1.0,,22.0,24.0,,,51.0,56.0,7.0,,,,,,3.0,28.0,1.0,8.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,ewojc4pj3xg2hipoqle9n8wdl,A. Sjöberg,Defender,44,,,3162.0,1.0,,,27.0,2.0,,1462.0,3.0,85.0,,202.0,70.0,6.0,110.0,13.0,5.0,5.0,36.0,332.0,1017.0,32.0,160.0,1489.0,1.0,30.0,,1085.0,25.0,12.0,270.0,,501.0,2.0,155.0,,,87.0,35.0,20.0,115.0,1884.0,,35.0,7.0,21.0,86.0,,592.0,29.0,51.0,119.0,7.0,,134.0,,11.0,77.0,,199.0,175.0,30.0,,,35.0,,3.0,1.0,,44.0,311.0,2.0,,1198.0,1219.0,113.0,14.0,,1.0,,,25.0,80.0,7.0,78.0,42.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,516ygtbil1p6hyupo2162frv9,L. Solignac,Forward,21,22.0,23.0,2177.0,4.0,7.0,18.0,,5.0,4.0,548.0,14.0,163.0,3.0,306.0,7.0,1.0,13.0,20.0,18.0,9.0,42.0,359.0,118.0,25.0,138.0,572.0,7.0,30.0,24.0,401.0,29.0,40.0,151.0,,160.0,27.0,142.0,9.0,1.0,93.0,24.0,34.0,31.0,979.0,1.0,31.0,5.0,2.0,192.0,,151.0,97.0,90.0,102.0,22.0,,20.0,3.0,23.0,30.0,29.0,264.0,13.0,38.0,,22.0,31.0,,2.0,2.0,,120.0,98.0,5.0,,398.0,421.0,72.0,3.0,2.0,,,3.0,21.0,162.0,4.0,12.0,72.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
USA_MLS,2016,Colorado Rapids,35srvwi22gglg0bn135o3987p,J. Watts,Midfielder,33,3.0,,2037.0,7.0,3.0,,18.0,,,1162.0,3.0,70.0,,239.0,66.0,6.0,125.0,4.0,7.0,2.0,35.0,246.0,739.0,41.0,91.0,1194.0,,21.0,4.0,845.0,22.0,8.0,216.0,,151.0,3.0,149.0,,,92.0,22.0,8.0,70.0,1469.0,,25.0,10.0,16.0,94.0,,521.0,18.0,42.0,89.0,1.0,,133.0,,14.0,31.0,1.0,160.0,83.0,24.0,,3.0,25.0,,,,,36.0,452.0,,,953.0,978.0,66.0,8.0,,,,,24.0,71.0,17.0,65.0,58.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
USA_MLS,2016,Colorado Rapids,939gdb6x3mj8fuxveqvlomcid,M. Williams,Defender,5,39.0,1.0,1468.0,136.0,4.0,,3.0,,,632.0,9.0,146.0,12.0,251.0,35.0,5.0,66.0,19.0,2.0,2.0,21.0,289.0,257.0,45.0,77.0,639.0,2.0,12.0,14.0,455.0,13.0,2.0,143.0,,104.0,8.0,146.0,,47.0,64.0,17.0,28.0,36.0,1122.0,,21.0,8.0,11.0,125.0,,230.0,6.0,46.0,93.0,,,41.0,12.0,9.0,25.0,10.0,171.0,44.0,15.0,,39.0,21.0,,,,2.0,57.0,159.0,,,490.0,496.0,46.0,6.0,,2.0,,1.0,34.0,78.0,11.0,29.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
