liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Index,Interceptions,Last Player Tackle,Leftside Passes,Open Play Passes,Penalties Conceded,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Launches,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Winning Goal,Assists (Intentional),Attempts from Set Pieces,Corners Taken (incl short corners),Corners Won,Goal Assists,Goals,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Headed Goals,Hit Woodwork,Key Passes (Attempt Assists),Left Foot Goals,Offsides,Overruns,Penalties Taken,Penalty Goals,Right Foot Goals,Second Goal Assists,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Successful Corners into Box,Successful Dribbles,Successful Lay-offs,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Shots,Unsuccessful Corners into Box,Unsuccessful Dribbles,Unsuccessful lay-offs,Home Goals,Away Goals,Foul Won Penalty,Catches,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Total Big Chances Saved,Saves made - caught,Clearances Off the Line,Own Goal Scored,Red Cards - 2nd Yellow,Total Red Cards,Penalties Saved,Saves from Penalty,Set Pieces Goals,Other Goals,Crosses not Claimed,Straight Red Cards,Direct Corner Goals,Direct Setpiece Goals,Penalties Off Target
USA_MLS,2025,Atlanta United FC,652d6i0jem2jymjfzd8w0ndn9,L. Abram,Defender,44,54.0,27.0,27.0,21.0,57.0,1.0,5.0,234.0,1.0,89.0,42.0,47.0,2.0,345.0,2.0,2.0,21.0,2.0,29.0,25.0,4.0,35.0,15.0,20.0,1.0,10.0,6.0,1.0,179.0,979.0,1.0,4.0,141.0,12.0,7.0,59.0,410.0,16.0,4.0,5.0,1.0,1.0,7.0,57.0,863.0,326.0,549.0,817.0,10.0,7.0,1.0,1.0,8.0,1491.0,71.0,10.0,4.0,125.0,991.0,874.0,17.0,4.0,117.0,1152.0,2.0,2.0,40.0,70.0,82.0,37.0,47.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Atlanta United FC,bijr1ghojrxc61se7ebt72f9x,M. Almirón,Midfielder,10,19.0,14.0,5.0,31.0,221.0,25.0,1.0,541.0,,285.0,134.0,151.0,158.0,355.0,23.0,,31.0,,53.0,49.0,4.0,266.0,120.0,146.0,2.0,10.0,11.0,,435.0,1216.0,,6.0,249.0,58.0,26.0,132.0,229.0,31.0,10.0,,8.0,7.0,1.0,52.0,1018.0,769.0,280.0,989.0,20.0,26.0,8.0,1.0,16.0,2713.0,8.0,30.0,56.0,391.0,1240.0,1041.0,46.0,107.0,199.0,1761.0,31.0,24.0,4.0,25.0,191.0,39.0,174.0,4.0,0.0,2.0,2.0,8.0,19.0,4.0,6.0,2.0,5.0,1.0,1.0,1.0,40.0,4.0,12.0,13.0,3.0,3.0,1.0,2.0,20.0,23.0,1.0,44.0,35.0,74.0,4.0,6.0,5.0,43.0,4.0,33.0,4.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Atlanta United FC,69ivqkcipxp15b7x5jl83ud49,S. Alzate,Midfielder,7,10.0,5.0,5.0,10.0,60.0,1.0,,126.0,,75.0,37.0,38.0,93.0,98.0,4.0,,10.0,,14.0,13.0,1.0,65.0,32.0,33.0,2.0,10.0,8.0,,111.0,409.0,,,60.0,11.0,5.0,27.0,157.0,7.0,3.0,3.0,4.0,,,17.0,371.0,206.0,185.0,370.0,7.0,10.0,,,2.0,647.0,5.0,7.0,7.0,80.0,426.0,387.0,17.0,4.0,39.0,550.0,7.0,1.0,3.0,12.0,38.0,8.0,27.0,2.0,0.0,1.0,,7.0,,1.0,,,,,,,7.0,,,,,,,,2.0,3.0,2.0,9.0,3.0,20.0,1.0,,,5.0,5.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Atlanta United FC,bdaxbuz59551ktjj7g31slfc9,Juan Berrocal,Defender,6,18.0,9.0,9.0,10.0,11.0,,7.0,55.0,,43.0,23.0,20.0,4.0,95.0,5.0,6.0,10.0,6.0,11.0,10.0,1.0,25.0,14.0,11.0,,10.0,14.0,,76.0,276.0,1.0,1.0,19.0,3.0,1.0,25.0,106.0,5.0,,5.0,,,3.0,17.0,257.0,65.0,204.0,252.0,3.0,7.0,,,1.0,573.0,30.0,10.0,1.0,23.0,288.0,269.0,10.0,2.0,19.0,363.0,,,6.0,9.0,11.0,8.0,10.0,,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Atlanta United FC,a63su8pudaernrvj1fi9006qc,L. Brennan,Midfielder,20,7.0,3.0,4.0,14.0,49.0,3.0,,87.0,1.0,66.0,38.0,28.0,39.0,33.0,6.0,,14.0,,10.0,10.0,,59.0,35.0,24.0,,10.0,,,10.0,136.0,,,56.0,12.0,2.0,27.0,45.0,6.0,5.0,8.0,5.0,5.0,,2.0,113.0,80.0,39.0,112.0,,4.0,,,2.0,509.0,2.0,10.0,12.0,78.0,137.0,114.0,4.0,31.0,23.0,247.0,15.0,15.0,,2.0,33.0,5.0,21.0,1.0,0.0,,,,8.0,1.0,,,,,,1.0,4.0,,2.0,3.0,,,,,1.0,1.0,,8.0,1.0,24.0,3.0,,,2.0,,13.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Atlanta United FC,f69xf0cdfn1qe63t5tr5in10,D. Chong Qui,Defender,50,1.0,,1.0,3.0,9.0,,,13.0,,12.0,7.0,5.0,12.0,12.0,,,3.0,,7.0,6.0,1.0,11.0,7.0,4.0,,10.0,,,1.0,40.0,,1.0,10.0,1.0,,5.0,18.0,2.0,1.0,1.0,,,,,28.0,14.0,14.0,28.0,2.0,2.0,,,4.0,149.0,,1.0,,24.0,40.0,28.0,4.0,4.0,12.0,66.0,4.0,4.0,,2.0,12.0,4.0,10.0,,0.0,,,,3.0,,,,,,,,1.0,,,,,,,,,1.0,,,,5.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Atlanta United FC,d3gmzmf34c6o8vzngnf7ishlg,N. Cobb,Defender,24,34.0,20.0,14.0,17.0,26.0,1.0,8.0,110.0,,70.0,33.0,37.0,,158.0,7.0,4.0,17.0,4.0,16.0,13.0,3.0,36.0,13.0,23.0,,10.0,10.0,,215.0,493.0,,1.0,69.0,5.0,1.0,26.0,110.0,7.0,1.0,10.0,1.0,1.0,4.0,27.0,436.0,174.0,278.0,424.0,8.0,8.0,,2.0,6.0,788.0,49.0,10.0,7.0,67.0,509.0,451.0,16.0,7.0,58.0,642.0,2.0,2.0,13.0,27.0,32.0,28.0,31.0,,0.0,,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Atlanta United FC,cu84s15ig7u7g9iwwcff82yuh,J. Cohen,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Atlanta United FC,5c7gqtyra887hjyg502tvzn1m,M. Edwards,Defender,47,27.0,15.0,12.0,20.0,96.0,,7.0,128.0,,84.0,41.0,43.0,2.0,214.0,8.0,,20.0,,27.0,24.0,3.0,57.0,26.0,31.0,,10.0,10.0,,315.0,687.0,,2.0,56.0,19.0,6.0,58.0,76.0,14.0,8.0,6.0,7.0,7.0,5.0,27.0,605.0,255.0,371.0,592.0,7.0,11.0,,10.0,65.0,1209.0,41.0,14.0,11.0,126.0,701.0,619.0,18.0,8.0,82.0,940.0,14.0,14.0,13.0,25.0,67.0,29.0,57.0,3.0,0.0,,,,3.0,1.0,,,,,,,8.0,,,,,,,1.0,2.0,1.0,,2.0,,6.0,3.0,1.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Atlanta United FC,9zuk40rppwiyzn980bw7z1v1m,A. Fortune,Midfielder,35,16.0,10.0,6.0,15.0,92.0,2.0,2.0,104.0,,87.0,36.0,51.0,,124.0,10.0,,15.0,,16.0,15.0,1.0,71.0,26.0,45.0,,10.0,14.0,,102.0,427.0,,3.0,56.0,17.0,8.0,36.0,131.0,8.0,4.0,7.0,2.0,2.0,2.0,22.0,374.0,236.0,161.0,373.0,5.0,16.0,,1.0,10.0,781.0,13.0,18.0,16.0,76.0,449.0,395.0,21.0,14.0,54.0,587.0,3.0,3.0,5.0,12.0,48.0,9.0,42.0,4.0,0.0,,,,5.0,,1.0,1.0,1.0,,,,9.0,1.0,,1.0,,,,,2.0,3.0,,8.0,9.0,5.0,1.0,,1.0,5.0,,4.0,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Atlanta United FC,977s1fxwxwxqbged7jln0nka2,Leo Afonso,Forward,13,3.0,3.0,,6.0,13.0,1.0,,16.0,,26.0,18.0,8.0,19.0,9.0,,,6.0,,6.0,5.0,1.0,23.0,15.0,8.0,,10.0,2.0,,16.0,46.0,,,6.0,3.0,3.0,2.0,9.0,2.0,2.0,4.0,,,1.0,1.0,32.0,22.0,11.0,32.0,5.0,1.0,,1.0,6.0,163.0,2.0,5.0,1.0,31.0,47.0,33.0,6.0,5.0,14.0,93.0,1.0,1.0,,2.0,8.0,7.0,12.0,1.0,0.0,,1.0,,2.0,,,,,,,,3.0,,,1.0,,,,,,2.0,,1.0,1.0,8.0,1.0,1.0,,2.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Atlanta United FC,ax2y5fvc4dzwn4qkxrfutapsk,A. Gordon,Forward,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Atlanta United FC,4tz64bm0vbosads0bbsw7n5xx,S. Gregersen,Defender,5,39.0,14.0,25.0,18.0,28.0,,7.0,209.0,2.0,126.0,51.0,75.0,19.0,328.0,8.0,1.0,18.0,1.0,25.0,25.0,,87.0,37.0,50.0,,10.0,24.0,1.0,288.0,806.0,,3.0,129.0,7.0,5.0,55.0,178.0,18.0,11.0,,1.0,1.0,4.0,20.0,726.0,236.0,506.0,721.0,7.0,19.0,,,3.0,1374.0,72.0,26.0,23.0,96.0,822.0,741.0,26.0,8.0,81.0,1023.0,1.0,1.0,24.0,48.0,57.0,25.0,33.0,3.0,0.0,1.0,,,,1.0,,,,,,,3.0,,,,,,,,5.0,,,3.0,,3.0,1.0,2.0,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2025,Atlanta United FC,26r7731d42flwc6ikxb90jxlh,B. Guzan,Goalkeeper,1,5.0,1.0,4.0,26.0,,,,97.0,2.0,8.0,2.0,6.0,,365.0,,271.0,26.0,182.0,49.0,44.0,5.0,3.0,1.0,2.0,,10.0,,,181.0,459.0,,6.0,50.0,1.0,,201.0,177.0,26.0,,,,,26.0,146.0,365.0,67.0,491.0,412.0,,,,,,2340.0,19.0,,4.0,171.0,723.0,558.0,,,165.0,970.0,,,96.0,161.0,123.0,42.0,4.0,1.0,0.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,1.0,34.0,2.0,6.0,9.0,86.0,55.0,30.0,23.0,3.0,,,,,,,,,,,,,,
