temporada,link,liga_url,cod_liga,folder,url_match,url_standings
2025/2026,https://www.scoresway.com/en_GB/soccer/liga-mx-2025-2026/aegyls91smdw9kipjgbsu8tn8/fixtures,liga-mx-2025-2026,aegyls91smdw9kipjgbsu8tn8,Mexico_Liga_MX,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=aegyls91smdw9kipjgbsu8tn8&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W32334f00474170387379c55f842d1fac4ce8938b5,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=aegyls91smdw9kipjgbsu8tn8&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W33338454ea6d3fe1b0f7bb5ecf12a12997189934a
2024/2025,https://www.scoresway.com/en_GB/soccer/liga-mx-2024-2025/dlxyh3nrdtg02p9ohd5gn6bdg/fixtures,liga-mx-2024-2025,dlxyh3nrdtg02p9ohd5gn6bdg,Mexico_Liga_MX,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dlxyh3nrdtg02p9ohd5gn6bdg&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3c9f29d8098f6797d0e06ff89c8efbcccaaf2e08f,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=dlxyh3nrdtg02p9ohd5gn6bdg&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d180e6542b6178df9418cc539d1f730aabb61c1d
2023/2024,https://www.scoresway.com/en_GB/soccer/liga-mx-2023-2024/cgr8k7g0pwtlbzca75gxq1g5w/results,liga-mx-2023-2024,cgr8k7g0pwtlbzca75gxq1g5w,Mexico_Liga_MX,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=cgr8k7g0pwtlbzca75gxq1g5w&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3210a4b48f21575d9e68a666093d0110337f2f9e2,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=cgr8k7g0pwtlbzca75gxq1g5w&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W327bf22d7c0cc3186ee50d7264e541e65430d9e64
2022/2023,https://www.scoresway.com/en_GB/soccer/liga-mx-2022-2023/ei37yy9qltzgkbd3c15hq1d04/results,liga-mx-2022-2023,ei37yy9qltzgkbd3c15hq1d04,Mexico_Liga_MX,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=ei37yy9qltzgkbd3c15hq1d04&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3d458781107badc9a3fc5e6355a914cd7cf733dd7,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=ei37yy9qltzgkbd3c15hq1d04&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W37ace10641bfc46f99110de8ddd0a49dd78efa188
2021/2022,https://www.scoresway.com/en_GB/soccer/liga-mx-2021-2022/c7dysamsobl3ynh41beu7kems/results,liga-mx-2021-2022,c7dysamsobl3ynh41beu7kems,Mexico_Liga_MX,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=c7dysamsobl3ynh41beu7kems&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W354e718356cf40d16e803b84fb280ffe3319fb7eb,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=c7dysamsobl3ynh41beu7kems&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W31ffd9d05f80e59f5ac5de1f072a7f0cbe79e65c7
2020/2021,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/results,liga-mx-2020-2021,hpgk8o0q36q57zrbigeuilbe,Mexico_Liga_MX,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=hpgk8o0q36q57zrbigeuilbe&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3c133d367dce3c13d526d07a7224aa12061c6e586,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=hpgk8o0q36q57zrbigeuilbe&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3c7503e2689a45efeba3ed42aaed9b7de4ecd7a58
2019/2020,https://www.scoresway.com/en_GB/soccer/liga-mx-2019-2020/ac6pswlr5x7tdt4o3jpl1bhii/results,liga-mx-2019-2020,ac6pswlr5x7tdt4o3jpl1bhii,Mexico_Liga_MX,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=ac6pswlr5x7tdt4o3jpl1bhii&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W374e6a8b6eb1f71a4efa6a1049ed5d847f897cae7,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=ac6pswlr5x7tdt4o3jpl1bhii&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3bf31c21e2a240e6411884c4ad70514859c050a2e
2018/2019,https://www.scoresway.com/en_GB/soccer/liga-mx-2018-2019/5g3vxtw01zsym41hnm497x84q/results,liga-mx-2018-2019,5g3vxtw01zsym41hnm497x84q,Mexico_Liga_MX,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5g3vxtw01zsym41hnm497x84q&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W30fcbd836700428769e5603335a1a8f657acf801a,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5g3vxtw01zsym41hnm497x84q&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W353119c744aabcb4d929cd439c0ab7c8eb4c9ef75
2017/2018,https://www.scoresway.com/en_GB/soccer/liga-mx-2017-2018/aa2plb8b60myju8s8yuzom6zt/results,liga-mx-2017-2018,aa2plb8b60myju8s8yuzom6zt,Mexico_Liga_MX,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=aa2plb8b60myju8s8yuzom6zt&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W30c4c8b4ef8f66c2650dbc34eae2c5fad564c7ba9,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=aa2plb8b60myju8s8yuzom6zt&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W320f70f8ca786e352107cdaa016d81337021bb1bf
2016/2017,https://www.scoresway.com/en_GB/soccer/liga-mx-2016-2017/9vc300fnxeng9to0wtax0c6p5/results,liga-mx-2016-2017,9vc300fnxeng9to0wtax0c6p5,Mexico_Liga_MX,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=9vc300fnxeng9to0wtax0c6p5&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3c73feae583aa2c6f614c7b79fe463f786680aff7,https://api.performfeeds.com/soccerdata/standings/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=9vc300fnxeng9to0wtax0c6p5&live=yes&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3aec0cb7b733312c2c018af7abcb5ada282603593
