temporada,link,liga_url,cod_liga,folder
2025/2026,https://www.scoresway.com/en_GB/soccer/liga-mx-2025-2026/aegyls91smdw9kipjgbsu8tn8/fixtures,liga-mx-2025-2026,aegyls91smdw9kipjgbsu8tn8,Mexico_Liga_MX
2024/2025,https://www.scoresway.com/en_GB/soccer/liga-mx-2024-2025/dlxyh3nrdtg02p9ohd5gn6bdg/fixtures,liga-mx-2024-2025,dlxyh3nrdtg02p9ohd5gn6bdg,Mexico_Liga_MX
2023/2024,https://www.scoresway.com/en_GB/soccer/liga-mx-2023-2024/cgr8k7g0pwtlbzca75gxq1g5w/results,liga-mx-2023-2024,cgr8k7g0pwtlbzca75gxq1g5w,Mexico_Liga_MX
2022/2023,https://www.scoresway.com/en_GB/soccer/liga-mx-2022-2023/ei37yy9qltzgkbd3c15hq1d04/results,liga-mx-2022-2023,ei37yy9qltzgkbd3c15hq1d04,Mexico_Liga_MX
2021/2022,https://www.scoresway.com/en_GB/soccer/liga-mx-2021-2022/c7dysamsobl3ynh41beu7kems/results,liga-mx-2021-2022,c7dysamsobl3ynh41beu7kems,Mexico_Liga_MX
2020/2021,https://www.scoresway.com/en_GB/soccer/liga-mx-2020-2021/hpgk8o0q36q57zrbigeuilbe/results,liga-mx-2020-2021,hpgk8o0q36q57zrbigeuilbe,Mexico_Liga_MX
2019/2020,https://www.scoresway.com/en_GB/soccer/liga-mx-2019-2020/ac6pswlr5x7tdt4o3jpl1bhii/results,liga-mx-2019-2020,ac6pswlr5x7tdt4o3jpl1bhii,Mexico_Liga_MX
2018/2019,https://www.scoresway.com/en_GB/soccer/liga-mx-2018-2019/5g3vxtw01zsym41hnm497x84q/results,liga-mx-2018-2019,5g3vxtw01zsym41hnm497x84q,Mexico_Liga_MX
2017/2018,https://www.scoresway.com/en_GB/soccer/liga-mx-2017-2018/aa2plb8b60myju8s8yuzom6zt/results,liga-mx-2017-2018,aa2plb8b60myju8s8yuzom6zt,Mexico_Liga_MX
2016/2017,https://www.scoresway.com/en_GB/soccer/liga-mx-2016-2017/9vc300fnxeng9to0wtax0c6p5/results,liga-mx-2016-2017,9vc300fnxeng9to0wtax0c6p5,Mexico_Liga_MX
2015/2016,https://www.scoresway.com/en_GB/soccer/liga-mx-2015-2016/9q6l70c3yret5j3ddkjzr9z3d/results,liga-mx-2015-2016,9q6l70c3yret5j3ddkjzr9z3d,Mexico_Liga_MX
2014/2015,https://www.scoresway.com/en_GB/soccer/liga-mx-2014-2015/alxinhaimxa8ks7lohc5m16i8/results,liga-mx-2014-2015,alxinhaimxa8ks7lohc5m16i8,Mexico_Liga_MX
