liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Penalties Taken,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Penalty Goals,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Penalties Conceded,Own Goal Scored,Clearances Off the Line,Headed Goals,Total Red Cards,Straight Red Cards,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Foul Won Penalty,Set Pieces Goals,Penalties Saved,Saves from Penalty,Last Man Tackle,Red Cards - 2nd Yellow,Penalties Off Target,Other Goals,Second Goal Assists,Penalty Goals Conceded,Times Tackled,Home Goals,Away Goals,Winning Goal
USA_MLS,2016,Orlando City SC,bzwwxb4t5m2rtbxwubppay3md,J. Aja,Defender,18,,,830.0,1.0,1.0,,14.0,,,379.0,2.0,23.0,,93.0,16.0,4.0,32.0,3.0,7.0,1.0,19.0,89.0,238.0,19.0,33.0,396.0,1.0,16.0,3.0,279.0,13.0,8.0,65.0,,53.0,,39.0,1.0,,44.0,9.0,3.0,26.0,532.0,,10.0,8.0,2.0,55.0,,178.0,9.0,86.0,54.0,1.0,,52.0,,10.0,25.0,1.0,99.0,46.0,14.0,,,10.0,,1.0,,,26.0,142.0,,,317.0,331.0,44.0,2.0,,,,,14.0,45.0,5.0,24.0,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
USA_MLS,2016,Orlando City SC,1afsq18lr7xfdzwhtkmibqsb9,K. Alston,Defender,12,35.0,,1989.0,114.0,3.0,,10.0,,,812.0,9.0,203.0,9.0,344.0,31.0,3.0,65.0,8.0,2.0,3.0,18.0,300.0,338.0,40.0,84.0,822.0,,23.0,7.0,640.0,39.0,3.0,149.0,,31.0,14.0,139.0,1.0,69.0,76.0,21.0,21.0,45.0,1288.0,,24.0,9.0,10.0,110.0,,294.0,21.0,33.0,72.0,1.0,,33.0,9.0,16.0,10.0,8.0,138.0,41.0,42.0,,35.0,24.0,,,,,48.0,294.0,,,664.0,673.0,28.0,3.0,,,,,34.0,66.0,6.0,37.0,62.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Orlando City SC,f0fqjc9ziamgluwg9vi45d2vp,M. Ambrose,Defender,45,15.0,,405.0,42.0,1.0,,1.0,,,183.0,2.0,34.0,2.0,83.0,6.0,1.0,11.0,,,,5.0,72.0,58.0,3.0,35.0,185.0,,4.0,1.0,132.0,7.0,,46.0,,68.0,3.0,39.0,,3.0,13.0,4.0,1.0,22.0,286.0,,5.0,,2.0,18.0,,81.0,,28.0,13.0,,,7.0,2.0,4.0,5.0,1.0,28.0,12.0,7.0,,15.0,5.0,,,,,10.0,2.0,,,137.0,139.0,10.0,2.0,,,,,2.0,15.0,1.0,6.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Orlando City SC,dg5dg94rk3iguuwa55ca9or8p,H. Barry,Midfielder,13,6.0,,293.0,,4.0,1.0,,,,57.0,4.0,15.0,,28.0,,,1.0,2.0,1.0,,2.0,48.0,16.0,3.0,12.0,57.0,4.0,4.0,5.0,44.0,8.0,1.0,13.0,,8.0,1.0,16.0,,,8.0,4.0,4.0,3.0,117.0,,8.0,2.0,1.0,40.0,,18.0,13.0,23.0,14.0,,,,,4.0,2.0,12.0,44.0,4.0,8.0,,6.0,8.0,,,,,28.0,16.0,,,44.0,44.0,4.0,,,,,,3.0,30.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Orlando City SC,c749lw8agh1uzwt0i70gw2hg5,J. Bendik,Goalkeeper,1,,,3060.0,3.0,,,72.0,,,334.0,,,,130.0,155.0,2.0,335.0,,,4.0,,342.0,336.0,2.0,2.0,803.0,,1.0,,242.0,56.0,,337.0,,98.0,1.0,288.0,,,303.0,34.0,2.0,49.0,1157.0,,34.0,1.0,,7.0,,586.0,,57.0,11.0,,,224.0,,3.0,7.0,,14.0,25.0,60.0,,,34.0,,,,,3.0,119.0,,,219.0,466.0,7.0,5.0,,,,,2.0,3.0,,10.0,4.0,1.0,,,,,,116.0,317.0,,17.0,6.0,5.0,15.0,30.0,61.0,84.0,7.0,6.0,134.0,,,2.0,2.0,,,,,,,,,,
USA_MLS,2016,Orlando City SC,44rqs160h546tu7cc02bf8tzp,L. Boden,Midfielder,14,47.0,1.0,1613.0,138.0,1.0,,12.0,,,940.0,9.0,154.0,23.0,434.0,36.0,2.0,87.0,11.0,3.0,4.0,7.0,335.0,368.0,21.0,102.0,968.0,4.0,19.0,7.0,725.0,31.0,3.0,189.0,9.0,369.0,22.0,210.0,2.0,13.0,82.0,19.0,26.0,56.0,1418.0,35.0,20.0,9.0,4.0,96.0,,417.0,14.0,60.0,49.0,,,54.0,12.0,10.0,11.0,16.0,114.0,33.0,35.0,,77.0,20.0,24.0,1.0,,2.0,58.0,28.0,,,753.0,779.0,18.0,2.0,,2.0,,1.0,13.0,65.0,8.0,35.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Orlando City SC,61fjyclc80jqcemkibgaffvmd,S. Carrasco,Midfielder,5,12.0,,2001.0,6.0,10.0,4.0,3.0,,,1151.0,4.0,142.0,6.0,518.0,21.0,5.0,67.0,14.0,8.0,3.0,14.0,247.0,494.0,61.0,122.0,1195.0,4.0,37.0,,903.0,41.0,11.0,189.0,2.0,313.0,16.0,166.0,1.0,1.0,124.0,21.0,27.0,36.0,1500.0,3.0,31.0,22.0,12.0,140.0,,379.0,6.0,31.0,85.0,3.0,1.0,103.0,3.0,7.0,17.0,2.0,171.0,36.0,44.0,,13.0,31.0,1.0,4.0,,,72.0,361.0,,,970.0,1006.0,31.0,1.0,,1.0,,4.0,38.0,86.0,23.0,57.0,68.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Orlando City SC,4i0iq31lu0vvjfgk8kqyec72t,D. Cerén,Midfielder,17,17.0,1.0,2114.0,10.0,5.0,5.0,2.0,,,1237.0,6.0,121.0,5.0,579.0,12.0,4.0,45.0,25.0,20.0,3.0,18.0,312.0,499.0,60.0,159.0,1277.0,3.0,41.0,19.0,920.0,35.0,23.0,204.0,,369.0,15.0,161.0,7.0,,178.0,23.0,43.0,67.0,1663.0,1.0,28.0,29.0,3.0,202.0,,375.0,13.0,72.0,120.0,3.0,3.0,153.0,3.0,29.0,13.0,6.0,233.0,26.0,38.0,,24.0,28.0,1.0,2.0,,,95.0,412.0,,,1038.0,1073.0,31.0,4.0,,,,1.0,45.0,113.0,15.0,50.0,107.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Orlando City SC,6p163a141a95x53qat9wers2d,A. Collin,Defender,78,1.0,3.0,2247.0,2.0,3.0,,30.0,,,996.0,4.0,51.0,,275.0,93.0,7.0,151.0,9.0,4.0,5.0,53.0,336.0,488.0,40.0,133.0,1047.0,2.0,37.0,,661.0,26.0,7.0,284.0,,228.0,4.0,205.0,3.0,,82.0,24.0,17.0,80.0,1454.0,,27.0,13.0,19.0,105.0,,565.0,26.0,53.0,152.0,3.0,,102.0,,20.0,96.0,1.0,254.0,143.0,31.0,,1.0,27.0,,1.0,,1.0,49.0,203.0,,,725.0,763.0,149.0,8.0,,2.0,,1.0,23.0,102.0,17.0,107.0,56.0,,,,,1.0,1.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_MLS,2016,Orlando City SC,bjdoqj8tsm1wlxiqaavduwo9h,C. Donovan,Defender,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
