liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Unsuccessful Dribbles,Duels,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Foul Won Penalty,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Ground Duels lost,Leftside Passes,Goals from Inside Box,Penalties Taken,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Goal Assists,Penalty Goals,Tackles Won,Duels lost,Tackles Lost,Ground Duels won,Offsides,Successful Lay-offs,Unsuccessful Long Passes,Clean Sheets,Interceptions,Unsuccessful lay-offs,Successful Launches,Unsuccessful Launches,Blocks,Aerial Duels won,Total Clearances,Penalties Conceded,Saves Made,GK Successful Distribution,Punches,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Assists (Intentional),Through balls,Clearances Off the Line,Headed Goals,Crosses not Claimed,Other Goals
USA_US_Open_Cup,2016,Fort Lauderdale Strikers,5hlnohd9bf8t96pkptb3t3xed,G. Agbossoumonde,Defender,44.0,4.0,,1.0,1.0,,1.0,,,,430.0,,,55.0,,2.0,,12.0,1.0,,,,11.0,38.0,6.0,6.0,59.0,2.0,1.0,45.0,3.0,,9.0,,16.0,,6.0,,,8.0,4.0,1.0,3.0,92.0,,4.0,2.0,15.0,,24.0,,10.0,12.0,,,5.0,,4.0,,16.0,5.0,,,,,,,4.0,17.0,,,46.0,50.0,1.0,,,6.0,4.0,,11.0,,1.0,3.0,1.0,5.0,,,1.0,5.0,1.0,7.0,,,,,,,,,,,,,,,2.0,,,
USA_US_Open_Cup,2016,Fort Lauderdale Strikers,8ky9v6cbmusfkwewdidespadx,J. Alexandre,Midfielder,18.0,3.0,,,,,,,,1.0,330.0,,,84.0,,12.0,,24.0,5.0,1.0,,1.0,19.0,52.0,5.0,3.0,87.0,6.0,,67.0,3.0,1.0,11.0,,23.0,,8.0,,,12.0,3.0,6.0,4.0,110.0,,3.0,4.0,21.0,,20.0,,10.0,6.0,,,9.0,,,1.0,23.0,4.0,,1.0,,,1.0,,16.0,32.0,,,73.0,76.0,2.0,,,3.0,17.0,2.0,5.0,,,8.0,1.0,3.0,,2.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Fort Lauderdale Strikers,8auz3q5phubnh3tfs7xdjxfpx,J. Angulo,Forward,19.0,4.0,1.0,,,,,,3.0,2.0,324.0,,,35.0,1.0,10.0,,18.0,1.0,,,,19.0,10.0,,9.0,37.0,1.0,,28.0,3.0,2.0,9.0,,13.0,,10.0,2.0,,3.0,4.0,2.0,1.0,55.0,,4.0,,5.0,,6.0,2.0,10.0,2.0,2.0,,,,,2.0,7.0,5.0,,2.0,,,,,5.0,8.0,,,26.0,28.0,2.0,,,,5.0,,,1.0,,,,2.0,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Fort Lauderdale Strikers,dk2os90gh98ssokt3wey4rpat,B. Arguez,Midfielder,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Fort Lauderdale Strikers,eb3mlq9ljfuw8ugqlamroc4b9,N. Attakora,Defender,5.0,1.0,,,,,,,1.0,,28.0,1.0,,3.0,,2.0,,2.0,,,,,3.0,2.0,,,4.0,,,4.0,1.0,,,,,,,,1.0,,1.0,,,10.0,,1.0,,2.0,,1.0,,10.0,3.0,,,,,1.0,,5.0,1.0,,,,,,,2.0,1.0,,,3.0,4.0,3.0,,,,2.0,,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Fort Lauderdale Strikers,ecgqtwh6pezg06hr0tifn0mhh,C. Blandon,Midfielder,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Fort Lauderdale Strikers,1wcq33p7w71u1mkdk349gicph,J. Corrales,Defender,13.0,1.0,,,,,,,,1.0,90.0,6.0,,40.0,,4.0,1.0,11.0,,,,,19.0,23.0,,10.0,43.0,3.0,1.0,32.0,3.0,,10.0,,21.0,1.0,8.0,,1.0,5.0,1.0,1.0,3.0,66.0,,1.0,2.0,12.0,,17.0,,10.0,4.0,,,1.0,1.0,3.0,1.0,12.0,3.0,,1.0,,,,,8.0,1.0,,,30.0,33.0,,,,,8.0,,4.0,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Fort Lauderdale Strikers,7b78i4ej3y1hbzmwjxawoen6d,Bruno Cardoso,Goalkeeper,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Fort Lauderdale Strikers,2054x8z63k74or3inr9sl0bu1,L. Fernandes,Midfielder,16.0,4.0,,1.0,,,,,,2.0,450.0,,,95.0,,14.0,,43.0,3.0,,,,21.0,42.0,10.0,10.0,98.0,3.0,2.0,81.0,3.0,,13.0,,24.0,6.0,12.0,1.0,,10.0,4.0,3.0,3.0,127.0,,4.0,3.0,22.0,,28.0,2.0,10.0,16.0,,,4.0,,2.0,1.0,24.0,5.0,,2.0,,,,,8.0,32.0,,,82.0,85.0,2.0,,,7.0,8.0,3.0,14.0,,,3.0,1.0,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2016,Fort Lauderdale Strikers,8y9f09qur64s6dfxaxyoyf45x,G. Gentile,Forward,92.0,3.0,,,,,,2.0,,1.0,178.0,,,7.0,,2.0,,5.0,1.0,,,,4.0,1.0,,1.0,7.0,,,6.0,,,1.0,,1.0,,2.0,,,4.0,1.0,1.0,,11.0,,3.0,,1.0,,1.0,,10.0,1.0,,,,,,,2.0,1.0,,1.0,,,,,1.0,3.0,,,6.0,6.0,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
