liga,temporada,equipo,id,nombre,posicion,dorsal,Times Tackled,Aerial Duels won,Aerial Duels,Aerial Duels lost,Rightside Passes,Successful Passes Opposition Half,Unsuccessful Crosses open play,Right Foot Goals,Corners Taken (incl short corners),Goals Conceded,Unsuccessful Crosses & Corners,Goals Conceded Inside Box,Ground Duels,Appearances,Games Played,Starts,Total Fouls Won,Total Tackles,Tackles Won,Assists (Intentional),Foul Attempted Tackle,Index,Tackles Lost,Clean Sheets,Total Passes,Goals Conceded Outside Box,Backward Passes,Goals,Interceptions,Ground Duels lost,Yellow Cards,Shots Off Target (inc woodwork),Ground Duels won,Duels lost,Duels,Offsides,Successful Open Play Passes,Total Touches In Opposition Box,Penalties Conceded,Leftside Passes,Throw Ins to Opposition Player,Unsuccessful Launches,Successful Passes Own Half,Successful Crosses open play,PutThrough/Blocked Distribution,Blocks,Handballs conceded,Successful Long Passes,Unsuccessful Passes Own Half,Successful Dribbles,Total Clearances,PutThrough/Blocked Distribution Won,Unsuccessful Long Passes,Unsuccessful Short Passes,Goal Assists,Shots On Target ( inc goals ),Time Played,Corners Won,Recoveries,Throw Ins to Own Player,Key Passes (Attempt Assists),Left Foot Goals,Successful Crosses & Corners,Penalty Goals Conceded,Total Shots,Unsuccessful Passes Opposition Half,Unsuccessful Dribbles,Forward Passes,Touches,Duels won,Hit Woodwork,Total Fouls Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Blocked Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Successful Launches,Successful Lay-offs,Goals from Inside Box,Open Play Passes,Total Losses Of Possession,Home Goals,Away Goals,Winning Goal,Clearances Off the Line,Headed Goals,Red Cards - 2nd Yellow,Substitute Off,Total Red Cards,Substitute On,Through balls,GK Unsuccessful Distribution,GK Successful Distribution,Goals from Outside Box,Second Goal Assists,Unsuccessful Corners into Box,Successful Corners into Box,Straight Red Cards,Attempts from Set Pieces,Foul Won Penalty,Unsuccessful lay-offs,Saves Made from Outside Box,Saves Made from Inside Box,Saves made - parried,Penalties Faced,Saves Made,Penalties Saved,Catches,Punches,Saves made - caught,Goalkeeper Smother,Saves from Penalty,Drops,Penalty Goals,Penalties Taken,Own Goal Scored,Set Pieces Goals,Other Goals,Penalties Off Target,Crosses not Claimed,Last Man Tackle
Canada_Canadian_Premier_League,2021,Pacific FC,7vn8g8wlm99npne5i8fwv3vft,K. Dada-Luke,Defender,12,36.0,14.0,28.0,14.0,14.0,185.0,23.0,,1.0,13.0,23.0,13.0,144.0,21.0,21.0,10.0,25.0,30.0,17.0,2.0,7.0,10.0,13.0,,395.0,,111.0,,20.0,58.0,2.0,1.0,86.0,72.0,172.0,,312.0,24.0,,163.0,16.0,4.0,141.0,7.0,17.0,1.0,1.0,14.0,16.0,32.0,17.0,12.0,12.0,64.0,2.0,1.0,971.0,8.0,63.0,69.0,9.0,,7.0,2.0,2.0,83.0,17.0,107.0,754.0,100.0,,11.0,76.0,1.0,319.0,305.0,2.0,,,388.0,192.0,0.0,0.0,0.0,,,,5.0,,11.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,4ezd4d37kbb1249qd7bvi0dzp,J. Dixon,Midfielder,22,28.0,25.0,44.0,19.0,178.0,379.0,4.0,,,24.0,4.0,21.0,189.0,26.0,26.0,24.0,13.0,52.0,31.0,,30.0,10.0,21.0,2.0,865.0,3.0,197.0,,9.0,108.0,6.0,3.0,81.0,127.0,233.0,,731.0,11.0,,275.0,,12.0,358.0,,24.0,9.0,3.0,65.0,32.0,16.0,32.0,12.0,44.0,84.0,,1.0,1927.0,2.0,117.0,6.0,19.0,,,1.0,4.0,100.0,8.0,215.0,1118.0,106.0,,56.0,128.0,2.0,737.0,672.0,1.0,8.0,,858.0,189.0,0.0,0.0,0.0,,,1.0,13.0,1.0,2.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,bfjcp5933vk1i5edea8un89re,Gianni dos Santos,Forward,24,15.0,,11.0,11.0,14.0,34.0,13.0,1.0,6.0,8.0,17.0,8.0,45.0,17.0,17.0,3.0,11.0,6.0,6.0,2.0,4.0,10.0,,,46.0,,21.0,1.0,,28.0,2.0,4.0,17.0,39.0,56.0,4.0,30.0,16.0,,6.0,1.0,,10.0,3.0,4.0,,,3.0,,,2.0,1.0,2.0,9.0,2.0,4.0,384.0,9.0,11.0,2.0,8.0,,9.0,2.0,8.0,28.0,9.0,5.0,146.0,17.0,,8.0,11.0,3.0,35.0,32.0,1.0,2.0,1.0,41.0,62.0,1.0,0.0,0.0,,,,3.0,2.0,14.0,,,,,,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,am6blpv9h0wzsn8rjv1q0zpp1,A. Díaz,Forward,9,42.0,28.0,62.0,34.0,87.0,218.0,8.0,6.0,1.0,28.0,8.0,23.0,107.0,28.0,28.0,23.0,14.0,6.0,2.0,3.0,16.0,10.0,4.0,1.0,449.0,5.0,163.0,10.0,,71.0,1.0,20.0,36.0,105.0,169.0,18.0,274.0,76.0,,95.0,1.0,2.0,107.0,2.0,28.0,2.0,2.0,5.0,18.0,17.0,7.0,8.0,11.0,115.0,4.0,20.0,2005.0,12.0,63.0,3.0,18.0,1.0,2.0,3.0,40.0,116.0,11.0,104.0,705.0,64.0,2.0,24.0,126.0,11.0,323.0,318.0,,22.0,10.0,400.0,246.0,5.0,5.0,3.0,,3.0,,17.0,,5.0,3.0,,,,,,,,1.0,1.0,5.0,,,,,,,,,,,,,2.0,2.0,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,7whdjeubz6xgvlxtl91z93idx,J. Haynes,Defender,3,16.0,29.0,57.0,28.0,401.0,348.0,23.0,,,25.0,23.0,20.0,154.0,26.0,26.0,20.0,26.0,50.0,37.0,1.0,16.0,10.0,13.0,5.0,1057.0,5.0,146.0,,25.0,73.0,4.0,1.0,81.0,101.0,211.0,,778.0,3.0,3.0,22.0,26.0,48.0,463.0,8.0,52.0,1.0,5.0,74.0,89.0,6.0,36.0,19.0,113.0,141.0,1.0,1.0,1938.0,1.0,144.0,181.0,5.0,,8.0,3.0,2.0,188.0,10.0,488.0,1553.0,110.0,,34.0,254.0,1.0,803.0,729.0,10.0,1.0,,1026.0,350.0,0.0,0.0,0.0,,,,2.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,7i19hu44byapft1lpm3okbb3d,J. Heard,Forward,11,40.0,17.0,45.0,28.0,96.0,219.0,44.0,2.0,,18.0,44.0,14.0,169.0,26.0,26.0,18.0,42.0,24.0,12.0,1.0,20.0,10.0,12.0,,383.0,4.0,179.0,4.0,13.0,90.0,10.0,8.0,79.0,118.0,214.0,12.0,289.0,62.0,,29.0,2.0,10.0,84.0,10.0,35.0,2.0,3.0,7.0,19.0,14.0,6.0,12.0,16.0,74.0,1.0,9.0,1624.0,19.0,70.0,11.0,15.0,2.0,10.0,1.0,17.0,115.0,22.0,79.0,730.0,96.0,,36.0,90.0,8.0,293.0,286.0,2.0,4.0,3.0,379.0,242.0,2.0,2.0,1.0,,,,16.0,,8.0,2.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,882vd5rnobx3xba2sb99k49gp,A. Hojabrpour,Midfielder,21,9.0,19.0,31.0,12.0,359.0,404.0,4.0,1.0,,23.0,5.0,19.0,148.0,26.0,26.0,20.0,17.0,47.0,29.0,1.0,20.0,10.0,18.0,2.0,1072.0,4.0,166.0,2.0,39.0,67.0,9.0,10.0,81.0,79.0,179.0,,886.0,7.0,,248.0,,15.0,512.0,1.0,25.0,6.0,,99.0,40.0,18.0,38.0,18.0,56.0,101.0,2.0,3.0,1899.0,1.0,125.0,1.0,6.0,,1.0,3.0,13.0,122.0,5.0,299.0,1342.0,100.0,,29.0,157.0,1.0,915.0,816.0,7.0,3.0,1.0,1043.0,198.0,0.0,2.0,1.0,,1.0,,6.0,,6.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,exgvhzo1zgo07og3rsnjv13v9,C. Irving,Goalkeeper,13,,9.0,10.0,1.0,172.0,75.0,,,,29.0,,25.0,4.0,27.0,27.0,27.0,3.0,2.0,2.0,,,10.0,,8.0,824.0,4.0,,,,,,,4.0,1.0,14.0,,412.0,,,241.0,,77.0,510.0,,,,1.0,188.0,51.0,,27.0,,234.0,5.0,,,2446.0,,234.0,,,,,4.0,,188.0,,411.0,1082.0,13.0,,1.0,239.0,,585.0,397.0,31.0,,,531.0,245.0,0.0,0.0,0.0,,,,,1.0,,,65.0,250.0,,,,,1.0,,,,24.0,47.0,16.0,4.0,71.0,,19.0,10.0,3.0,2.0,,4.0,,,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,1khouc2v4shso6hvmcotmhs2y,C. Lee,Defender,17,3.0,1.0,2.0,1.0,70.0,58.0,3.0,,6.0,2.0,8.0,2.0,16.0,3.0,3.0,3.0,,7.0,3.0,,2.0,10.0,4.0,1.0,176.0,,44.0,,5.0,9.0,1.0,,7.0,10.0,18.0,,140.0,,,4.0,3.0,3.0,88.0,1.0,5.0,,,5.0,5.0,,5.0,3.0,9.0,23.0,,,237.0,,19.0,21.0,2.0,,2.0,,,35.0,1.0,58.0,240.0,8.0,,3.0,32.0,,144.0,139.0,,,,170.0,47.0,0.0,0.0,0.0,,,,2.0,,,,,,,,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,9rwo2uejpeqqkmy6lgacm0ley,L. MacNaughton,Defender,6,6.0,75.0,105.0,30.0,338.0,522.0,4.0,2.0,,30.0,4.0,25.0,83.0,26.0,26.0,26.0,18.0,21.0,10.0,,8.0,10.0,11.0,8.0,1931.0,5.0,100.0,2.0,49.0,37.0,8.0,12.0,46.0,67.0,188.0,2.0,1618.0,36.0,,740.0,,44.0,1140.0,2.0,10.0,17.0,,179.0,90.0,8.0,72.0,3.0,135.0,136.0,1.0,6.0,2340.0,9.0,177.0,11.0,9.0,,2.0,4.0,18.0,185.0,2.0,753.0,2209.0,121.0,1.0,22.0,271.0,6.0,1660.0,1481.0,22.0,,1.0,1880.0,295.0,1.0,1.0,0.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,br7fuyg4h8gseboweg8wjujft,T. Meilleur-Giguère,Defender,26,2.0,17.0,29.0,12.0,161.0,107.0,,,,8.0,,8.0,23.0,10.0,10.0,7.0,3.0,12.0,7.0,,,10.0,5.0,2.0,536.0,,18.0,,14.0,6.0,1.0,3.0,17.0,18.0,52.0,,440.0,8.0,,162.0,,27.0,340.0,,9.0,2.0,,59.0,26.0,3.0,34.0,7.0,59.0,30.0,,1.0,745.0,2.0,41.0,,1.0,,,1.0,4.0,63.0,2.0,195.0,635.0,34.0,,1.0,89.0,1.0,447.0,388.0,5.0,,,527.0,96.0,0.0,0.0,0.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,9n35t9hwq6el9tb7yg65qlyzu,M. Polisi,Midfielder,19,28.0,6.0,17.0,11.0,68.0,156.0,6.0,2.0,6.0,10.0,9.0,8.0,109.0,22.0,22.0,8.0,14.0,16.0,12.0,,8.0,10.0,4.0,1.0,305.0,2.0,74.0,3.0,5.0,62.0,3.0,3.0,47.0,73.0,126.0,,255.0,28.0,,88.0,,5.0,105.0,1.0,15.0,1.0,,17.0,13.0,17.0,4.0,11.0,10.0,37.0,1.0,5.0,746.0,7.0,34.0,,6.0,1.0,3.0,2.0,8.0,43.0,9.0,75.0,460.0,53.0,,18.0,47.0,3.0,258.0,241.0,2.0,3.0,3.0,302.0,109.0,3.0,0.0,1.0,,,,7.0,,14.0,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,368zrfhpvljc7rvzkl1v0x1bd,A. Samaké,Defender,5,2.0,45.0,84.0,39.0,604.0,392.0,,,,28.0,,24.0,81.0,25.0,25.0,25.0,13.0,35.0,22.0,,10.0,10.0,13.0,5.0,1651.0,4.0,48.0,,35.0,31.0,3.0,5.0,50.0,70.0,165.0,1.0,1437.0,17.0,,365.0,,37.0,1067.0,,15.0,13.0,1.0,150.0,71.0,2.0,61.0,8.0,93.0,99.0,1.0,2.0,2169.0,2.0,129.0,4.0,5.0,,,2.0,7.0,121.0,,634.0,1885.0,95.0,,25.0,192.0,3.0,1459.0,1309.0,6.0,,,1622.0,208.0,0.0,0.0,0.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0
Canada_Canadian_Premier_League,2021,Pacific FC,aisfml98z3uznfzhbopr5kmp5,M. Village,Goalkeeper,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,3ucemntfw84vk7op9z7wnf36d,N. Wirth,Goalkeeper,1,,,,,12.0,5.0,,,,4.0,,3.0,1.0,3.0,3.0,2.0,,,,,,10.0,,,40.0,1.0,,,,1.0,,,,1.0,1.0,,20.0,,,11.0,,3.0,27.0,,,,,7.0,3.0,,1.0,,7.0,1.0,,,193.0,,13.0,,,,,,,5.0,,17.0,55.0,,,,8.0,,32.0,25.0,1.0,,,26.0,8.0,0.0,0.0,0.0,,,,,,1.0,,,18.0,,,,,,,,,,3.0,,,3.0,,2.0,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Pacific FC,dryx6vgko76wuqqr4g9pjl4ru,S. Young,Midfielder,20,25.0,18.0,33.0,15.0,148.0,251.0,7.0,1.0,2.0,18.0,8.0,16.0,137.0,26.0,26.0,11.0,11.0,37.0,22.0,,19.0,10.0,15.0,1.0,623.0,2.0,99.0,1.0,21.0,77.0,4.0,7.0,60.0,92.0,170.0,1.0,514.0,32.0,,210.0,,7.0,274.0,1.0,31.0,3.0,4.0,49.0,29.0,12.0,13.0,11.0,21.0,78.0,,5.0,1104.0,6.0,89.0,3.0,8.0,,1.0,3.0,12.0,78.0,7.0,166.0,855.0,78.0,1.0,34.0,99.0,7.0,524.0,475.0,1.0,4.0,1.0,613.0,162.0,0.0,1.0,0.0,,,,5.0,,15.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
