equipo,link,logo,cod_equipo,cod_liga,liga,url_squad,url_matches_equipo,url_seasonstats
Anguilla Under 17,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/anguilla-under-17/828lw6dqmnzgzgcrmpplcv5rs,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=828lw6dqmnzgzgcrmpplcv5rs,828lw6dqmnzgzgcrmpplcv5rs,5itpxdo2avd9yxaqiu5taux2h,concacaf-u17-2017-panama,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=828lw6dqmnzgzgcrmpplcv5rs&tmcl=5itpxdo2avd9yxaqiu5taux2h&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W384c2e8885f3a9dc4dd206943c31f7fdf64a2a189,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=828lw6dqmnzgzgcrmpplcv5rs&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f7008d1edb004acd5df3196e53ad23d1939370d8,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=828lw6dqmnzgzgcrmpplcv5rs&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W33ac577058e09fa50b44a76e5178904e019026b1b
Antigua and Barbuda Under 17,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/antigua-and-barbuda-under-17/edhfqs8lzrhrql2ic8ro67c88,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=edhfqs8lzrhrql2ic8ro67c88,edhfqs8lzrhrql2ic8ro67c88,5itpxdo2avd9yxaqiu5taux2h,concacaf-u17-2017-panama,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=edhfqs8lzrhrql2ic8ro67c88&tmcl=5itpxdo2avd9yxaqiu5taux2h&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3b0d2f6d7c670d898c971a6320809b65f5b16b0eb,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=edhfqs8lzrhrql2ic8ro67c88&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W387d64c5d99a0b1184fafe88c79c6725b86e93ae7,
Aruba Under 17,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/aruba-under-17/10trfhuqssm7h91m62yytx602,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=10trfhuqssm7h91m62yytx602,10trfhuqssm7h91m62yytx602,5itpxdo2avd9yxaqiu5taux2h,concacaf-u17-2017-panama,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=10trfhuqssm7h91m62yytx602&tmcl=5itpxdo2avd9yxaqiu5taux2h&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3741649f7b46e17ce856a0bd3dcb93513abd20df1,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=10trfhuqssm7h91m62yytx602&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W33e47a2fbe48947be9171749c884b70db9e900384,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=10trfhuqssm7h91m62yytx602&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3fbff097a9a5abaeb3ccad0ef73109cacc04ebb49
Bahamas Under 17,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/bahamas-under-17/u4ph4nrbjnma2j4ov7pr1yul,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=u4ph4nrbjnma2j4ov7pr1yul,u4ph4nrbjnma2j4ov7pr1yul,5itpxdo2avd9yxaqiu5taux2h,concacaf-u17-2017-panama,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=u4ph4nrbjnma2j4ov7pr1yul&tmcl=5itpxdo2avd9yxaqiu5taux2h&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W35a755d64d7afea99e9f25b452f908079c004197a,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=u4ph4nrbjnma2j4ov7pr1yul&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W37b13ba35e4409ea59650c5ad64fe56c0c3458a0d,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=u4ph4nrbjnma2j4ov7pr1yul&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3e0f0d6a7e9ebee2f57a3ab979860386716982bcd
Barbados Under 17,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/barbados-under-17/24uhn0ncit2h8vm133uo787y6,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=24uhn0ncit2h8vm133uo787y6,24uhn0ncit2h8vm133uo787y6,5itpxdo2avd9yxaqiu5taux2h,concacaf-u17-2017-panama,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=24uhn0ncit2h8vm133uo787y6&tmcl=5itpxdo2avd9yxaqiu5taux2h&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W39df707dd63dc157c7ab14f9202138c8947ac142e,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=24uhn0ncit2h8vm133uo787y6&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W387ef00fba3e45c18b22b77e9aabf0220fc9762f4,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=24uhn0ncit2h8vm133uo787y6&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W348b8f8413c1ac57b3c63cae230ab608f4731c8e0
Belize Under 17,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/belize-under-17/e6ki7vd2nhmp6rjk45g2kfu0t,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=e6ki7vd2nhmp6rjk45g2kfu0t,e6ki7vd2nhmp6rjk45g2kfu0t,5itpxdo2avd9yxaqiu5taux2h,concacaf-u17-2017-panama,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=e6ki7vd2nhmp6rjk45g2kfu0t&tmcl=5itpxdo2avd9yxaqiu5taux2h&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W32872fc78efe40a30580c7a4c3ce3e601de9761a9,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=e6ki7vd2nhmp6rjk45g2kfu0t&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3a7aa6bd332528275443b31fe7933fdcd7778d756,
Bermuda  Under 17,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/bermuda-under-17/i6dzjdm6g3tj8l3bft5rdzks,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=i6dzjdm6g3tj8l3bft5rdzks,i6dzjdm6g3tj8l3bft5rdzks,5itpxdo2avd9yxaqiu5taux2h,concacaf-u17-2017-panama,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=i6dzjdm6g3tj8l3bft5rdzks&tmcl=5itpxdo2avd9yxaqiu5taux2h&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3e4f9a89c664e991d5c448b5e5d89144952dcd542,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=i6dzjdm6g3tj8l3bft5rdzks&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W320b8cd4f49dc1e04db3655c8c9480d2f961a861c,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=i6dzjdm6g3tj8l3bft5rdzks&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W39af2601b39192283208f647ae78861fec6495db5
British Virgin Islands Under 17,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/british-virgin-islands-under-17/2ghmh87cgkoouglnfmjbu956g,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=2ghmh87cgkoouglnfmjbu956g,2ghmh87cgkoouglnfmjbu956g,5itpxdo2avd9yxaqiu5taux2h,concacaf-u17-2017-panama,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=2ghmh87cgkoouglnfmjbu956g&tmcl=5itpxdo2avd9yxaqiu5taux2h&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W30883af2cf3900a5db0d7263c710ce12cac63205a,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=2ghmh87cgkoouglnfmjbu956g&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W342d99f82754325f253a3c88c6c4183dd33c8ea72,
Canada Under 17,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/canada-under-17/9ambie9e2cxqfzc71f90lz08c,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=9ambie9e2cxqfzc71f90lz08c,9ambie9e2cxqfzc71f90lz08c,5itpxdo2avd9yxaqiu5taux2h,concacaf-u17-2017-panama,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=9ambie9e2cxqfzc71f90lz08c&tmcl=5itpxdo2avd9yxaqiu5taux2h&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W34dcb9d870a97a1973702746f20f25d5dfcc1a5bd,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=9ambie9e2cxqfzc71f90lz08c&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3cdfa04d4ed0d475af33a3f875c5522e78be35c5e,https://api.performfeeds.com/soccerdata/seasonstats/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=9ambie9e2cxqfzc71f90lz08c&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W38146e52a506df8971573409761e0ff285044bd6d
Cayman Islands Under 17,https://www.scoresway.com/en_GB/soccer/concacaf-u17-2017-panama/5itpxdo2avd9yxaqiu5taux2h/teams/cayman-islands-under-17/37uhnfke3ik4kgdix62p834d1,https://omo.akamai.opta.net/image.php?h=www.scoresway.com&sport=football&entity=team&description=badges&dimensions=150&id=37uhnfke3ik4kgdix62p834d1,37uhnfke3ik4kgdix62p834d1,5itpxdo2avd9yxaqiu5taux2h,concacaf-u17-2017-panama,https://api.performfeeds.com/soccerdata/squads/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&ctst=37uhnfke3ik4kgdix62p834d1&tmcl=5itpxdo2avd9yxaqiu5taux2h&_pgSz=50&_pgNm=1&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W3f044d2be9be7419acff8a8521da02ff5ed3fa31b,https://api.performfeeds.com/soccerdata/match/ft1tiv1inq7v1sk3y9tv12yh5/?_rt=c&tmcl=5itpxdo2avd9yxaqiu5taux2h&ctst=37uhnfke3ik4kgdix62p834d1&live=yes&_pgSz=400&_lcl=en&_fmt=jsonp&sps=widgets&_clbk=W30a9406fa1da952e4b599e1f8b15c5d103c696c4e,
