liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Ground Duels,Forward Passes,Index,Duels,Total Clearances,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Duels lost,Interceptions,Unsuccessful Crosses open play,Throw Ins to Own Player,Corners Won,Successful Crosses & Corners,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Successful Dribbles,Total Shots,Key Passes (Attempt Assists),Blocked Shots,Throw Ins to Opposition Player,Total Touches In Opposition Box,Duels won,Successful Long Passes,Successful Crosses open play,Aerial Duels won,Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Aerial Duels,Ground Duels won,Goals,Right Foot Goals,PutThrough/Blocked Distribution Won,Total Tackles,Successful Corners into Box,PutThrough/Blocked Distribution,Corners Taken (incl short corners),Goals from Outside Box,Shots On Target ( inc goals ),Total Fouls Won,Unsuccessful Corners into Box,Tackles Won,Tackles Lost,Attempts from Set Pieces,Aerial Duels lost,Unsuccessful Launches,Yellow Cards,Foul Attempted Tackle,GK Successful Distribution,Catches,GK Unsuccessful Distribution,Substitute On,Offsides,Successful Launches,Blocks,Goals from Inside Box,Through balls,Successful Lay-offs,Saves Made,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Assists (Intentional),Unsuccessful lay-offs,Goal Assists,Goals Conceded Outside Box,Clean Sheets,Total Red Cards,Red Cards - 2nd Yellow,Own Goal Scored,Drops,Left Foot Goals,Second Goal Assists,Handballs conceded,Penalties Taken,Penalty Goals,Foul Won Penalty,Headed Goals,Hit Woodwork,Times Tackled,Winning Goal,Home Goals,Away Goals,Set Pieces Goals,Goal Kicks,Saves made - caught,Punches,Penalty Goals Conceded,Penalties Conceded,Penalties Faced,Saves from Penalty,Penalties Saved,Clearances Off the Line,Goalkeeper Smother,Straight Red Cards,Penalties Off Target,Last Man Tackle,Other Goals,Crosses not Claimed
USA_US_Open_Cup,2019,Lansing Ignite FC,amjlvixpfu1b6ksznihymelii,P. Botello Faz,Forward,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Lansing Ignite FC,bcd5xeprff304onvw6mpjjaei,A. Bruce,Forward,20,21.0,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,,,,5.0,1.0,2.0,,10.0,2.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,,2.0,,,,,,,2.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Lansing Ignite FC,ei9nhdaug5ht3w2mtyqms3uqy,K. Carr,Defender,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Lansing Ignite FC,dwfear5sdv1c4wnq44vd52hh,I. Cerda,Midfielder,21,3.0,,,,,,,,,1.0,,,,,,1.0,,,2.0,1.0,4.0,,10.0,4.0,,,1.0,2.0,,,,2.0,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,1.0,,,,,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Lansing Ignite FC,1suxiryblcrtho55zwjwbeg9h,K. Coiffic,Defender,17,180.0,151.0,4.0,48.0,32.0,82.0,15.0,154.0,,,104.0,2.0,24.0,10.0,17.0,8.0,2.0,9.0,192.0,2.0,6.0,66.0,10.0,12.0,4.0,2.0,2.0,2.0,74.0,128.0,130.0,4.0,7.0,2.0,12.0,2.0,,9.0,2.0,1.0,2.0,1.0,,4.0,2.0,8.0,26.0,,4.0,1.0,2.0,6.0,4.0,,,,3.0,,4.0,,,,,,2.0,1.0,,2.0,5.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Lansing Ignite FC,411grh3cytippnnanb767qvsa,Rafa Mentzingen,Midfielder,7,156.0,35.0,5.0,17.0,27.0,7.0,11.0,35.0,2.0,2.0,23.0,2.0,11.0,6.0,11.0,7.0,2.0,1.0,73.0,2.0,22.0,13.0,10.0,29.0,3.0,2.0,2.0,10.0,11.0,24.0,24.0,13.0,1.0,1.0,1.0,2.0,,,1.0,3.0,4.0,5.0,,,13.0,16.0,1.0,,4.0,2.0,1.0,7.0,12.0,,,1.0,9.0,,4.0,,,3.0,,,6.0,3.0,,3.0,,,,,,,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Lansing Ignite FC,ee12f0u7m07sw81xkozouyd3p,B. Fricke,Defender,5,180.0,114.0,4.0,24.0,22.0,73.0,9.0,118.0,,1.0,90.0,2.0,21.0,42.0,13.0,10.0,2.0,8.0,145.0,2.0,5.0,34.0,10.0,13.0,5.0,2.0,2.0,,38.0,94.0,97.0,2.0,8.0,,,1.0,,12.0,,,,,1.0,,2.0,11.0,7.0,,6.0,,,8.0,5.0,,,1.0,3.0,,1.0,,,,2.0,,2.0,1.0,,2.0,10.0,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Lansing Ignite FC,7a9y6fu0qj6xr6xdnzomrv90q,X. Gomez,Midfielder,10,111.0,78.0,19.0,41.0,24.0,26.0,9.0,79.0,,2.0,61.0,1.0,13.0,25.0,11.0,14.0,1.0,4.0,116.0,2.0,20.0,19.0,10.0,21.0,1.0,1.0,2.0,9.0,16.0,65.0,66.0,10.0,4.0,,,,1.0,4.0,,4.0,,3.0,1.0,,2.0,11.0,5.0,,,,2.0,1.0,11.0,,,3.0,5.0,,4.0,1.0,,,2.0,1.0,1.0,4.0,,1.0,2.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Lansing Ignite FC,duvfmnlf1os15o06gogj37wtl,M. Hollingsworth,Defender,25,152.0,78.0,27.0,40.0,19.0,25.0,11.0,78.0,1.0,1.0,61.0,1.0,13.0,34.0,9.0,9.0,2.0,5.0,99.0,2.0,9.0,8.0,10.0,14.0,1.0,1.0,2.0,5.0,9.0,65.0,65.0,7.0,3.0,1.0,6.0,1.0,,2.0,,,,,,1.0,1.0,7.0,4.0,,3.0,1.0,1.0,5.0,4.0,,,1.0,2.0,,2.0,,,,2.0,,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2019,Lansing Ignite FC,48mxqmfq6y1pg5xb1zrfixzze,K. Ihn,Goalkeeper,13,180.0,19.0,,7.0,8.0,18.0,,33.0,,,14.0,2.0,8.0,11.0,7.0,18.0,2.0,1.0,52.0,2.0,1.0,16.0,10.0,2.0,1.0,2.0,2.0,1.0,6.0,15.0,25.0,1.0,,,,,,8.0,,,,,,,,1.0,11.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,3.0,,,20.0,2.0,2.0,,,5.0,,,,,5.0,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
