liga,temporada,equipo,id,nombre,posicion,dorsal,Shots Off Target (inc woodwork),Unsuccessful Short Passes,Starts,Recoveries,Successful Corners into Box,Tackles Won,Successful Passes Own Half,Aerial Duels lost,Aerial Duels,Right Foot Goals,Unsuccessful Crosses & Corners,Goals from Outside Box,Leftside Passes,Unsuccessful Passes Opposition Half,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Fifty Fifty,PutThrough/Blocked Distribution,Assists (Intentional),Total Unsuccessful Passes ( Excl Crosses & Corners ),Second Goal Assists,Open Play Passes,Blocked Shots,Successful Short Passes,Ground Duels lost,Clean Sheets,Time Played,Duels,Throw Ins to Own Player,Total Fouls Conceded,Goal Assists,Total Fouls Won,Corners Won,Handballs conceded,Unsuccessful lay-offs,Unsuccessful Passes Own Half,Rightside Passes,Total Tackles,Total Clearances,Unsuccessful Dribbles,Unsuccessful Corners into Box,Successful Passes Opposition Half,Appearances,Corners Taken (incl short corners),Successful Dribbles,Hit Woodwork,Goals Conceded Inside Box,Forward Passes,Aerial Duels won,Straight Red Cards,Key Passes (Attempt Assists),Goals,Total Touches In Opposition Box,Times Tackled,Index,Penalty Goals Conceded,Goals Conceded,Goals Conceded Outside Box,Unsuccessful Long Passes,Successful Crosses & Corners,Substitute Off,Total Red Cards,Unsuccessful Launches,Successful Long Passes,Successful Crosses open play,Goals from Inside Box,Attempts from Set Pieces,Successful Lay-offs,Touches,Tackles Lost,Yellow Cards,Substitute On,Interceptions,PutThrough/Blocked Distribution Won,Backward Passes,Ground Duels won,Successful Open Play Passes,Ground Duels,Duels lost,Unsuccessful Crosses open play,Games Played,Through balls,Total Losses Of Possession,Fifty Fifty,Duels won,Total Passes,Total Shots,Foul Attempted Tackle,Shots On Target ( inc goals ),Home Goals,Away Goals,Winning Goal,Blocks,Successful Launches,GK Successful Distribution,Clearances Off the Line,Offsides,Left Foot Goals,Throw Ins to Opposition Player,Headed Goals,GK Unsuccessful Distribution,Last Man Tackle,Saves Made from Outside Box,Drops,Penalties Faced,Penalties Conceded,Saves Made,Punches,Saves made - parried,Catches,Saves Made from Inside Box,Goalkeeper Smother,Saves made - caught,Set Pieces Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Red Cards - 2nd Yellow,Own Goal Scored,Crosses not Claimed,Penalties Saved,Saves from Penalty,Goal Kicks,Overruns,Last Player Tackle,Goals Openplay,Penalties Off Target,Other Goals,Carries,Progressive Carries,Final Third Touches,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Total Big Chances Saved
USA_MLS,2022,San Jose Earthquakes,7wesnkwthjcluc9b83s8ab1g4,O. Ågren,Defender,23,1.0,8.0,3.0,14.0,,2.0,117.0,4.0,9.0,,,,83.0,10.0,157.0,3.0,1.0,,14.0,,167.0,,147.0,6.0,,250.0,20.0,2.0,3.0,,1.0,,,,4.0,37.0,4.0,8.0,1.0,,40.0,3.0,,,,2.0,42.0,5.0,,,,1.0,1.0,55.0,,3.0,1.0,6.0,,1.0,,1.0,10.0,,,,,200.0,2.0,1.0,,4.0,1.0,9.0,5.0,154.0,11.0,10.0,,3.0,,16.0,3.0,10.0,171.0,1.0,1.0,,,,0.0,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,San Jose Earthquakes,ei1xwfu1blceujrbuqbw8xi7e,T. Beason,Defender,15,3.0,100.0,25.0,112.0,,17.0,822.0,32.0,76.0,,2.0,,266.0,96.0,1099.0,21.0,24.0,,163.0,,1229.0,1.0,1002.0,26.0,2.0,2245.0,169.0,46.0,6.0,,28.0,2.0,,,69.0,479.0,38.0,81.0,1.0,,279.0,28.0,,3.0,,44.0,435.0,44.0,,4.0,,16.0,4.0,43.0,4.0,53.0,9.0,63.0,2.0,4.0,,20.0,97.0,2.0,,,,1620.0,21.0,2.0,3.0,45.0,11.0,82.0,67.0,1066.0,93.0,58.0,2.0,28.0,,199.0,39.0,111.0,1262.0,4.0,3.0,1.0,,,0.0,23.0,9.0,1.0,,1.0,,14.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,San Jose Earthquakes,8vlcd0j8wb31z0hxiawpze9yh,M. Bersano,Goalkeeper,12,,,1.0,4.0,,,30.0,,,,,,9.0,3.0,33.0,,,,5.0,,23.0,,25.0,,,135.0,,,,,,,,,2.0,11.0,,1.0,,,3.0,2.0,,,,3.0,18.0,,,,,,,78.0,,3.0,,5.0,,,,2.0,8.0,,,,,49.0,,,1.0,,,,,20.0,,,,2.0,,6.0,,,38.0,,,,,,0.0,,,13.0,,,,,,1.0,,2.0,,,,6.0,,2.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,San Jose Earthquakes,a5zvb5q87awncgadmlqd0sm0a,O. Bouda,Forward,25,1.0,8.0,,4.0,,2.0,13.0,1.0,1.0,,4.0,,5.0,11.0,34.0,,7.0,,9.0,,42.0,3.0,31.0,8.0,,108.0,15.0,2.0,4.0,,2.0,1.0,1.0,,2.0,12.0,4.0,2.0,2.0,,22.0,9.0,,,,3.0,10.0,,,2.0,,10.0,5.0,19.0,,3.0,,1.0,1.0,,,,3.0,1.0,,,,80.0,2.0,2.0,9.0,,4.0,16.0,6.0,33.0,14.0,9.0,4.0,9.0,1.0,22.0,,6.0,43.0,2.0,2.0,1.0,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,San Jose Earthquakes,8vjv4ix1zqi58118r6tyqhhhx,F. Calvo,Defender,80,7.0,84.0,13.0,122.0,,12.0,538.0,31.0,61.0,,,,173.0,109.0,779.0,22.0,9.0,,154.0,1.0,894.0,3.0,712.0,31.0,1.0,1170.0,147.0,15.0,15.0,,11.0,3.0,1.0,,45.0,328.0,25.0,24.0,5.0,,243.0,13.0,,19.0,1.0,25.0,388.0,30.0,,4.0,2.0,20.0,12.0,60.0,3.0,29.0,4.0,70.0,2.0,,,17.0,67.0,2.0,2.0,,,1154.0,13.0,4.0,,35.0,2.0,44.0,55.0,747.0,86.0,62.0,,13.0,1.0,193.0,31.0,85.0,933.0,12.0,8.0,5.0,2.0,0.0,0.0,5.0,3.0,,,1.0,,4.0,2.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,San Jose Earthquakes,5vjalgmy5e9xhfdjoeq6kxqwa,C. Cowell,Forward,44,17.0,61.0,15.0,63.0,,11.0,62.0,23.0,31.0,2.0,23.0,1.0,39.0,81.0,288.0,14.0,24.0,3.0,70.0,2.0,358.0,12.0,282.0,103.0,,1548.0,202.0,12.0,18.0,3.0,6.0,16.0,,1.0,12.0,133.0,21.0,3.0,34.0,,230.0,31.0,,42.0,2.0,32.0,60.0,8.0,,17.0,3.0,77.0,72.0,80.0,4.0,40.0,8.0,9.0,4.0,10.0,,5.0,6.0,4.0,2.0,,6.0,714.0,10.0,2.0,16.0,7.0,10.0,126.0,68.0,288.0,171.0,126.0,23.0,31.0,3.0,230.0,41.0,76.0,358.0,31.0,9.0,14.0,2.0,1.0,1.0,2.0,,,,2.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,San Jose Earthquakes,6a6mbb6e462y31yyfprw3br3d,J. Ebobisse,Forward,11,37.0,105.0,34.0,45.0,,5.0,173.0,26.0,44.0,6.0,4.0,2.0,203.0,113.0,551.0,24.0,19.0,2.0,119.0,1.0,580.0,20.0,518.0,93.0,3.0,2951.0,208.0,1.0,19.0,2.0,31.0,21.0,4.0,8.0,10.0,147.0,8.0,10.0,25.0,,380.0,34.0,,32.0,,49.0,103.0,18.0,,26.0,17.0,129.0,67.0,55.0,5.0,59.0,10.0,14.0,2.0,10.0,,2.0,33.0,2.0,15.0,4.0,46.0,1057.0,3.0,,,2.0,5.0,217.0,71.0,462.0,164.0,119.0,4.0,34.0,4.0,259.0,56.0,89.0,670.0,83.0,6.0,46.0,6.0,11.0,1.0,8.0,1.0,,,13.0,9.0,2.0,2.0,,,,,,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,
USA_MLS,2022,San Jose Earthquakes,d4wt4sy8lg2h7cr3n6yl15vpx,C. Espinoza,Midfielder,10,23.0,134.0,33.0,122.0,40.0,17.0,215.0,9.0,12.0,6.0,214.0,1.0,419.0,351.0,852.0,30.0,73.0,9.0,154.0,5.0,960.0,25.0,805.0,144.0,3.0,2856.0,254.0,55.0,32.0,9.0,32.0,56.0,4.0,,17.0,102.0,27.0,6.0,46.0,68.0,709.0,34.0,142.0,39.0,2.0,50.0,154.0,3.0,,68.0,7.0,112.0,76.0,57.0,5.0,61.0,11.0,20.0,72.0,12.0,,3.0,47.0,28.0,6.0,3.0,12.0,1785.0,10.0,4.0,1.0,15.0,27.0,331.0,98.0,809.0,242.0,153.0,129.0,34.0,3.0,537.0,69.0,101.0,1006.0,48.0,20.0,25.0,6.0,1.0,1.0,2.0,2.0,,,11.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,5.0,5.0,,,,,,,,,,,,,,,,,,
USA_MLS,2022,San Jose Earthquakes,7jcp2lm8e7pdc6k8zigfjf7x1,J. Greguš,Midfielder,17,6.0,107.0,17.0,105.0,5.0,13.0,495.0,12.0,25.0,,25.0,,368.0,140.0,1106.0,13.0,15.0,4.0,151.0,1.0,1166.0,6.0,1006.0,34.0,2.0,1678.0,112.0,10.0,16.0,5.0,17.0,2.0,,,36.0,327.0,29.0,17.0,2.0,10.0,624.0,27.0,17.0,7.0,,30.0,359.0,13.0,,20.0,,6.0,9.0,48.0,4.0,36.0,6.0,44.0,13.0,6.0,,13.0,100.0,3.0,,2.0,3.0,1468.0,16.0,1.0,10.0,17.0,6.0,203.0,53.0,1028.0,87.0,46.0,5.0,27.0,,197.0,31.0,66.0,1257.0,15.0,11.0,9.0,,,0.0,3.0,4.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2022,San Jose Earthquakes,43upuy8z3t6a3ku24z72q59pm,S. Haji,Midfielder,19,,1.0,,2.0,,,4.0,,,,,,3.0,1.0,9.0,,1.0,,1.0,,10.0,,8.0,1.0,,13.0,3.0,,,,,,,,,,,,,,6.0,2.0,,2.0,,1.0,4.0,,,2.0,,2.0,1.0,10.0,,1.0,,,1.0,,,,1.0,1.0,,,,16.0,,,2.0,,1.0,3.0,2.0,9.0,3.0,1.0,,2.0,,2.0,,2.0,10.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
