liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Crosses open play,Rightside Passes,Penalties Conceded,Blocked Shots,Ground Duels won,Total Shots,Goal Assists,Unsuccessful Crosses open play,Successful Corners into Box,Goals Conceded,Overruns,Foul Attempted Tackle,Clearances Off the Line,Aerial Duels lost,Successful Launches,Goals Conceded Inside Box,Second Goal Assists,Total Losses Of Possession,Yellow Cards,Unsuccessful Corners into Box,Starts,Unsuccessful Passes Own Half,Total Clearances,Corners Taken (incl short corners),Times Tackled,Games Played,Through balls,Successful Lay-offs,PutThrough/Blocked Distribution Won,Unsuccessful Long Passes,Right Foot Goals,Leftside Passes,Penalties Taken,Tackles Won,Successful Short Passes,Successful Long Passes,Blocks,Successful Passes Opposition Half,Backward Passes,Successful Open Play Passes,Index,Penalty Goals Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Attempts from Set Pieces,Corners Won,GK Successful Distribution,Unsuccessful Dribbles,Recoveries,Goals Conceded Outside Box,Throw Ins to Own Player,Offsides,Key Passes (Attempt Assists),Goals from Inside Box,Shots On Target ( inc goals ),Total Tackles,Total Fouls Won,Appearances,Ground Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Goals from Outside Box,Duels won,Assists (Intentional),Aerial Duels won,Total Fouls Conceded,Duels lost,Unsuccessful Short Passes,Forward Passes,Touches,Aerial Duels,Goals,Interceptions,Penalty Goals,PutThrough/Blocked Distribution,Total Passes,Unsuccessful Passes Opposition Half,Total Touches In Opposition Box,Successful Dribbles,Successful Passes Own Half,Clean Sheets,Unsuccessful Launches,Time Played,Duels,Tackles Lost,Shots Off Target (inc woodwork),Successful Crosses & Corners,Goal Kicks,Handballs conceded,Set Pieces Goals,Ground Duels,Unsuccessful Crosses & Corners,Home Goals,Away Goals,Winning Goal,Saves Made from Outside Box,Goalkeeper Smother,GK Unsuccessful Distribution,Punches,Saves made - parried,Saves Made,Saves Made from Inside Box,Drops,Catches,Penalties Faced,Foul Won Penalty,Headed Goals,Hit Woodwork,Substitute Off,Substitute On,Throw Ins to Opposition Player,Last Player Tackle,Left Foot Goals,Own Goal Scored,Unsuccessful lay-offs,Penalties Saved,Saves made - caught,Saves from Penalty,Total Red Cards,Red Cards - 2nd Yellow,Straight Red Cards,Other Goals,Crosses not Claimed,Penalties Off Target
USA_MLS_Next_Pro,2024,The Town FC,7b0z3s1wde3iu6vjvfbio6m8k,T. Allen,Forward,70,,1.0,,,1.0,,,,,,,,,,,,,3.0,,,,1.0,,,1.0,4.0,,1.0,,,,,,,4.0,,,1.0,5.0,4.0,10.0,,4.0,6.0,,,,1.0,1.0,,,1.0,,,,,1.0,4.0,1.0,2.0,,1.0,,,,1.0,2.0,,8.0,,,,,,6.0,1.0,,,3.0,,,20.0,2.0,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,The Town FC,2jwbnsl7zicnbgutmpop29d61,M. Baldisimo,Midfielder,0,,20.0,,,4.0,,,,,,,1.0,,,,,,10.0,,,1.0,3.0,,,1.0,1.0,,1.0,1.0,4.0,,9.0,,1.0,37.0,3.0,,19.0,1.0,40.0,10.0,,40.0,47.0,,,,,4.0,,,,1.0,,,1.0,1.0,1.0,3.0,7.0,,4.0,,,2.0,3.0,3.0,17.0,56.0,,,1.0,,1.0,47.0,4.0,,2.0,21.0,1.0,1.0,90.0,7.0,,,,,,,7.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,The Town FC,4q6jdo2wts37hdajbh8b8xcoa,M. Biegański,Goalkeeper,31,,75.0,,,1.0,,,,,8.0,,,,,9.0,6.0,,33.0,2.0,,7.0,13.0,5.0,,,7.0,,,,32.0,,115.0,,,198.0,40.0,,6.0,,208.0,10.0,,238.0,233.0,,,46.0,,39.0,2.0,,,,,,,,7.0,,32.0,,3.0,,2.0,,,,80.0,329.0,2.0,,,,,270.0,19.0,,1.0,232.0,2.0,21.0,630.0,3.0,,,,27.0,,,1.0,,,,0.0,4.0,,5.0,1.0,6.0,22.0,18.0,1.0,3.0,,,,,,,,,,,,,2.0,,,,,,,
USA_MLS_Next_Pro,2024,The Town FC,35jkg2v338kipzlf0iwvvypuy,S. Bilter,Defender,63,1.0,124.0,1.0,2.0,44.0,10.0,,4.0,,21.0,,3.0,,23.0,12.0,15.0,,182.0,2.0,,16.0,65.0,54.0,,8.0,27.0,1.0,1.0,5.0,74.0,,542.0,,19.0,1012.0,73.0,7.0,235.0,103.0,1056.0,10.0,1.0,1085.0,1207.0,,3.0,13.0,5.0,71.0,6.0,34.0,2.0,6.0,1.0,5.0,29.0,15.0,27.0,27.0,151.0,,75.0,,31.0,11.0,50.0,77.0,467.0,1461.0,54.0,1.0,23.0,,9.0,1236.0,90.0,21.0,2.0,851.0,3.0,43.0,1666.0,125.0,10.0,5.0,1.0,13.0,1.0,,71.0,4.0,0.0,1.0,0.0,,,,,,,,,,,,1.0,,1.0,11.0,2.0,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,The Town FC,1bmbt6h6bsiimpzxt07cqwfvu,E. Blancas,Midfielder,60,13.0,157.0,,15.0,85.0,33.0,1.0,34.0,25.0,30.0,7.0,19.0,,25.0,,22.0,2.0,418.0,6.0,62.0,29.0,25.0,10.0,101.0,64.0,30.0,6.0,26.0,16.0,39.0,8.0,110.0,2.0,13.0,570.0,27.0,,402.0,246.0,521.0,10.0,1.0,597.0,667.0,12.0,29.0,,26.0,74.0,8.0,2.0,7.0,59.0,5.0,20.0,18.0,46.0,30.0,124.0,148.0,3.0,93.0,1.0,8.0,46.0,149.0,109.0,232.0,1299.0,33.0,8.0,11.0,2.0,45.0,745.0,252.0,70.0,21.0,248.0,8.0,10.0,2600.0,242.0,5.0,13.0,53.0,,1.0,3.0,209.0,129.0,3.0,5.0,2.0,,,,,,,,,,,,,4.0,6.0,1.0,2.0,,,,4.0,,,,,,,,,
USA_MLS_Next_Pro,2024,The Town FC,dqa88ma3jbk33lsyzo45uy2cq,A. Cano,Defender,66,,347.0,,1.0,55.0,6.0,,,,22.0,,11.0,1.0,36.0,23.0,14.0,,199.0,5.0,,21.0,86.0,69.0,,10.0,26.0,1.0,,10.0,108.0,,539.0,,17.0,1193.0,92.0,12.0,201.0,108.0,1244.0,10.0,1.0,1285.0,1415.0,,1.0,18.0,5.0,68.0,8.0,3.0,1.0,4.0,1.0,1.0,39.0,11.0,26.0,42.0,174.0,,78.0,,23.0,23.0,78.0,66.0,465.0,1682.0,59.0,1.0,13.0,,18.0,1459.0,88.0,12.0,5.0,1084.0,8.0,65.0,1949.0,156.0,22.0,5.0,,18.0,,,97.0,,1.0,0.0,0.0,,,,,,,,,,,,1.0,,3.0,5.0,1.0,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,The Town FC,4fevpkfk07vvz1lek5eu9ukus,S. Chavira,Defender,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,The Town FC,49ag6csupgt40gbs2snq1xs7o,A. Chow,Midfielder,75,1.0,83.0,,,37.0,6.0,1.0,1.0,3.0,9.0,,6.0,,9.0,2.0,6.0,,86.0,2.0,1.0,5.0,16.0,9.0,4.0,21.0,13.0,1.0,12.0,7.0,5.0,1.0,98.0,,9.0,279.0,14.0,1.0,119.0,93.0,289.0,10.0,1.0,293.0,334.0,,3.0,,12.0,33.0,3.0,1.0,,6.0,2.0,3.0,21.0,6.0,13.0,42.0,45.0,,37.0,1.0,,10.0,51.0,40.0,64.0,465.0,9.0,2.0,8.0,,18.0,338.0,31.0,15.0,10.0,178.0,,2.0,719.0,88.0,12.0,3.0,4.0,,1.0,,79.0,2.0,2.0,0.0,0.0,,,,,,,,,,,,,,4.0,8.0,,,1.0,,,,,,,,,,,
USA_MLS_Next_Pro,2024,The Town FC,3514h23j8mh5m37hsg90245ck,C. Cowell,Forward,44,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,2.0,3.0,,,,,,2.0,,,6.0,,,6.0,1.0,6.0,10.0,,6.0,6.0,,,,1.0,1.0,,,,,,,,,3.0,3.0,,,1.0,,,,3.0,,3.0,14.0,,,3.0,,,6.0,,,1.0,,,,15.0,4.0,,,,,,,4.0,,,,0.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,The Town FC,cac9hjmdwt1gsz0qt3f6d4b2s,J. Donnery,Forward,52,1.0,101.0,,10.0,23.0,27.0,2.0,17.0,,11.0,1.0,4.0,,25.0,,7.0,,181.0,1.0,,14.0,25.0,6.0,,37.0,30.0,,26.0,7.0,4.0,,62.0,,6.0,246.0,6.0,1.0,143.0,114.0,234.0,10.0,1.0,252.0,323.0,,7.0,,19.0,41.0,4.0,1.0,9.0,13.0,4.0,17.0,9.0,9.0,30.0,63.0,89.0,,55.0,2.0,32.0,18.0,88.0,85.0,64.0,539.0,57.0,4.0,3.0,,21.0,341.0,81.0,62.0,6.0,110.0,3.0,2.0,1357.0,143.0,3.0,10.0,1.0,,,,86.0,17.0,4.0,0.0,2.0,,,,,,,,,,,,1.0,3.0,9.0,16.0,,,3.0,,8.0,,,,,,,,,
