liga,temporada,equipo,id,nombre,posicion,dorsal,Handballs conceded,Shots On Target ( inc goals ),Goal Assists,Tackles Won,Key Passes (Attempt Assists),Total Touches In Opposition Box,Unsuccessful Crosses open play,Total Tackles,Yellow Cards,Tackles Lost,Throw Ins to Own Player,Unsuccessful Crosses & Corners,Leftside Passes,Successful Passes Opposition Half,Rightside Passes,Shots Off Target (inc woodwork),Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Blocks,Goals from Inside Box,Ground Duels lost,Aerial Duels won,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Short Passes,Interceptions,Successful Open Play Passes,Duels won,Times Tackled,Penalties Conceded,Unsuccessful Passes Own Half,Total Passes,Goals,Successful Passes Own Half,Aerial Duels,Duels lost,Successful Dribbles,Total Fouls Won,Total Clearances,Backward Passes,Ground Duels won,Index,Penalty Goals Conceded,Substitute On,Games Played,Goals Conceded Inside Box,PutThrough/Blocked Distribution,Unsuccessful Passes Opposition Half,Clean Sheets,Touches,Goals Conceded,Substitute Off,Total Losses Of Possession,Corners Won,PutThrough/Blocked Distribution Won,Total Shots,Duels,Successful Long Passes,Time Played,Forward Passes,Starts,Unsuccessful Dribbles,Unsuccessful Short Passes,Foul Attempted Tackle,Unsuccessful Long Passes,Total Fouls Conceded,Recoveries,Right Foot Goals,Aerial Duels lost,Open Play Passes,Successful Lay-offs,Unsuccessful Launches,Successful Launches,Ground Duels,Home Goals,Away Goals,Winning Goal,Corners Taken (incl short corners),Throw Ins to Opposition Player,Goals Conceded Outside Box,Successful Crosses & Corners,Successful Corners into Box,Successful Crosses open play,Goals from Outside Box,Attempts from Set Pieces,Second Goal Assists,Assists (Intentional),Unsuccessful Corners into Box,Offsides,Blocked Shots,Hit Woodwork,Headed Goals,Unsuccessful lay-offs,Through balls,Last Man Tackle,Total Red Cards,Left Foot Goals,Straight Red Cards,GK Unsuccessful Distribution,Catches,Punches,Saves made - caught,Saves from Penalty,Penalties Faced,Goalkeeper Smother,Saves Made,Saves Made from Outside Box,Drops,Penalties Saved,GK Successful Distribution,Saves Made from Inside Box,Own Goal Scored,Saves made - parried,Crosses not Claimed,Foul Won Penalty,Penalties Taken,Penalty Goals,Penalties Off Target,Clearances Off the Line,Red Cards - 2nd Yellow,Set Pieces Goals,Other Goals
USA_MLS,2019,Colorado Rapids,33l6xyx4nhswaphl9ha38yx9l,L. Abubakar,Defender,6,3.0,4.0,,22.0,5.0,20.0,,38.0,7.0,16.0,6.0,,216.0,193.0,166.0,6.0,631.0,23.0,28.0,,38.0,45.0,122.0,566.0,31.0,621.0,95.0,,3.0,46.0,753.0,,438.0,87.0,80.0,2.0,10.0,152.0,52.0,50.0,47.0,6.0,,23.0,32.0,9.0,76.0,5.0,1089.0,36.0,,138.0,2.0,6.0,10.0,175.0,65.0,2070.0,319.0,23.0,,54.0,12.0,68.0,27.0,112.0,,42.0,739.0,,38.0,9.0,88.0,,,,,1.0,4.0,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
USA_MLS,2019,Colorado Rapids,6k22ppzw6wv0c4gskzxk28fyt,K. Acosta,Midfielder,10,1.0,12.0,1.0,30.0,17.0,38.0,13.0,50.0,8.0,20.0,10.0,27.0,225.0,469.0,275.0,13.0,794.0,31.0,4.0,1.0,149.0,20.0,167.0,759.0,28.0,773.0,119.0,,1.0,32.0,961.0,2.0,334.0,54.0,183.0,30.0,20.0,20.0,153.0,99.0,41.0,6.0,1.0,31.0,49.0,39.0,162.0,4.0,1391.0,52.0,6.0,297.0,8.0,21.0,25.0,302.0,35.0,2619.0,308.0,30.0,24.0,138.0,28.0,29.0,47.0,130.0,1.0,34.0,936.0,24.0,6.0,2.0,248.0,,,,13.0,1.0,3.0,9.0,3.0,4.0,1.0,4.0,1.0,1.0,10.0,,10.0,1.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,
USA_MLS,2019,Colorado Rapids,8qqehla9xvhut6uua4a0zcju2,S. Anderson,Defender,22,,1.0,,3.0,4.0,4.0,11.0,6.0,1.0,3.0,16.0,11.0,35.0,38.0,6.0,1.0,59.0,6.0,1.0,1.0,15.0,1.0,39.0,57.0,8.0,59.0,10.0,,1.0,12.0,98.0,1.0,22.0,3.0,17.0,1.0,2.0,9.0,16.0,9.0,21.0,1.0,1.0,6.0,6.0,5.0,38.0,,182.0,7.0,4.0,68.0,4.0,1.0,2.0,27.0,2.0,317.0,41.0,5.0,,24.0,5.0,15.0,7.0,11.0,1.0,2.0,98.0,,10.0,,24.0,,,,,6.0,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,
USA_MLS,2019,Colorado Rapids,6pgcyaivg3sjcm6jju4nn3omi,C. Bassett,Midfielder,26,,7.0,1.0,11.0,11.0,23.0,14.0,21.0,1.0,10.0,11.0,28.0,122.0,239.0,117.0,4.0,389.0,20.0,,2.0,53.0,17.0,82.0,369.0,6.0,385.0,57.0,,,23.0,471.0,2.0,154.0,35.0,71.0,11.0,8.0,6.0,124.0,40.0,63.0,2.0,6.0,20.0,21.0,19.0,87.0,1.0,655.0,22.0,10.0,153.0,6.0,8.0,11.0,128.0,20.0,1063.0,108.0,14.0,9.0,75.0,3.0,7.0,7.0,59.0,,18.0,464.0,6.0,1.0,1.0,93.0,,,,9.0,,1.0,4.0,1.0,3.0,,,1.0,1.0,8.0,,2.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Colorado Rapids,dc2s7q4uckoevisjlcjq7rljp,J. Blomberg,Midfielder,8,,,,4.0,1.0,1.0,2.0,5.0,,1.0,1.0,2.0,9.0,15.0,8.0,1.0,24.0,3.0,,,3.0,1.0,7.0,24.0,1.0,24.0,7.0,,,3.0,31.0,,10.0,3.0,5.0,1.0,,1.0,7.0,6.0,75.0,,2.0,3.0,1.0,2.0,6.0,,51.0,1.0,1.0,11.0,2.0,,1.0,12.0,,88.0,7.0,1.0,,6.0,1.0,1.0,1.0,3.0,,2.0,31.0,2.0,,,9.0,,,,,,,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
USA_MLS,2019,Colorado Rapids,eju8pm7ljrsuf1cozy0j0sel1,N. Boateng,Midfielder,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Colorado Rapids,em7zqutnzh6mvbpc2gbs84jpx,B. Feilhaber,Midfielder,6,1.0,6.0,3.0,13.0,20.0,30.0,1.0,25.0,6.0,12.0,9.0,19.0,209.0,389.0,233.0,11.0,716.0,26.0,4.0,2.0,81.0,9.0,129.0,664.0,17.0,680.0,85.0,,,30.0,845.0,4.0,332.0,23.0,95.0,20.0,33.0,16.0,169.0,76.0,47.0,,6.0,26.0,31.0,24.0,118.0,,1137.0,36.0,11.0,211.0,7.0,13.0,17.0,180.0,52.0,1724.0,234.0,20.0,9.0,104.0,20.0,25.0,33.0,113.0,3.0,14.0,804.0,19.0,3.0,,157.0,,,,24.0,,5.0,5.0,5.0,2.0,2.0,3.0,1.0,3.0,15.0,1.0,11.0,,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Colorado Rapids,89lallj6tfsq8oipln6hgglhx,T. Howard,Goalkeeper,1,,,,,1.0,,,1.0,1.0,1.0,,,60.0,132.0,42.0,,334.0,25.0,,,,3.0,329.0,133.0,1.0,153.0,5.0,,,72.0,663.0,,202.0,3.0,,,2.0,14.0,,2.0,49.0,5.0,,25.0,42.0,1.0,257.0,5.0,883.0,46.0,2.0,332.0,,1.0,,5.0,201.0,2160.0,561.0,25.0,,4.0,,325.0,,213.0,,,252.0,,110.0,58.0,2.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,143.0,5.0,5.0,2.0,1.0,6.0,4.0,73.0,20.0,2.0,1.0,235.0,53.0,,32.0,,,,,,,,,
USA_MLS,2019,Colorado Rapids,eiv8bhmhfwk425x3tspucy7zd,M. Hundley,Forward,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,Colorado Rapids,aij1pddtm5ch0o8dstl3mc1jp,C. Irwin,Goalkeeper,1,,,,,1.0,,,,,,,,18.0,59.0,15.0,,130.0,11.0,,,,2.0,129.0,52.0,,57.0,5.0,,,13.0,259.0,,71.0,3.0,1.0,,3.0,8.0,,3.0,10.0,2.0,2.0,11.0,15.0,,116.0,1.0,351.0,17.0,,130.0,,,,6.0,78.0,900.0,226.0,9.0,,1.0,,128.0,,92.0,,1.0,90.0,,50.0,18.0,3.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,49.0,3.0,6.0,4.0,1.0,3.0,1.0,42.0,14.0,,1.0,88.0,28.0,,12.0,1.0,,,,,,,,
