liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Appearances,Total Unsuccessful Passes ( Excl Crosses & Corners ),Ground Duels won,Tackles Lost,Unsuccessful Passes Opposition Half,Goals Conceded Inside Box,Blocks,Total Shots,Open Play Passes,Aerial Duels lost,Successful Long Passes,Aerial Duels,Total Touches In Opposition Box,Goals Conceded,Unsuccessful Passes Own Half,Duels lost,Duels won,Touches,Rightside Passes,Unsuccessful Launches,Successful Passes Opposition Half,Games Played,Ground Duels lost,Recoveries,Shots Off Target (inc woodwork),Successful Short Passes,Total Passes,Total Fouls Won,Total Tackles,Backward Passes,Unsuccessful Long Passes,Aerial Duels won,Unsuccessful Short Passes,Successful Launches,Index,Duels,Forward Passes,Tackles Won,Interceptions,Ground Duels,Successful Passes Own Half,Starts,Throw Ins to Own Player,Total Clearances,Total Fouls Conceded,Foul Attempted Tackle,Successful Open Play Passes,Leftside Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Yellow Cards,Home Goals,Away Goals,Winning Goal,Substitute Off,Times Tackled,Unsuccessful Crosses & Corners,PutThrough/Blocked Distribution,Substitute On,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Offsides,Corners Won,Shots On Target ( inc goals ),Successful Corners into Box,Key Passes (Attempt Assists),Blocked Shots,Successful Dribbles,Unsuccessful Corners into Box,Unsuccessful Dribbles,Successful Crosses & Corners,Corners Taken (incl short corners),Throw Ins to Opposition Player,Successful Crosses open play,Punches,Saves Made,Saves Made from Inside Box,Saves made - parried,Catches,GK Unsuccessful Distribution,GK Successful Distribution,Goal Assists,Assists (Intentional),Straight Red Cards,Total Red Cards,Goals,Goals from Inside Box,Right Foot Goals,Saves Made from Outside Box,Penalty Goals Conceded,Left Foot Goals,Clean Sheets,Hit Woodwork,Headed Goals,Goals from Outside Box,Penalties Conceded,Second Goal Assists,Successful Lay-offs,Penalties Taken,Through balls,Penalty Goals,Foul Won Penalty,Penalties Faced,Attempts from Set Pieces,Red Cards - 2nd Yellow,Handballs conceded,Goals Conceded Outside Box,Overruns,Saves made - caught,Goal Kicks,Drops,Clearances Off the Line,Last Man Tackle,Goalkeeper Smother,Unsuccessful lay-offs,Set Pieces Goals,Own Goal Scored,Saves from Penalty,Penalties Saved,Crosses not Claimed
USA_US_Open_Cup,2022,Greenville Triumph SC,9m2l2wpu8cht54izobml845t6,N. Brown,Forward,77,30.0,1.0,,2.0,,2.0,1.0,,,6.0,3.0,,3.0,,1.0,,5.0,2.0,14.0,1.0,,3.0,1.0,2.0,4.0,,6.0,6.0,2.0,,5.0,,,,,10.0,7.0,,,,4.0,3.0,,,,1.0,1.0,6.0,,6.0,5.0,,0.0,0.0,0.0,,1.0,2.0,1.0,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Greenville Triumph SC,9rqg28t19sxq1clyfwa4tej9w,P. Cayelli,Midfielder,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Greenville Triumph SC,bj3zanm7fwttsy6stka2l84b9,P. Christensen,Goalkeeper,30,210.0,2.0,39.0,1.0,,35.0,2.0,,,18.0,,23.0,,,2.0,4.0,,1.0,82.0,,18.0,19.0,2.0,,14.0,,3.0,65.0,1.0,,,39.0,,,10.0,10.0,1.0,62.0,,,1.0,7.0,2.0,,1.0,,,7.0,3.0,26.0,39.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,12.0,9.0,2.0,1.0,9.0,13.0,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Greenville Triumph SC,1obodv132w5wxq4nb008ty06i,Lucas Coutinho,Midfielder,33,53.0,1.0,5.0,3.0,,4.0,,,,16.0,1.0,2.0,1.0,1.0,,1.0,4.0,3.0,23.0,4.0,1.0,8.0,1.0,3.0,1.0,,10.0,17.0,,,2.0,2.0,,3.0,,10.0,7.0,5.0,,,6.0,4.0,1.0,,,,,11.0,6.0,12.0,7.0,,0.0,0.0,0.0,1.0,2.0,,,,,,,1.0,,,,,3.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Greenville Triumph SC,3dukfh4bzwt1f43e42kd86jv8,A. Cox-Ashwood,Midfielder,17,1.0,1.0,,,,2.0,,,,,1.0,,1.0,,,,1.0,,2.0,,,,1.0,,1.0,,,,,,,,,,,10.0,1.0,,,,,,,,,,,,,,2.0,,0.0,0.0,0.0,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Greenville Triumph SC,7ey36fzfv9qmuxhswgnvehilm,V. Evans,Midfielder,19,119.0,1.0,9.0,7.0,,11.0,2.0,,,31.0,4.0,,7.0,1.0,2.0,1.0,9.0,10.0,55.0,4.0,,18.0,1.0,5.0,7.0,,22.0,31.0,3.0,3.0,9.0,1.0,3.0,8.0,,10.0,19.0,13.0,3.0,,12.0,6.0,1.0,,1.0,,,22.0,5.0,22.0,20.0,,0.0,0.0,0.0,1.0,5.0,3.0,,,3.0,,,,,,2.0,1.0,1.0,,,2.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Greenville Triumph SC,8q9i310z2ofsw5x7ox333wxk9,J. Filerman,Defender,2,51.0,2.0,10.0,7.0,4.0,11.0,1.0,,,12.0,1.0,,2.0,,1.0,1.0,3.0,8.0,28.0,2.0,1.0,3.0,2.0,2.0,3.0,,2.0,12.0,1.0,6.0,2.0,3.0,1.0,7.0,,10.0,11.0,7.0,2.0,1.0,9.0,,,,1.0,2.0,1.0,2.0,1.0,2.0,14.0,2.0,0.0,0.0,0.0,,,2.0,1.0,2.0,2.0,,,1.0,,,,1.0,,,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Greenville Triumph SC,ee12f0u7m07sw81xkozouyd3p,B. Fricke,Defender,15,141.0,2.0,18.0,4.0,,10.0,2.0,1.0,,44.0,1.0,7.0,4.0,,2.0,8.0,3.0,7.0,63.0,5.0,7.0,10.0,2.0,2.0,9.0,,22.0,47.0,3.0,1.0,3.0,10.0,3.0,8.0,2.0,10.0,10.0,33.0,1.0,3.0,6.0,19.0,1.0,,7.0,1.0,,28.0,6.0,29.0,18.0,,0.0,0.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Greenville Triumph SC,bolmgcfvbdizfyh6n9oz4xjsa,A. Gavilanes,Midfielder,23,159.0,2.0,10.0,6.0,,18.0,1.0,,3.0,32.0,2.0,1.0,4.0,5.0,1.0,2.0,8.0,8.0,75.0,7.0,2.0,15.0,2.0,6.0,15.0,1.0,22.0,33.0,2.0,2.0,9.0,2.0,2.0,8.0,,10.0,16.0,14.0,2.0,,12.0,11.0,2.0,3.0,3.0,,,22.0,3.0,23.0,28.0,,0.0,0.0,0.0,2.0,6.0,10.0,3.0,,6.0,,1.0,,2.0,,1.0,,2.0,3.0,1.0,3.0,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2022,Greenville Triumph SC,6i0jmexul7bdkldopvslc8t90,B. Hale,Goalkeeper,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
