liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Substitute Off,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Aerial Duels won,Duels,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Duels lost,Throw Ins to Own Player,Goals,Corners Won,Shots Off Target (inc woodwork),Total Shots,Total Touches In Opposition Box,Shots On Target ( inc goals ),Total Fouls Won,Left Foot Goals,Goals from Inside Box,Ground Duels won,Successful Launches,Unsuccessful Launches,Yellow Cards,Total Tackles,Successful Dribbles,Throw Ins to Opposition Player,Tackles Lost,Interceptions,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Blocks,Total Clearances,Unsuccessful Crosses & Corners,Tackles Won,Substitute On,Successful Crosses & Corners,Successful Corners into Box,Blocked Shots,Corners Taken (incl short corners),Goals from Outside Box,Attempts from Set Pieces,Unsuccessful Corners into Box,Offsides,Successful Crosses open play,Assists (Intentional),Goal Assists,Through balls,Successful Lay-offs,Handballs conceded,Penalties Conceded,Unsuccessful Dribbles,Headed Goals,Saves Made,GK Successful Distribution,Punches,Penalties Saved,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves from Penalty,GK Unsuccessful Distribution,Right Foot Goals,Foul Won Penalty,Catches,Saves Made from Outside Box,Penalties Taken,Penalty Goals,Times Tackled,Goals Conceded Outside Box,Home Goals,Away Goals,Winning Goal,Clean Sheets,Goalkeeper Smother,Hit Woodwork,Total Red Cards,Straight Red Cards,Own Goal Scored,Clearances Off the Line,Unsuccessful lay-offs,Drops,Second Goal Assists,Saves made - caught,Last Man Tackle
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,6k5pkrdqybhkmusbc5gragnhl,R. Bowers,Midfielder,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,co6rf02wfkxsbwax78ywgec45,K. Farquharson,Midfielder,27,8.0,5.0,1.0,3.0,1.0,,1.0,1.0,,,5.0,,2.0,4.0,2.0,1.0,2.0,,1.0,,,,,8.0,1.0,2.0,3.0,1.0,1.0,1.0,,,3.0,2.0,1.0,2.0,1.0,4.0,4.0,,2.0,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,cu94mp8nllo13dw4nr92x4zbp,K. Foster,Goalkeeper,13,180.0,9.0,,8.0,19.0,,19.0,17.0,,1.0,44.0,,,14.0,5.0,19.0,8.0,,17.0,19.0,2.0,,2.0,80.0,2.0,,1.0,34.0,85.0,3.0,11.0,2.0,3.0,6.0,2.0,,2.0,6.0,25.0,2.0,,,,,,,,,1.0,,,1.0,2.0,5.0,,1.0,,,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,17.0,24.0,3.0,,4.0,8.0,1.0,,6.0,,,2.0,9.0,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,b94672anjq9m7dmu87huzp2ol,R. Harriott,Defender,19,91.0,21.0,1.0,2.0,6.0,1.0,9.0,10.0,3.0,1.0,21.0,,,10.0,3.0,9.0,2.0,,1.0,1.0,1.0,,8.0,28.0,2.0,,,12.0,1.0,,2.0,,1.0,4.0,2.0,,6.0,12.0,12.0,1.0,1.0,,,,,1.0,,1.0,,,,,2.0,4.0,,,,,,,,,1.0,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,6oeq4bffzuw1596nd2m3orn8q,S. James,Midfielder,11,180.0,51.0,8.0,17.0,5.0,2.0,25.0,19.0,10.0,1.0,51.0,,2.0,35.0,5.0,15.0,10.0,4.0,13.0,13.0,2.0,,3.0,81.0,2.0,1.0,24.0,19.0,29.0,11.0,1.0,1.0,27.0,6.0,2.0,14.0,14.0,36.0,36.0,3.0,16.0,1.0,,,,,5.0,,2.0,,,10.0,,1.0,,5.0,3.0,,,1.0,1.0,,,4.0,1.0,5.0,,,,2.0,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,1jr1p569pwakt9jia014849gp,R. Johnson,Defender,16,180.0,43.0,9.0,12.0,6.0,3.0,22.0,21.0,6.0,1.0,45.0,,2.0,29.0,5.0,12.0,7.0,,6.0,14.0,2.0,4.0,7.0,92.0,2.0,2.0,19.0,22.0,22.0,13.0,4.0,1.0,23.0,6.0,2.0,7.0,7.0,31.0,33.0,4.0,10.0,5.0,,,1.0,1.0,2.0,,2.0,,,12.0,1.0,3.0,,6.0,4.0,1.0,2.0,3.0,1.0,3.0,1.0,6.0,1.0,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,bgeenpckzwo50rj3fp5z3bo5,S. Knight,Midfielder,7,135.0,42.0,4.0,12.0,9.0,,16.0,17.0,6.0,,44.0,1.0,1.0,27.0,3.0,15.0,9.0,3.0,10.0,8.0,2.0,1.0,5.0,62.0,2.0,1.0,9.0,23.0,20.0,9.0,2.0,3.0,12.0,3.0,2.0,3.0,8.0,27.0,29.0,3.0,3.0,,,,1.0,2.0,,1.0,,,,6.0,,2.0,,5.0,1.0,,1.0,2.0,,,,2.0,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,bnk1meadf9g9675g7fdqkul4a,R. Mitchell,Forward,26,23.0,5.0,1.0,4.0,,,4.0,,1.0,1.0,5.0,,,4.0,1.0,1.0,1.0,,,1.0,,,1.0,8.0,1.0,,2.0,2.0,14.0,1.0,,1.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,codmjv4pdtghkn1h0tgln9g45,R. Morris,Midfielder,8,180.0,27.0,9.0,14.0,2.0,5.0,30.0,15.0,4.0,1.0,33.0,,2.0,26.0,5.0,6.0,9.0,1.0,15.0,5.0,2.0,4.0,2.0,77.0,2.0,,13.0,6.0,45.0,9.0,1.0,1.0,19.0,6.0,2.0,5.0,9.0,21.0,27.0,6.0,10.0,1.0,,5.0,3.0,6.0,7.0,3.0,5.0,,,8.0,,,,,4.0,,,,8.0,1.0,,,11.0,,,2.0,2.0,,5.0,,1.0,3.0,1.0,1.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,9ebo92ex6kgf10a4mt3dmwpud,C. Pryce,Forward,15,18.0,8.0,4.0,6.0,,,2.0,3.0,1.0,,10.0,,,9.0,2.0,1.0,3.0,,1.0,2.0,,,,14.0,1.0,,2.0,1.0,75.0,1.0,,,2.0,2.0,1.0,1.0,2.0,7.0,9.0,,1.0,,,,2.0,2.0,3.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,fwvuutl63pkjjrbsirkp9sdl,O. Ricketts,Defender,14,180.0,38.0,6.0,7.0,7.0,1.0,13.0,22.0,3.0,1.0,39.0,,,24.0,5.0,10.0,9.0,,3.0,9.0,2.0,,7.0,72.0,2.0,,3.0,22.0,21.0,4.0,5.0,1.0,5.0,6.0,2.0,,2.0,28.0,29.0,2.0,1.0,14.0,,,,,,,,,,3.0,3.0,4.0,,3.0,,3.0,1.0,2.0,,,1.0,7.0,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,ejqz6eozwy341cvb9bfi275nu,E. Rousseau,Midfielder,23,90.0,17.0,,5.0,3.0,2.0,10.0,5.0,4.0,1.0,17.0,,1.0,8.0,3.0,7.0,8.0,1.0,8.0,,1.0,1.0,1.0,25.0,1.0,,2.0,8.0,8.0,1.0,2.0,,4.0,4.0,1.0,1.0,1.0,10.0,10.0,2.0,3.0,2.0,,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,,,2.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,11fnw0grmhiwnqc6xg7xjlasp,T. Shaw,Midfielder,17,90.0,17.0,2.0,5.0,1.0,1.0,3.0,10.0,2.0,1.0,18.0,,1.0,13.0,3.0,3.0,5.0,,2.0,1.0,1.0,,1.0,22.0,1.0,1.0,6.0,6.0,15.0,2.0,2.0,1.0,8.0,4.0,1.0,5.0,5.0,14.0,15.0,2.0,6.0,,,,,,,,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2020,Portmore United FC,4yvcxpxidirl8znsf54oihduy,R. Smith,Forward,20,149.0,34.0,4.0,10.0,3.0,10.0,28.0,7.0,14.0,,34.0,2.0,3.0,17.0,2.0,17.0,7.0,1.0,15.0,10.0,2.0,4.0,3.0,55.0,2.0,3.0,11.0,17.0,31.0,6.0,,3.0,24.0,2.0,2.0,8.0,6.0,17.0,17.0,13.0,18.0,,1.0,1.0,,1.0,3.0,1.0,2.0,1.0,1.0,3.0,,1.0,,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
