root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Substitute On,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Saves Made,GK Successful Distribution,Penalties Conceded,Total Fouls Conceded,Rightside Passes,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Yellow Cards,PutThrough/Blocked Distribution Won,Substitute Off,Corners Taken (incl short corners),Foul Attempted Tackle,Aerial Duels won,Unsuccessful Dribbles,Offsides,Shots Off Target (inc woodwork),Total Shots,Total Touches In Opposition Box,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goal Assists,Goals,Blocked Shots,Shots On Target ( inc goals ),Left Foot Goals,Headed Goals,Goals from Inside Box,Set Pieces Goals,Successful Corners into Box,Goals from Outside Box,Attempts from Set Pieces,Clearances Off the Line,Hit Woodwork,Unsuccessful lay-offs,Successful Lay-offs,Clean Sheets,Punches,Total Red Cards,Straight Red Cards,Crosses not Claimed,Through balls,Own Goal Scored,Right Foot Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Goals Conceded Outside Box,Goalkeeper Smother,Red Cards - 2nd Yellow,Penalties Saved,Saves from Penalty,Last Man Tackle,Other Goals
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,15pxobn91cyrhdzpshwwmzjrp,M. Figueroa,Defender,31,12.0,540.0,13.0,,2.0,229.0,5.0,20.0,2.0,86.0,6.0,27.0,2.0,70.0,102.0,13.0,20.0,233.0,3.0,157.0,5.0,47.0,4.0,51.0,4.0,24.0,6.0,6.0,8.0,317.0,6.0,,21.0,108.0,50.0,21.0,29.0,2.0,,28.0,10.0,8.0,12.0,6.0,5.0,10.0,183.0,186.0,7.0,10.0,7.0,3.0,10.0,16.0,,,,3.0,95.0,,,,,,,,,1.0,4.0,,,2.0,5.0,1.0,,2.0,4.0,5.0,,,,,1.0,1.0,2.0,1.0,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,3.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,83fa3xeia5zzfl19tk08vy3f9,J. Gonzalez,Goalkeeper,1,,360.0,,,2.0,29.0,,,,5.0,4.0,16.0,,17.0,42.0,,1.0,64.0,,38.0,3.0,17.0,,15.0,,26.0,4.0,,2.0,87.0,4.0,,,34.0,35.0,,9.0,,,,,4.0,,4.0,,14.0,24.0,47.0,,,,,,,6.0,31.0,,,16.0,1.0,,4.0,3.0,2.0,,,9.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,f15e7ll43agweeu2ftaw8zsut,H. Grana,Defender,2,8.0,354.0,31.0,,,131.0,3.0,26.0,4.0,59.0,3.0,4.0,1.0,65.0,51.0,8.0,22.0,132.0,13.0,98.0,4.0,26.0,3.0,26.0,7.0,25.0,4.0,7.0,9.0,250.0,4.0,,52.0,51.0,47.0,30.0,8.0,4.0,7.0,55.0,6.0,6.0,9.0,4.0,24.0,48.0,105.0,106.0,3.0,6.0,25.0,2.0,5.0,28.0,,,,7.0,7.0,,,,,,,,,1.0,4.0,1.0,,3.0,2.0,8.0,1.0,,,2.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,8ls8npa774mbrxje10ff46sb9,C. Gruezo,Midfielder,7,,540.0,1.0,,1.0,255.0,,32.0,,98.0,4.0,13.0,6.0,51.0,124.0,20.0,28.0,263.0,1.0,193.0,7.0,41.0,1.0,34.0,,49.0,6.0,5.0,7.0,319.0,6.0,,48.0,79.0,59.0,27.0,29.0,,3.0,57.0,4.0,9.0,,6.0,24.0,63.0,215.0,222.0,9.0,16.0,30.0,4.0,4.0,24.0,,,,16.0,89.0,,,,,,,,,1.0,3.0,,,10.0,3.0,1.0,,4.0,6.0,3.0,,,1.0,3.0,1.0,3.0,2.0,,1.0,1.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,2.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,bpkzxcqtmvei7lqkqzuvzelsl,A. Guillén,Defender,33,2.0,271.0,9.0,1.0,2.0,130.0,2.0,18.0,,44.0,1.0,3.0,,17.0,82.0,10.0,5.0,134.0,1.0,123.0,4.0,8.0,1.0,6.0,2.0,8.0,3.0,,4.0,183.0,4.0,1.0,25.0,45.0,48.0,17.0,3.0,,6.0,25.0,8.0,4.0,2.0,4.0,8.0,27.0,122.0,126.0,,7.0,8.0,3.0,4.0,17.0,,,,6.0,44.0,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,8mzf1lhkgv7obfx70f45f3651,A. Harris,Midfielder,14,5.0,328.0,24.0,4.0,1.0,139.0,1.0,21.0,2.0,56.0,7.0,12.0,4.0,58.0,57.0,9.0,22.0,145.0,1.0,104.0,5.0,34.0,3.0,36.0,11.0,16.0,3.0,6.0,3.0,232.0,7.0,1.0,25.0,54.0,26.0,15.0,7.0,2.0,3.0,31.0,7.0,6.0,5.0,7.0,12.0,64.0,106.0,111.0,6.0,6.0,16.0,3.0,8.0,13.0,,1.0,,10.0,6.0,,,,,,,,,,2.0,,,4.0,2.0,4.0,,,2.0,6.0,,2.0,,,2.0,1.0,2.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,1.0
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,abmg1ps5i7uo3p08vpnvqdr6x,J. Hayes,Midfielder,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,cmz985xi3gvv1mdwb10r5ijmd,M. Hedges,Defender,24,,630.0,1.0,,1.0,276.0,,10.0,,58.0,5.0,16.0,5.0,36.0,192.0,13.0,18.0,284.0,1.0,210.0,7.0,34.0,1.0,21.0,,23.0,7.0,3.0,13.0,343.0,7.0,6.0,25.0,119.0,47.0,24.0,40.0,,2.0,38.0,19.0,10.0,,7.0,9.0,62.0,243.0,250.0,13.0,10.0,14.0,3.0,7.0,16.0,,,,10.0,93.0,,,,,,,,,3.0,3.0,,,4.0,8.0,,,1.0,2.0,5.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,3.0,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,dvc1gfgh19884rmwx8ycj2pk9,R. Herman,Goalkeeper,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,FC Dallas,FC_Dallas,82sayfife5cfdk9isox5gg8ut,R. Hollingshead,Defender,12,2.0,229.0,3.0,1.0,,116.0,2.0,24.0,1.0,59.0,2.0,3.0,1.0,42.0,28.0,7.0,28.0,117.0,3.0,79.0,1.0,31.0,,25.0,1.0,10.0,3.0,1.0,8.0,150.0,4.0,,22.0,42.0,51.0,15.0,7.0,1.0,2.0,26.0,,2.0,2.0,4.0,10.0,6.0,85.0,86.0,4.0,7.0,11.0,,2.0,12.0,,,,6.0,45.0,,,,,,,,,,,2.0,,2.0,3.0,,,,1.0,6.0,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,,,
