liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Clearances Off the Line,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,GK Successful Distribution,Games Played,Goal Kicks,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals from Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Headed Goals,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Other Goals,Overruns,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Successful Dribbles,Successful Launches,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Saved,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Unsuccessful lay-offs,Yellow Cards,Home Goals,Away Goals,Winning Goal,Attempts from Set Pieces,Corners Taken (incl short corners),Goals Openplay,Handballs conceded,Penalties Taken,Penalty Goals,Right Foot Goals,Second Goal Assists,Substitute Off,Substitute On,Successful Lay-offs,Through balls,Unsuccessful Corners into Box,Foul Won Penalty,Goal Assists,Penalties Conceded,Successful Crosses & Corners,Successful Crosses open play,Throw Ins to Opposition Player,Assists (Intentional),Hit Woodwork,Successful Corners into Box,Left Foot Goals,Direct Setpiece Goals,Goals from Outside Box,Set Pieces Goals,Last Player Tackle,Own Goal Scored,Straight Red Cards,Total Red Cards,Red Cards - 2nd Yellow,GK Unsuccessful Distribution,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Catches,Drops,Goalkeeper Smother,Penalties Faced,Penalties Saved,Punches,Saves from Penalty,Saves made - caught,Saves made - parried,Penalties Off Target
Mexico_Liga_MX,2025-2026,Club Universidad Nacional,3qdf5jrqk4oozfs4lr07e6j8p,Á. Angulo,Defender,77,44.0,19.0,25.0,20.0,159.0,3.0,6.0,98.0,7.0,,10.0,130.0,58.0,72.0,246.0,130.0,7.0,,20.0,,3.0,23.0,18.0,5.0,3.0,86.0,39.0,47.0,,20.0,9.0,15.0,7.0,548.0,,,4.0,66.0,23.0,7.0,38.0,252.0,9.0,14.0,5.0,20.0,5.0,3.0,18.0,466.0,205.0,277.0,456.0,11.0,20.0,91.0,1745.0,9.0,1.0,1.0,,2.0,67.0,20.0,11.0,191.0,556.0,19.0,474.0,31.0,42.0,82.0,967.0,35.0,35.0,7.0,16.0,30.0,89.0,28.0,52.0,,3.0,3.0,0.0,1.0,,,1.0,2.0,,,,,3.0,,,,,,,,8.0,8.0,45.0,,,,3.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Universidad Nacional,4051hgvu9v8jnu9rbbd0pr9bd,U. Antuna,Forward,21,26.0,15.0,11.0,21.0,74.0,1.0,3.0,60.0,2.0,,5.0,73.0,43.0,30.0,177.0,48.0,5.0,,21.0,,3.0,11.0,10.0,1.0,3.0,47.0,28.0,19.0,1.0,8.0,9.0,105.0,5.0,256.0,,,3.0,29.0,18.0,10.0,25.0,33.0,12.0,4.0,7.0,9.0,2.0,,9.0,211.0,140.0,81.0,206.0,6.0,5.0,12.0,971.0,10.0,3.0,,,2.0,11.0,9.0,6.0,99.0,260.0,11.0,215.0,11.0,24.0,45.0,416.0,21.0,20.0,4.0,4.0,6.0,54.0,12.0,39.0,,1.0,0.0,3.0,1.0,,2.0,2.0,1.0,,,2.0,,7.0,12.0,2.0,,1.0,1.0,3.0,,6.0,5.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Universidad Nacional,4srx8xy0kspwvk1faw7xsj310,Á. Azuaje,Defender,215,31.0,20.0,11.0,11.0,20.0,,6.0,127.0,3.0,,2.0,59.0,39.0,20.0,33.0,155.0,3.0,2.0,11.0,2.0,,8.0,5.0,3.0,,28.0,19.0,9.0,,3.0,2.0,60.0,1.0,355.0,,,,67.0,9.0,4.0,19.0,128.0,2.0,2.0,1.0,7.0,3.0,4.0,25.0,287.0,106.0,187.0,268.0,,4.0,6.0,672.0,5.0,,,,,58.0,7.0,2.0,87.0,363.0,3.0,293.0,4.0,7.0,70.0,486.0,2.0,2.0,2.0,17.0,38.0,48.0,24.0,32.0,,2.0,,,0.0,,,,,,,,,2.0,4.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Universidad Nacional,2mcy76o0t3fqqdwtvc0v2n42y,P. Bennevendo,Defender,2,27.0,14.0,13.0,13.0,28.0,,11.0,77.0,3.0,,1.0,63.0,26.0,37.0,33.0,145.0,3.0,,13.0,,,7.0,6.0,1.0,,36.0,12.0,24.0,,8.0,,101.0,,337.0,,1.0,3.0,51.0,9.0,5.0,19.0,73.0,,1.0,,6.0,,1.0,7.0,286.0,124.0,171.0,288.0,9.0,7.0,22.0,635.0,4.0,,,,,57.0,4.0,8.0,78.0,347.0,1.0,295.0,16.0,1.0,52.0,511.0,1.0,1.0,1.0,12.0,20.0,31.0,22.0,32.0,,1.0,,,0.0,,,,,,,,,1.0,7.0,1.0,,,,,,,,12.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Universidad Nacional,51gu23f6rpg1j0hs6d8dtpn56,J. Caicedo,Midfielder,8,,,,3.0,,,,3.0,,,,3.0,2.0,1.0,1.0,9.0,,,3.0,,,1.0,1.0,,,3.0,2.0,1.0,,,,5.0,,18.0,,,,1.0,,,,4.0,,,,,,,1.0,15.0,6.0,9.0,14.0,,1.0,,38.0,2.0,,,,,3.0,,,8.0,18.0,,15.0,1.0,,3.0,27.0,,,,1.0,1.0,2.0,1.0,2.0,,,,,0.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Universidad Nacional,6knzu4ywl5yag1h8ij16g2rqh,A. Carrasquilla,Midfielder,28,17.0,7.0,10.0,19.0,138.0,8.0,3.0,229.0,4.0,,7.0,137.0,70.0,67.0,279.0,238.0,14.0,,19.0,,2.0,18.0,14.0,4.0,,120.0,63.0,57.0,,12.0,20.0,210.0,,721.0,,,4.0,132.0,24.0,12.0,87.0,156.0,22.0,9.0,6.0,17.0,15.0,1.0,61.0,592.0,359.0,257.0,549.0,4.0,9.0,2.0,1509.0,29.0,5.0,2.0,,,12.0,28.0,29.0,234.0,742.0,15.0,610.0,13.0,27.0,132.0,998.0,16.0,6.0,6.0,4.0,23.0,130.0,18.0,109.0,,6.0,2.0,0.0,0.0,,8.0,2.0,1.0,,,2.0,,6.0,2.0,16.0,6.0,6.0,,2.0,1.0,6.0,2.0,,1.0,1.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Universidad Nacional,1s6iiyybed5a643wiv9x7ui5m,J. Carrillo,Midfielder,33,30.0,20.0,10.0,20.0,115.0,11.0,,163.0,,,10.0,186.0,92.0,94.0,283.0,83.0,12.0,,20.0,,6.0,18.0,14.0,4.0,3.0,156.0,72.0,84.0,1.0,5.0,16.0,73.0,,436.0,,1.0,3.0,82.0,20.0,13.0,60.0,178.0,19.0,6.0,12.0,18.0,17.0,,19.0,380.0,258.0,144.0,372.0,13.0,15.0,10.0,1321.0,36.0,2.0,2.0,,2.0,12.0,23.0,39.0,177.0,449.0,18.0,391.0,28.0,29.0,58.0,763.0,44.0,11.0,19.0,3.0,11.0,84.0,18.0,47.0,,3.0,4.0,2.0,2.0,4.0,27.0,4.0,2.0,,,5.0,,16.0,2.0,11.0,1.0,20.0,2.0,3.0,,11.0,4.0,1.0,1.0,1.0,5.0,,2.0,3.0,2.0,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Universidad Nacional,etk3spm2pmz2iln90ua4q9gk4,Y. Del Valle,Forward,205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Universidad Nacional,8tgmgddqyivjt0eenqik5mwut,Rubén Duarte,Defender,5,52.0,33.0,19.0,16.0,43.0,2.0,12.0,115.0,4.0,,2.0,79.0,46.0,33.0,57.0,249.0,5.0,3.0,16.0,3.0,1.0,16.0,14.0,2.0,1.0,27.0,13.0,14.0,,13.0,1.0,102.0,,635.0,,,4.0,59.0,11.0,6.0,32.0,268.0,1.0,4.0,2.0,12.0,,8.0,33.0,565.0,212.0,379.0,558.0,2.0,5.0,6.0,1120.0,,,1.0,,1.0,71.0,8.0,7.0,88.0,662.0,6.0,591.0,7.0,11.0,71.0,823.0,10.0,9.0,,27.0,47.0,58.0,23.0,24.0,,3.0,1.0,0.0,0.0,,,,,,,,,2.0,4.0,,,,,,1.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2025-2026,Club Universidad Nacional,150pcnd58ziyx2rvmxn05kzkk,S. García,Midfielder,203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
