liga,temporada,equipo,id,nombre,posicion,dorsal,Total Losses Of Possession,Time Played,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,Successful Open Play Passes,Unsuccessful Short Passes,Duels,Forward Passes,Corners Won,Throw Ins to Own Player,Goals Conceded Inside Box,Ground Duels lost,Unsuccessful Passes Own Half,Touches,Successful Passes Own Half,Substitute On,Penalty Goals Conceded,Index,Goals Conceded,Recoveries,Duels lost,Total Passes,Unsuccessful Crosses open play,Total Fouls Conceded,Yellow Cards,Unsuccessful Passes Opposition Half,Total Successful Passes ( Excl Crosses & Corners ) ,Leftside Passes,Appearances,Games Played,Unsuccessful Dribbles,Times Tackled,PutThrough/Blocked Distribution,Unsuccessful Crosses & Corners,Ground Duels,Successful Passes Opposition Half,Successful Short Passes,Home Goals,Away Goals,Winning Goal,Rightside Passes,Successful Long Passes,Goals Conceded Outside Box,Successful Launches,Total Tackles,Aerial Duels,Aerial Duels lost,Blocked Shots,Starts,Substitute Off,Total Touches In Opposition Box,Backward Passes,Unsuccessful Long Passes,Tackles Lost,Interceptions,Total Clearances,Unsuccessful Launches,Total Fouls Won,Aerial Duels won,Duels won,Tackles Won,Ground Duels won,Through balls,Successful Crosses & Corners,Handballs conceded,Last Man Tackle,Successful Crosses open play,Successful Dribbles,Key Passes (Attempt Assists),Foul Attempted Tackle,Blocks,Shots Off Target (inc woodwork),PutThrough/Blocked Distribution Won,Clean Sheets,Shots On Target ( inc goals ),Corners Taken (incl short corners),Throw Ins to Opposition Player,Unsuccessful Corners into Box,Total Shots,Left Foot Goals,Offsides,Goal Assists,Goals from Inside Box,Goals,Goals from Outside Box,Assists (Intentional),Hit Woodwork,Right Foot Goals,Penalties Taken,Successful Lay-offs,Unsuccessful lay-offs,Headed Goals,Penalty Goals,Foul Won Penalty,Second Goal Assists,GK Successful Distribution,Attempts from Set Pieces,Successful Corners into Box,Red Cards - 2nd Yellow,Penalties Conceded,Total Red Cards,Saves Made from Outside Box,Catches,Penalties Saved,Saves from Penalty,Saves made - parried,Punches,Saves Made,Penalties Faced,Saves Made from Inside Box,GK Unsuccessful Distribution,Drops,Overruns,Saves made - caught,Goal Kicks,Straight Red Cards,Penalties Off Target,Clearances Off the Line,Own Goal Scored,Goalkeeper Smother,Set Pieces Goals,Last Player Tackle,Crosses not Claimed
Mexico_Liga_MX,2021-2022,Atlas FC,apsv0c0r1zc7q3bjqex8033kl,J. Abella,Defender,4,3,19,1,6,5,1,2,2,1,1,1,2,1,10,1,2,1,10,1,1,2,6,1,1,1,1,5,4,2,2,1,1,1,1,2,4,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Atlas FC,ancqubjqqf22bdzlposz8okbt,G. Aguirre,Defender,13,15,147,14,82,69,6,16,35,,1,,4,8,102,37,3,,10,1,6,7,85,,2,1,6,71,29,4,4,,,,,9,34,63,0,0,0,19,8,1,2,4,7,3,1,1,1,1,2,8,1,2,6,3,1,4,9,3,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Atlas FC,609edevf8qla1f6vi4mjkkgkp,J. Angulo,Defender,27,226,1642,140,633,496,68,199,322,2,107,8,61,26,1074,254,,3,10,12,79,80,656,10,34,3,128,516,63,18,18,7,17,21,14,142,267,454,0,0,0,199,62,4,9,45,57,19,,18,2,4,72,72,15,41,34,20,31,38,119,30,81,,5,2,1,5,6,7,15,10,3,9,8,1,3,38,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Atlas FC,cxktd9vpx9m7gmgdfcy9v4n3d,D. Barbosa,Defender,15,400,2066,212,595,384,141,263,246,21,176,10,97,57,1233,141,,2,10,14,117,121,599,64,39,3,219,387,236,23,23,23,38,56,64,216,261,344,1,1,0,28,43,4,13,77,47,24,8,23,4,38,89,71,32,13,30,47,11,23,142,45,119,4,15,,,15,32,20,21,3,9,17,11,8,,48,,17,1,2,2,1,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Atlas FC,bux3qj934czxv2imllf9o6t3p,A. Chalá,Defender,21,45,237,12,48,36,12,26,17,2,12,4,14,4,118,9,7,2,10,4,13,17,50,6,3,1,17,38,4,9,9,11,12,6,9,20,29,37,0,0,0,20,1,,,2,6,3,,2,2,3,9,,,7,2,,3,3,9,2,6,,,,,,1,1,1,,,2,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Atlas FC,2xchh8ku8lm05p0sd89y6gjit,J. Furch,Forward,9,298,1979,177,489,312,172,361,143,12,1,11,52,10,828,55,1,3,10,14,58,187,519,5,16,,172,342,151,23,23,5,34,30,5,94,287,338,4,5,6,124,4,3,,8,267,135,8,22,9,132,101,5,5,4,23,3,28,132,174,3,42,6,,,,,9,29,6,1,19,9,6,20,,,,39,1,15,3,8,9,1,1,1,5,2,30,8,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Atlas FC,9e6gavtd12x5curksj8yno5ih,B. Garnica,Midfielder,11,26,112,8,35,27,8,20,6,2,8,1,8,1,81,7,7,,10,1,5,9,36,9,,,17,28,5,7,7,4,5,2,10,17,23,27,0,0,0,17,1,,,2,3,1,1,,,5,8,,1,1,,,3,2,11,1,9,,2,,,2,5,3,,1,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Atlas FC,69fnat87plv2mxsyivi1n0twq,A. Gómez,Defender,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Atlas FC,2hlfqnms7bs6eiy9gibc4fvft,José Hernández,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Atlas FC,l4rbm35vbn136hutia3pksiy,O. Herrera,Forward,199,97,521,35,126,91,31,89,32,2,2,3,32,6,254,31,7,,10,4,32,50,126,14,7,,44,91,11,13,13,14,21,9,15,59,64,90,0,0,0,43,1,1,,8,30,18,2,6,6,27,40,4,5,3,3,1,9,12,39,3,27,,4,,,4,10,6,4,,6,6,,1,1,,1,7,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Atlas FC,9ovohr9c65nhr4dabm32t7pbd,G. Maroni,Midfielder,10,36,144,17,65,48,16,23,22,1,,1,12,,99,11,6,,10,1,7,13,65,2,2,,19,48,22,7,7,4,9,2,2,19,37,44,0,0,0,15,4,,,3,4,1,,1,1,4,6,1,1,,1,,3,3,10,2,7,,,,,,2,4,2,,1,2,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
