liga,temporada,equipo,id,nombre,posicion,dorsal,Throw Ins to Own Player,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Long Passes,Unsuccessful Short Passes,Successful Passes Own Half,Duels lost,Total Successful Passes ( Excl Crosses & Corners ) ,Unsuccessful Dribbles,Backward Passes,Duels won,PutThrough/Blocked Distribution,Total Fouls Won,Aerial Duels,Total Losses Of Possession,Successful Short Passes,Total Clearances,Time Played,Clean Sheets,Unsuccessful Passes Opposition Half,Duels,Index,Rightside Passes,Ground Duels,Ground Duels won,Throw Ins to Opposition Player,Starts,Unsuccessful Long Passes,Ground Duels lost,Appearances,Open Play Passes,Tackles Lost,Games Played,Aerial Duels lost,Leftside Passes,Foul Attempted Tackle,Successful Open Play Passes,Total Tackles,Unsuccessful Passes Own Half,Interceptions,Total Passes,Aerial Duels won,Times Tackled,Successful Passes Opposition Half,Touches,Forward Passes,Recoveries,Total Fouls Conceded,Winning Goal,Unsuccessful Launches,Successful Dribbles,Tackles Won,Key Passes (Attempt Assists),Substitute On,Total Shots,Unsuccessful Crosses & Corners,PutThrough/Blocked Distribution Won,Substitute Off,Blocked Shots,Shots Off Target (inc woodwork),Corners Won,Unsuccessful Crosses open play,Overruns,Unsuccessful Corners into Box,Total Touches In Opposition Box,Corners Taken (incl short corners),Attempts from Set Pieces,Shots On Target ( inc goals ),Offsides,Catches,Saves Made from Inside Box,GK Successful Distribution,Saves Made,Goal Kicks,Saves Made from Outside Box,Saves made - parried,Blocks,Successful Launches,Total Red Cards,Straight Red Cards,Successful Corners into Box,Successful Crosses & Corners,Successful Lay-offs,Handballs conceded,GK Unsuccessful Distribution,Red Cards - 2nd Yellow
Concacaf_Campeones_Cup,2023,Club Tigres UANL,609edevf8qla1f6vi4mjkkgkp,J. Angulo,Defender,27,9,10,7,8,25,5,46,1,9,4,1,2,2,15,39,3,90,1,5,9,10,19,7,3,2,1,2,4,1,55,1,1,1,5,1,45,1,5,3,56,1,3,21,82,23,13,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,8f8h57y9u27itkkdehbdss4b9,J. Aquino,Midfielder,20,9,10,2,6,34,2,58,,9,7,,1,,11,56,2,90,1,6,9,10,6,9,7,,1,4,2,1,64,1,1,,31,2,54,4,4,3,68,,,24,93,22,15,2,0,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,61huc8rado1jmr8ilgyv2aqxh,Samir,Defender,3,1,1,,1,6,,10,,3,,,,,1,10,,1,,,,10,2,,,,,,,1,11,,1,,2,,10,,1,,11,,,4,12,4,1,,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,dta2hcu8sq62dx9diax5shk9,S. Córdova,Midfielder,17,1,7,,6,11,12,20,,8,5,1,2,3,18,20,,83,,5,17,10,8,14,4,,1,1,10,1,27,,1,2,5,1,20,,3,,27,1,5,9,50,6,3,4,0,,2,,,,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,8nfubgjn9bepubvpc1a640h2i,S. Fierro,Midfielder,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,22iqqk9sbs82tmmyd17m2omlm,M. Flores,Midfielder,24,,2,,2,1,1,5,1,2,,1,,,6,5,,15,,5,1,10,2,1,,,,,1,1,7,,1,,1,,5,,,,7,,1,4,12,2,1,,0,,,,1,1,1,3,,,,1,1,2,,1,3,1,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,745jx9uzim73pkz4qavdzt7je,J. Garza,Midfielder,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,4zjhf8g09in1aj4k6c7x485at,A. Gignac,Forward,10,,4,2,2,9,9,20,1,6,4,,,3,8,18,,90,1,4,13,10,13,10,4,,1,2,6,1,23,1,1,3,3,1,19,2,,,24,,4,11,37,2,4,1,0,,2,1,,,2,,,,1,1,1,,,,4,,1,1,1,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,4wnksajccdsp7az7dkemoatxw,F. González,Midfielder,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Campeones_Cup,2023,Club Tigres UANL,1ywn594g4nv3vvqyyy16qjutx,F. Gorriarán,Midfielder,8,2,4,,4,12,9,31,4,11,4,1,,1,13,31,,75,,6,13,10,7,12,4,,1,,8,1,30,2,1,1,12,2,26,4,,1,35,,6,19,54,5,3,2,0,,,2,1,,,2,1,1,,,1,1,,1,,5,,,,,,,,,,,,,,,,,,,,
