liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Forward Passes,Unsuccessful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Time Played,Successful Short Passes,Unsuccessful Passes Own Half,Duels,Touches,Duels won,Corners Won,Unsuccessful Long Passes,Successful Passes Opposition Half,Ground Duels won,Times Tackled,Duels lost,Recoveries,Unsuccessful Short Passes,Total Tackles,Tackles Won,Total Passes,Leftside Passes,Ground Duels,Throw Ins to Own Player,Ground Duels lost,Total Losses Of Possession,Index,Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Home Goals,Away Goals,Winning Goal,Aerial Duels lost,Shots On Target ( inc goals ),Foul Won Penalty,Successful Lay-offs,Unsuccessful Crosses open play,Successful Passes Own Half,Unsuccessful Crosses & Corners,Unsuccessful Dribbles,Successful Open Play Passes,Goals Conceded,Right Foot Goals,Rightside Passes,Unsuccessful lay-offs,Interceptions,Offsides,Successful Dribbles,Shots Off Target (inc woodwork),Penalty Goals Conceded,Goals from Inside Box,Total Fouls Won,Goals Conceded Inside Box,Open Play Passes,Through balls,Starts,Aerial Duels won,Blocked Shots,Key Passes (Attempt Assists),Goals Conceded Outside Box,Total Shots,Successful Long Passes,Total Clearances,Total Fouls Conceded,Backward Passes,Aerial Duels,Handballs conceded,Attempts from Set Pieces,Successful Crosses & Corners,Corners Taken (incl short corners),Unsuccessful Launches,Second Goal Assists,Successful Crosses open play,Penalties Taken,Throw Ins to Opposition Player,Penalty Goals,Tackles Lost,Headed Goals,Goals from Outside Box,Left Foot Goals,Clean Sheets,Successful Launches,Blocks,Goal Assists,Assists (Intentional),Hit Woodwork,Total Touches In Opposition Box,Unsuccessful Corners into Box,Penalties Conceded,Successful Corners into Box,Set Pieces Goals,Last Man Tackle,Own Goal Scored,Catches,Saves made - parried,Goalkeeper Smother,Saves Made from Outside Box,GK Successful Distribution,GK Unsuccessful Distribution,Drops,Saves Made from Inside Box,Saves Made,Crosses not Claimed,Punches,Penalties Faced,Saves made - caught,Clearances Off the Line,Penalties Off Target,Other Goals,Saves from Penalty,Penalties Saved
USA_MLS,2011,Columbus Crew,g2s04m1bpux44agp8v0aarpx,A. Adlard,Midfielder,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Columbus Crew,dhhcu04sgmbsolhao61hmyk7p,B. Añor,Defender,7.0,13.0,1.0,2.0,0.0,0.0,0.0,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Columbus Crew,e8wt9n2s2jckzbyvgixgv51at,R. Balchan,Defender,2.0,20.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Columbus Crew,aeddxnxfxwt6xu61isttwr7x1,K. Burns,Midfielder,15.0,19.0,0.0,4.0,0.0,0.0,0.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Columbus Crew,6j6uuxifn0w0xbq10tl1xmdw5,J. Cunningham,Attacker,33.0,22.0,2.0,0.0,0.0,0.0,0.0,18.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Columbus Crew,42xbviu1celrq1fh9ci55zphx,D. Duka,Midfielder,11.0,23.0,2.0,2.0,0.0,0.0,0.0,6.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Columbus Crew,anxrz1d44c38549ch7gwe6sph,E. Ekpo,Midfielder,17.0,32.0,1.0,8.0,3.0,2.0,1.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Columbus Crew,97pjboubtkne3y3p19q7oag9h,S. Francis,Defender,29.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Columbus Crew,5s3rfrehffjyw3vb6w8uofyt,J. Gardner,Midfielder,31.0,23.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2011,Columbus Crew,9bdkem3nhq3z4whhb8uu6b9w5,E. Gaven,Midfielder,12.0,27.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
