liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Offsides,Time Played,Throw Ins to Own Player,Substitute On,Successful Lay-offs,Successful Launches,Goals,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Handballs conceded,Hit Woodwork,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Penalties Taken,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Penalty Goals,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Penalties Conceded,Own Goal Scored,Clearances Off the Line,Headed Goals,Total Red Cards,Straight Red Cards,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Foul Won Penalty,Set Pieces Goals,Penalties Saved,Saves from Penalty,Last Man Tackle,Red Cards - 2nd Yellow,Penalties Off Target,Other Goals,Second Goal Assists,Penalty Goals Conceded,Times Tackled,Home Goals,Away Goals,Winning Goal
USA_MLS,2016,Seattle Sounders FC,6ggcny5t6f4120bsprivhlq6t,H. Gómez,Forward,9,16.0,4.0,908.0,9.0,14.0,9.0,2.0,,,257.0,7.0,94.0,15.0,144.0,6.0,1.0,13.0,5.0,5.0,1.0,31.0,121.0,91.0,9.0,37.0,270.0,8.0,18.0,2.0,210.0,10.0,12.0,50.0,5.0,69.0,13.0,75.0,2.0,1.0,24.0,9.0,7.0,12.0,438.0,23.0,23.0,6.0,,65.0,,53.0,34.0,88.0,44.0,7.0,1.0,10.0,9.0,19.0,15.0,3.0,111.0,10.0,11.0,,37.0,23.0,17.0,,,,36.0,54.0,,,210.0,220.0,46.0,,2.0,,,,7.0,67.0,2.0,8.0,29.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,2lljxmbdpassn6m7ymn9vdm8l,N. Valdez,Forward,16,7.0,11.0,1276.0,1.0,17.0,27.0,,2.0,,374.0,11.0,116.0,,188.0,1.0,4.0,5.0,18.0,17.0,1.0,73.0,248.0,86.0,27.0,111.0,390.0,11.0,23.0,10.0,268.0,13.0,34.0,116.0,,90.0,3.0,111.0,5.0,,41.0,13.0,28.0,12.0,685.0,,30.0,17.0,1.0,154.0,,90.0,89.0,41.0,127.0,17.0,,6.0,,32.0,59.0,12.0,286.0,11.0,14.0,,7.0,30.0,,,2.0,2.0,86.0,94.0,2.0,,258.0,274.0,132.0,,5.0,2.0,,1.0,15.0,159.0,12.0,8.0,68.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,fvf0qtspzonymfax1a8jgs0l,A. Ivanschitz,Midfielder,23,40.0,6.0,2020.0,22.0,5.0,13.0,2.0,3.0,1.0,810.0,23.0,220.0,48.0,412.0,13.0,5.0,42.0,14.0,15.0,2.0,17.0,432.0,273.0,21.0,157.0,836.0,19.0,15.0,10.0,602.0,26.0,28.0,199.0,32.0,215.0,49.0,285.0,11.0,4.0,64.0,26.0,39.0,40.0,1318.0,102.0,31.0,13.0,3.0,141.0,3.0,255.0,65.0,38.0,64.0,13.0,2.0,35.0,8.0,30.0,6.0,18.0,164.0,14.0,28.0,2.0,126.0,31.0,64.0,1.0,3.0,7.0,83.0,146.0,,,620.0,637.0,23.0,2.0,1.0,7.0,,3.0,14.0,100.0,7.0,21.0,58.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,bbcu3hpivua0195cm2fwmct79,D. Jones,Forward,17,2.0,,22.0,1.0,2.0,,,,,4.0,2.0,,,3.0,,,,,,,,5.0,,,1.0,4.0,,1.0,,3.0,1.0,,1.0,,2.0,,3.0,,,,,,,9.0,,2.0,,,3.0,,1.0,1.0,4.0,,,,,,,,1.0,3.0,,1.0,,2.0,2.0,,,,,3.0,1.0,,,3.0,3.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,5f5x4oq6vmje8sn32ii6wsij9,J. Jones,Defender,33,97.0,1.0,3110.0,247.0,4.0,2.0,20.0,2.0,,1602.0,34.0,345.0,23.0,697.0,61.0,7.0,108.0,22.0,9.0,3.0,23.0,562.0,660.0,62.0,185.0,1627.0,7.0,34.0,51.0,1251.0,41.0,14.0,293.0,,636.0,28.0,285.0,3.0,27.0,246.0,35.0,53.0,105.0,2464.0,,39.0,19.0,5.0,255.0,1.0,582.0,41.0,49.0,145.0,5.0,,83.0,23.0,18.0,14.0,38.0,292.0,40.0,44.0,2.0,97.0,39.0,,3.0,,6.0,124.0,64.0,1.0,,1312.0,1334.0,37.0,8.0,1.0,6.0,,2.0,51.0,147.0,11.0,40.0,131.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,7bnfjvdk1a1guaz134ys9tql1,A. Kovar,Midfielder,11,21.0,,811.0,5.0,6.0,3.0,2.0,1.0,1.0,301.0,5.0,105.0,5.0,153.0,5.0,1.0,9.0,5.0,8.0,1.0,19.0,139.0,92.0,14.0,56.0,305.0,9.0,12.0,8.0,231.0,10.0,13.0,65.0,2.0,39.0,9.0,84.0,8.0,2.0,32.0,10.0,13.0,11.0,464.0,10.0,16.0,8.0,,72.0,,64.0,22.0,100.0,32.0,5.0,,9.0,3.0,8.0,3.0,5.0,94.0,1.0,11.0,,30.0,16.0,7.0,,,,43.0,97.0,1.0,,237.0,240.0,22.0,,,,,,9.0,62.0,5.0,6.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,mldj6mad0djmavnyrt1xdyhh,N. Lodeiro,Midfielder,10,27.0,6.0,1740.0,7.0,,24.0,,8.0,1.0,1051.0,23.0,199.0,39.0,664.0,9.0,5.0,52.0,6.0,17.0,,18.0,524.0,227.0,29.0,206.0,1110.0,,12.0,19.0,805.0,18.0,34.0,258.0,22.0,273.0,44.0,302.0,12.0,,128.0,19.0,27.0,47.0,1637.0,62.0,19.0,9.0,2.0,246.0,2.0,395.0,63.0,78.0,117.0,17.0,9.0,47.0,7.0,64.0,6.0,31.0,270.0,2.0,18.0,7.0,91.0,19.0,35.0,1.0,1.0,3.0,135.0,243.0,6.0,1.0,812.0,852.0,24.0,7.0,,5.0,1.0,13.0,16.0,153.0,13.0,14.0,111.0,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,3rle1i2behzyrp2x4evkasb1l,C. Lyon,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,52tvpk9bqpg8u37a04kuw61g5,C. Marshall,Defender,14,,,3204.0,1.0,,1.0,20.0,4.0,1.0,1369.0,2.0,59.0,,260.0,42.0,3.0,112.0,9.0,9.0,2.0,39.0,277.0,916.0,28.0,120.0,1408.0,2.0,17.0,1.0,1024.0,37.0,18.0,232.0,,398.0,2.0,149.0,5.0,,108.0,36.0,14.0,83.0,1845.0,,36.0,8.0,28.0,80.0,,695.0,33.0,53.0,134.0,9.0,,152.0,,22.0,86.0,1.0,205.0,164.0,39.0,,,36.0,,,1.0,,32.0,256.0,4.0,,1147.0,1176.0,125.0,11.0,,,,,20.0,71.0,8.0,112.0,48.0,2.0,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,b9bmyvmk7dqeezd0k5d6u8lhx,T. Mears,Defender,4,108.0,2.0,3405.0,292.0,,3.0,14.0,,,1555.0,19.0,334.0,29.0,673.0,60.0,3.0,112.0,4.0,3.0,2.0,21.0,564.0,635.0,46.0,186.0,1577.0,1.0,38.0,11.0,1174.0,43.0,3.0,298.0,,42.0,28.0,324.0,1.0,76.0,118.0,38.0,26.0,82.0,2427.0,2.0,38.0,23.0,13.0,150.0,,533.0,25.0,48.0,121.0,,,105.0,27.0,27.0,41.0,15.0,212.0,74.0,45.0,,108.0,38.0,,,,2.0,70.0,668.0,,,1259.0,1279.0,62.0,11.0,,2.0,,2.0,35.0,91.0,11.0,63.0,80.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,6vfwba584q9ewfdbo1ybxvmjt,T. Miller,Goalkeeper,1,,,90.0,,,,3.0,,,11.0,,,,6.0,7.0,,14.0,,,,1.0,14.0,7.0,,,27.0,,,,6.0,2.0,,14.0,,5.0,,12.0,,,3.0,1.0,,2.0,33.0,,1.0,,,,,21.0,,16.0,,,,7.0,,,,,1.0,1.0,2.0,,,1.0,,,,,,1.0,,,5.0,13.0,1.0,,,,,,,1.0,,,,,,,,,,2.0,6.0,1.0,,,,,1.0,1.0,1.0,,,6.0,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,5vsdc384lgj2t43i6t5ogur4l,J. Morris,Forward,13,11.0,23.0,3357.0,10.0,2.0,22.0,,14.0,9.0,889.0,30.0,245.0,4.0,560.0,4.0,,14.0,15.0,27.0,3.0,116.0,397.0,157.0,18.0,202.0,929.0,13.0,32.0,25.0,698.0,39.0,67.0,216.0,,263.0,31.0,199.0,12.0,1.0,79.0,38.0,35.0,28.0,1343.0,,40.0,11.0,2.0,182.0,1.0,212.0,193.0,59.0,139.0,40.0,,15.0,4.0,28.0,70.0,20.0,368.0,8.0,42.0,2.0,11.0,40.0,,5.0,1.0,4.0,113.0,209.0,13.0,,674.0,713.0,186.0,7.0,3.0,4.0,,2.0,14.0,229.0,4.0,12.0,69.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,5vgfowhvv0bwl1ojj4vm1wmvp,D. Remick,Defender,15,11.0,,537.0,54.0,5.0,,2.0,,,302.0,2.0,56.0,6.0,90.0,13.0,1.0,20.0,5.0,1.0,,6.0,89.0,165.0,14.0,35.0,304.0,3.0,6.0,1.0,239.0,6.0,1.0,55.0,,116.0,5.0,42.0,,4.0,25.0,6.0,13.0,24.0,455.0,,11.0,3.0,3.0,37.0,,126.0,4.0,100.0,27.0,,,10.0,6.0,5.0,7.0,3.0,50.0,11.0,6.0,,11.0,11.0,,1.0,,,17.0,6.0,,,248.0,249.0,13.0,1.0,,,,,10.0,23.0,4.0,11.0,20.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,1n0l8r7kj88y4k7tfaolsrkkp,C. Roldan,Midfielder,7,31.0,4.0,3202.0,14.0,5.0,12.0,4.0,4.0,1.0,1850.0,12.0,232.0,8.0,929.0,33.0,3.0,71.0,31.0,11.0,3.0,44.0,495.0,610.0,95.0,262.0,1864.0,4.0,34.0,18.0,1433.0,37.0,22.0,333.0,1.0,432.0,18.0,273.0,9.0,1.0,177.0,34.0,50.0,92.0,2436.0,2.0,39.0,20.0,10.0,313.0,1.0,683.0,53.0,52.0,225.0,11.0,,98.0,6.0,59.0,53.0,30.0,410.0,30.0,40.0,1.0,32.0,39.0,1.0,,1.0,,141.0,517.0,3.0,,1519.0,1531.0,97.0,11.0,,2.0,,2.0,73.0,185.0,22.0,47.0,172.0,,,1.0,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,h714iufapwl2sbng1xs9e0ut,Z. Scott,Defender,20,,,1068.0,5.0,6.0,,5.0,,,506.0,1.0,27.0,,125.0,19.0,2.0,48.0,3.0,2.0,2.0,21.0,129.0,287.0,15.0,63.0,523.0,1.0,8.0,1.0,346.0,14.0,3.0,111.0,,102.0,,77.0,1.0,1.0,40.0,11.0,5.0,34.0,680.0,,17.0,2.0,4.0,44.0,,257.0,6.0,87.0,61.0,1.0,,66.0,,13.0,34.0,,99.0,47.0,16.0,,,17.0,,,,,17.0,137.0,,,400.0,412.0,55.0,2.0,,,,,13.0,38.0,2.0,37.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,d8a53xfwyg01fkl5nknqwezth,N. Sturgis,Midfielder,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2016,Seattle Sounders FC,e68y57cy5thgxyun2m3gc4set,R. Torres,Defender,29,2.0,1.0,1155.0,1.0,1.0,1.0,16.0,,,485.0,1.0,20.0,,150.0,45.0,2.0,83.0,2.0,10.0,,14.0,158.0,223.0,19.0,57.0,513.0,,13.0,2.0,303.0,8.0,11.0,140.0,,76.0,2.0,88.0,1.0,,52.0,12.0,5.0,54.0,664.0,,13.0,7.0,8.0,47.0,,293.0,12.0,78.0,54.0,1.0,,70.0,,6.0,28.0,,89.0,47.0,8.0,,2.0,13.0,,1.0,,,21.0,124.0,,,356.0,373.0,42.0,6.0,,,,,15.0,35.0,4.0,29.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
