liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Foul Attempted Tackle,Unsuccessful Corners into Box,Successful Passes Own Half,Ground Duels lost,Starts,Unsuccessful Passes Opposition Half,Interceptions,Total Fouls Conceded,Recoveries,Ground Duels,Goals Conceded Inside Box,Unsuccessful Crosses & Corners,Key Passes (Attempt Assists),Appearances,Rightside Passes,Aerial Duels,PutThrough/Blocked Distribution,Total Passes,Index,Successful Launches,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Total Fouls Won,Unsuccessful Launches,Penalties Conceded,Throw Ins to Opposition Player,Unsuccessful Short Passes,Total Touches In Opposition Box,Corners Taken (incl short corners),Duels,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels won,Total Tackles,Touches,Aerial Duels won,Throw Ins to Own Player,Backward Passes,Successful Open Play Passes,Successful Long Passes,Open Play Passes,Successful Passes Opposition Half,Unsuccessful Long Passes,Ground Duels won,Duels lost,Times Tackled,Time Played,Forward Passes,Aerial Duels lost,PutThrough/Blocked Distribution Won,Successful Dribbles,Unsuccessful Crosses open play,Penalty Goals Conceded,Tackles Lost,Leftside Passes,Unsuccessful Passes Own Half,Goals Conceded,Total Clearances,Tackles Won,Total Losses Of Possession,Winning Goal,Blocks,Shots Off Target (inc woodwork),Successful Crosses & Corners,Successful Corners into Box,Total Shots,Unsuccessful Dribbles,Corners Won,Shots On Target ( inc goals ),Offsides,Saves Made from Inside Box,Catches,Saves Made,Saves made - parried,Penalties Faced,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Punches,Successful Crosses open play,Blocked Shots,Successful Lay-offs,Goals Conceded Outside Box,Attempts from Set Pieces,Right Foot Goals,Clean Sheets,Goals from Inside Box,Home Goals,Away Goals,Overruns,Goal Assists,Assists (Intentional),Hit Woodwork,Through balls,Left Foot Goals,Unsuccessful lay-offs,Saves Made from Outside Box,Headed Goals,Handballs conceded,Own Goal Scored,Goals from Outside Box,Last Player Tackle,Drops,Saves from Penalty,Goalkeeper Smother,Penalties Saved,Second Goal Assists,Foul Won Penalty,Penalty Goals,Penalties Taken,Set Pieces Goals,Saves made - caught,Clearances Off the Line,Crosses not Claimed
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,7b63i2sks616o2xjiqtcdd756,J. Nelson,Forward,7.0,7.0,,1.0,,,,4.0,3.0,,,5.0,12.0,3.0,8.0,,3.0,3.0,25.0,5.0,2.0,,7.0,14.0,3.0,2.0,40.0,10.0,,33.0,31.0,3.0,,,,7.0,5.0,,28.0,7.0,14.0,6.0,76.0,1.0,,7.0,32.0,2.0,39.0,30.0,,13.0,14.0,7.0,183.0,4.0,2.0,1.0,4.0,2.0,,2.0,15.0,1.0,6.0,,4.0,25.0,0.0,,,2.0,,,3.0,1.0,,,,,,,,,,,,2.0,,,1.0,,,,,,,2.0,2.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,f2ljfjpu8uqmt3p3833jz692i,J. Ngando,Midfielder,26.0,9.0,,,,,,4.0,4.0,2.0,,45.0,30.0,5.0,16.0,5.0,4.0,31.0,58.0,7.0,,7.0,9.0,57.0,6.0,13.0,158.0,10.0,,137.0,130.0,7.0,,,1.0,20.0,13.0,1.0,64.0,21.0,29.0,12.0,261.0,1.0,,34.0,130.0,7.0,151.0,93.0,1.0,28.0,35.0,22.0,471.0,42.0,5.0,7.0,9.0,,1.0,4.0,25.0,5.0,9.0,9.0,8.0,56.0,0.0,5.0,1.0,1.0,,1.0,10.0,4.0,,1.0,,,,,,,,,,1.0,1.0,4.0,2.0,,,,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,2kfm6wcers1u1bgfmbj3q64iy,M. O'Neill,Defender,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,82much0n660qblstuogftp6hg,É. Ocampo,Defender,18.0,8.0,1.0,1.0,,,,1.0,1.0,6.0,,90.0,19.0,7.0,53.0,12.0,9.0,29.0,48.0,10.0,26.0,3.0,8.0,15.0,13.0,25.0,233.0,10.0,,188.0,182.0,6.0,10.0,,5.0,31.0,8.0,,61.0,45.0,37.0,19.0,411.0,8.0,23.0,68.0,186.0,6.0,231.0,99.0,14.0,29.0,24.0,10.0,599.0,63.0,5.0,8.0,4.0,26.0,1.0,5.0,87.0,18.0,11.0,28.0,14.0,98.0,0.0,3.0,2.0,1.0,,3.0,5.0,8.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,34wufspo6zerdhewo82hbszmy,R. Priso,Midfielder,13.0,8.0,,,,,,5.0,3.0,5.0,,59.0,11.0,3.0,19.0,4.0,7.0,18.0,24.0,4.0,,2.0,8.0,63.0,9.0,6.0,173.0,10.0,,147.0,143.0,1.0,2.0,,,19.0,,,33.0,26.0,15.0,11.0,213.0,2.0,,25.0,146.0,4.0,172.0,88.0,7.0,13.0,18.0,,299.0,41.0,7.0,2.0,1.0,,1.0,3.0,44.0,7.0,4.0,3.0,8.0,30.0,0.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,7su9vrjsmo84ae2prlgpc41k9,D. Ríos,Forward,14.0,7.0,,1.0,,,,3.0,4.0,,,15.0,9.0,4.0,12.0,1.0,3.0,6.0,12.0,4.0,1.0,,7.0,7.0,10.0,5.0,49.0,10.0,,34.0,33.0,3.0,1.0,,,14.0,12.0,,22.0,15.0,7.0,,84.0,4.0,,16.0,31.0,1.0,45.0,20.0,1.0,3.0,15.0,6.0,267.0,8.0,6.0,1.0,,1.0,,,18.0,4.0,4.0,9.0,,27.0,0.0,,1.0,1.0,,2.0,2.0,3.0,1.0,,,,,,,,,,,1.0,4.0,3.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,5ih15iuxi9jz4gia5y1clo7hl,E. Sabbi,Forward,11.0,5.0,,,,,,4.0,1.0,3.0,,15.0,14.0,1.0,12.0,1.0,4.0,14.0,21.0,4.0,1.0,,5.0,10.0,8.0,2.0,43.0,10.0,,30.0,29.0,4.0,,,,12.0,6.0,,29.0,13.0,12.0,2.0,84.0,5.0,,7.0,29.0,1.0,42.0,15.0,1.0,7.0,17.0,10.0,220.0,19.0,3.0,,1.0,1.0,,1.0,7.0,2.0,4.0,4.0,1.0,32.0,0.0,2.0,1.0,,,2.0,4.0,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,4di9jo9vchtw52ze8pg4pu02d,Y. Takaoka,Goalkeeper,1.0,7.0,,,,,,,,,,140.0,,7.0,44.0,,,56.0,1.0,9.0,,,7.0,45.0,2.0,,213.0,10.0,8.0,159.0,125.0,2.0,17.0,,,4.0,,,3.0,54.0,2.0,,275.0,1.0,,,127.0,34.0,151.0,19.0,50.0,1.0,1.0,,630.0,106.0,1.0,,,,,,62.0,10.0,11.0,2.0,,55.0,0.0,,,,,,,,,,12.0,6.0,20.0,5.0,,53.0,12.0,34.0,,,,,2.0,,,2.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,ogcuz4pxxu9605ibev6htdxx,B. Utvik,Defender,15.0,3.0,,,,,,2.0,1.0,,,42.0,,1.0,8.0,1.0,,6.0,3.0,1.0,,,3.0,18.0,,1.0,77.0,10.0,,68.0,67.0,2.0,2.0,,,4.0,1.0,,3.0,9.0,3.0,1.0,91.0,,1.0,8.0,64.0,1.0,72.0,26.0,5.0,3.0,,,91.0,19.0,,,,,1.0,,32.0,1.0,1.0,8.0,1.0,9.0,0.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,3mdm2bd45bybp9zbt6aspgq21,R. Veselinović,Defender,4.0,9.0,,1.0,,,,1.0,1.0,3.0,,279.0,5.0,8.0,21.0,5.0,5.0,32.0,17.0,12.0,,,9.0,166.0,32.0,3.0,396.0,10.0,5.0,366.0,343.0,2.0,9.0,1.0,,13.0,4.0,,49.0,30.0,27.0,9.0,482.0,15.0,,22.0,348.0,23.0,375.0,87.0,17.0,12.0,22.0,2.0,724.0,102.0,17.0,1.0,1.0,,1.0,4.0,106.0,9.0,14.0,44.0,5.0,36.0,0.0,8.0,1.0,,,1.0,,,,,,,,,,5.0,,5.0,,,1.0,,2.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,3ofmkgwa01yv4wcsvgk208hgq,P. Vite,Midfielder,45.0,9.0,1.0,1.0,,,,2.0,3.0,3.0,2.0,64.0,31.0,7.0,64.0,6.0,6.0,30.0,70.0,11.0,15.0,9.0,9.0,42.0,4.0,15.0,290.0,10.0,,228.0,209.0,19.0,1.0,,1.0,47.0,14.0,7.0,74.0,62.0,42.0,6.0,413.0,3.0,2.0,61.0,212.0,19.0,274.0,166.0,15.0,39.0,32.0,20.0,627.0,99.0,1.0,6.0,14.0,12.0,1.0,2.0,88.0,13.0,12.0,2.0,4.0,107.0,1.0,,2.0,2.0,1.0,7.0,9.0,1.0,5.0,1.0,,,,,,,,,,1.0,1.0,9.0,1.0,,1.0,,1.0,0.0,1.0,,2.0,2.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,f5i3q488txatpqe9tvmc0838q,B. White,Forward,24.0,9.0,5.0,2.0,,,,3.0,2.0,4.0,,37.0,17.0,6.0,32.0,1.0,8.0,9.0,30.0,8.0,,3.0,9.0,24.0,18.0,6.0,112.0,10.0,,76.0,73.0,6.0,1.0,,,34.0,25.0,,48.0,36.0,21.0,5.0,175.0,8.0,,34.0,66.0,3.0,101.0,39.0,2.0,13.0,27.0,6.0,598.0,20.0,10.0,6.0,2.0,,1.0,2.0,34.0,4.0,10.0,1.0,3.0,58.0,2.0,,3.0,,,10.0,2.0,1.0,7.0,4.0,,,,,,,,,,,2.0,5.0,2.0,,2.0,2.0,5.0,3.0,2.0,,,,1.0,,1.0,8.0,,2.0,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Vancouver Whitecaps FC,dleb1bm5gsfvf5uv8gpg7ixgp,A. Zendejas,Goalkeeper,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
