liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Open Play Passes,Total Passes,Time Played,Goals Conceded,PutThrough/Blocked Distribution,Unsuccessful Passes Opposition Half,Total Shots,Total Losses Of Possession,Backward Passes,Times Tackled,Appearances,Aerial Duels won,Aerial Duels lost,Foul Attempted Tackle,Successful Passes Own Half,Aerial Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Duels,Games Played,Rightside Passes,Corners Won,Forward Passes,Duels lost,Substitute On,Ground Duels,Starts,Tackles Won,Shots Off Target (inc woodwork),Successful Lay-offs,Total Fouls Conceded,Shots On Target ( inc goals ),Successful Passes Opposition Half,Tackles Lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,Total Clearances,Leftside Passes,Unsuccessful Short Passes,Ground Duels won,Unsuccessful Dribbles,Assists (Intentional),Recoveries,Offsides,Goals Conceded Inside Box,Total Touches In Opposition Box,Substitute Off,Interceptions,Successful Short Passes,Touches,Goal Assists,Ground Duels lost,Blocked Shots,Index,Key Passes (Attempt Assists),Duels won,Winning Goal,Goals from Inside Box,Total Fouls Won,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Handballs conceded,Successful Launches,Left Foot Goals,Goals,Successful Long Passes,Throw Ins to Opposition Player,Overruns,Successful Dribbles,Yellow Cards,Unsuccessful Passes Own Half,Home Goals,Away Goals,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Throw Ins to Own Player,Blocks,Unsuccessful Launches,Successful Corners into Box,Through balls,Successful Crosses open play,Successful Crosses & Corners,Unsuccessful lay-offs,Corners Taken (incl short corners),Unsuccessful Corners into Box,Right Foot Goals,Hit Woodwork,Attempts from Set Pieces,Penalties Taken,Penalty Goals,Foul Won Penalty,Goals from Outside Box,Headed Goals,Goal Kicks,GK Unsuccessful Distribution,GK Successful Distribution,Total Red Cards,Red Cards - 2nd Yellow,Saves made - parried,Saves Made from Outside Box,Saves Made,Saves Made from Inside Box,Catches,Goals Conceded Outside Box,Drops,Clean Sheets,Penalty Goals Conceded,Goals Openplay,Straight Red Cards,Penalties Conceded,Penalties Faced,Punches,Clearances Off the Line,Goalkeeper Smother,Set Pieces Goals,Second Goal Assists,Saves from Penalty,Penalties Saved,Saves made - caught,Own Goal Scored,Last Player Tackle
USA_US_Open_Cup,2025,Miami FC,66mp8cxjrfuyw16t00oh4i8r9,K. Hoyos,Forward,29,11.0,18.0,60.0,1.0,1.0,6.0,2.0,12.0,5.0,2.0,2.0,1.0,1.0,1.0,,2.0,11.0,1.0,7.0,2.0,5.0,1.0,2.0,4.0,1.0,5.0,1.0,,1.0,2.0,1.0,1.0,11.0,1.0,7.0,18.0,,6.0,7.0,2.0,1.0,,1.0,,1.0,6.0,1.0,,11.0,30.0,,3.0,,10.0,,3.0,0.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,7deyffi1b0b76ej9mpgbgr9qs,I. Jiménez,Midfielder,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,eqopj1p3a2ehzpwlj90laswoa,D. Knutson,Defender,13,106.0,141.0,300.0,2.0,2.0,22.0,2.0,31.0,5.0,1.0,3.0,8.0,,2.0,64.0,8.0,111.0,4.0,22.0,3.0,25.0,,75.0,8.0,,14.0,3.0,4.0,2.0,,3.0,,47.0,,30.0,135.0,15.0,36.0,11.0,6.0,,,15.0,,2.0,3.0,,2.0,98.0,175.0,,8.0,,10.0,,14.0,0.0,,2.0,19.0,2.0,,3.0,,,13.0,,,,2.0,8.0,,,,,1.0,1.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,3bpj0qbeokaqc33aro8v7qpec,M. Lawrence,Forward,19,21.0,28.0,68.0,2.0,2.0,7.0,,15.0,9.0,4.0,2.0,1.0,2.0,,12.0,3.0,22.0,1.0,14.0,2.0,4.0,,7.0,9.0,2.0,11.0,,,,,3.0,,10.0,1.0,6.0,27.0,2.0,8.0,4.0,4.0,,,1.0,,2.0,2.0,,2.0,20.0,49.0,,7.0,,10.0,,5.0,0.0,,3.0,2.0,1.0,,,,,2.0,,,,,1.0,,,2.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,arrb65a3pfk77637pdxagaxyi,R. Martell,Goalkeeper,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,bzs1s1yntau3dvzyvn6t7t785,L. Melano,Forward,26,29.0,47.0,171.0,1.0,2.0,17.0,1.0,26.0,17.0,3.0,3.0,3.0,2.0,1.0,11.0,5.0,29.0,1.0,12.0,3.0,12.0,2.0,11.0,6.0,1.0,7.0,2.0,,,1.0,1.0,1.0,18.0,1.0,18.0,47.0,1.0,7.0,17.0,3.0,,,3.0,1.0,1.0,5.0,2.0,,29.0,64.0,,4.0,1.0,10.0,1.0,6.0,0.0,,1.0,1.0,1.0,,,,,,,1.0,1.0,,3.0,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,cyignmjprj3whvban361mclm2,D. Mercado,Midfielder,5,71.0,87.0,200.0,1.0,,14.0,2.0,20.0,14.0,3.0,2.0,1.0,1.0,4.0,39.0,2.0,74.0,4.0,19.0,2.0,23.0,,36.0,10.0,,17.0,2.0,4.0,2.0,,6.0,,36.0,,13.0,84.0,3.0,14.0,7.0,8.0,,,15.0,,1.0,,1.0,6.0,68.0,123.0,,9.0,,10.0,2.0,9.0,0.0,,3.0,6.0,,1.0,,,,6.0,2.0,,1.0,1.0,1.0,,,2.0,2.0,5.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,cvi9u3v3krlkbvwcwjqztzvca,A. Mitrano,Defender,3,76.0,93.0,250.0,1.0,3.0,15.0,4.0,29.0,17.0,2.0,3.0,1.0,5.0,2.0,40.0,6.0,76.0,6.0,25.0,3.0,30.0,1.0,40.0,10.0,,19.0,3.0,5.0,3.0,,4.0,1.0,37.0,1.0,17.0,92.0,1.0,6.0,11.0,14.0,1.0,,9.0,,1.0,2.0,1.0,3.0,73.0,149.0,,5.0,1.0,10.0,,15.0,0.0,,5.0,6.0,2.0,,1.0,,,3.0,3.0,,3.0,,6.0,,,4.0,4.0,16.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,96qlwmkrab9h7xt93jzgl384p,J. Ricketts,Defender,2,20.0,30.0,90.0,,,11.0,,11.0,,,1.0,1.0,,,12.0,1.0,20.0,,5.0,1.0,8.0,,20.0,2.0,,4.0,1.0,,,,1.0,,8.0,,10.0,30.0,3.0,2.0,2.0,2.0,,,7.0,,,,,2.0,16.0,40.0,,2.0,,10.0,,3.0,0.0,,2.0,8.0,,,,,,4.0,,,,1.0,,,,1.0,1.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,aqb7f88ta15ve8izh5zy9paz9,R. Rivera,Forward,17,8.0,9.0,30.0,,,1.0,,3.0,2.0,1.0,1.0,,,,1.0,,8.0,,1.0,1.0,5.0,1.0,,1.0,1.0,1.0,,,,,,,7.0,,1.0,9.0,,2.0,,,1.0,,1.0,,,,,1.0,8.0,12.0,,1.0,,10.0,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,fm9i7pzwi2diu6i18kycmx1x,M. Romero,Midfielder,8,54.0,74.0,210.0,1.0,1.0,20.0,,33.0,23.0,2.0,2.0,2.0,2.0,1.0,24.0,4.0,56.0,4.0,14.0,2.0,6.0,1.0,21.0,5.0,,10.0,2.0,3.0,,,2.0,,34.0,1.0,18.0,69.0,2.0,24.0,12.0,7.0,1.0,,12.0,,1.0,1.0,,3.0,52.0,111.0,,3.0,,10.0,2.0,9.0,0.0,,2.0,6.0,,,,,,4.0,,,2.0,,5.0,,,7.0,6.0,5.0,,2.0,,1.0,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,864l8bcr288r74g3tmt1eqfe2,D. Verón,Midfielder,11,44.0,69.0,139.0,,2.0,23.0,3.0,32.0,7.0,2.0,3.0,4.0,1.0,3.0,11.0,5.0,46.0,2.0,14.0,3.0,20.0,2.0,31.0,7.0,1.0,9.0,2.0,2.0,2.0,,3.0,1.0,38.0,,23.0,65.0,1.0,11.0,13.0,3.0,,2.0,4.0,,,,2.0,,37.0,95.0,2.0,6.0,2.0,10.0,2.0,7.0,0.0,,,10.0,1.0,,,,,9.0,,,1.0,1.0,3.0,,,3.0,1.0,2.0,,2.0,2.0,,1.0,3.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2025,Miami FC,1xkff6cxd8zycnd3n3odmvai1,C. Vázquez,Midfielder,30,77.0,90.0,150.0,1.0,2.0,12.0,1.0,20.0,12.0,5.0,2.0,,1.0,,24.0,1.0,77.0,4.0,14.0,2.0,35.0,,24.0,6.0,,13.0,2.0,2.0,,,,1.0,54.0,2.0,13.0,90.0,1.0,19.0,9.0,8.0,3.0,,11.0,,1.0,7.0,1.0,5.0,72.0,118.0,,5.0,,10.0,5.0,8.0,0.0,,,4.0,,,,,,5.0,,,4.0,,2.0,,,1.0,1.0,5.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
USA_US_Open_Cup,2025,Miami FC,eqge8se9qvv9oqyivp267l016,T. Zárate,Forward,18,11.0,15.0,23.0,1.0,2.0,4.0,1.0,4.0,4.0,,1.0,,,1.0,4.0,,11.0,,1.0,1.0,3.0,,4.0,1.0,1.0,1.0,,,,,1.0,1.0,7.0,,4.0,15.0,,4.0,4.0,,,,,1.0,1.0,1.0,,,11.0,17.0,,1.0,,10.0,,,0.0,1.0,,,1.0,,,1.0,1.0,,,,,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
