liga,temporada,equipo,id,nombre,posicion,dorsal,Goal Assists,Ground Duels lost,Index,Handballs conceded,Aerial Duels lost,Corners Taken (incl short corners),Penalties Taken,Goals from Inside Box,Substitute Off,Left Foot Goals,Total Touches In Opposition Box,Successful Short Passes,Tackles Lost,Appearances,Successful Open Play Passes,Open Play Passes,Corners Won,Total Shots,Duels won,Ground Duels,Key Passes (Attempt Assists),Rightside Passes,Unsuccessful Dribbles,Leftside Passes,Time Played,Unsuccessful Long Passes,Unsuccessful Short Passes,Games Played,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Successful Dribbles,Times Tackled,Goals from Outside Box,Right Foot Goals,Hit Woodwork,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels lost,Aerial Duels,Total Tackles,Total Clearances,Foul Attempted Tackle,Successful Launches,Aerial Duels won,Ground Duels won,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Passes Opposition Half,Tackles Won,Blocked Shots,Unsuccessful Crosses & Corners,Successful Long Passes,PutThrough/Blocked Distribution,Total Fouls Won,Unsuccessful lay-offs,Shots On Target ( inc goals ),Backward Passes,Through balls,Goals,Unsuccessful Corners into Box,Forward Passes,Successful Passes Own Half,Successful Lay-offs,Duels,Penalty Goals,Touches,Unsuccessful Crosses open play,Yellow Cards,Unsuccessful Passes Own Half,Penalty Goals Conceded,Successful Crosses & Corners,Total Losses Of Possession,Successful Crosses open play,Unsuccessful Passes Opposition Half,Total Fouls Conceded,Goals Conceded,Goals Conceded Inside Box,Starts,Recoveries,Substitute On,Clean Sheets,Offsides,Assists (Intentional),Interceptions,Total Passes,Goals Conceded Outside Box,Home Goals,Away Goals,Winning Goal,Unsuccessful Launches,Throw Ins to Opposition Player,Blocks,Throw Ins to Own Player,GK Successful Distribution,Headed Goals,Penalties Conceded,Clearances Off the Line,Second Goal Assists,Foul Won Penalty,Penalties Saved,Saves Made from Inside Box,Punches,Penalties Faced,Catches,Saves from Penalty,Drops,Crosses not Claimed,Saves made - parried,Saves made - caught,Saves Made,GK Unsuccessful Distribution,Goalkeeper Smother,Saves Made from Outside Box,Attempts from Set Pieces,Successful Corners into Box,Red Cards - 2nd Yellow,Total Red Cards,Last Man Tackle,Set Pieces Goals,Straight Red Cards,Own Goal Scored,Penalties Off Target
Mexico_Liga_MX,2015-2016,Atlas FC,62dab92vpof2wyr3emhs24t1,F. Arizala,Forward,11,2,78,10,1,28,1,1,3,6,3,8,268,4,15,273,349,9,19,86,143,16,89,27,95,1110,7,69,15,3,7,19,58,2,2,1,76,106,49,16,8,10,1,21,65,283,208,12,5,13,15,8,33,3,12,90,1,5,1,85,79,24,192,1,599,12,2,8,1,4,182,4,81,19,20,17,13,50,2,1,6,2,5,359,3,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,aigpkj2yyc43t0sn9nbg28ct1,C. Arreola,Midfielder,100,,16,10,,5,,,,,,,80,2,5,82,105,,2,27,41,2,9,3,31,405,9,15,5,5,2,1,6,,,,24,21,7,20,9,1,,2,25,83,44,18,1,6,3,10,5,,,14,,,,53,40,,48,,222,6,,5,1,1,54,1,25,7,5,4,4,15,1,,,,7,107,1,0,0,0,3,11,1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,c295wl8m8rgajmm2a157i3jrp,F. Baloy,Defender,23,,27,10,,9,,,2,,,2,297,2,11,295,346,5,11,63,60,2,75,1,117,990,28,28,11,4,6,3,2,,,,56,36,39,17,65,10,8,30,33,333,129,15,2,3,36,9,16,,5,22,1,2,,175,204,,99,,576,3,4,21,2,,81,,38,15,14,13,11,58,,2,,,32,389,1,1,1,0,16,,7,2,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,21f7hh7sala9wz8kqyc29vw0l,M. Barragán,Forward,0,,10,10,,5,,,,,,1,35,,5,34,38,1,4,5,13,,19,2,14,152,,4,5,,2,,7,,,,4,15,7,,,3,,2,3,37,30,,1,1,2,1,3,,2,4,,,,4,7,2,20,,61,1,,1,,,14,,4,5,3,,1,6,4,,3,,1,41,3,0,0,0,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,eikdlnaboghmcwyn7l7isnyz9,G. Bergessio,Forward,25,1,43,10,,21,,,1,7,,4,184,1,15,160,207,18,33,35,65,8,64,8,70,1103,1,46,15,2,19,6,24,,1,1,47,64,34,3,2,9,,13,22,190,143,2,8,16,6,5,13,4,14,58,1,1,,45,48,20,99,,382,16,6,4,2,1,113,1,59,18,24,18,13,14,2,,13,1,2,237,6,0,1,0,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,ekelus24qs08ovlwye8hrfhed,L. Caballero,Forward,11,,15,10,1,6,,,1,2,,,67,,9,64,82,1,5,12,23,2,33,6,22,332,,18,9,4,1,1,8,,1,1,18,21,10,,,6,,4,8,68,51,,,1,1,6,8,,4,17,,1,,14,17,2,33,,128,1,2,1,,,35,,18,7,6,5,3,12,6,,2,,1,86,1,1,0,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,9a1doja0m3boh2ulxbkr8euad,M. Fraga,Goalkeeper,30,,,10,,,,,,,,,99,1,12,69,90,,,8,5,2,43,,30,1080,87,2,12,,,1,,,,,89,,3,2,20,,14,3,5,167,47,1,,,68,,3,,,,,,,183,120,,8,,385,,2,4,2,,92,,85,,15,13,12,95,,2,,,,256,2,0,0,0,29,,,,127,,,,,,1,14,12,3,8,1,1,1,9,7,31,49,1,17,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,9e6gavtd12x5curksj8yno5ih,B. Garnica,Midfielder,11,,3,10,,1,1,,,,,,20,,4,19,23,1,,6,9,2,3,,14,84,,4,4,1,,1,3,,,,4,4,1,,,,,,6,20,16,,1,9,,2,5,,,3,,,1,4,7,,10,,55,8,,,,3,18,3,13,,,,,2,4,,,,2,24,,0,0,0,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,60gkf96r9k634pwzeq9so14gl,G. Garza,Defender,4,,6,10,,1,,,,1,,,100,1,3,98,108,,2,6,11,,44,,7,225,1,9,3,,1,,3,,,,10,7,2,2,2,1,1,1,5,101,73,1,1,3,1,1,3,,1,14,,,,46,30,,13,,165,3,,3,,2,26,2,10,1,8,6,3,8,,,,,4,111,2,0,0,0,,5,4,16,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,4tc2s00y26jbska0e81taxdk9,Á. Gaspar,Midfielder,31,,3,10,,1,,,,,,,30,,2,34,40,,3,2,5,,6,1,14,61,1,5,2,,3,,2,,,,6,4,1,2,,1,,,2,34,29,2,,2,4,,,,,6,,,,14,5,,6,,54,1,1,2,,,13,,6,1,,,,4,2,,,,2,40,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,dj0mnh206bmg6g2980038frp,A. González,Midfielder,15,,30,10,,5,15,,1,7,1,,176,,10,178,204,1,9,32,55,11,59,9,55,570,1,26,10,4,6,5,23,,,,27,35,12,14,1,1,,7,25,181,124,14,,15,5,5,8,,3,50,,1,7,44,65,10,67,,320,7,,7,,8,71,,35,3,9,6,8,32,2,,,,7,208,3,0,1,1,1,,1,3,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,24ufvjrw3zy1hnnke06j88vdh,Á. González,Midfielder,32,,26,10,,10,,,,1,,2,251,,8,279,332,1,,26,47,5,118,3,97,605,14,39,8,9,,,12,,,,53,36,15,13,8,8,2,5,21,283,186,13,3,1,32,17,8,,,23,,,,98,98,3,62,,427,1,1,12,1,1,83,1,42,9,9,8,7,35,1,2,,,13,336,1,0,0,0,4,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,5xoldil5uffzb0hrvoz569gb9,D. Hernández,Forward,14,,4,10,,2,2,,,,,,47,,3,47,60,1,1,13,17,3,28,1,8,133,2,11,3,2,1,4,3,,,,13,6,2,7,,1,,,13,48,32,7,1,12,1,2,2,,,4,,,2,21,18,,19,,114,10,,2,,2,30,2,23,3,2,1,1,9,2,,,,5,61,1,0,0,0,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,50cbuihvz2z39l8a10z2fxp79,J. Hernández,Midfielder,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,8xud2su9ilv32ukccmocfvzkl,W. Kannemann,Defender,0,,27,10,,11,,,,2,,1,230,5,12,223,282,1,5,58,73,2,104,,40,964,32,28,12,5,4,5,,,,,60,38,23,27,39,14,2,12,46,242,51,22,1,,12,5,16,,1,15,,,,143,191,,96,,463,,4,17,1,,72,,43,23,21,15,12,39,,1,,,45,302,6,0,0,0,19,1,4,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,dw0g7dmfjbnt8msh9x6hu3iz9,G. León,Defender,0,1,19,10,,10,,,,1,,,202,5,9,212,257,1,1,44,46,4,81,2,52,808,19,27,9,6,1,3,3,,,,46,29,27,20,40,7,3,17,27,221,98,15,,7,19,11,5,,,19,,,,115,126,,73,,436,7,4,20,2,3,77,3,33,12,12,11,9,33,,1,,1,19,267,1,0,0,0,11,10,3,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,2bka1393417xnw60zc7366or9,E. Loboa,Midfielder,19,,69,10,,5,2,,,2,1,,399,3,15,415,485,8,3,65,132,11,100,15,199,1202,19,53,15,8,2,28,37,1,,,72,74,7,20,8,15,6,2,63,418,301,17,1,28,19,9,15,,1,58,,1,1,133,123,3,139,,778,27,3,12,1,6,171,5,88,25,23,17,13,56,2,1,,,11,490,6,1,0,0,8,5,3,72,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,9e55iiah704cs2ij862ckjo45,A. López,Goalkeeper,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,gmj520ms1yvysgcc4mla8445,P. Mascareñas,Midfielder,22,,5,10,,,,,,1,,,28,,2,26,31,1,1,,5,4,2,1,12,135,,5,2,2,,,2,,,,5,5,,,,2,,,,28,24,,,1,,2,,,1,5,,,,14,6,,5,,56,1,,2,,2,9,2,4,2,2,,2,4,,,,,1,33,2,0,0,0,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,Atlas FC,6srag78f3kgq6x6o99deuqok5,J. Medina,Midfielder,26,1,34,10,1,6,11,1,1,5,,,340,1,11,340,394,1,7,30,59,11,127,3,100,765,18,38,11,5,4,2,12,,1,,56,40,11,13,5,17,1,5,25,363,237,12,1,12,23,10,10,,3,41,2,1,4,151,137,4,70,1,524,3,3,5,1,11,89,1,63,19,17,13,10,46,1,,1,,6,419,4,1,0,1,3,1,1,1,,,,,,,,,,,,,,,,,,,,,2,7,,,,,,,
