liga,temporada,equipo,id,nombre,posicion,dorsal,Handballs conceded,Shots On Target ( inc goals ),Goal Assists,Tackles Won,Key Passes (Attempt Assists),Total Touches In Opposition Box,Unsuccessful Crosses open play,Total Tackles,Yellow Cards,Tackles Lost,Throw Ins to Own Player,Unsuccessful Crosses & Corners,Leftside Passes,Successful Passes Opposition Half,Rightside Passes,Shots Off Target (inc woodwork),Total Successful Passes ( Excl Crosses & Corners ) ,Appearances,Blocks,Goals from Inside Box,Ground Duels lost,Aerial Duels won,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Short Passes,Interceptions,Successful Open Play Passes,Duels won,Times Tackled,Penalties Conceded,Unsuccessful Passes Own Half,Total Passes,Goals,Successful Passes Own Half,Aerial Duels,Duels lost,Successful Dribbles,Total Fouls Won,Total Clearances,Backward Passes,Ground Duels won,Index,Penalty Goals Conceded,Substitute On,Games Played,Goals Conceded Inside Box,PutThrough/Blocked Distribution,Unsuccessful Passes Opposition Half,Clean Sheets,Touches,Goals Conceded,Substitute Off,Total Losses Of Possession,Corners Won,PutThrough/Blocked Distribution Won,Total Shots,Duels,Successful Long Passes,Time Played,Forward Passes,Starts,Unsuccessful Dribbles,Unsuccessful Short Passes,Foul Attempted Tackle,Unsuccessful Long Passes,Total Fouls Conceded,Recoveries,Right Foot Goals,Aerial Duels lost,Open Play Passes,Successful Lay-offs,Unsuccessful Launches,Successful Launches,Ground Duels,Home Goals,Away Goals,Winning Goal,Corners Taken (incl short corners),Throw Ins to Opposition Player,Goals Conceded Outside Box,Successful Crosses & Corners,Successful Corners into Box,Successful Crosses open play,Goals from Outside Box,Attempts from Set Pieces,Second Goal Assists,Assists (Intentional),Unsuccessful Corners into Box,Offsides,Blocked Shots,Hit Woodwork,Headed Goals,Unsuccessful lay-offs,Through balls,Last Man Tackle,Total Red Cards,Left Foot Goals,Straight Red Cards,GK Unsuccessful Distribution,Catches,Punches,Saves made - caught,Saves from Penalty,Penalties Faced,Goalkeeper Smother,Saves Made,Saves Made from Outside Box,Drops,Penalties Saved,GK Successful Distribution,Saves Made from Inside Box,Own Goal Scored,Saves made - parried,Crosses not Claimed,Foul Won Penalty,Penalties Taken,Penalty Goals,Penalties Off Target,Clearances Off the Line,Red Cards - 2nd Yellow,Set Pieces Goals,Other Goals
USA_MLS,2019,New York Red Bulls,dnkvm6zpfsxyjie6esilvw15,T. Barlow,Forward,74,,10.0,,1.0,7.0,39.0,2.0,1.0,,,1.0,2.0,38.0,63.0,26.0,5.0,84.0,13.0,1.0,4.0,25.0,27.0,52.0,84.0,,79.0,32.0,,,7.0,136.0,4.0,21.0,74.0,72.0,2.0,4.0,4.0,41.0,5.0,38.0,1.0,4.0,13.0,8.0,3.0,47.0,,226.0,9.0,9.0,90.0,4.0,1.0,15.0,104.0,,689.0,31.0,9.0,3.0,52.0,4.0,,9.0,16.0,2.0,47.0,131.0,6.0,,,30.0,,,,,,1.0,,,,,,,,,3.0,4.0,1.0,1.0,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,New York Red Bulls,3b0qlsm91qrzskc5n9hgiqpcl,V. Bezecourt,Midfielder,88,4.0,3.0,,8.0,6.0,14.0,2.0,10.0,,2.0,5.0,8.0,23.0,64.0,31.0,3.0,77.0,8.0,1.0,,31.0,9.0,61.0,76.0,4.0,74.0,29.0,,,11.0,138.0,,16.0,29.0,51.0,5.0,5.0,2.0,19.0,20.0,20.0,2.0,1.0,8.0,7.0,12.0,58.0,,237.0,7.0,5.0,94.0,6.0,4.0,6.0,80.0,1.0,453.0,65.0,7.0,6.0,49.0,5.0,12.0,10.0,15.0,,20.0,134.0,2.0,6.0,,51.0,,,,4.0,1.0,,3.0,1.0,2.0,,,1.0,,3.0,1.0,5.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,New York Red Bulls,5ynru0652guk8hl45ltxo0dwq,R. Buckmaster,Defender,91,1.0,,,8.0,7.0,5.0,4.0,15.0,1.0,7.0,57.0,4.0,59.0,120.0,29.0,1.0,178.0,7.0,4.0,,14.0,6.0,62.0,169.0,15.0,173.0,29.0,,1.0,27.0,240.0,,59.0,19.0,27.0,,8.0,18.0,36.0,23.0,33.0,1.0,,7.0,15.0,15.0,39.0,1.0,423.0,16.0,,98.0,1.0,7.0,1.0,56.0,9.0,660.0,116.0,7.0,3.0,44.0,4.0,18.0,5.0,34.0,,13.0,234.0,,14.0,5.0,37.0,,,,1.0,21.0,1.0,1.0,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,New York Red Bulls,6vjoq2kgaq2igxoh8cvq0ieax,C. Cásseres,Forward,23,2.0,6.0,3.0,35.0,20.0,31.0,14.0,63.0,6.0,28.0,9.0,14.0,178.0,480.0,209.0,12.0,639.0,24.0,2.0,1.0,157.0,41.0,248.0,617.0,31.0,615.0,183.0,,,44.0,887.0,3.0,161.0,68.0,184.0,19.0,62.0,20.0,80.0,142.0,55.0,5.0,2.0,24.0,34.0,65.0,218.0,3.0,1339.0,37.0,5.0,372.0,9.0,32.0,18.0,367.0,22.0,1920.0,420.0,22.0,29.0,199.0,38.0,49.0,54.0,174.0,3.0,27.0,862.0,2.0,17.0,7.0,299.0,,,,,2.0,3.0,2.0,,2.0,2.0,,1.0,3.0,,1.0,8.0,1.0,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,New York Red Bulls,4wy7kbv694s6xrm3tfsyl4hyh,S. Davis,Midfielder,27,,3.0,1.0,56.0,22.0,21.0,14.0,90.0,,34.0,4.0,35.0,323.0,747.0,351.0,7.0,1189.0,31.0,8.0,,93.0,49.0,347.0,1144.0,53.0,1153.0,178.0,,,73.0,1536.0,,460.0,80.0,124.0,16.0,23.0,52.0,143.0,129.0,48.0,3.0,3.0,31.0,40.0,60.0,309.0,7.0,2006.0,43.0,2.0,429.0,3.0,34.0,10.0,302.0,45.0,2607.0,719.0,28.0,5.0,240.0,26.0,107.0,32.0,228.0,,31.0,1496.0,3.0,60.0,13.0,222.0,,,,31.0,1.0,3.0,18.0,13.0,5.0,,,1.0,1.0,17.0,,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
USA_MLS,2019,New York Red Bulls,1o6ncw2f6h5uodlhavzsswvrp,K. Duncan,Defender,6,,1.0,2.0,28.0,8.0,15.0,16.0,41.0,4.0,13.0,110.0,16.0,89.0,183.0,43.0,2.0,272.0,13.0,5.0,1.0,65.0,24.0,147.0,261.0,26.0,269.0,109.0,,1.0,38.0,419.0,1.0,91.0,48.0,89.0,20.0,24.0,22.0,45.0,85.0,64.0,2.0,,13.0,16.0,29.0,125.0,3.0,836.0,18.0,2.0,264.0,6.0,13.0,3.0,198.0,11.0,1080.0,242.0,13.0,18.0,110.0,6.0,37.0,21.0,84.0,1.0,24.0,414.0,,20.0,3.0,150.0,,,,,40.0,2.0,2.0,,2.0,,,,2.0,,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,New York Red Bulls,csx9pmpibyblftludnkd6j36x,M. Epps,Forward,11,,1.0,,,,3.0,4.0,3.0,,3.0,7.0,4.0,16.0,22.0,3.0,1.0,28.0,3.0,,,6.0,5.0,18.0,28.0,,28.0,14.0,,,2.0,46.0,,6.0,9.0,10.0,4.0,2.0,1.0,11.0,9.0,22.0,,2.0,3.0,1.0,4.0,20.0,,83.0,1.0,1.0,33.0,1.0,,2.0,24.0,,109.0,16.0,1.0,3.0,17.0,,1.0,1.0,6.0,,4.0,46.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,New York Red Bulls,2uis9d0h87arn5ew3bg1si40l,D. Etienne,Midfielder,7,,6.0,1.0,6.0,2.0,25.0,13.0,11.0,,5.0,5.0,14.0,53.0,113.0,44.0,4.0,157.0,16.0,,1.0,37.0,6.0,54.0,153.0,3.0,152.0,46.0,,,10.0,211.0,1.0,49.0,26.0,57.0,10.0,19.0,3.0,51.0,40.0,83.0,3.0,9.0,16.0,16.0,13.0,58.0,,368.0,16.0,7.0,117.0,12.0,8.0,10.0,103.0,4.0,684.0,63.0,7.0,14.0,40.0,4.0,14.0,8.0,45.0,1.0,20.0,206.0,4.0,4.0,2.0,77.0,,,,1.0,,,5.0,,5.0,,,,1.0,1.0,2.0,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,New York Red Bulls,7yfqbj33r0hi0scz89ckt9bs9,O. Fernandez,Midfielder,21,,6.0,1.0,7.0,8.0,28.0,4.0,14.0,,7.0,2.0,4.0,26.0,80.0,31.0,3.0,116.0,18.0,1.0,2.0,31.0,4.0,35.0,115.0,7.0,109.0,42.0,,,8.0,151.0,2.0,36.0,22.0,49.0,5.0,20.0,3.0,54.0,38.0,20.0,2.0,15.0,18.0,9.0,8.0,31.0,,282.0,9.0,2.0,77.0,3.0,4.0,9.0,91.0,1.0,568.0,40.0,3.0,9.0,32.0,4.0,3.0,8.0,37.0,1.0,18.0,143.0,5.0,1.0,1.0,69.0,,,,1.0,,,,,,,,1.0,1.0,,,3.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2019,New York Red Bulls,58c19piq01hbllnokygtm5l91,A. Ivan,Forward,9,1.0,6.0,2.0,10.0,3.0,20.0,17.0,16.0,,6.0,4.0,22.0,24.0,72.0,40.0,11.0,92.0,12.0,1.0,1.0,37.0,4.0,48.0,85.0,3.0,81.0,33.0,,,9.0,140.0,1.0,22.0,19.0,52.0,6.0,7.0,4.0,27.0,29.0,31.0,,7.0,12.0,6.0,11.0,61.0,,281.0,7.0,2.0,105.0,5.0,7.0,17.0,85.0,7.0,486.0,49.0,5.0,7.0,39.0,5.0,9.0,10.0,25.0,,15.0,128.0,1.0,4.0,6.0,66.0,,,,8.0,1.0,1.0,2.0,,1.0,,3.0,,2.0,3.0,3.0,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
