liga,temporada,equipo,id,nombre,posicion,dorsal,Times Tackled,Aerial Duels won,Aerial Duels,Aerial Duels lost,Rightside Passes,Successful Passes Opposition Half,Unsuccessful Crosses open play,Right Foot Goals,Corners Taken (incl short corners),Goals Conceded,Unsuccessful Crosses & Corners,Goals Conceded Inside Box,Ground Duels,Appearances,Games Played,Starts,Total Fouls Won,Total Tackles,Tackles Won,Assists (Intentional),Foul Attempted Tackle,Index,Tackles Lost,Clean Sheets,Total Passes,Goals Conceded Outside Box,Backward Passes,Goals,Interceptions,Ground Duels lost,Yellow Cards,Shots Off Target (inc woodwork),Ground Duels won,Duels lost,Duels,Offsides,Successful Open Play Passes,Total Touches In Opposition Box,Penalties Conceded,Leftside Passes,Throw Ins to Opposition Player,Unsuccessful Launches,Successful Passes Own Half,Successful Crosses open play,PutThrough/Blocked Distribution,Blocks,Handballs conceded,Successful Long Passes,Unsuccessful Passes Own Half,Successful Dribbles,Total Clearances,PutThrough/Blocked Distribution Won,Unsuccessful Long Passes,Unsuccessful Short Passes,Goal Assists,Shots On Target ( inc goals ),Time Played,Corners Won,Recoveries,Throw Ins to Own Player,Key Passes (Attempt Assists),Left Foot Goals,Successful Crosses & Corners,Penalty Goals Conceded,Total Shots,Unsuccessful Passes Opposition Half,Unsuccessful Dribbles,Forward Passes,Touches,Duels won,Hit Woodwork,Total Fouls Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Blocked Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Successful Launches,Successful Lay-offs,Goals from Inside Box,Open Play Passes,Total Losses Of Possession,Home Goals,Away Goals,Winning Goal,Clearances Off the Line,Headed Goals,Red Cards - 2nd Yellow,Substitute Off,Total Red Cards,Substitute On,Through balls,GK Unsuccessful Distribution,GK Successful Distribution,Goals from Outside Box,Second Goal Assists,Unsuccessful Corners into Box,Successful Corners into Box,Straight Red Cards,Attempts from Set Pieces,Foul Won Penalty,Unsuccessful lay-offs,Saves Made from Outside Box,Saves Made from Inside Box,Saves made - parried,Penalties Faced,Saves Made,Penalties Saved,Catches,Punches,Saves made - caught,Goalkeeper Smother,Saves from Penalty,Drops,Penalty Goals,Penalties Taken,Own Goal Scored,Set Pieces Goals,Other Goals,Penalties Off Target,Crosses not Claimed,Last Man Tackle
Canada_Canadian_Premier_League,2021,Atlético Ottawa,b2fxe6y0xulg212cls9zrp6mt,Miguel Acosta,Defender,17,37.0,13.0,26.0,13.0,228.0,365.0,57.0,1.0,1.0,46.0,57.0,45.0,225.0,27.0,27.0,27.0,19.0,75.0,41.0,1.0,12.0,10.0,34.0,3.0,988.0,1.0,213.0,2.0,22.0,108.0,7.0,3.0,117.0,121.0,251.0,2.0,735.0,17.0,1.0,122.0,31.0,45.0,396.0,6.0,66.0,7.0,4.0,48.0,98.0,24.0,59.0,18.0,82.0,151.0,1.0,2.0,2430.0,13.0,133.0,204.0,11.0,1.0,6.0,11.0,5.0,192.0,20.0,425.0,1643.0,130.0,1.0,24.0,233.0,3.0,755.0,707.0,14.0,2.0,2.0,963.0,398.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,dvm23d66qze0kmrzxft68a0ru,M. Arnone,Defender,23,5.0,13.0,26.0,13.0,244.0,115.0,,,,21.0,,20.0,34.0,14.0,14.0,13.0,5.0,15.0,9.0,,5.0,10.0,6.0,,637.0,1.0,59.0,1.0,11.0,13.0,,4.0,21.0,26.0,60.0,,559.0,10.0,,95.0,1.0,7.0,458.0,,11.0,6.0,,30.0,35.0,1.0,51.0,8.0,26.0,38.0,,1.0,1146.0,,38.0,,1.0,,,6.0,5.0,29.0,1.0,239.0,770.0,34.0,,6.0,64.0,1.0,573.0,543.0,3.0,,1.0,622.0,75.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,18533nxyqhzt04i9xmztjyhw4,M. Ba,Midfielder,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,3ot9v3kbxlf1il8eg7o4vg9ud,D. Beckie,Defender,2,9.0,27.0,47.0,20.0,211.0,202.0,8.0,1.0,,30.0,8.0,29.0,90.0,18.0,18.0,18.0,15.0,35.0,22.0,1.0,8.0,10.0,13.0,2.0,861.0,1.0,86.0,1.0,24.0,35.0,8.0,4.0,55.0,55.0,137.0,1.0,690.0,23.0,,243.0,5.0,20.0,520.0,,23.0,12.0,1.0,56.0,59.0,5.0,61.0,12.0,53.0,86.0,1.0,4.0,1589.0,2.0,82.0,35.0,,,,7.0,8.0,88.0,4.0,321.0,1124.0,82.0,,16.0,139.0,,722.0,666.0,4.0,,1.0,819.0,177.0,1.0,0.0,0.0,,,,2.0,,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,d0u449r2nmhewtfvgpf63qhhw,M. Cornwall,Midfielder,21,,,1.0,1.0,7.0,6.0,3.0,,,2.0,3.0,2.0,1.0,2.0,2.0,1.0,,,,,1.0,10.0,,,28.0,,7.0,,,1.0,,,,2.0,2.0,,18.0,1.0,,3.0,,,13.0,,1.0,,,2.0,1.0,,,,2.0,7.0,,1.0,58.0,1.0,3.0,4.0,,,,1.0,1.0,11.0,,11.0,38.0,,,1.0,9.0,,19.0,17.0,,,,27.0,14.0,0.0,0.0,0.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,bh7fb8v7o5wynmapdhlth594a,A. Coupland,Midfielder,11,17.0,3.0,14.0,11.0,34.0,79.0,1.0,,,9.0,1.0,8.0,67.0,15.0,15.0,7.0,18.0,9.0,4.0,,6.0,10.0,5.0,,169.0,1.0,41.0,2.0,4.0,31.0,,2.0,36.0,42.0,81.0,,137.0,9.0,,51.0,,,66.0,,12.0,,1.0,6.0,4.0,9.0,3.0,8.0,4.0,20.0,,7.0,513.0,2.0,34.0,,5.0,2.0,,1.0,9.0,21.0,6.0,43.0,288.0,39.0,,11.0,24.0,,145.0,139.0,,1.0,1.0,161.0,67.0,1.0,1.0,0.0,,,,7.0,,8.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,33l8nq6xbj3pm1lkxo2qs5vfu,K. Ferdinand,Defender,33,10.0,3.0,11.0,8.0,53.0,115.0,2.0,,,18.0,2.0,18.0,65.0,17.0,17.0,12.0,7.0,22.0,16.0,,7.0,10.0,6.0,1.0,430.0,,56.0,,10.0,30.0,,4.0,35.0,38.0,76.0,,345.0,9.0,1.0,129.0,8.0,10.0,239.0,3.0,10.0,5.0,,23.0,45.0,6.0,39.0,4.0,26.0,53.0,,1.0,1056.0,1.0,55.0,29.0,2.0,,3.0,4.0,5.0,36.0,5.0,192.0,607.0,38.0,,12.0,79.0,1.0,351.0,328.0,3.0,,,422.0,111.0,0.0,0.0,0.0,1.0,,,4.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,8e1nhx9eytr8now1kr0088auh,N. Higgins,Defender,20,,4.0,10.0,6.0,97.0,53.0,,,,9.0,,9.0,16.0,8.0,8.0,5.0,1.0,7.0,4.0,,4.0,10.0,3.0,,261.0,,21.0,,6.0,8.0,1.0,1.0,8.0,14.0,26.0,,227.0,1.0,1.0,72.0,,10.0,180.0,,6.0,5.0,1.0,14.0,15.0,,21.0,5.0,19.0,9.0,,,458.0,1.0,20.0,1.0,,,,2.0,1.0,13.0,,71.0,312.0,12.0,,7.0,28.0,,233.0,219.0,1.0,,,254.0,29.0,0.0,0.0,0.0,,,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,1hwbc5i6pxjdjgx0f88wmqqx,B. John,Defender,4,,1.0,1.0,,12.0,11.0,,,,3.0,,3.0,7.0,5.0,5.0,2.0,4.0,2.0,2.0,,1.0,10.0,,,65.0,,8.0,,1.0,2.0,,,5.0,2.0,8.0,,48.0,1.0,,26.0,1.0,2.0,38.0,,1.0,,,5.0,4.0,,1.0,,9.0,7.0,,1.0,147.0,,4.0,,1.0,,,1.0,1.0,12.0,,19.0,76.0,6.0,,2.0,16.0,,49.0,44.0,1.0,,,64.0,17.0,0.0,0.0,0.0,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2021,Atlético Ottawa,2xr4zmz44j3klssbanayqqy21,M. Kapor,Defender,3,2.0,23.0,53.0,30.0,225.0,162.0,1.0,,,28.0,1.0,28.0,50.0,21.0,21.0,20.0,6.0,17.0,7.0,,6.0,10.0,10.0,2.0,919.0,,46.0,,31.0,25.0,4.0,3.0,25.0,55.0,103.0,,778.0,11.0,2.0,350.0,,20.0,639.0,,10.0,15.0,2.0,94.0,34.0,2.0,62.0,7.0,73.0,45.0,,,1756.0,1.0,59.0,2.0,1.0,,,9.0,3.0,85.0,,298.0,1096.0,48.0,,17.0,118.0,4.0,801.0,707.0,12.0,,,885.0,125.0,0.0,0.0,0.0,,,,3.0,,1.0,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
