liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Own Goal Scored,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Unsuccessful Passes Opposition Half,Recoveries,Starts,Unsuccessful Passes Own Half,Touches,Appearances,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Launches,Shots Off Target (inc woodwork),Total Fouls Conceded,Total Shots,PutThrough/Blocked Distribution,Foul Attempted Tackle,Blocks,Total Touches In Opposition Box,Shots On Target ( inc goals ),Attempts from Set Pieces,Substitute On,Goals,Right Foot Goals,Yellow Cards,Goals from Inside Box,Assists (Intentional),Goal Assists,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Substitute Off,Key Passes (Attempt Assists),Unsuccessful Dribbles,Unsuccessful Crosses & Corners,Corners Won,Goals from Outside Box,Penalties Taken,Penalty Goals,Corners Taken (incl short corners),Unsuccessful Corners into Box,Saves Made,GK Successful Distribution,Saves Made from Inside Box,Saves made - caught,GK Unsuccessful Distribution,Goalkeeper Smother,Successful Lay-offs,Total Red Cards,Blocked Shots,Straight Red Cards,Foul Won Penalty,Throw Ins to Opposition Player,Goals Conceded Outside Box,Clean Sheets,Successful Crosses & Corners,Successful Crosses open play,Left Foot Goals,Offsides,Handballs conceded,Hit Woodwork,Unsuccessful lay-offs,Punches,Catches,Saves Made from Outside Box,Through balls,Successful Corners into Box,Saves made - parried,Penalty Goals Conceded,Drops,Penalties Faced,Headed Goals,Penalties Conceded,Second Goal Assists,Red Cards - 2nd Yellow
Concacaf_Leagues_Cup_2019_2022,2019,Club Tigres UANL,8f8h57y9u27itkkdehbdss4b9,J. Aquino,Midfielder,20,279.0,3.0,107.0,41.0,62.0,1.0,1.0,,2.0,37.0,34.0,5.0,11.0,107.0,10.0,95.0,3.0,12.0,47.0,19.0,18.0,3.0,2.0,162.0,3.0,34.0,11.0,10.0,24.0,,5.0,4.0,40.0,,4.0,3.0,14.0,8.0,95.0,95.0,6.0,3.0,16.0,2.0,2.0,20.0,,,3.0,2.0,3.0,1.0,,6.0,2.0,,,,,,,,,6.0,1.0,,3.0,6.0,9.0,,,,,3.0,3.0,,,,,,,2.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,2.0,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Club Tigres UANL,6stnu5c38qqzze7xbyrfwb74l,H. Ayala,Defender,4,279.0,2.0,218.0,11.0,56.0,6.0,18.0,,4.0,30.0,142.0,7.0,10.0,226.0,1.0,180.0,3.0,28.0,32.0,19.0,11.0,3.0,9.0,260.0,3.0,19.0,97.0,10.0,13.0,18.0,2.0,3.0,26.0,4.0,4.0,3.0,9.0,86.0,192.0,198.0,7.0,3.0,13.0,4.0,6.0,10.0,3.0,,2.0,,4.0,1.0,3.0,,,,,,,,,,,,4.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Club Tigres UANL,evk0esdocrzt5zxqmv4ostdcl,J. Damm,Midfielder,25,136.0,1.0,60.0,27.0,29.0,,,,1.0,18.0,24.0,5.0,8.0,60.0,,49.0,1.0,8.0,8.0,14.0,4.0,2.0,2.0,85.0,3.0,9.0,5.0,10.0,9.0,3.0,2.0,2.0,12.0,2.0,1.0,3.0,2.0,20.0,52.0,52.0,3.0,4.0,3.0,1.0,,7.0,,1.0,1.0,1.0,3.0,1.0,,3.0,,,1.0,,,,,,,8.0,,2.0,1.0,1.0,8.0,2.0,,,,,,,,,,,,2.0,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,1.0,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Club Tigres UANL,d9y2nzwk6kkcejglaa4kxeuvp,Rafael Carioca,Midfielder,5,217.0,,161.0,41.0,79.0,1.0,4.0,,3.0,19.0,77.0,,6.0,165.0,,135.0,2.0,10.0,52.0,7.0,9.0,1.0,6.0,182.0,3.0,12.0,26.0,10.0,2.0,20.0,2.0,,15.0,,3.0,3.0,10.0,46.0,151.0,155.0,3.0,,13.0,,1.0,2.0,,1.0,7.0,1.0,3.0,6.0,,,,,2.0,,,1.0,,1.0,1.0,2.0,2.0,,4.0,,3.0,,,,,,,,,,,,,3.0,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Club Tigres UANL,ebd087qhfyhs6i8k2442xgb11,J. Dueñas,Midfielder,29,152.0,5.0,73.0,19.0,22.0,,3.0,,2.0,17.0,44.0,3.0,6.0,73.0,1.0,63.0,3.0,9.0,23.0,7.0,8.0,3.0,2.0,98.0,3.0,14.0,13.0,10.0,5.0,1.0,1.0,,16.0,,3.0,3.0,9.0,18.0,64.0,64.0,2.0,3.0,11.0,,1.0,5.0,,1.0,5.0,1.0,1.0,3.0,,1.0,,,,,,1.0,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,2.0,,,1.0,,,,,,,,,2.0,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Club Tigres UANL,c3xpf74j8iadroh9n89pphejt,J. Díaz,Defender,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Club Tigres UANL,cpwrke87vea6lm457ub6w8251,E. Fernández,Goalkeeper,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Club Tigres UANL,4zjhf8g09in1aj4k6c7x485at,A. Gignac,Forward,10,139.0,,31.0,12.0,20.0,,,,4.0,11.0,8.0,1.0,6.0,34.0,1.0,27.0,2.0,6.0,9.0,4.0,1.0,1.0,2.0,55.0,3.0,6.0,5.0,10.0,5.0,1.0,2.0,1.0,11.0,1.0,3.0,3.0,2.0,8.0,25.0,28.0,5.0,,6.0,1.0,,4.0,,7.0,1.0,7.0,1.0,,,5.0,,1.0,2.0,,,1.0,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,3.0,,,,,,1.0,,,,,4.0,,,,,,,,,,1.0,,,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Club Tigres UANL,7uuli7jqi66bkkotgkypsignp,N. Guzmán,Goalkeeper,1,278.0,,73.0,,8.0,14.0,25.0,,,26.0,72.0,,,105.0,1.0,61.0,3.0,25.0,21.0,18.0,21.0,3.0,7.0,129.0,3.0,4.0,66.0,10.0,3.0,19.0,2.0,,4.0,1.0,4.0,3.0,1.0,18.0,58.0,80.0,,,1.0,,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,23.0,4.0,,3.0,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,2.0,,,2.0,2.0,1.0,2.0,,,,
Concacaf_Leagues_Cup_2019_2022,2019,Club Tigres UANL,c10ersq5u0flz3hky5lo74pgp,M. Ortega,Goalkeeper,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
