liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Substitute On,Successful Lay-offs,Successful Launches,Goals,Right Foot Goals,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Corners into Box,Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Unsuccessful Corners into Box,Assists (Intentional),Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Throw Ins to Own Player,Throw Ins to Opposition Player,Offsides,Goals from Outside Box,Attempts from Set Pieces,Left Foot Goals,Headed Goals,Handballs conceded,Hit Woodwork,Penalties Taken,Penalty Goals,GK Successful Distribution,Total Red Cards,Red Cards - 2nd Yellow,Penalties Conceded,Unsuccessful lay-offs,Saves Made,Crosses not Claimed,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Own Goal Scored,Clearances Off the Line,Straight Red Cards,Penalties Saved,Saves from Penalty,Set Pieces Goals,Foul Won Penalty,Last Man Tackle,Second Goal Assists,Penalties Off Target,Times Tackled,Penalty Goals Conceded,Home Goals,Away Goals,Winning Goal,Overruns,Goal Kicks,Other Goals
Mexico_Liga_MX,2016-2017,Club Santos Laguna,apsv0c0r1zc7q3bjqex8033kl,J. Abella,Defender,2,11.0,860.0,,,3.0,,,310.0,4.0,48.0,3.0,157.0,17.0,2.0,31.0,8.0,1.0,,8.0,125.0,90.0,30.0,44.0,319.0,3.0,12.0,,226.0,14.0,1.0,75.0,,8.0,2.0,67.0,,29.0,11.0,16.0,19.0,550.0,,11.0,8.0,3.0,63.0,159.0,2.0,10.0,50.0,,18.0,3.0,8.0,13.0,3.0,84.0,22.0,14.0,11.0,11.0,,,26.0,104.0,,235.0,244.0,21.0,3.0,,,23.0,34.0,7.0,16.0,37.0,85.0,17.0,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,cs0ukx1l3r8kdyn8iu26qupyh,C. Acevedo,Goalkeeper,28,,90.0,,,1.0,,,15.0,,,,1.0,4.0,,11.0,,,,,11.0,20.0,,,32.0,,,,18.0,3.0,,11.0,,8.0,,8.0,,2.0,1.0,,3.0,35.0,,1.0,,,,20.0,,10.0,1.0,,3.0,,,1.0,,1.0,1.0,3.0,,1.0,,,,4.0,,11.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,8.0,,,,,2.0,,,,,,2.0,2.0,,1.0,,5.0,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,9txaaokrq6jn39otwm2omwdzp,D. Andrade,Midfielder,18,,13.0,1.0,,,,,7.0,,,,2.0,2.0,,2.0,,1.0,,1.0,4.0,3.0,1.0,,7.0,,,1.0,4.0,1.0,1.0,2.0,,5.0,,2.0,,1.0,,,,13.0,,1.0,,,3.0,2.0,1.0,10.0,2.0,,1.0,,,,1.0,4.0,,1.0,,1.0,,,1.0,,,5.0,5.0,1.0,,,,1.0,2.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,c2sm93wtigxc9gl3ayobtucph,N. Araújo,Defender,14,,790.0,,,5.0,,,292.0,,25.0,,80.0,16.0,1.0,28.0,,2.0,3.0,5.0,53.0,178.0,7.0,17.0,303.0,,8.0,2.0,220.0,10.0,3.0,45.0,,120.0,3.0,36.0,1.0,44.0,9.0,,9.0,388.0,,9.0,4.0,6.0,26.0,135.0,7.0,10.0,20.0,1.0,38.0,,5.0,6.0,,37.0,30.0,13.0,,9.0,,,12.0,23.0,,247.0,258.0,11.0,3.0,,,6.0,17.0,1.0,24.0,14.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,8x4w38vxn6mr0txre908k8cet,E. Armenteros,Midfielder,8,5.0,758.0,1.0,4.0,1.0,,,340.0,,43.0,8.0,194.0,3.0,3.0,6.0,3.0,2.0,2.0,3.0,85.0,112.0,12.0,48.0,352.0,5.0,10.0,10.0,277.0,12.0,6.0,54.0,5.0,100.0,22.0,55.0,5.0,35.0,9.0,6.0,10.0,455.0,10.0,10.0,9.0,,58.0,129.0,4.0,10.0,42.0,4.0,21.0,2.0,9.0,11.0,4.0,72.0,5.0,14.0,11.0,10.0,3.0,,27.0,80.0,,287.0,298.0,14.0,2.0,,,9.0,30.0,3.0,11.0,31.0,1.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,d1rgv9cgncdgr1h61phrxoc89,G. Arteaga,Defender,17,3.0,540.0,,,3.0,,,145.0,1.0,31.0,2.0,60.0,5.0,,9.0,6.0,,1.0,5.0,56.0,62.0,20.0,16.0,145.0,,5.0,3.0,114.0,9.0,,25.0,,59.0,2.0,19.0,,29.0,6.0,8.0,9.0,280.0,,6.0,3.0,,50.0,53.0,1.0,10.0,31.0,,6.0,2.0,4.0,4.0,4.0,59.0,19.0,10.0,3.0,6.0,,1.0,23.0,2.0,,120.0,120.0,9.0,1.0,1.0,,14.0,28.0,6.0,8.0,27.0,36.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,d598qtj52pev4vnddagh19nmd,M. Bravo,Forward,22,10.0,570.0,13.0,3.0,,1.0,,138.0,7.0,25.0,3.0,85.0,,,2.0,4.0,8.0,2.0,1.0,85.0,29.0,6.0,31.0,144.0,3.0,5.0,5.0,109.0,12.0,12.0,33.0,,45.0,5.0,40.0,4.0,24.0,4.0,8.0,3.0,248.0,,17.0,4.0,,54.0,33.0,23.0,10.0,27.0,4.0,2.0,3.0,11.0,5.0,6.0,60.0,2.0,14.0,10.0,17.0,,1.0,32.0,41.0,1.0,107.0,111.0,6.0,1.0,2.0,,5.0,33.0,1.0,1.0,22.0,1.0,,4.0,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,4gr16bcu93xcw4s4s5s8se9qt,J. Caicedo,Defender,4,,238.0,,,,,,59.0,,8.0,,12.0,3.0,1.0,7.0,,2.0,,5.0,25.0,29.0,6.0,14.0,62.0,,3.0,,35.0,5.0,2.0,21.0,,10.0,,13.0,,9.0,3.0,1.0,8.0,93.0,,3.0,,1.0,12.0,36.0,5.0,10.0,13.0,,6.0,,2.0,5.0,1.0,22.0,7.0,5.0,,3.0,,,4.0,8.0,,39.0,41.0,10.0,,,,4.0,9.0,2.0,10.0,8.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,4pw00eq0okwcadrq7t1jzlmmt,R. Cisneros,Forward,29,,7.0,1.0,1.0,,,,3.0,,2.0,,2.0,,,,,1.0,,,2.0,,1.0,1.0,3.0,,,2.0,2.0,,2.0,1.0,,1.0,,1.0,,,,,,9.0,,1.0,,,4.0,,6.0,10.0,3.0,1.0,,,,,,4.0,,,,1.0,,,1.0,,,2.0,2.0,,,,,1.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,f0slqqkc8zqvijfofcj6wdoet,M. Cuero,Forward,8,13.0,653.0,4.0,,,2.0,1.0,130.0,8.0,34.0,4.0,70.0,2.0,1.0,8.0,1.0,10.0,,7.0,130.0,21.0,19.0,36.0,131.0,2.0,19.0,15.0,80.0,15.0,14.0,44.0,1.0,24.0,9.0,53.0,2.0,29.0,7.0,6.0,5.0,316.0,2.0,11.0,9.0,,109.0,31.0,20.0,10.0,53.0,4.0,7.0,3.0,18.0,1.0,24.0,117.0,1.0,15.0,14.0,11.0,1.0,,57.0,42.0,2.0,86.0,87.0,8.0,,,,14.0,64.0,5.0,9.0,52.0,5.0,,3.0,,,1.0,,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,1nrqzt5f33akpl06zanky83bp,U. Dávila,Forward,11,4.0,290.0,5.0,4.0,1.0,1.0,,121.0,2.0,20.0,4.0,86.0,,1.0,3.0,3.0,5.0,1.0,6.0,50.0,24.0,9.0,20.0,129.0,2.0,5.0,1.0,104.0,5.0,8.0,23.0,3.0,30.0,12.0,26.0,1.0,17.0,3.0,4.0,4.0,193.0,4.0,8.0,1.0,,33.0,42.0,11.0,10.0,16.0,3.0,2.0,,6.0,,4.0,39.0,,6.0,7.0,8.0,1.0,1.0,17.0,37.0,,98.0,106.0,6.0,1.0,1.0,1.0,6.0,23.0,3.0,3.0,16.0,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,8aaz5w3sc3lj7asgiodmochqt,J. Villafaña,Defender,19,8.0,947.0,,,3.0,,,260.0,3.0,38.0,1.0,122.0,18.0,,22.0,9.0,,2.0,6.0,114.0,83.0,18.0,37.0,263.0,2.0,9.0,3.0,188.0,17.0,,59.0,,82.0,6.0,50.0,,31.0,11.0,17.0,17.0,496.0,,11.0,6.0,3.0,50.0,128.0,2.0,10.0,29.0,,16.0,1.0,6.0,2.0,4.0,58.0,19.0,19.0,8.0,11.0,,,23.0,15.0,,203.0,204.0,8.0,3.0,,,14.0,29.0,4.0,19.0,27.0,91.0,25.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,d97w83jxuf5xhyeb9oiy375xx,J. González,Goalkeeper,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,bckbm24001brlrfi7mr78lc5x,F. Hinestroza,Midfielder,17,32.0,736.0,6.0,7.0,1.0,,,226.0,12.0,84.0,15.0,145.0,3.0,5.0,11.0,5.0,5.0,2.0,13.0,153.0,56.0,13.0,33.0,230.0,6.0,24.0,24.0,177.0,9.0,12.0,44.0,6.0,58.0,11.0,79.0,2.0,54.0,8.0,9.0,10.0,454.0,17.0,14.0,11.0,,120.0,47.0,18.0,10.0,56.0,7.0,9.0,9.0,16.0,3.0,16.0,136.0,3.0,11.0,45.0,14.0,9.0,1.0,67.0,41.0,,182.0,186.0,16.0,,1.0,,10.0,80.0,3.0,8.0,53.0,9.0,4.0,2.0,,3.0,,,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,1cjnju0wjj7ta7cqmko9isixh,C. Izquierdoz,Defender,24,,1530.0,,,9.0,6.0,,514.0,7.0,36.0,1.0,153.0,22.0,4.0,48.0,13.0,11.0,3.0,22.0,142.0,277.0,40.0,67.0,544.0,,21.0,3.0,376.0,27.0,22.0,115.0,,69.0,4.0,78.0,6.0,48.0,17.0,17.0,37.0,809.0,,17.0,11.0,13.0,88.0,265.0,36.0,10.0,100.0,11.0,53.0,1.0,14.0,45.0,,155.0,80.0,30.0,,17.0,,,33.0,174.0,6.0,404.0,429.0,67.0,4.0,,1.0,33.0,55.0,7.0,40.0,55.0,4.0,,1.0,,,2.0,4.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,c1b9p5bk8hfyw0bi6thva0lw5,A. Marchesín,Goalkeeper,1,,1439.0,,,47.0,,,230.0,,,,111.0,91.0,5.0,175.0,,,3.0,,186.0,184.0,2.0,3.0,473.0,,2.0,1.0,154.0,24.0,,178.0,,61.0,2.0,150.0,,117.0,16.0,,28.0,594.0,,16.0,2.0,,9.0,358.0,,10.0,6.0,,141.0,,2.0,,,9.0,7.0,27.0,,16.0,,,3.0,54.0,,159.0,295.0,,4.0,,,1.0,3.0,1.0,5.0,6.0,,,,,,,,,,,,136.0,1.0,,2.0,,47.0,,4.0,1.0,,3.0,25.0,15.0,22.0,5.0,3.0,59.0,,,1.0,,,,,1.0,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,ecc0z4kvkeg894k4zbnc6pmmt,J. Molina,Midfielder,4,2.0,1516.0,,1.0,4.0,1.0,,572.0,3.0,64.0,1.0,268.0,12.0,4.0,28.0,11.0,9.0,3.0,13.0,113.0,242.0,35.0,60.0,597.0,1.0,30.0,3.0,458.0,26.0,11.0,88.0,,158.0,9.0,72.0,1.0,67.0,17.0,14.0,18.0,785.0,,17.0,18.0,7.0,109.0,199.0,16.0,10.0,85.0,2.0,51.0,1.0,20.0,29.0,4.0,151.0,20.0,29.0,2.0,17.0,,,53.0,176.0,1.0,484.0,509.0,42.0,4.0,,,27.0,66.0,8.0,35.0,56.0,1.0,2.0,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,8gooki0m4mnhibc58mdxdmuhh,A. Murillo,Defender,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,4w1mssxwhdxsg91kqvtldnglx,B. Rabello,Midfielder,10,9.0,959.0,1.0,3.0,,,,268.0,10.0,63.0,20.0,185.0,1.0,,6.0,10.0,2.0,1.0,10.0,141.0,68.0,13.0,40.0,279.0,10.0,11.0,9.0,223.0,20.0,4.0,46.0,14.0,75.0,23.0,77.0,6.0,47.0,13.0,15.0,8.0,486.0,34.0,14.0,10.0,2.0,104.0,76.0,15.0,10.0,58.0,2.0,10.0,2.0,31.0,5.0,9.0,119.0,,21.0,39.0,14.0,19.0,1.0,51.0,65.0,,227.0,233.0,15.0,,1.0,1.0,8.0,61.0,5.0,6.0,53.0,7.0,,1.0,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,ayhu9k3hcyu95f26myefk0gr9,U. Rivas,Midfielder,16,3.0,573.0,,1.0,,,,185.0,1.0,23.0,,76.0,11.0,1.0,20.0,3.0,1.0,1.0,3.0,55.0,68.0,9.0,24.0,188.0,3.0,7.0,,121.0,11.0,2.0,44.0,,46.0,2.0,37.0,,21.0,7.0,5.0,10.0,253.0,,7.0,4.0,2.0,27.0,71.0,3.0,10.0,17.0,1.0,23.0,,6.0,2.0,1.0,32.0,11.0,12.0,3.0,7.0,,,12.0,48.0,,141.0,144.0,5.0,,,,3.0,15.0,6.0,16.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,bepgomq3u5u8e6d4qrsj0frh1,J. Rodríguez,Forward,13,11.0,1353.0,1.0,5.0,1.0,6.0,5.0,174.0,28.0,59.0,3.0,110.0,3.0,,7.0,2.0,28.0,3.0,9.0,195.0,36.0,11.0,58.0,208.0,3.0,20.0,27.0,135.0,24.0,51.0,65.0,1.0,69.0,13.0,72.0,9.0,31.0,15.0,19.0,6.0,477.0,3.0,16.0,2.0,,115.0,29.0,86.0,10.0,59.0,23.0,8.0,2.0,13.0,8.0,16.0,132.0,2.0,27.0,13.0,16.0,2.0,,64.0,51.0,5.0,114.0,143.0,17.0,3.0,,,8.0,73.0,3.0,,51.0,6.0,,14.0,1.0,3.0,,1.0,1.0,3.0,2.0,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,8mte9if061bfau2q60ymimz11,G. Sandoval,Forward,7,36.0,1124.0,5.0,3.0,3.0,1.0,1.0,327.0,15.0,69.0,22.0,201.0,12.0,3.0,36.0,6.0,9.0,3.0,14.0,247.0,82.0,25.0,52.0,349.0,3.0,20.0,9.0,224.0,18.0,14.0,88.0,14.0,83.0,20.0,144.0,8.0,53.0,12.0,18.0,14.0,687.0,37.0,17.0,12.0,1.0,133.0,112.0,24.0,10.0,66.0,5.0,37.0,5.0,28.0,4.0,28.0,151.0,9.0,21.0,70.0,17.0,23.0,4.0,71.0,85.0,1.0,247.0,261.0,18.0,2.0,4.0,,18.0,85.0,7.0,16.0,62.0,31.0,12.0,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,29m8py8czo6w0zf2arwolirjd,J. Sánchez,Defender,4,4.0,270.0,,,3.0,,,55.0,1.0,4.0,,19.0,2.0,1.0,6.0,,,,6.0,45.0,18.0,8.0,13.0,56.0,,2.0,2.0,32.0,8.0,,19.0,,1.0,3.0,20.0,1.0,9.0,3.0,1.0,3.0,143.0,,3.0,1.0,2.0,30.0,34.0,1.0,10.0,17.0,,5.0,,2.0,5.0,5.0,41.0,7.0,8.0,4.0,3.0,,,18.0,17.0,,37.0,37.0,11.0,,,,4.0,24.0,4.0,11.0,12.0,22.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,5o2xdk3vrixki7ft4qsakez11,Djaniny,Forward,21,4.0,562.0,5.0,2.0,,1.0,,161.0,6.0,45.0,3.0,102.0,,1.0,3.0,2.0,8.0,2.0,13.0,77.0,27.0,3.0,33.0,162.0,3.0,6.0,11.0,121.0,7.0,9.0,36.0,,22.0,5.0,37.0,4.0,33.0,5.0,9.0,3.0,261.0,,10.0,3.0,,57.0,49.0,28.0,10.0,54.0,1.0,5.0,3.0,15.0,27.0,4.0,97.0,3.0,9.0,4.0,10.0,,2.0,30.0,46.0,1.0,125.0,126.0,40.0,,3.0,,3.0,43.0,,1.0,27.0,1.0,,3.0,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2016-2017,Club Santos Laguna,56xi7msq9ua1sle14v3p7zvf9,D. de Buen,Midfielder,6,,390.0,5.0,,1.0,,,137.0,,18.0,,68.0,7.0,,16.0,2.0,3.0,1.0,3.0,51.0,38.0,11.0,23.0,145.0,3.0,4.0,2.0,99.0,6.0,3.0,39.0,,40.0,3.0,31.0,1.0,20.0,4.0,3.0,9.0,210.0,2.0,9.0,1.0,3.0,34.0,57.0,1.0,10.0,25.0,,7.0,,8.0,4.0,1.0,41.0,7.0,7.0,1.0,9.0,1.0,,13.0,30.0,,100.0,106.0,7.0,,,1.0,8.0,16.0,3.0,12.0,21.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
