liga,temporada,equipo,id,nombre,posicion,dorsal,Goal Assists,Ground Duels lost,Index,Handballs conceded,Aerial Duels lost,Corners Taken (incl short corners),Penalties Taken,Goals from Inside Box,Substitute Off,Left Foot Goals,Total Touches In Opposition Box,Successful Short Passes,Tackles Lost,Appearances,Successful Open Play Passes,Open Play Passes,Corners Won,Total Shots,Duels won,Ground Duels,Key Passes (Attempt Assists),Rightside Passes,Unsuccessful Dribbles,Leftside Passes,Time Played,Unsuccessful Long Passes,Unsuccessful Short Passes,Games Played,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Successful Dribbles,Times Tackled,Goals from Outside Box,Right Foot Goals,Hit Woodwork,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels lost,Aerial Duels,Total Tackles,Total Clearances,Foul Attempted Tackle,Successful Launches,Aerial Duels won,Ground Duels won,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Passes Opposition Half,Tackles Won,Blocked Shots,Unsuccessful Crosses & Corners,Successful Long Passes,PutThrough/Blocked Distribution,Total Fouls Won,Unsuccessful lay-offs,Shots On Target ( inc goals ),Backward Passes,Through balls,Goals,Unsuccessful Corners into Box,Forward Passes,Successful Passes Own Half,Successful Lay-offs,Duels,Penalty Goals,Touches,Unsuccessful Crosses open play,Yellow Cards,Unsuccessful Passes Own Half,Penalty Goals Conceded,Successful Crosses & Corners,Total Losses Of Possession,Successful Crosses open play,Unsuccessful Passes Opposition Half,Total Fouls Conceded,Goals Conceded,Goals Conceded Inside Box,Starts,Recoveries,Substitute On,Clean Sheets,Offsides,Assists (Intentional),Interceptions,Total Passes,Goals Conceded Outside Box,Home Goals,Away Goals,Winning Goal,Unsuccessful Launches,Throw Ins to Opposition Player,Blocks,Throw Ins to Own Player,GK Successful Distribution,Headed Goals,Penalties Conceded,Clearances Off the Line,Second Goal Assists,Foul Won Penalty,Penalties Saved,Saves Made from Inside Box,Punches,Penalties Faced,Catches,Saves from Penalty,Drops,Crosses not Claimed,Saves made - parried,Saves made - caught,Saves Made,GK Unsuccessful Distribution,Goalkeeper Smother,Saves Made from Outside Box,Attempts from Set Pieces,Successful Corners into Box,Red Cards - 2nd Yellow,Total Red Cards,Last Man Tackle,Set Pieces Goals,Straight Red Cards,Own Goal Scored,Penalties Off Target
Mexico_Liga_MX,2015-2016,CF Pachuca,asm07nms0t3abdnox6hp8y40l,S. Almeida,Midfielder,14,2.0,5.0,10.0,,1.0,1.0,,1.0,1.0,1.0,,30.0,1.0,9.0,33.0,42.0,1.0,2.0,3.0,8.0,2.0,8.0,2.0,16.0,152.0,1.0,8.0,9.0,2.0,1.0,2.0,,,,,9.0,6.0,1.0,1.0,,,1.0,,3.0,33.0,24.0,,,1.0,3.0,3.0,,,1.0,12.0,,1.0,,6.0,12.0,,9.0,,63.0,1.0,,5.0,,3.0,18.0,2.0,5.0,,,,1.0,6.0,8.0,,,1.0,1.0,42.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,ai1q7eeu5k90x364z6g4bxl91,A. Blanco,Goalkeeper,13,,,10.0,,,,,,,,,13.0,,2.0,15.0,23.0,,,,,,4.0,,9.0,152.0,15.0,,2.0,,,,,,,,15.0,,,,1.0,,2.0,,,25.0,8.0,,,,12.0,,,,,,,,,27.0,17.0,,,,58.0,,,2.0,,,16.0,,13.0,,1.0,1.0,1.0,18.0,1.0,,,,1.0,40.0,,,,,8.0,,,,14.0,,,,,,,,,,3.0,,,,,,3.0,5.0,,3.0,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,57q6t05rvn7xnrel90osqfljp,R. Botta,Midfielder,11,2.0,67.0,10.0,,5.0,52.0,,2.0,13.0,1.0,,236.0,5.0,16.0,260.0,319.0,11.0,18.0,42.0,108.0,37.0,49.0,11.0,146.0,982.0,23.0,43.0,16.0,16.0,11.0,9.0,,,1.0,,66.0,72.0,6.0,20.0,1.0,10.0,1.0,1.0,41.0,269.0,246.0,15.0,5.0,42.0,33.0,25.0,12.0,,7.0,48.0,1.0,2.0,23.0,92.0,54.0,1.0,114.0,,592.0,11.0,3.0,4.0,,31.0,179.0,4.0,104.0,14.0,13.0,11.0,13.0,54.0,3.0,,1.0,2.0,8.0,335.0,2.0,,,,5.0,,1.0,8.0,,,,,,2.0,,,,,,,,,,,,,,,4.0,26.0,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,2e14x64zf30rgadc9ylbnll2h,J. Calero,Midfielder,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,311ggil9lszlrn1l7gbtbqa51,O. Esparza,Defender,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,gf82wdzqavhxj3iazy4vgst1,E. García,Midfielder,12,1.0,59.0,10.0,2.0,24.0,,,,2.0,,,809.0,15.0,23.0,832.0,984.0,4.0,2.0,123.0,166.0,12.0,406.0,9.0,24.0,2055.0,56.0,100.0,23.0,15.0,1.0,8.0,,1.0,1.0,,156.0,83.0,40.0,72.0,43.0,16.0,12.0,16.0,107.0,860.0,522.0,57.0,4.0,20.0,51.0,34.0,27.0,,1.0,121.0,1.0,1.0,,465.0,342.0,,206.0,,1566.0,20.0,5.0,51.0,,4.0,255.0,4.0,125.0,27.0,22.0,17.0,23.0,128.0,,5.0,1.0,1.0,85.0,1016.0,5.0,,,,31.0,16.0,3.0,159.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,5ywmuj75fpflsqyne41dsgpg5,O. González,Defender,30,2.0,25.0,10.0,,10.0,,,1.0,2.0,,,480.0,12.0,22.0,516.0,622.0,1.0,12.0,86.0,63.0,3.0,86.0,2.0,199.0,1933.0,55.0,54.0,22.0,4.0,8.0,3.0,,,,,109.0,35.0,58.0,26.0,80.0,7.0,15.0,48.0,38.0,535.0,183.0,14.0,1.0,1.0,55.0,10.0,11.0,,4.0,44.0,,1.0,,315.0,352.0,2.0,121.0,,886.0,1.0,2.0,45.0,,,136.0,,65.0,18.0,20.0,15.0,22.0,47.0,,6.0,1.0,1.0,57.0,644.0,5.0,,,,32.0,,9.0,1.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,9uuk73i8obc7ji0dnan352nkl,É. Gutiérrez,Midfielder,15,7.0,73.0,10.0,1.0,5.0,14.0,,2.0,4.0,,,690.0,10.0,19.0,746.0,908.0,16.0,19.0,92.0,152.0,26.0,270.0,19.0,221.0,1544.0,54.0,117.0,19.0,19.0,8.0,22.0,,,,,171.0,78.0,18.0,32.0,19.0,12.0,,13.0,79.0,785.0,546.0,22.0,5.0,27.0,95.0,37.0,26.0,,11.0,107.0,1.0,2.0,10.0,358.0,251.0,,170.0,,1273.0,8.0,2.0,25.0,,12.0,278.0,2.0,173.0,21.0,18.0,13.0,17.0,101.0,2.0,3.0,,4.0,29.0,956.0,5.0,,,,11.0,,5.0,2.0,,2.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,e2ecjp2hobzgi1o9l57xgcd0p,V. Guzmán,Midfielder,5,,25.0,10.0,1.0,6.0,,,1.0,5.0,,,219.0,5.0,16.0,227.0,270.0,1.0,11.0,36.0,55.0,7.0,68.0,1.0,69.0,632.0,14.0,32.0,16.0,10.0,8.0,,,1.0,1.0,,46.0,31.0,12.0,24.0,7.0,10.0,4.0,6.0,30.0,233.0,172.0,19.0,3.0,5.0,14.0,14.0,6.0,,3.0,33.0,,2.0,,109.0,61.0,2.0,67.0,,380.0,3.0,4.0,8.0,,,62.0,,43.0,17.0,7.0,7.0,7.0,29.0,9.0,1.0,,,9.0,279.0,,,,,4.0,,6.0,1.0,,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,4zudld3tsiho4fya7v8xyju1h,J. Hernández,Midfielder,16,,86.0,10.0,4.0,15.0,,,,5.0,,,857.0,11.0,23.0,879.0,990.0,2.0,2.0,113.0,185.0,5.0,315.0,2.0,368.0,2007.0,33.0,82.0,23.0,15.0,2.0,6.0,,,,,115.0,101.0,29.0,57.0,26.0,32.0,10.0,14.0,99.0,927.0,443.0,46.0,4.0,1.0,70.0,23.0,38.0,,,79.0,,,,280.0,484.0,,214.0,,1290.0,1.0,7.0,42.0,,,144.0,,74.0,53.0,20.0,15.0,23.0,94.0,,5.0,,,45.0,1042.0,5.0,,,,21.0,,6.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,dat3cnif8tjb0l88o28wx9brp,F. Jara,Forward,29,2.0,161.0,10.0,3.0,34.0,,3.0,8.0,9.0,1.0,,351.0,7.0,22.0,337.0,424.0,21.0,49.0,97.0,245.0,17.0,144.0,31.0,119.0,1917.0,7.0,80.0,22.0,9.0,20.0,19.0,,1.0,6.0,1.0,87.0,195.0,47.0,20.0,15.0,30.0,,13.0,84.0,370.0,310.0,13.0,12.0,8.0,19.0,27.0,49.0,2.0,29.0,91.0,,9.0,,103.0,64.0,19.0,292.0,2.0,830.0,8.0,6.0,9.0,,4.0,243.0,4.0,86.0,73.0,20.0,15.0,22.0,42.0,,4.0,21.0,2.0,10.0,457.0,5.0,,,,,,3.0,3.0,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,cen5nxf8sb8binjr7apt9nb2t,H. Lozano,Midfielder,8,4.0,125.0,10.0,,18.0,,,8.0,1.0,,,523.0,8.0,23.0,538.0,651.0,17.0,49.0,180.0,292.0,31.0,266.0,39.0,72.0,2051.0,14.0,99.0,23.0,22.0,25.0,46.0,,,7.0,3.0,113.0,143.0,31.0,24.0,2.0,25.0,,13.0,167.0,541.0,425.0,16.0,20.0,40.0,18.0,46.0,100.0,,24.0,198.0,2.0,8.0,,118.0,120.0,6.0,323.0,,1158.0,40.0,3.0,11.0,,4.0,306.0,4.0,142.0,41.0,21.0,16.0,23.0,103.0,,5.0,22.0,4.0,10.0,654.0,5.0,,,,4.0,,,7.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,
Mexico_Liga_MX,2015-2016,CF Pachuca,5shco09rftlth4ofo7l0ist79,J. Martínez,Midfielder,18,,11.0,10.0,,1.0,,,,,,,63.0,,10.0,66.0,80.0,4.0,1.0,7.0,18.0,,5.0,3.0,21.0,250.0,6.0,9.0,10.0,2.0,1.0,,,,,,15.0,12.0,1.0,7.0,4.0,5.0,2.0,,7.0,67.0,35.0,7.0,,8.0,4.0,3.0,,,,16.0,,,,40.0,32.0,1.0,19.0,,153.0,8.0,3.0,2.0,,,36.0,,21.0,7.0,1.0,1.0,1.0,11.0,9.0,1.0,,,6.0,82.0,,,,,1.0,5.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,1xxg0aou3yp4zl9j64ztdm4fd,H. Mascorro,Forward,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,avklyjdqb9280ejj78gwtsb85,S. Medina,Defender,33,1.0,76.0,10.0,1.0,13.0,,,1.0,4.0,,,470.0,9.0,22.0,494.0,615.0,8.0,17.0,110.0,161.0,12.0,45.0,19.0,241.0,1903.0,35.0,92.0,22.0,10.0,13.0,16.0,,,1.0,1.0,127.0,89.0,38.0,51.0,51.0,21.0,6.0,25.0,85.0,510.0,315.0,42.0,3.0,21.0,40.0,40.0,18.0,,4.0,59.0,,1.0,,292.0,199.0,,199.0,,1120.0,21.0,6.0,53.0,,4.0,241.0,4.0,95.0,35.0,22.0,17.0,22.0,82.0,,5.0,,1.0,39.0,637.0,5.0,,,,20.0,26.0,10.0,141.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,9kziqy5is9iduxjcfl6x7konp,A. Mosquera,Defender,3,,4.0,10.0,,3.0,,,,,,,46.0,3.0,4.0,49.0,55.0,,2.0,8.0,9.0,,23.0,,7.0,214.0,5.0,3.0,4.0,,2.0,,,,,,8.0,7.0,6.0,5.0,5.0,2.0,,3.0,5.0,51.0,14.0,2.0,,,5.0,,,,,5.0,,,,24.0,37.0,,15.0,,84.0,,,2.0,,,10.0,,6.0,3.0,2.0,1.0,2.0,4.0,2.0,,,,6.0,59.0,1.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,
Mexico_Liga_MX,2015-2016,CF Pachuca,8sbgxc5sow6ahmw8ac8bvcfkl,Ó. Murillo,Defender,23,,34.0,10.0,1.0,35.0,,,,1.0,,,482.0,7.0,22.0,518.0,641.0,1.0,13.0,91.0,78.0,2.0,164.0,,136.0,1771.0,71.0,56.0,22.0,6.0,12.0,4.0,,,,1.0,127.0,69.0,82.0,37.0,78.0,16.0,13.0,47.0,44.0,539.0,176.0,30.0,3.0,,57.0,12.0,3.0,,1.0,23.0,,,,343.0,363.0,,160.0,,966.0,,4.0,41.0,,,166.0,,86.0,27.0,19.0,15.0,20.0,67.0,2.0,5.0,,,97.0,666.0,4.0,,,,45.0,,15.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,68se1vew8l1geo7buytqinbo5,A. Nahuelpán,Forward,9,1.0,4.0,10.0,1.0,2.0,,1.0,1.0,,,,28.0,,8.0,26.0,30.0,,9.0,7.0,8.0,1.0,7.0,,7.0,142.0,,4.0,8.0,1.0,6.0,1.0,,,,,4.0,6.0,5.0,2.0,1.0,,,3.0,4.0,28.0,25.0,2.0,1.0,,,1.0,1.0,,3.0,9.0,,1.0,,9.0,3.0,6.0,13.0,,53.0,,,,,,7.0,,4.0,3.0,2.0,2.0,1.0,4.0,7.0,,,,1.0,32.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0
Mexico_Liga_MX,2015-2016,CF Pachuca,axbtzuc23599lwq4gz6or7lqt,I. Ochoa,Midfielder,31,,,10.0,,,,,,,,,,,1.0,2.0,2.0,,,1.0,1.0,,1.0,,,9.0,,,1.0,,,,,,,,,,,1.0,,,,,1.0,2.0,2.0,1.0,,,2.0,,,,,,,,,1.0,,,1.0,,3.0,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,aul0t01lanfx9qbnosguego9h,R. Pizarro,Forward,7,2.0,129.0,10.0,4.0,6.0,,,4.0,9.0,2.0,,552.0,3.0,22.0,564.0,691.0,17.0,30.0,79.0,204.0,36.0,171.0,28.0,196.0,1788.0,14.0,113.0,22.0,18.0,16.0,29.0,,1.0,3.0,,127.0,135.0,10.0,20.0,4.0,10.0,2.0,4.0,75.0,581.0,436.0,17.0,8.0,15.0,29.0,34.0,26.0,2.0,14.0,149.0,,5.0,,192.0,148.0,10.0,214.0,,1070.0,15.0,6.0,24.0,,3.0,296.0,3.0,118.0,23.0,20.0,15.0,20.0,95.0,2.0,3.0,3.0,1.0,15.0,708.0,5.0,,,,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,dmgtn14s7xc14vgnhur6m491x,Ó. Pérez,Goalkeeper,21,,,10.0,,1.0,,,,1.0,,,185.0,,22.0,142.0,180.0,,,6.0,3.0,,89.0,,76.0,1918.0,141.0,3.0,22.0,,,,,,,,144.0,1.0,4.0,2.0,12.0,,12.0,3.0,3.0,286.0,41.0,2.0,,,101.0,1.0,1.0,,,,,,,265.0,245.0,,7.0,,636.0,,1.0,42.0,,,146.0,,102.0,,21.0,16.0,22.0,179.0,,5.0,,,2.0,430.0,5.0,,,,49.0,,,,198.0,,,,,,,26.0,8.0,,6.0,,1.0,2.0,19.0,8.0,67.0,68.0,1.0,41.0,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,6swchkgpv8vk1jzqfoi60dxw5,G. Ramírez,Forward,19,,4.0,10.0,1.0,,,,1.0,,,,8.0,1.0,6.0,8.0,12.0,,3.0,5.0,9.0,2.0,2.0,,3.0,54.0,1.0,3.0,6.0,2.0,2.0,,,,,,4.0,4.0,,4.0,1.0,,,,5.0,8.0,6.0,3.0,,,,2.0,1.0,,1.0,,,1.0,,7.0,2.0,,9.0,,29.0,,,1.0,,,8.0,,3.0,2.0,1.0,1.0,,,6.0,,1.0,,1.0,12.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,241p529jehorfcv97ld9jtnth,R. Ramírez,Goalkeeper,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,yg8ti1bgub7sqln98ibtrd91,H. Rodríguez,Defender,4,,8.0,10.0,,1.0,,,,,,,33.0,,2.0,37.0,54.0,,1.0,4.0,10.0,,11.0,,15.0,167.0,9.0,9.0,2.0,1.0,1.0,,,,,,18.0,9.0,3.0,2.0,5.0,6.0,1.0,2.0,2.0,37.0,11.0,2.0,,,4.0,2.0,,,,3.0,,,,26.0,26.0,,13.0,,72.0,,,6.0,,,19.0,,12.0,9.0,2.0,2.0,2.0,6.0,,,,,7.0,55.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,
Mexico_Liga_MX,2015-2016,CF Pachuca,ayzzitkww58cz1w3b64f65a6t,O. Rodríguez,Defender,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
