root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,Own Goal Scored,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Attempts from Set Pieces,Successful Long Passes,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Unsuccessful Crosses open play,Substitute On,Successful Launches,Unsuccessful Crosses & Corners,Unsuccessful lay-offs,Blocks,Offsides,Successful Lay-offs,Goals,Right Foot Goals,Corners Won,Shots On Target ( inc goals ),Hit Woodwork,Goals from Inside Box,Substitute Off,Through balls,Successful Crosses & Corners,Corners Taken (incl short corners),Successful Crosses open play,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Successful Corners into Box,Left Foot Goals,Penalties Taken,Penalty Goals,Saves Made,GK Successful Distribution,Punches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,GK Unsuccessful Distribution,Catches,Drops,Foul Won Penalty,Handballs conceded,Penalties Off Target,Clearances Off the Line,Clean Sheets,Goalkeeper Smother,Penalty Goals Conceded,Penalties Conceded,Crosses not Claimed,Penalties Faced,Headed Goals,Goals from Outside Box,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Saves made - caught,Set Pieces Goals,Second Goal Assists,Penalties Saved,Saves from Penalty
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Mexico Under 17,Mexico_Under_17,9op8h3796bxbdd2rw9sjv6vze,L. Correa,Forward,9,246.0,1.0,50.0,10.0,35.0,,,,,,,,13.0,37.0,5.0,4.0,15.0,54.0,9.0,6.0,39.0,1.0,4.0,15.0,16.0,4.0,14.0,2.0,,5.0,2.0,1.0,2.0,106.0,6.0,6.0,35.0,18.0,21.0,10.0,21.0,,,6.0,6.0,,54.0,3.0,1.0,6.0,20.0,10.0,35.0,39.0,19.0,,33.0,4.0,,15.0,1.0,4.0,,1.0,1.0,,4.0,1.0,,,3.0,4.0,,,1.0,,1.0,2.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Mexico Under 17,Mexico_Under_17,7w0t7bkzbuehhejsnlss100a2,A. Delgado,Goalkeeper,12,90.0,,6.0,,2.0,2.0,,3.0,,,,,,3.0,7.0,,,12.0,,,6.0,,,3.0,3.0,,3.0,,,9.0,1.0,,,19.0,1.0,,,7.0,,10.0,,,3.0,,,,,,,1.0,,2.0,4.0,9.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,7.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Mexico Under 17,Mexico_Under_17,3kuft9ocsrjgrzf3tb4rmvip6,B. El-mesmari,Midfielder,20,225.0,,44.0,12.0,26.0,1.0,,1.0,,2.0,,,,48.0,7.0,7.0,16.0,45.0,4.0,2.0,27.0,1.0,5.0,17.0,21.0,4.0,21.0,1.0,,16.0,2.0,6.0,3.0,112.0,3.0,3.0,40.0,9.0,7.0,10.0,15.0,,1.0,6.0,,4.0,40.0,,1.0,3.0,25.0,3.0,27.0,28.0,,2.0,25.0,5.0,1.0,15.0,4.0,1.0,,7.0,,,1.0,,,,5.0,5.0,,,,,5.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Mexico Under 17,Mexico_Under_17,eaz70e70vqlenrt346592av6y,A. Flores,Midfielder,14,180.0,18.0,51.0,6.0,14.0,8.0,,10.0,,4.0,,,3.0,41.0,12.0,6.0,15.0,51.0,2.0,1.0,22.0,,,25.0,7.0,,16.0,,8.0,9.0,2.0,6.0,11.0,104.0,2.0,,14.0,38.0,,10.0,12.0,,4.0,2.0,3.0,1.0,20.0,1.0,,2.0,5.0,,26.0,26.0,6.0,5.0,8.0,1.0,4.0,9.0,2.0,,2.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Mexico Under 17,Mexico_Under_17,7h5ljia67tprz9dgap90nbnfu,E. García,Goalkeeper,1,570.0,,50.0,,15.0,9.0,,31.0,,,,1.0,1.0,31.0,74.0,,,120.0,,,62.0,2.0,,31.0,22.0,,21.0,,,38.0,6.0,,10.0,159.0,6.0,,2.0,64.0,,10.0,4.0,,27.0,2.0,2.0,,5.0,2.0,3.0,6.0,,34.0,43.0,89.0,3.0,,1.0,,,2.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,20.0,45.0,2.0,9.0,6.0,10.0,12.0,3.0,1.0,,,,,3.0,,,,,1.0,,,,,,,,,1.0,1.0
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Mexico Under 17,Mexico_Under_17,83ifjcbrq6y33g8qdmi6jwiui,B. González,Midfielder,11,435.0,2.0,151.0,52.0,92.0,3.0,,6.0,,5.0,7.0,1.0,3.0,124.0,32.0,6.0,35.0,159.0,3.0,18.0,113.0,1.0,14.0,41.0,48.0,9.0,69.0,4.0,,22.0,5.0,13.0,3.0,327.0,5.0,2.0,65.0,38.0,29.0,10.0,48.0,,5.0,12.0,13.0,12.0,81.0,5.0,2.0,5.0,30.0,21.0,114.0,118.0,16.0,4.0,33.0,2.0,3.0,35.0,23.0,,1.0,31.0,,,3.0,1.0,2.0,,12.0,7.0,,2.0,1.0,1.0,6.0,6.0,4.0,4.0,3.0,3.0,1.0,1.0,,,,,,,,,,,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Mexico Under 17,Mexico_Under_17,czvso5mtma362mlkf1qydm3xm,V. Guzmán,Midfielder,3,570.0,,265.0,7.0,39.0,14.0,1.0,27.0,,2.0,6.0,1.0,4.0,44.0,194.0,12.0,13.0,273.0,8.0,2.0,207.0,2.0,6.0,40.0,83.0,,29.0,1.0,,31.0,6.0,3.0,11.0,340.0,6.0,,28.0,91.0,7.0,10.0,31.0,,26.0,6.0,11.0,,43.0,17.0,3.0,6.0,8.0,92.0,227.0,233.0,15.0,9.0,12.0,3.0,10.0,20.0,,,3.0,,,4.0,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Mexico Under 17,Mexico_Under_17,69fnat87plv2mxsyivi1n0twq,A. Gómez,Defender,4,495.0,,311.0,12.0,77.0,39.0,3.0,56.0,,2.0,7.0,1.0,5.0,86.0,181.0,11.0,20.0,334.0,8.0,1.0,209.0,1.0,10.0,76.0,88.0,3.0,56.0,,,26.0,6.0,2.0,20.0,400.0,6.0,5.0,30.0,168.0,12.0,10.0,32.0,2.0,49.0,7.0,13.0,,48.0,12.0,2.0,6.0,11.0,66.0,239.0,258.0,18.0,8.0,16.0,3.0,4.0,19.0,,,14.0,,,3.0,,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0,,,3.0,,,1.0,,,,1.0,,,,,1.0,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Mexico Under 17,Mexico_Under_17,atpdftqkh9h0r74rk12waemay,E. Lara,Defender,13,300.0,9.0,190.0,9.0,41.0,3.0,,14.0,,2.0,1.0,,5.0,39.0,128.0,6.0,14.0,196.0,,2.0,157.0,1.0,2.0,28.0,39.0,3.0,23.0,,,19.0,3.0,2.0,8.0,254.0,3.0,,15.0,76.0,5.0,10.0,13.0,,11.0,2.0,3.0,1.0,23.0,11.0,1.0,3.0,5.0,72.0,162.0,168.0,8.0,6.0,10.0,,6.0,10.0,3.0,,3.0,3.0,,1.0,,,,,1.0,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Mexico Under 17,Mexico_Under_17,cn8jcpuxqpup7q3z28f994i96,I. Luna,Forward,10,541.0,,121.0,45.0,74.0,1.0,1.0,3.0,,4.0,11.0,1.0,6.0,60.0,33.0,9.0,17.0,127.0,10.0,4.0,100.0,2.0,19.0,20.0,23.0,3.0,21.0,3.0,,22.0,6.0,6.0,2.0,235.0,7.0,2.0,57.0,21.0,28.0,10.0,33.0,,7.0,14.0,6.0,4.0,69.0,1.0,3.0,7.0,30.0,38.0,102.0,107.0,12.0,7.0,36.0,2.0,2.0,27.0,3.0,1.0,,3.0,,1.0,3.0,2.0,5.0,5.0,5.0,8.0,1.0,5.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Mexico Under 17,Mexico_Under_17,a2m3pp6ztslt0tk0s6fhx7pm2,K. Mariscal,Midfielder,16,410.0,2.0,224.0,41.0,130.0,3.0,1.0,13.0,,5.0,1.0,1.0,3.0,85.0,66.0,16.0,39.0,236.0,8.0,3.0,163.0,1.0,3.0,52.0,46.0,12.0,55.0,3.0,,36.0,5.0,12.0,8.0,318.0,5.0,4.0,43.0,74.0,7.0,10.0,24.0,,21.0,,5.0,4.0,51.0,,2.0,5.0,24.0,75.0,174.0,184.0,8.0,6.0,27.0,10.0,1.0,19.0,4.0,,,11.0,,1.0,,1.0,1.0,,3.0,2.0,,1.0,3.0,,12.0,16.0,3.0,5.0,,,8.0,1.0,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Mexico Under 17,Mexico_Under_17,1vn9vgrpcjenlr7g89zs2w7ze,J. Martínez,Midfielder,15,272.0,,124.0,9.0,69.0,6.0,,9.0,,1.0,1.0,,4.0,30.0,39.0,9.0,12.0,129.0,3.0,2.0,94.0,1.0,1.0,21.0,28.0,2.0,17.0,1.0,1.0,25.0,1.0,5.0,4.0,170.0,7.0,1.0,22.0,53.0,1.0,10.0,18.0,,14.0,5.0,3.0,1.0,29.0,3.0,1.0,7.0,7.0,39.0,103.0,108.0,7.0,5.0,11.0,4.0,3.0,15.0,,6.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_U17,2019 USA,Mexico Under 17,Mexico_Under_17,1v7rxzu4jfkih84nru82afgbu,L. Martínez,Forward,17,159.0,,41.0,7.0,31.0,,,1.0,,1.0,1.0,,2.0,24.0,5.0,3.0,7.0,41.0,3.0,5.0,32.0,,3.0,8.0,3.0,2.0,10.0,3.0,,7.0,2.0,1.0,,85.0,3.0,2.0,23.0,10.0,8.0,10.0,17.0,,1.0,7.0,2.0,3.0,27.0,,,3.0,8.0,21.0,33.0,33.0,4.0,2.0,10.0,1.0,,15.0,2.0,1.0,,2.0,,,,,1.0,1.0,2.0,2.0,,1.0,1.0,,3.0,,3.0,,1.0,1.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
