liga,temporada,equipo,id,nombre,posicion,dorsal,Total Losses Of Possession,Time Played,Total Unsuccessful Passes ( Excl Crosses & Corners ),Open Play Passes,Successful Open Play Passes,Unsuccessful Short Passes,Duels,Forward Passes,Corners Won,Throw Ins to Own Player,Goals Conceded Inside Box,Ground Duels lost,Unsuccessful Passes Own Half,Touches,Successful Passes Own Half,Substitute On,Penalty Goals Conceded,Index,Goals Conceded,Recoveries,Duels lost,Total Passes,Unsuccessful Crosses open play,Total Fouls Conceded,Yellow Cards,Unsuccessful Passes Opposition Half,Total Successful Passes ( Excl Crosses & Corners ) ,Leftside Passes,Appearances,Games Played,Unsuccessful Dribbles,Times Tackled,PutThrough/Blocked Distribution,Unsuccessful Crosses & Corners,Ground Duels,Successful Passes Opposition Half,Successful Short Passes,Home Goals,Away Goals,Winning Goal,Rightside Passes,Successful Long Passes,Goals Conceded Outside Box,Successful Launches,Total Tackles,Aerial Duels,Aerial Duels lost,Blocked Shots,Starts,Substitute Off,Total Touches In Opposition Box,Backward Passes,Unsuccessful Long Passes,Tackles Lost,Interceptions,Total Clearances,Unsuccessful Launches,Total Fouls Won,Aerial Duels won,Duels won,Tackles Won,Ground Duels won,Through balls,Successful Crosses & Corners,Handballs conceded,Last Man Tackle,Successful Crosses open play,Successful Dribbles,Key Passes (Attempt Assists),Foul Attempted Tackle,Blocks,Shots Off Target (inc woodwork),PutThrough/Blocked Distribution Won,Clean Sheets,Shots On Target ( inc goals ),Corners Taken (incl short corners),Throw Ins to Opposition Player,Unsuccessful Corners into Box,Total Shots,Left Foot Goals,Offsides,Goal Assists,Goals from Inside Box,Goals,Goals from Outside Box,Assists (Intentional),Hit Woodwork,Right Foot Goals,Penalties Taken,Successful Lay-offs,Unsuccessful lay-offs,Headed Goals,Penalty Goals,Foul Won Penalty,Second Goal Assists,GK Successful Distribution,Attempts from Set Pieces,Successful Corners into Box,Red Cards - 2nd Yellow,Penalties Conceded,Total Red Cards,Saves Made from Outside Box,Catches,Penalties Saved,Saves from Penalty,Saves made - parried,Punches,Saves Made,Penalties Faced,Saves Made from Inside Box,GK Unsuccessful Distribution,Drops,Overruns,Saves made - caught,Goal Kicks,Straight Red Cards,Penalties Off Target,Clearances Off the Line,Own Goal Scored,Goalkeeper Smother,Set Pieces Goals,Last Player Tackle,Crosses not Claimed
Mexico_Liga_MX,2021-2022,Club León,93tuc1e8rle8zcuamh6wapses,B. Aguilar,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Club León,2ufp5icqczg2wvcxl5axnxu96,F. Ambríz,Midfielder,26,30.0,245.0,26.0,131.0,105.0,17.0,24.0,29.0,,,5.0,13.0,13.0,159.0,68.0,10.0,,10.0,6.0,14.0,14.0,131.0,,5.0,,13.0,105.0,42.0,12.0,12.0,,2.0,1.0,,19.0,37.0,97.0,0.0,0.0,0.0,39.0,8.0,1.0,2.0,5.0,5.0,1.0,,2.0,1.0,1.0,21.0,9.0,1.0,3.0,3.0,5.0,,4.0,10.0,4.0,6.0,,,,,,1.0,1.0,5.0,4.0,2.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Club León,84r1msh0g1qj25wss1n4fv74l,S. Barreiro,Defender,21,189.0,1736.0,162.0,911.0,755.0,83.0,148.0,411.0,4.0,7.0,16.0,43.0,64.0,1196.0,553.0,2.0,1.0,10.0,20.0,103.0,73.0,979.0,1.0,28.0,5.0,99.0,817.0,336.0,20.0,20.0,3.0,7.0,11.0,1.0,86.0,264.0,737.0,0.0,1.0,0.0,176.0,80.0,4.0,9.0,27.0,62.0,30.0,3.0,18.0,,17.0,56.0,79.0,13.0,38.0,56.0,27.0,13.0,32.0,75.0,14.0,43.0,,,1.0,,,4.0,3.0,13.0,9.0,4.0,4.0,6.0,3.0,,,,7.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,
Mexico_Liga_MX,2021-2022,Club León,ai1q7eeu5k90x364z6g4bxl91,A. Blanco,Goalkeeper,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Club León,av5uo0p5jq933l06f12zt9mtx,G. Burón,Defender,3,3.0,25.0,1.0,10.0,9.0,,2.0,3.0,,1.0,1.0,1.0,1.0,21.0,5.0,2.0,1.0,10.0,1.0,,1.0,10.0,1.0,1.0,1.0,1.0,9.0,1.0,2.0,2.0,,,1.0,1.0,2.0,4.0,8.0,0.0,0.0,0.0,2.0,1.0,,,1.0,,,,,,,4.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Club León,1u9sn1cu0pq16mina2q6d6dwp,S. Colombatto,Midfielder,22,181.0,1670.0,117.0,784.0,671.0,89.0,174.0,249.0,4.0,,12.0,75.0,31.0,1010.0,266.0,,2.0,10.0,15.0,98.0,95.0,802.0,9.0,33.0,5.0,99.0,685.0,205.0,21.0,21.0,10.0,22.0,14.0,13.0,136.0,424.0,644.0,0.0,1.0,0.0,219.0,41.0,3.0,1.0,22.0,38.0,20.0,4.0,21.0,8.0,25.0,129.0,28.0,12.0,10.0,7.0,9.0,26.0,18.0,79.0,10.0,61.0,3.0,5.0,1.0,,3.0,13.0,12.0,18.0,4.0,5.0,6.0,7.0,6.0,2.0,,1.0,11.0,1.0,,1.0,,1.0,1.0,1.0,,,,6.0,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Club León,5jj07az7i7svdgh5egd1s5dqt,R. Cota,Goalkeeper,30,113.0,1920.0,110.0,255.0,228.0,5.0,21.0,235.0,,,14.0,2.0,28.0,768.0,351.0,,2.0,10.0,17.0,214.0,3.0,499.0,,1.0,5.0,82.0,389.0,145.0,21.0,21.0,,,1.0,,9.0,38.0,304.0,0.0,0.0,0.0,119.0,85.0,3.0,18.0,1.0,12.0,1.0,,21.0,,,,105.0,,2.0,25.0,31.0,5.0,11.0,18.0,1.0,7.0,,,,,,3.0,,1.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,255.0,,,,,,21.0,15.0,,,17.0,17.0,65.0,2.0,44.0,48.0,4.0,,2.0,,,,,,1.0,,,
Mexico_Liga_MX,2021-2022,Club León,30q9d8i2c8kgscpgze0x5h0b9,V. Dávila,Forward,7,202.0,1561.0,111.0,414.0,303.0,93.0,143.0,109.0,13.0,4.0,11.0,46.0,15.0,685.0,109.0,5.0,3.0,10.0,13.0,34.0,73.0,444.0,17.0,11.0,3.0,113.0,333.0,134.0,23.0,23.0,11.0,29.0,30.0,17.0,101.0,230.0,311.0,7.0,0.0,1.0,102.0,22.0,2.0,,10.0,42.0,27.0,12.0,18.0,14.0,67.0,99.0,18.0,4.0,2.0,6.0,1.0,38.0,15.0,70.0,6.0,55.0,5.0,6.0,1.0,,6.0,9.0,17.0,5.0,,13.0,9.0,2.0,11.0,2.0,1.0,,24.0,5.0,8.0,2.0,6.0,7.0,1.0,1.0,1.0,2.0,,7.0,3.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Club León,351nzn9u8g8ju7qnl2cy4codm,J. Díaz,Midfielder,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2021-2022,Club León,67xkw0v7i1og0x9x5cdbsg1qt,O. Fernández,Midfielder,25,230.0,1439.0,97.0,597.0,503.0,86.0,122.0,168.0,12.0,9.0,9.0,62.0,26.0,880.0,164.0,2.0,2.0,10.0,12.0,69.0,83.0,615.0,19.0,7.0,1.0,114.0,518.0,127.0,21.0,21.0,21.0,49.0,18.0,43.0,98.0,364.0,499.0,0.0,0.0,0.0,177.0,19.0,3.0,4.0,7.0,24.0,21.0,6.0,19.0,15.0,50.0,143.0,11.0,4.0,9.0,1.0,5.0,22.0,3.0,39.0,3.0,36.0,4.0,10.0,,,4.0,8.0,22.0,3.0,4.0,13.0,7.0,1.0,2.0,28.0,,18.0,15.0,,2.0,2.0,,,,2.0,,,,6.0,,,,,,,,6.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,
