liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Successful Lay-offs,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Yellow Cards,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Substitute Off,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Corners Taken (incl short corners),Appearances,Foul Attempted Tackle,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Aerial Duels won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Hit Woodwork,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Unsuccessful lay-offs,Goal Assists,Through balls,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Substitute On,Offsides,Penalties Conceded,Goals,Successful Corners into Box,Total Red Cards,Throw Ins to Opposition Player,Red Cards - 2nd Yellow,Blocks,Left Foot Goals,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goals from Inside Box,Penalties Taken,Penalty Goals,Goals from Outside Box,Headed Goals,Last Man Tackle,Straight Red Cards,Saves Made,GK Successful Distribution,Punches,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Right Foot Goals,Foul Won Penalty,Set Pieces Goals,Drops,Penalties Off Target,Crosses not Claimed,Own Goal Scored,Clearances Off the Line,Penalties Saved,Saves from Penalty,Other Goals
Mexico_Liga_MX,2017-2018,Deportivo Toluca FC,b3avgp4jp107ewqw8ih7qbxlh,M. Abundis,Forward,31,,38.0,,3.0,,14.0,,9.0,,9.0,,,,,,,2.0,8.0,4.0,1.0,1.0,14.0,,1.0,,13.0,,,1.0,3.0,,1.0,,,,,,24.0,,2.0,1.0,5.0,,2.0,10.0,4.0,,,,,1.0,3.0,,10.0,1.0,,,2.0,,4.0,2.0,13.0,13.0,5.0,,,,,1.0,6.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Deportivo Toluca FC,1n4twaj9a6er7yby2039vspud,P. Barrientos,Midfielder,24,28.0,1743.0,18.0,17.0,3.0,826.0,17.0,155.0,9.0,492.0,5.0,7.0,34.0,22.0,12.0,3.0,21.0,311.0,222.0,48.0,126.0,865.0,5.0,40.0,40.0,642.0,18.0,22.0,160.0,228.0,30.0,176.0,7.0,112.0,20.0,48.0,20.0,1287.0,7.0,22.0,26.0,271.0,292.0,45.0,10.0,158.0,10.0,3.0,63.0,9.0,54.0,17.0,20.0,309.0,7.0,21.0,36.0,22.0,2.0,130.0,190.0,669.0,705.0,38.0,5.0,,5.0,6.0,30.0,151.0,18.0,18.0,141.0,2.0,2.0,,4.0,,1.0,2.0,,2.0,3.0,4.0,3.0,4.0,2.0,,,2.0,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,
Mexico_Liga_MX,2017-2018,Deportivo Toluca FC,6vgt9j0zmbngr8d718sy90zit,A. Benítez,Midfielder,13,1.0,264.0,13.0,,1.0,60.0,,14.0,,26.0,3.0,,8.0,,,,3.0,29.0,22.0,9.0,8.0,64.0,1.0,4.0,6.0,38.0,5.0,1.0,16.0,12.0,,14.0,,13.0,3.0,1.0,3.0,125.0,,3.0,3.0,28.0,35.0,3.0,10.0,20.0,1.0,,10.0,,4.0,1.0,1.0,32.0,11.0,5.0,1.0,3.0,,9.0,3.0,45.0,48.0,4.0,,,,,5.0,12.0,4.0,2.0,19.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Deportivo Toluca FC,csvbc0k1f54418nn8pjhg8ull,C. Borja,Defender,26,42.0,1710.0,125.0,,11.0,510.0,16.0,62.0,6.0,258.0,25.0,2.0,39.0,8.0,4.0,3.0,35.0,214.0,170.0,33.0,58.0,519.0,,21.0,26.0,387.0,14.0,11.0,97.0,216.0,6.0,106.0,3.0,119.0,19.0,27.0,33.0,957.0,1.0,19.0,8.0,117.0,215.0,21.0,10.0,91.0,7.0,,35.0,6.0,18.0,14.0,10.0,166.0,36.0,17.0,42.0,19.0,1.0,40.0,26.0,414.0,422.0,49.0,7.0,,2.0,1.0,21.0,75.0,12.0,26.0,77.0,,2.0,,1.0,,,32.0,,1.0,1.0,,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Deportivo Toluca FC,561rvss1aol2s555fc2iyqhg5,C. Calvo,Defender,33,2.0,102.0,5.0,,1.0,51.0,,4.0,,21.0,3.0,,4.0,1.0,,,4.0,24.0,16.0,2.0,11.0,52.0,,4.0,,36.0,2.0,,15.0,18.0,,9.0,,7.0,1.0,3.0,8.0,79.0,,3.0,1.0,10.0,29.0,,10.0,8.0,,,1.0,,3.0,3.0,,17.0,3.0,2.0,2.0,3.0,,5.0,1.0,36.0,37.0,7.0,,,,,2.0,9.0,,2.0,5.0,2.0,,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Deportivo Toluca FC,b5557z8necef4bq85frnoyled,A. Canelo,Forward,25,15.0,1117.0,3.0,10.0,,199.0,14.0,64.0,2.0,130.0,,3.0,,5.0,12.0,,31.0,153.0,36.0,10.0,52.0,216.0,6.0,30.0,20.0,161.0,11.0,24.0,52.0,59.0,15.0,58.0,5.0,18.0,11.0,21.0,10.0,450.0,1.0,20.0,13.0,115.0,37.0,59.0,10.0,75.0,12.0,2.0,3.0,2.0,30.0,21.0,11.0,167.0,11.0,11.0,16.0,20.0,,61.0,56.0,151.0,164.0,52.0,2.0,,2.0,,5.0,92.0,5.0,4.0,54.0,9.0,8.0,,3.0,,,,,2.0,2.0,1.0,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Deportivo Toluca FC,2yy4oexmv3zgrg2q9ld2v8i51,M. Centeno,Goalkeeper,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Deportivo Toluca FC,c9r6p8hy5erieew7w2u9vlfit,R. Cruz,Defender,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Deportivo Toluca FC,awhuie6ccrp8rrcrymcioqpqt,J. Delgadillo,Defender,35,,561.0,,,,182.0,1.0,14.0,1.0,89.0,3.0,,5.0,9.0,1.0,,9.0,40.0,68.0,27.0,25.0,186.0,3.0,15.0,4.0,147.0,6.0,1.0,30.0,48.0,4.0,25.0,2.0,36.0,5.0,13.0,5.0,287.0,,17.0,9.0,64.0,67.0,1.0,10.0,45.0,,,9.0,1.0,5.0,9.0,1.0,82.0,14.0,6.0,,17.0,,28.0,57.0,152.0,156.0,18.0,1.0,,,,20.0,37.0,7.0,17.0,36.0,12.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2017-2018,Deportivo Toluca FC,3lkhc5em4d8fx4cebnoaszzyt,L. García,Goalkeeper,22,,630.0,,,14.0,69.0,1.0,,,34.0,34.0,2.0,77.0,,,,,83.0,56.0,1.0,1.0,168.0,,,,41.0,8.0,,78.0,17.0,,70.0,,62.0,7.0,,8.0,243.0,,7.0,,3.0,136.0,,10.0,3.0,,,49.0,,2.0,1.0,,4.0,4.0,8.0,,7.0,,1.0,15.0,40.0,90.0,1.0,1.0,,,,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,21.0,63.0,2.0,1.0,7.0,9.0,4.0,12.0,1.0,3.0,31.0,,,,1.0,,,,,1.0,1.0,
