liga,temporada,equipo,id,nombre,posicion,dorsal,Goal Assists,Yellow Cards,Goals Conceded Inside Box,Duels won,Unsuccessful Launches,Successful Short Passes,Leftside Passes,Times Tackled,Foul Attempted Tackle,Through balls,Unsuccessful Passes Opposition Half,Time Played,Games Played,Ground Duels won,Total Clearances,Substitute On,Backward Passes,Unsuccessful Crosses open play,Penalty Goals Conceded,Unsuccessful Passes Own Half,Index,Total Fouls Conceded,Total Passes,Open Play Passes,Duels,PutThrough/Blocked Distribution Won,Aerial Duels,Right Foot Goals,Rightside Passes,Total Losses Of Possession,Unsuccessful Dribbles,Corners Won,Throw Ins to Opposition Player,Successful Open Play Passes,Key Passes (Attempt Assists),Successful Passes Opposition Half,Substitute Off,Unsuccessful Crosses & Corners,Goals,Tackles Won,Total Successful Passes ( Excl Crosses & Corners ) ,Goals Conceded Outside Box,Unsuccessful Long Passes,Ground Duels,Goals from Inside Box,Assists (Intentional),Duels lost,Interceptions,Blocked Shots,Forward Passes,Successful Dribbles,Touches,Goals Conceded,PutThrough/Blocked Distribution,Successful Passes Own Half,Total Touches In Opposition Box,Penalties Conceded,Successful Long Passes,Recoveries,Appearances,Tackles Lost,Successful Crosses & Corners,Shots On Target ( inc goals ),Total Tackles,Successful Crosses open play,Starts,Ground Duels lost,Total Fouls Won,Throw Ins to Own Player,Clean Sheets,Unsuccessful Short Passes,Total Shots,Blocks,Total Unsuccessful Passes ( Excl Crosses & Corners ),Successful Launches,Aerial Duels won,Aerial Duels lost,Home Goals,Away Goals,Winning Goal,Goals from Outside Box,Corners Taken (incl short corners),Successful Lay-offs,Left Foot Goals,Offsides,Shots Off Target (inc woodwork),Successful Corners into Box,Unsuccessful Corners into Box,Handballs conceded,Second Goal Assists,Clearances Off the Line,Foul Won Penalty,Penalty Goals,Set Pieces Goals,Attempts from Set Pieces,Penalties Taken,Total Red Cards,Straight Red Cards,GK Unsuccessful Distribution,Red Cards - 2nd Yellow,Hit Woodwork,Unsuccessful lay-offs,Drops,Last Man Tackle,GK Successful Distribution,Saves Made from Inside Box,Penalties Faced,Crosses not Claimed,Saves made - parried,Catches,Saves Made from Outside Box,Saves Made,Punches,Goalkeeper Smother,Saves made - caught,Headed Goals,Other Goals,Own Goal Scored,Saves from Penalty,Penalties Saved
Canada_Canadian_Premier_League,2022,Cavalry FC,ewjp0ru1c4fn1h5bqyqdih0wl,B. Fisk,Midfielder,17,1.0,1.0,10.0,37.0,9.0,355.0,102.0,21.0,5.0,2.0,139.0,1215.0,27.0,34.0,4.0,13.0,134.0,36.0,1.0,19.0,10.0,13.0,496.0,485.0,93.0,9.0,10.0,,84.0,208.0,8.0,9.0,5.0,379.0,23.0,280.0,11.0,51.0,1.0,9.0,389.0,4.0,35.0,83.0,1.0,1.0,56.0,1.0,8.0,176.0,7.0,718.0,14.0,30.0,126.0,19.0,,34.0,72.0,27.0,9.0,17.0,8.0,18.0,7.0,14.0,49.0,9.0,13.0,1.0,72.0,13.0,,107.0,2.0,3.0,7.0,1.0,0.0,1.0,,24.0,4.0,1.0,,5.0,7.0,12.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,7m423mahkxftk81mmh7v0jzf8,M. Harms,Defender,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,56a27wtbiukuc4kyay1obqkno,M. Kaiser,Defender,28,,,2.0,1.0,,22.0,8.0,1.0,,1.0,4.0,69.0,6.0,1.0,,6.0,10.0,,,7.0,10.0,,39.0,39.0,3.0,,,,5.0,14.0,,1.0,2.0,28.0,2.0,13.0,,,,,28.0,,4.0,3.0,,,2.0,,,16.0,,50.0,2.0,,15.0,2.0,,6.0,5.0,6.0,,,,,,,2.0,1.0,5.0,,7.0,1.0,,11.0,,,,,,0.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,246l8ttdytxycwsbi5sg12ei,D. Klomp,Defender,4,2.0,7.0,25.0,109.0,36.0,1052.0,490.0,24.0,15.0,1.0,155.0,2174.0,27.0,63.0,55.0,3.0,125.0,12.0,3.0,70.0,10.0,31.0,1389.0,1349.0,200.0,14.0,76.0,,198.0,293.0,4.0,8.0,27.0,1140.0,12.0,471.0,3.0,12.0,3.0,28.0,1176.0,7.0,89.0,124.0,3.0,1.0,91.0,37.0,2.0,576.0,7.0,1807.0,32.0,30.0,708.0,40.0,1.0,124.0,123.0,27.0,25.0,3.0,4.0,53.0,3.0,24.0,61.0,3.0,96.0,5.0,124.0,15.0,15.0,213.0,13.0,46.0,30.0,1.0,2.0,0.0,,,,,1.0,11.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,9ciad1fw48orv5aph9o83f6ne,V. Loturi,Midfielder,16,1.0,3.0,7.0,32.0,5.0,296.0,92.0,16.0,2.0,,51.0,769.0,10.0,27.0,6.0,1.0,81.0,5.0,1.0,16.0,10.0,7.0,376.0,364.0,80.0,7.0,14.0,,82.0,100.0,7.0,2.0,2.0,302.0,6.0,137.0,3.0,5.0,,5.0,314.0,2.0,18.0,66.0,,,48.0,7.0,2.0,121.0,7.0,508.0,9.0,16.0,178.0,7.0,,18.0,65.0,10.0,5.0,1.0,,10.0,1.0,9.0,39.0,10.0,16.0,2.0,44.0,2.0,5.0,62.0,,5.0,9.0,,,0.0,,1.0,3.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,eoiimmhy0bdg3guq88jihpyol,J. Mason,Forward,20,1.0,2.0,18.0,40.0,,199.0,42.0,38.0,7.0,,60.0,1747.0,22.0,23.0,8.0,1.0,107.0,13.0,2.0,4.0,10.0,24.0,252.0,215.0,146.0,3.0,60.0,4.0,69.0,145.0,14.0,22.0,,164.0,13.0,137.0,10.0,13.0,8.0,3.0,201.0,4.0,3.0,86.0,7.0,1.0,106.0,2.0,15.0,34.0,4.0,476.0,22.0,16.0,66.0,107.0,,2.0,30.0,22.0,2.0,2.0,26.0,5.0,2.0,21.0,63.0,14.0,2.0,5.0,48.0,36.0,,51.0,,17.0,43.0,5.0,3.0,3.0,1.0,,9.0,1.0,25.0,10.0,,,1.0,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,2.0,1.0,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,cbw3da3l9qi13ludkt9181z9x,A. Musse,Forward,13,3.0,4.0,24.0,140.0,,384.0,152.0,97.0,15.0,1.0,145.0,2137.0,29.0,121.0,2.0,5.0,150.0,24.0,2.0,24.0,10.0,23.0,513.0,498.0,301.0,29.0,39.0,1.0,94.0,345.0,43.0,19.0,,394.0,25.0,312.0,13.0,63.0,7.0,19.0,407.0,5.0,7.0,262.0,3.0,2.0,161.0,11.0,16.0,117.0,43.0,1076.0,29.0,44.0,119.0,84.0,,23.0,95.0,29.0,13.0,24.0,27.0,32.0,6.0,24.0,141.0,46.0,11.0,,99.0,53.0,6.0,106.0,,19.0,20.0,4.0,3.0,3.0,4.0,47.0,18.0,6.0,3.0,26.0,17.0,27.0,,,,1.0,,1.0,6.0,,,,,,2.0,4.0,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,7qctsydagkbx65ctb9wlw9n1l,D. Norman,Midfielder,24,,4.0,9.0,51.0,20.0,407.0,74.0,7.0,11.0,,102.0,1031.0,21.0,31.0,24.0,10.0,44.0,8.0,1.0,42.0,10.0,20.0,606.0,583.0,106.0,7.0,40.0,,225.0,188.0,4.0,5.0,27.0,456.0,4.0,186.0,2.0,10.0,,10.0,472.0,4.0,67.0,66.0,,,55.0,23.0,2.0,263.0,1.0,832.0,13.0,14.0,289.0,11.0,,65.0,65.0,21.0,5.0,3.0,2.0,15.0,3.0,11.0,35.0,15.0,46.0,3.0,67.0,8.0,4.0,134.0,4.0,20.0,20.0,,,0.0,,,,,,6.0,,,,,,,,,3.0,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,3niwormbgvkj2x3pt0paovwgk,G. Ntignee,Forward,0,,,,2.0,,3.0,4.0,1.0,,,4.0,13.0,2.0,1.0,,2.0,2.0,,,,10.0,,7.0,7.0,3.0,3.0,1.0,,,6.0,1.0,,1.0,3.0,,3.0,,,,,3.0,,,2.0,,,1.0,,,1.0,,14.0,,3.0,,6.0,,,,2.0,,,,,,,1.0,1.0,,,4.0,,,4.0,,1.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,ekpuqpny9mue83orafcamp2i,A. Pepple,Forward,23,,1.0,4.0,31.0,,78.0,22.0,21.0,3.0,,19.0,419.0,7.0,21.0,1.0,3.0,50.0,3.0,,4.0,10.0,9.0,102.0,99.0,68.0,,16.0,5.0,13.0,57.0,7.0,3.0,,79.0,3.0,52.0,,3.0,6.0,2.0,82.0,2.0,2.0,52.0,6.0,,37.0,,2.0,17.0,7.0,191.0,6.0,1.0,31.0,22.0,,4.0,21.0,7.0,,1.0,10.0,2.0,1.0,4.0,31.0,12.0,2.0,1.0,18.0,17.0,,20.0,,10.0,6.0,3.0,3.0,2.0,,,7.0,1.0,2.0,7.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,4vste31f1itpjogkc2r11k3ys,S. Rogers,Midfielder,27,,,,1.0,,3.0,1.0,2.0,,,1.0,25.0,3.0,1.0,,3.0,,,,,10.0,,4.0,4.0,5.0,,1.0,,2.0,5.0,2.0,,,3.0,,2.0,,,,1.0,3.0,,,4.0,,,4.0,1.0,,1.0,,10.0,,,1.0,,,,1.0,3.0,,,,1.0,,,3.0,,,,1.0,,,1.0,,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,96b207v2usabc2wcqkgspyzqi,J. Roloff,Goalkeeper,12,,,5.0,1.0,9.0,50.0,20.0,,,,18.0,360.0,4.0,1.0,2.0,,,,2.0,8.0,10.0,,93.0,44.0,2.0,,1.0,,14.0,27.0,,,,36.0,,8.0,,,,,67.0,3.0,25.0,1.0,,,1.0,,,59.0,,130.0,8.0,,59.0,,,17.0,36.0,4.0,,,,,,4.0,,1.0,,,1.0,,,26.0,3.0,,1.0,,,0.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,46.0,9.0,2.0,,5.0,2.0,3.0,12.0,1.0,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,3176i3h6iv1ufsp88prhhmjqi,E. Simmons,Midfielder,15,1.0,4.0,23.0,86.0,13.0,576.0,187.0,16.0,18.0,2.0,111.0,1858.0,26.0,69.0,21.0,6.0,129.0,2.0,1.0,52.0,10.0,24.0,774.0,761.0,169.0,12.0,34.0,,204.0,203.0,3.0,2.0,,602.0,9.0,284.0,6.0,2.0,,37.0,613.0,4.0,42.0,135.0,,,83.0,27.0,4.0,254.0,7.0,990.0,27.0,28.0,330.0,4.0,,37.0,131.0,26.0,19.0,1.0,1.0,56.0,,20.0,66.0,6.0,,4.0,119.0,10.0,3.0,161.0,3.0,17.0,17.0,,,0.0,,1.0,7.0,,,9.0,1.0,,,1.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,3t5jstg2v8jbi2t8x01qwcjkk,G. Smith-Doyle,Midfielder,23,,1.0,,3.0,,6.0,2.0,1.0,1.0,,5.0,43.0,5.0,2.0,,5.0,3.0,2.0,,1.0,10.0,1.0,10.0,10.0,6.0,1.0,2.0,,2.0,12.0,1.0,2.0,,6.0,,3.0,,2.0,,1.0,6.0,,,4.0,,,3.0,,,3.0,,23.0,,3.0,3.0,2.0,,,4.0,5.0,1.0,,2.0,2.0,,,2.0,,,,4.0,2.0,,4.0,,1.0,1.0,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,g2i7tap1jusx5t2mnbfbns2d,C. Trafford,Midfielder,6,,9.0,15.0,151.0,8.0,672.0,191.0,18.0,28.0,1.0,94.0,1550.0,24.0,105.0,17.0,4.0,171.0,8.0,2.0,42.0,10.0,41.0,826.0,810.0,259.0,24.0,66.0,,204.0,176.0,6.0,8.0,3.0,682.0,8.0,319.0,15.0,8.0,,36.0,698.0,6.0,24.0,193.0,,,108.0,22.0,2.0,260.0,3.0,1104.0,21.0,33.0,382.0,26.0,,26.0,114.0,24.0,23.0,3.0,4.0,59.0,3.0,20.0,88.0,43.0,5.0,2.0,104.0,12.0,4.0,128.0,4.0,46.0,20.0,,,0.0,,,7.0,,,8.0,,,1.0,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,1mcgu1zocg8bwfrncptuvfm51,M. Trafford,Defender,5,,7.0,20.0,42.0,37.0,1119.0,275.0,3.0,12.0,,109.0,1927.0,23.0,12.0,63.0,2.0,90.0,,1.0,52.0,10.0,24.0,1374.0,1309.0,98.0,4.0,58.0,1.0,494.0,166.0,2.0,,,1150.0,6.0,319.0,1.0,,1.0,4.0,1213.0,4.0,102.0,40.0,1.0,,56.0,29.0,,515.0,,1520.0,24.0,8.0,894.0,10.0,,94.0,94.0,23.0,1.0,,1.0,5.0,,21.0,28.0,7.0,8.0,8.0,59.0,5.0,7.0,161.0,12.0,30.0,28.0,0.0,1.0,1.0,,,,,1.0,4.0,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,cfzh3fx4nfa8p2mb4qx45iooa,B. Vliet,Defender,18,1.0,2.0,12.0,41.0,27.0,350.0,14.0,15.0,12.0,,121.0,1293.0,21.0,34.0,15.0,5.0,99.0,22.0,1.0,40.0,10.0,14.0,582.0,565.0,96.0,9.0,21.0,,277.0,232.0,8.0,9.0,36.0,433.0,6.0,193.0,11.0,25.0,,8.0,446.0,2.0,81.0,75.0,,1.0,55.0,16.0,2.0,192.0,12.0,897.0,14.0,18.0,265.0,8.0,,96.0,65.0,21.0,7.0,12.0,3.0,15.0,12.0,16.0,41.0,7.0,98.0,2.0,55.0,6.0,1.0,136.0,5.0,7.0,14.0,,,0.0,,2.0,,,,3.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canada_Canadian_Premier_League,2022,Cavalry FC,c8svt3yazcfaq478j0cpbmbfu,K. Yao,Defender,25,2.0,4.0,24.0,125.0,22.0,1133.0,531.0,4.0,14.0,,128.0,2275.0,26.0,64.0,69.0,,69.0,,3.0,49.0,10.0,27.0,1405.0,1371.0,190.0,7.0,85.0,,398.0,200.0,,3.0,4.0,1196.0,6.0,260.0,3.0,,1.0,29.0,1228.0,6.0,93.0,105.0,1.0,2.0,65.0,34.0,4.0,407.0,2.0,1668.0,30.0,14.0,968.0,24.0,,95.0,120.0,26.0,23.0,,1.0,52.0,,26.0,41.0,10.0,5.0,8.0,84.0,8.0,16.0,177.0,6.0,61.0,24.0,1.0,0.0,0.0,,,,,,7.0,,,,,1.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,1.0,,,,
