liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Goals Conceded Inside Box,Shots On Target ( inc goals ),Touches,Leftside Passes,Total Shots,Open Play Passes,Unsuccessful Launches,Left Foot Goals,Goals Conceded,Tackles Lost,Successful Passes Own Half,Forward Passes,Successful Launches,Index,Key Passes (Attempt Assists),Unsuccessful Short Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Corners Taken (incl short corners),Unsuccessful Dribbles,Duels won,Total Fouls Won,Offsides,Shots Off Target (inc woodwork),Ground Duels won,Ground Duels lost,Times Tackled,Aerial Duels won,Backward Passes,Throw Ins to Opposition Player,Successful Long Passes,Throw Ins to Own Player,Corners Won,Interceptions,Tackles Won,Time Played,Blocked Shots,Ground Duels,Goals Conceded Outside Box,Successful Dribbles,Starts,Handballs conceded,Total Tackles,Appearances,Goals from Inside Box,Total Fouls Conceded,Total Passes,Rightside Passes,Successful Crosses open play,Unsuccessful Long Passes,Total Unsuccessful Passes ( Excl Crosses & Corners ),Clean Sheets,Total Losses Of Possession,Unsuccessful Crosses open play,PutThrough/Blocked Distribution Won,Successful Open Play Passes,PutThrough/Blocked Distribution,Unsuccessful Crosses & Corners,Penalty Goals Conceded,Unsuccessful lay-offs,Blocks,Successful Short Passes,Successful Lay-offs,Unsuccessful Passes Opposition Half,Foul Attempted Tackle,Unsuccessful Passes Own Half,Successful Passes Opposition Half,Recoveries,Aerial Duels lost,Duels,Aerial Duels,Total Clearances,Attempts from Set Pieces,Unsuccessful Corners into Box,Duels lost,Successful Crosses & Corners,Successful Corners into Box,Home Goals,Away Goals,Winning Goal,Clearances Off the Line,Penalties Conceded,Right Foot Goals,Through balls,Goals from Outside Box,Headed Goals,Catches,Drops,Goalkeeper Smother,Punches,Saves Made from Outside Box,Penalties Faced,Saves made - caught,Saves Made from Inside Box,GK Unsuccessful Distribution,Saves made - parried,Crosses not Claimed,GK Successful Distribution,Saves Made,Goal Assists,Total Touches In Opposition Box,Assists (Intentional),Set Pieces Goals,Hit Woodwork,Penalties Saved,Saves from Penalty,Second Goal Assists,Other Goals,Penalties Taken,Penalty Goals,Foul Won Penalty,Last Man Tackle,Own Goal Scored
USA_MLS,2010,Chicago Fire FC,9m8av4jjn21ctds9o2n5aiwut,S. Kinney,Defender,18.0,13.0,1.0,2.0,,,,3.0,1.0,12.0,3.0,721.0,134.0,7.0,410.0,23.0,,12.0,4.0,164.0,228.0,8.0,10.0,4.0,73.0,302.0,,5.0,53.0,6.0,1.0,4.0,34.0,16.0,6.0,19.0,37.0,30.0,29.0,84.0,6.0,33.0,16.0,964.0,1.0,50.0,,8.0,10.0,,20.0,13.0,1.0,7.0,418.0,19.0,4.0,43.0,116.0,4.0,184.0,15.0,5.0,296.0,15.0,15.0,2.0,,1.0,273.0,4.0,102.0,5.0,29.0,142.0,53.0,13.0,82.0,32.0,54.0,1.0,,29.0,4.0,,0.0,1.0,2.0,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,2.0,,,1.0,,,,,,
USA_MLS,2010,Chicago Fire FC,627v9he5xhrqwlzzc1nasij11,K. Krol,Defender,23.0,19.0,,2.0,1.0,1.0,,2.0,,23.0,1.0,969.0,26.0,9.0,574.0,14.0,,26.0,10.0,233.0,305.0,6.0,10.0,5.0,98.0,452.0,1.0,7.0,79.0,12.0,,8.0,60.0,39.0,12.0,19.0,61.0,44.0,22.0,91.0,5.0,29.0,27.0,1564.0,2.0,99.0,3.0,12.0,17.0,3.0,37.0,19.0,,16.0,582.0,190.0,2.0,32.0,130.0,4.0,230.0,18.0,6.0,446.0,14.0,19.0,5.0,,3.0,430.0,5.0,118.0,7.0,31.0,221.0,78.0,10.0,128.0,29.0,72.0,,1.0,49.0,2.0,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Chicago Fire FC,btldkyrw1vl7mxiqi1ppb1m1h,P. Lowry,Midfielder,8.0,15.0,2.0,2.0,,,,3.0,3.0,9.0,4.0,577.0,120.0,9.0,414.0,9.0,,13.0,2.0,166.0,126.0,2.0,10.0,7.0,66.0,335.0,17.0,2.0,34.0,4.0,1.0,5.0,28.0,29.0,15.0,6.0,61.0,1.0,40.0,2.0,6.0,17.0,21.0,1005.0,4.0,57.0,4.0,1.0,12.0,,23.0,15.0,2.0,9.0,425.0,118.0,3.0,24.0,90.0,4.0,134.0,4.0,4.0,325.0,7.0,15.0,1.0,,2.0,295.0,13.0,84.0,2.0,21.0,179.0,51.0,13.0,76.0,19.0,21.0,1.0,9.0,42.0,10.0,6.0,2.0,0.0,2.0,,,1.0,3.0,,,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,
USA_MLS,2010,Chicago Fire FC,d3xf5ibta7pmn8vn4mboxdgb9,J. Mapp,Midfielder,21.0,25.0,1.0,1.0,,,,9.0,15.0,14.0,7.0,918.0,155.0,15.0,594.0,2.0,1.0,19.0,2.0,153.0,180.0,4.0,10.0,22.0,100.0,497.0,19.0,14.0,72.0,28.0,1.0,8.0,59.0,54.0,41.0,13.0,133.0,1.0,32.0,25.0,16.0,13.0,18.0,1412.0,4.0,113.0,5.0,12.0,16.0,2.0,20.0,25.0,1.0,12.0,610.0,142.0,11.0,13.0,113.0,1.0,248.0,50.0,9.0,485.0,22.0,63.0,1.0,1.0,1.0,465.0,20.0,156.0,5.0,20.0,362.0,81.0,17.0,143.0,30.0,12.0,1.0,6.0,71.0,18.0,7.0,0.0,1.0,0.0,,,,4.0,,,,,,,,,,,,,,,,4.0,1.0,4.0,,,,,1.0,,,,,,
USA_MLS,2010,Chicago Fire FC,estd6ku0ay8mgthi8xgcg6vh1,J. Martínez,Midfielder,6.0,3.0,1.0,,,,,1.0,2.0,,1.0,43.0,5.0,2.0,25.0,1.0,,1.0,,9.0,12.0,,10.0,,9.0,15.0,,2.0,3.0,1.0,,1.0,1.0,8.0,4.0,2.0,4.0,,,1.0,1.0,,,107.0,,9.0,1.0,,2.0,1.0,,3.0,1.0,3.0,25.0,4.0,,1.0,10.0,,22.0,3.0,1.0,15.0,2.0,3.0,,,,15.0,,11.0,1.0,2.0,6.0,4.0,5.0,16.0,7.0,,1.0,,13.0,,,0.0,1.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Chicago Fire FC,5sk39dkzkbnh7udpzfxcr676d,B. McBride,Forward,20.0,26.0,6.0,1.0,,,,8.0,13.0,19.0,12.0,745.0,117.0,33.0,479.0,1.0,1.0,24.0,,99.0,168.0,,10.0,13.0,174.0,330.0,,4.0,143.0,41.0,11.0,21.0,46.0,41.0,27.0,97.0,100.0,2.0,11.0,8.0,5.0,6.0,12.0,1604.0,4.0,87.0,5.0,3.0,18.0,,12.0,26.0,6.0,14.0,510.0,125.0,5.0,6.0,180.0,1.0,261.0,7.0,3.0,299.0,9.0,7.0,2.0,3.0,1.0,319.0,31.0,165.0,5.0,22.0,236.0,50.0,101.0,285.0,198.0,22.0,,,142.0,5.0,,2.0,4.0,0.0,,,3.0,4.0,,2.0,,,,,,,,,,,,,,1.0,6.0,1.0,,1.0,,,2.0,,1.0,1.0,,,
USA_MLS,2010,Chicago Fire FC,8b6pg55ljgdhobf7bu9aun9at,P. Nyarko,Forward,14.0,27.0,1.0,1.0,,,,5.0,7.0,22.0,10.0,1224.0,159.0,27.0,727.0,8.0,,27.0,11.0,160.0,231.0,,10.0,26.0,175.0,540.0,,35.0,176.0,46.0,8.0,17.0,160.0,124.0,91.0,16.0,129.0,2.0,14.0,5.0,13.0,27.0,50.0,2067.0,2.0,284.0,5.0,56.0,22.0,,61.0,27.0,1.0,22.0,728.0,209.0,9.0,13.0,188.0,3.0,384.0,31.0,21.0,539.0,40.0,31.0,2.0,3.0,3.0,526.0,28.0,195.0,12.0,24.0,389.0,149.0,29.0,329.0,45.0,15.0,,,153.0,9.0,,0.0,1.0,0.0,,1.0,1.0,6.0,,,,,,,,,,,,,,,,8.0,3.0,7.0,,1.0,,,1.0,,,,1.0,,
USA_MLS,2010,Chicago Fire FC,zykalc2oixfyvayradbcxp05,M. Pappa,Midfielder,16.0,25.0,7.0,2.0,,,,2.0,11.0,20.0,25.0,1392.0,238.0,46.0,825.0,6.0,6.0,25.0,3.0,238.0,248.0,,10.0,23.0,162.0,645.0,27.0,32.0,93.0,14.0,11.0,21.0,90.0,127.0,98.0,3.0,183.0,8.0,45.0,32.0,22.0,25.0,46.0,1962.0,17.0,217.0,5.0,27.0,23.0,1.0,49.0,25.0,4.0,23.0,845.0,176.0,11.0,38.0,200.0,2.0,467.0,64.0,14.0,633.0,33.0,86.0,5.0,2.0,,600.0,32.0,256.0,9.0,30.0,429.0,135.0,13.0,233.0,16.0,1.0,6.0,17.0,140.0,22.0,8.0,4.0,3.0,6.0,,1.0,1.0,5.0,3.0,,,,,,,,,,,,,1.0,,3.0,3.0,3.0,,2.0,,,1.0,,,,,,
USA_MLS,2010,Chicago Fire FC,2h338r5d78i33ktadj8e6cwl,L. Pause,Midfielder,12.0,26.0,1.0,2.0,,,,,3.0,30.0,1.0,1355.0,312.0,4.0,1039.0,8.0,,34.0,3.0,463.0,333.0,3.0,10.0,12.0,115.0,927.0,2.0,2.0,84.0,21.0,,3.0,63.0,43.0,21.0,21.0,115.0,,96.0,5.0,2.0,52.0,36.0,2259.0,3.0,106.0,4.0,4.0,26.0,1.0,39.0,26.0,,16.0,1068.0,308.0,1.0,26.0,141.0,6.0,178.0,1.0,23.0,901.0,27.0,1.0,6.0,,10.0,831.0,28.0,106.0,10.0,36.0,468.0,173.0,13.0,140.0,34.0,52.0,,,56.0,4.0,2.0,0.0,1.0,0.0,,,1.0,2.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,2.0,,,,,,
USA_MLS,2010,Chicago Fire FC,2javko4rehyqwz8n4scpm3md,D. Robinson,Defender,32.0,17.0,,2.0,,,,,4.0,16.0,,904.0,180.0,6.0,516.0,17.0,,17.0,5.0,281.0,221.0,6.0,10.0,,76.0,427.0,,3.0,84.0,18.0,1.0,6.0,60.0,34.0,10.0,24.0,55.0,25.0,23.0,93.0,2.0,52.0,38.0,1369.0,,94.0,1.0,4.0,17.0,1.0,43.0,17.0,,13.0,524.0,68.0,2.0,21.0,97.0,4.0,149.0,4.0,6.0,419.0,21.0,4.0,4.0,,9.0,404.0,4.0,68.0,11.0,33.0,148.0,92.0,15.0,133.0,39.0,85.0,,,49.0,2.0,,0.0,0.0,0.0,,1.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,
USA_MLS,2010,Chicago Fire FC,80o5re02ffmqsg1cz8tku8zpx,J. Thorrington,Midfielder,11.0,5.0,1.0,1.0,,,,,2.0,4.0,2.0,261.0,47.0,3.0,196.0,2.0,,4.0,,90.0,55.0,2.0,10.0,2.0,24.0,173.0,,3.0,13.0,6.0,,1.0,10.0,14.0,10.0,3.0,39.0,2.0,17.0,4.0,2.0,7.0,4.0,397.0,1.0,24.0,,1.0,5.0,,4.0,5.0,1.0,4.0,200.0,59.0,2.0,3.0,27.0,,49.0,4.0,,170.0,2.0,4.0,,,1.0,156.0,8.0,22.0,4.0,9.0,86.0,24.0,1.0,28.0,4.0,5.0,,,15.0,3.0,,0.0,1.0,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
USA_MLS,2010,Chicago Fire FC,8giict2aow0zqda9nnjinb6j9,D. Umanzor,Defender,13.0,10.0,,,,,,5.0,1.0,5.0,1.0,285.0,12.0,1.0,150.0,5.0,,6.0,1.0,74.0,61.0,2.0,10.0,2.0,29.0,118.0,,1.0,21.0,2.0,,,16.0,14.0,3.0,5.0,23.0,17.0,11.0,35.0,1.0,14.0,11.0,501.0,,30.0,1.0,2.0,5.0,,12.0,10.0,,9.0,152.0,56.0,1.0,5.0,34.0,1.0,66.0,7.0,3.0,116.0,6.0,7.0,1.0,,2.0,107.0,3.0,31.0,5.0,10.0,45.0,29.0,10.0,45.0,15.0,23.0,,,24.0,1.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2010,Chicago Fire FC,530v85phr87ofpkng9q0x5zo5,T. Ward,Defender,5.0,22.0,,1.0,,,,1.0,2.0,18.0,2.0,1249.0,162.0,4.0,744.0,50.0,,24.0,8.0,247.0,470.0,17.0,10.0,10.0,169.0,519.0,1.0,5.0,63.0,11.0,,2.0,48.0,38.0,8.0,15.0,64.0,31.0,27.0,196.0,4.0,25.0,23.0,1910.0,1.0,86.0,6.0,6.0,21.0,,31.0,22.0,,16.0,768.0,72.0,8.0,80.0,249.0,7.0,334.0,24.0,5.0,502.0,17.0,25.0,1.0,1.0,3.0,492.0,5.0,216.0,5.0,58.0,282.0,77.0,27.0,128.0,42.0,79.0,,,65.0,10.0,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,
USA_MLS,2010,Chicago Fire FC,9mgwh1dfp9co8qujl9qg0qd3p,K. Watson-Siriboe,Defender,4.0,10.0,,,,,,3.0,1.0,7.0,1.0,355.0,54.0,4.0,244.0,9.0,,8.0,,183.0,81.0,1.0,10.0,,21.0,218.0,,,28.0,3.0,,3.0,12.0,11.0,1.0,16.0,22.0,,36.0,1.0,1.0,25.0,10.0,681.0,,23.0,1.0,1.0,7.0,1.0,10.0,10.0,,8.0,251.0,94.0,,12.0,33.0,2.0,36.0,,1.0,212.0,1.0,,2.0,,5.0,182.0,1.0,22.0,1.0,11.0,35.0,39.0,11.0,50.0,27.0,47.0,,,22.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,
