liga,temporada,equipo,id,nombre,posicion,dorsal,PutThrough/Blocked Distribution,Tackles Won,Duels,Total Shots,Unsuccessful Launches,Goals Conceded Inside Box,Blocked Shots,Successful Passes Own Half,Handballs conceded,Goals Conceded Outside Box,Unsuccessful Dribbles,Duels lost,Index,Unsuccessful Short Passes,Substitute Off,Total Losses Of Possession,Successful Long Passes,Time Played,Aerial Duels won,Successful Open Play Passes,Aerial Duels,Duels won,Ground Duels lost,Leftside Passes,Corners Won,Total Fouls Conceded,Unsuccessful Crosses open play,Open Play Passes,Touches,Total Successful Passes ( Excl Crosses & Corners ) ,Total Clearances,Shots On Target ( inc goals ),Forward Passes,Offsides,Total Tackles,Successful Short Passes,Rightside Passes,Key Passes (Attempt Assists),Foul Attempted Tackle,Ground Duels,Total Fouls Won,Successful Dribbles,Games Played,Appearances,Total Unsuccessful Passes ( Excl Crosses & Corners ),Unsuccessful Crosses & Corners,Starts,Successful Lay-offs,Recoveries,Backward Passes,Throw Ins to Own Player,Unsuccessful Passes Own Half,Total Passes,Yellow Cards,Successful Passes Opposition Half,Goals Conceded,Unsuccessful Passes Opposition Half,Ground Duels won,Times Tackled,Aerial Duels lost,Unsuccessful Long Passes,Total Touches In Opposition Box,Winning Goal,Interceptions,Blocks,Goals,Goals from Inside Box,Substitute On,Tackles Lost,Shots Off Target (inc woodwork),Headed Goals,Home Goals,Away Goals,Goals from Outside Box,Right Foot Goals,Goals Openplay,Successful Launches,Goal Assists,Assists (Intentional),Overruns,Corners Taken (incl short corners),Unsuccessful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,PutThrough/Blocked Distribution Won,Attempts from Set Pieces,Goal Kicks,GK Successful Distribution,Unsuccessful lay-offs,Other Goals,Successful Corners into Box,Throw Ins to Opposition Player,Punches,Saves Made from Inside Box,Saves made - parried,GK Unsuccessful Distribution,Saves Made,Saves Made from Outside Box,Catches,Foul Won Penalty,Penalty Goals,Penalties Taken,Left Foot Goals,Goalkeeper Smother,Penalties Conceded,Penalty Goals Conceded,Straight Red Cards,Through balls,Total Red Cards,Clearances Off the Line,Set Pieces Goals,Last Player Tackle,Hit Woodwork,Penalties Saved,Saves from Penalty,Penalties Faced,Clean Sheets,Saves made - caught,Second Goal Assists,Drops,Own Goal Scored,Red Cards - 2nd Yellow,Penalties Off Target,Crosses not Claimed
USA_USL_Cup,2025,South Georgia Tormenta FC,dhjr58r7ml7lp5nl01dz1j6s4,J. Kasanzu,Defender,26,2.0,2.0,18.0,1.0,6.0,3.0,,68.0,,1.0,1.0,10.0,10.0,3.0,1.0,20.0,14.0,250.0,1.0,89.0,4.0,8.0,7.0,30.0,1.0,5.0,,106.0,138.0,89.0,14.0,,47.0,,4.0,75.0,23.0,,1.0,14.0,3.0,,3.0,3.0,18.0,,3.0,,10.0,7.0,,4.0,107.0,1.0,21.0,4.0,14.0,7.0,1.0,3.0,15.0,1.0,0.0,4.0,,,,,2.0,1.0,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,1pv6xhgaeshfrhzenz7y14glw,T. Nare,Defender,4,1.0,,1.0,,2.0,2.0,,35.0,,,,,10.0,,,4.0,1.0,95.0,,39.0,,1.0,,12.0,,,,43.0,57.0,41.0,6.0,,13.0,,1.0,40.0,16.0,,,1.0,,,2.0,2.0,4.0,,1.0,,2.0,4.0,1.0,1.0,45.0,,6.0,2.0,3.0,1.0,,,4.0,,0.0,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,7ofdnarha4k4b8nggld7gxnqi,J. Nyandjo,Forward,11,1.0,1.0,29.0,5.0,,3.0,1.0,19.0,1.0,,5.0,13.0,10.0,12.0,2.0,35.0,3.0,192.0,3.0,36.0,6.0,16.0,10.0,5.0,4.0,1.0,1.0,49.0,100.0,37.0,,2.0,15.0,3.0,1.0,34.0,14.0,3.0,,23.0,4.0,8.0,4.0,4.0,13.0,1.0,2.0,2.0,10.0,16.0,,4.0,50.0,,20.0,3.0,10.0,13.0,9.0,3.0,1.0,13.0,0.0,2.0,,,,2.0,,3.0,,,,,,,,2.0,2.0,1.0,,,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,amox10k225ryauu7wvsnn5q1g,F. O'Brien,Defender,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,1fs7rq391ssjoyodqa5b9xyax,A. Pack,Goalkeeper,1,,,,,6.0,2.0,,27.0,,,,,10.0,1.0,,17.0,9.0,90.0,,19.0,,,,13.0,,,,29.0,55.0,29.0,,,23.0,,,20.0,10.0,,,,,,1.0,1.0,17.0,,1.0,,9.0,,,3.0,46.0,1.0,2.0,2.0,14.0,,,,16.0,,0.0,,,,,,,,,,,,,,1.0,,,,,,,,,,12.0,13.0,,,,,,3.0,1.0,3.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,cpbyoj822ivx6qrqbkun1zr3d,A. Prepeliţă,Defender,5,2.0,,8.0,,3.0,1.0,,24.0,,,,2.0,10.0,3.0,,6.0,3.0,90.0,4.0,28.0,6.0,6.0,,5.0,,,,34.0,49.0,31.0,7.0,,15.0,,,28.0,16.0,,,2.0,2.0,,1.0,1.0,6.0,,1.0,,1.0,1.0,,1.0,37.0,,7.0,1.0,5.0,2.0,,2.0,3.0,,0.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,ey3cije9wci4nh0sxgq922zh0,M. Rasheed,Defender,23,,,4.0,,,1.0,,10.0,,,,2.0,10.0,1.0,,2.0,1.0,90.0,2.0,15.0,4.0,2.0,,2.0,,,,16.0,26.0,15.0,5.0,,13.0,,,14.0,2.0,,,,,,1.0,1.0,2.0,,1.0,,1.0,,,1.0,17.0,,5.0,1.0,1.0,,,2.0,1.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,dx6mkd6ilcucwm3rajk29j59m,N. Reid-Stephen,Forward,7,,,33.0,11.0,1.0,5.0,,19.0,,1.0,6.0,18.0,10.0,10.0,,30.0,2.0,289.0,4.0,54.0,12.0,15.0,10.0,17.0,2.0,1.0,3.0,65.0,121.0,56.0,1.0,7.0,7.0,2.0,,54.0,16.0,9.0,,21.0,5.0,6.0,4.0,4.0,11.0,3.0,3.0,1.0,9.0,27.0,,2.0,67.0,,38.0,6.0,12.0,11.0,9.0,8.0,1.0,17.0,0.0,4.0,,1.0,1.0,1.0,,4.0,,1.0,0.0,,,1.0,,1.0,1.0,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,f3qlyu81youfsj813s7bbinzd,C. Stretch,Defender,6,3.0,,19.0,,3.0,6.0,,52.0,,1.0,1.0,13.0,10.0,5.0,,19.0,8.0,219.0,6.0,64.0,12.0,6.0,7.0,15.0,,2.0,,79.0,110.0,66.0,15.0,,41.0,1.0,,58.0,12.0,1.0,,7.0,,,4.0,4.0,15.0,,2.0,,9.0,13.0,,6.0,81.0,1.0,14.0,7.0,9.0,,3.0,6.0,10.0,,0.0,2.0,1.0,,,2.0,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,6wegwy35lbahzmf41vhljn9ck,M. Tunbridge,Midfielder,16,2.0,3.0,32.0,8.0,4.0,4.0,2.0,20.0,,1.0,8.0,13.0,10.0,12.0,3.0,42.0,4.0,202.0,1.0,45.0,2.0,19.0,12.0,17.0,4.0,3.0,6.0,67.0,126.0,50.0,,6.0,30.0,,4.0,46.0,6.0,5.0,1.0,30.0,4.0,10.0,4.0,4.0,22.0,8.0,3.0,3.0,17.0,19.0,,4.0,72.0,,31.0,5.0,26.0,18.0,8.0,1.0,10.0,11.0,1.0,1.0,,3.0,3.0,1.0,1.0,2.0,,2.0,1.0,,1.0,2.0,,,,,5.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,3phn757ls3kfjmbq5eknf6jca,S. Vivas,Forward,9,5.0,3.0,33.0,8.0,1.0,2.0,1.0,10.0,,,1.0,16.0,10.0,5.0,3.0,18.0,4.0,254.0,7.0,40.0,10.0,17.0,13.0,17.0,2.0,5.0,,47.0,87.0,42.0,1.0,4.0,10.0,,4.0,38.0,12.0,3.0,3.0,23.0,4.0,2.0,4.0,4.0,7.0,,3.0,4.0,11.0,10.0,,2.0,49.0,1.0,32.0,2.0,5.0,10.0,6.0,3.0,2.0,10.0,0.0,1.0,,2.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,,,2.0,,1.0,1.0,,,,,,3.0,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,
USA_USL_Cup,2025,South Georgia Tormenta FC,3uyvzfylq1i5xnl6i90uap6uh,A. Walker,Midfielder,28,3.0,,16.0,1.0,2.0,2.0,1.0,17.0,,,,7.0,10.0,4.0,,8.0,5.0,79.0,2.0,37.0,7.0,9.0,2.0,12.0,,,,43.0,60.0,38.0,,,9.0,,2.0,33.0,13.0,1.0,,9.0,4.0,1.0,4.0,4.0,6.0,,,1.0,3.0,10.0,,4.0,44.0,,21.0,2.0,2.0,7.0,,5.0,2.0,1.0,0.0,,,,,4.0,2.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
