liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Foul Won Penalty,Games Played,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Headed Goals,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalties Taken,Penalty Goals,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Blocks,Interceptions,Penalties Conceded,Successful Launches,Unsuccessful Launches,Corners Taken (incl short corners),Hit Woodwork,Successful Corners into Box,Through balls,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Offsides,Total Big Chances Missed,Unsuccessful lay-offs,Attempts from Set Pieces,Left Foot Goals,Clean Sheets,GK Successful Distribution,Goal Kicks,Catches,Drops,GK Unsuccessful Distribution,Penalties Faced,Saves Made,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Overruns,Straight Red Cards,Total Red Cards,Punches,Saves Made from Inside Box,Total Big Chances Saved,Clearances Off the Line,Last Player Tackle,Goalkeeper Smother,Penalties Saved,Saves from Penalty,Own Goal Scored,Second Goal Assists,Crosses not Claimed,Red Cards - 2nd Yellow,Direct Corner Goals,Direct Setpiece Goals,Set Pieces Goals
USA_USL_League_One,2026,Antelope Valley Alta FC,jur37jjs6esvj9ed495h4npw,A. Aoumaich,Forward,18,11.0,8.0,3.0,7.0,49.0,5.0,69.0,3.0,68.0,38.0,30.0,138.0,31.0,6.0,1.0,7.0,3.0,10.0,7.0,3.0,2.0,2.0,1.0,57.0,30.0,27.0,1.0,1.0,9.0,4.0,158.0,1.0,1.0,2.0,35.0,4.0,3.0,11.0,2.0,75.0,9.0,2.0,4.0,6.0,6.0,1.0,2.0,2.0,9.0,3.0,7.0,130.0,87.0,46.0,124.0,1.0,6.0,1.0,6.0,472.0,16.0,1.0,2.0,3.0,13.0,11.0,64.0,159.0,6.0,131.0,7.0,24.0,28.0,256.0,6.0,6.0,9.0,8.0,32.0,2.0,20.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,d2y1o7r8e3133yypb72op14ic,M. Alassane,Midfielder,5,10.0,5.0,5.0,8.0,39.0,,57.0,1.0,67.0,29.0,38.0,46.0,118.0,5.0,,8.0,,9.0,6.0,3.0,,,,57.0,24.0,33.0,,,3.0,93.0,323.0,,,1.0,24.0,8.0,7.0,37.0,,76.0,3.0,1.0,,7.0,4.0,1.0,,,4.0,5.0,18.0,283.0,139.0,147.0,268.0,5.0,10.0,5.0,10.0,567.0,5.0,1.0,,9.0,12.0,15.0,60.0,326.0,1.0,286.0,15.0,3.0,40.0,426.0,1.0,1.0,3.0,15.0,25.0,16.0,25.0,,,,0.0,4.0,9.0,1.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,d9h35wh77rn8rr46b5i3ctedw,A. Ortiz,Defender,3,3.0,2.0,1.0,6.0,64.0,,101.0,4.0,22.0,11.0,11.0,105.0,178.0,1.0,,6.0,,11.0,9.0,2.0,,,,19.0,9.0,10.0,,,6.0,53.0,395.0,,,2.0,56.0,6.0,3.0,29.0,,117.0,6.0,,1.0,5.0,,1.0,3.0,2.0,,1.0,29.0,360.0,213.0,166.0,347.0,1.0,3.0,1.0,29.0,471.0,2.0,1.0,,8.0,4.0,6.0,63.0,412.0,1.0,376.0,4.0,3.0,36.0,507.0,17.0,9.0,1.0,26.0,43.0,10.0,10.0,,,,0.0,,5.0,,6.0,7.0,16.0,1.0,1.0,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,1vqkrt63dzacj168tijew9je2,C. Anderson,Forward,19,14.0,9.0,5.0,7.0,20.0,1.0,20.0,2.0,38.0,22.0,16.0,61.0,8.0,3.0,,7.0,1.0,8.0,7.0,1.0,1.0,1.0,,24.0,13.0,11.0,1.0,,3.0,14.0,57.0,,,2.0,13.0,5.0,2.0,13.0,1.0,16.0,4.0,4.0,5.0,5.0,5.0,2.0,1.0,1.0,2.0,7.0,1.0,42.0,34.0,10.0,42.0,1.0,2.0,,1.0,467.0,4.0,1.0,1.0,5.0,8.0,6.0,32.0,58.0,9.0,43.0,3.0,21.0,15.0,120.0,1.0,1.0,2.0,1.0,13.0,3.0,14.0,1.0,1.0,0.0,0.0,,5.0,,1.0,,,,,,,1.0,1.0,4.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,cfu41iigtl9ecf4g90qev2d5g,G. Antwi,Forward,20,10.0,7.0,3.0,8.0,55.0,1.0,79.0,5.0,61.0,35.0,26.0,134.0,23.0,2.0,1.0,8.0,1.0,6.0,4.0,2.0,1.0,,1.0,51.0,28.0,23.0,1.0,,3.0,43.0,127.0,,,,40.0,6.0,2.0,12.0,,7.0,3.0,5.0,7.0,4.0,4.0,4.0,1.0,1.0,8.0,,5.0,103.0,69.0,36.0,99.0,2.0,4.0,,4.0,350.0,17.0,1.0,,4.0,4.0,9.0,63.0,128.0,12.0,104.0,6.0,15.0,24.0,226.0,8.0,8.0,14.0,4.0,30.0,2.0,20.0,1.0,1.0,0.0,0.0,,4.0,,2.0,3.0,1.0,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,8w2q97y62qno1rpt7mr9ghx5g,C. Bahena,Midfielder,99,6.0,4.0,2.0,8.0,52.0,7.0,79.0,4.0,43.0,22.0,21.0,153.0,46.0,3.0,,8.0,,6.0,5.0,1.0,,,,37.0,18.0,19.0,,,10.0,59.0,203.0,,,2.0,33.0,4.0,2.0,18.0,,51.0,12.0,5.0,3.0,5.0,3.0,3.0,7.0,7.0,6.0,6.0,13.0,171.0,127.0,56.0,163.0,,4.0,,4.0,445.0,8.0,2.0,,3.0,3.0,9.0,73.0,208.0,8.0,176.0,4.0,19.0,32.0,307.0,21.0,13.0,5.0,10.0,48.0,5.0,22.0,,,,0.0,,2.0,,,1.0,5.0,2.0,,,5.0,2.0,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,8x1m9jmypxtxezmzbc5t9zfh0,E. Ceja Gonzalez,Defender,16,4.0,3.0,1.0,2.0,3.0,,,,7.0,4.0,3.0,5.0,39.0,,,2.0,,1.0,,1.0,,,,3.0,1.0,2.0,,,1.0,16.0,86.0,,,,,,,1.0,,34.0,1.0,,,1.0,,1.0,,,,,3.0,81.0,22.0,65.0,84.0,,,,1.0,135.0,,,,10.0,1.0,2.0,5.0,92.0,,87.0,,2.0,5.0,110.0,,,,4.0,4.0,1.0,1.0,,,,0.0,2.0,,,,2.0,,,,,,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,2p6g2orqpma171l31joi9vdas,J. Desdunes,Forward,7,14.0,10.0,4.0,7.0,103.0,5.0,114.0,6.0,83.0,35.0,48.0,254.0,78.0,1.0,1.0,7.0,4.0,12.0,9.0,3.0,2.0,4.0,,69.0,25.0,44.0,,,20.0,50.0,294.0,2.0,2.0,2.0,46.0,6.0,4.0,32.0,3.0,98.0,20.0,10.0,10.0,7.0,1.0,,5.0,2.0,13.0,6.0,25.0,253.0,198.0,89.0,257.0,2.0,7.0,1.0,5.0,603.0,19.0,1.0,3.0,4.0,4.0,23.0,119.0,329.0,20.0,282.0,9.0,24.0,47.0,501.0,18.0,7.0,11.0,19.0,55.0,10.0,28.0,1.0,3.0,1.0,1.0,,4.0,,4.0,8.0,14.0,,2.0,1.0,6.0,,,1.0,,2.0,6.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,32fghx5a0volzlf34tov0fkdl,D. Doumbia,Goalkeeper,27,2.0,,2.0,2.0,,,5.0,,3.0,,3.0,,12.0,,,2.0,,2.0,2.0,,,,,1.0,,1.0,,,,16.0,19.0,,,1.0,,,,8.0,,7.0,,,,1.0,,1.0,,,,,5.0,16.0,5.0,24.0,24.0,,,,,91.0,,,,3.0,,1.0,6.0,35.0,,29.0,,,6.0,49.0,,,,6.0,5.0,1.0,,,,,0.0,,,,2.0,4.0,,,,,,,,,,,,,,14.0,11.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Antelope Valley Alta FC,8inlhs4q425he037a0ofs73mc,J. Garcia,Midfielder,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
