liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Assists (Intentional),Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Taken (incl short corners),Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Overruns,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Substitute On,Yellow Cards,Attempts from Set Pieces,Clearances Off the Line,GK Successful Distribution,Goal Kicks,Successful Launches,Total Big Chances Saved,Penalties Conceded,Second Goal Assists,Goals,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Right Foot Goals,Home Goals,Away Goals,Unsuccessful lay-offs,Last Player Tackle,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Hit Woodwork,Total Big Chances Scored,Left Foot Goals,Direct Setpiece Goals,Set Pieces Goals,Headed Goals,Penalty Goals Conceded,Straight Red Cards,Total Red Cards,Own Goal Scored,Other Goals,Penalties Taken,Penalty Goals,Foul Won Penalty,Saves made - caught,Red Cards - 2nd Yellow,Penalties Saved,Saves from Penalty,Penalties Off Target
USA_MLS,2026,FC Dallas,14sld3djevxpcce9co1aqxn9w,N. Norris,Defender,32,38.0,16.0,22.0,11.0,,35.0,,6.0,50.0,1.0,,,90.0,42.0,48.0,46.0,205.0,11.0,11.0,,16.0,14.0,2.0,52.0,26.0,26.0,,19.0,2.0,40.0,1.0,405.0,,21.0,17.0,12.0,53.0,136.0,2.0,,2.0,10.0,2.0,,1.0,1.0,2.0,,31.0,331.0,131.0,211.0,310.0,4.0,14.0,,6.0,24.0,874.0,1.0,,,61.0,17.0,6.0,93.0,416.0,2.0,341.0,18.0,3.0,75.0,608.0,,6.0,6.0,,17.0,39.0,66.0,15.0,36.0,0.0,1.0,4.0,,,,,4.0,,,1.0,1.0,,1.0,,,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,1f5ntffff4f1mkskocxgjnd1x,Ramiro,Midfielder,17,23.0,12.0,11.0,13.0,1.0,46.0,2.0,4.0,79.0,1.0,,2.0,62.0,34.0,28.0,130.0,229.0,4.0,13.0,1.0,17.0,14.0,3.0,39.0,22.0,17.0,1.0,14.0,7.0,131.0,,526.0,,28.0,16.0,13.0,50.0,130.0,8.0,4.0,1.0,11.0,6.0,,2.0,2.0,1.0,13.0,18.0,421.0,247.0,186.0,413.0,6.0,5.0,2.0,,8.0,911.0,6.0,1.0,,20.0,8.0,6.0,124.0,536.0,5.0,431.0,11.0,6.0,105.0,673.0,,2.0,2.0,3.0,9.0,20.0,74.0,33.0,85.0,0.0,2.0,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,hxh513onkfd42kp8tfv24l7u,S. Sarver,Forward,28,4.0,3.0,1.0,9.0,,12.0,2.0,1.0,20.0,,,2.0,35.0,19.0,16.0,68.0,27.0,3.0,9.0,,3.0,3.0,,31.0,16.0,15.0,,2.0,1.0,22.0,2.0,64.0,2.0,13.0,11.0,4.0,8.0,4.0,1.0,1.0,3.0,1.0,1.0,,3.0,3.0,3.0,1.0,,39.0,30.0,13.0,40.0,1.0,5.0,,,3.0,182.0,6.0,1.0,,3.0,5.0,6.0,48.0,65.0,4.0,40.0,6.0,11.0,25.0,138.0,,7.0,7.0,3.0,,1.0,24.0,8.0,24.0,1.0,8.0,3.0,,1.0,,,,,,,3.0,3.0,3.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,628cppu58gng7hfq0s5nh9vro,N. Simmonds,Forward,16,8.0,5.0,3.0,3.0,,11.0,,,6.0,,,,14.0,10.0,4.0,24.0,2.0,1.0,3.0,,2.0,2.0,,6.0,5.0,1.0,,,2.0,7.0,1.0,21.0,,3.0,,,,3.0,2.0,,2.0,1.0,,,,,,1.0,,18.0,13.0,7.0,20.0,,,,,,99.0,3.0,,,,2.0,1.0,9.0,23.0,2.0,20.0,,3.0,3.0,38.0,,1.0,1.0,1.0,,,4.0,,3.0,0.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,771ibrtevbxi05tgsof9r5gmi,J. Sirois,Goalkeeper,40,,,,1.0,,,,,2.0,,,,1.0,,1.0,,23.0,,1.0,,2.0,2.0,,1.0,,1.0,,,,2.0,,13.0,,,,,8.0,4.0,,,,1.0,,,,,,,8.0,10.0,6.0,11.0,9.0,,,,,,90.0,,,,1.0,,1.0,12.0,29.0,,17.0,,,12.0,42.0,,,,,5.0,12.0,9.0,3.0,,0.0,,,,,11.0,11.0,2.0,1.0,,,,,,,,,,,,,,,6.0,,1.0,,5.0,4.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,
USA_MLS,2026,FC Dallas,en28atw9jw5brcekieamdekus,C. Swann,Midfielder,27,1.0,1.0,,1.0,,2.0,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,3.0,2.0,1.0,3.0,,,,,,1.0,,,,,,,,3.0,,3.0,,,,3.0,,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,1rknkp6cfxg6powoea2tttoiy,B. Thompson,Goalkeeper,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,2q5uthbro2tytgf7h8te281zo,J. Torquato,Defender,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,ew1thxs8j5mwwqh075kzsjq0a,O. Urhoghide,Defender,3,61.0,17.0,44.0,12.0,1.0,15.0,1.0,4.0,105.0,3.0,,1.0,122.0,42.0,80.0,36.0,155.0,6.0,12.0,1.0,16.0,12.0,4.0,61.0,25.0,36.0,,21.0,3.0,156.0,1.0,443.0,,45.0,20.0,14.0,51.0,129.0,4.0,5.0,2.0,12.0,1.0,,,,5.0,,23.0,397.0,149.0,260.0,386.0,4.0,11.0,,1.0,,1079.0,9.0,,2.0,91.0,14.0,17.0,67.0,455.0,7.0,409.0,15.0,17.0,46.0,694.0,,,,3.0,7.0,17.0,29.0,17.0,29.0,0.0,,4.0,,,2.0,2.0,4.0,,1.0,,1.0,,1.0,,,0.0,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,
USA_MLS,2026,FC Dallas,i33blsd4hx2pn05wx0qfpw5w,J. Valiente,Midfielder,21,11.0,9.0,2.0,13.0,2.0,67.0,5.0,,78.0,,27.0,7.0,67.0,41.0,26.0,223.0,76.0,2.0,13.0,2.0,12.0,10.0,2.0,56.0,32.0,24.0,,3.0,17.0,120.0,3.0,295.0,4.0,35.0,19.0,12.0,30.0,46.0,19.0,4.0,2.0,8.0,6.0,3.0,8.0,3.0,4.0,7.0,9.0,239.0,184.0,71.0,238.0,3.0,14.0,1.0,,1.0,773.0,15.0,3.0,1.0,2.0,3.0,3.0,133.0,309.0,6.0,247.0,17.0,24.0,62.0,470.0,18.0,31.0,11.0,8.0,2.0,11.0,80.0,13.0,51.0,0.0,5.0,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
USA_MLS,2026,FC Dallas,3yq4r71t35nyadxbpsku9eyac,Álvaro Augusto,Defender,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
