temporada,link,liga_url,cod_liga,folder
2026,https://www.scoresway.com/en_GB/soccer/usl-championship-2026/cbkjk31sv9wm38ljg3vxhtus4/fixtures,usl-championship-2026,cbkjk31sv9wm38ljg3vxhtus4,USA_USL_Championship
2025,https://www.scoresway.com/en_GB/soccer/usl-championship-2025/8hdq5pmnb4m3p9t24ytwgjitw/fixtures,usl-championship-2025,8hdq5pmnb4m3p9t24ytwgjitw,USA_USL_Championship
2024,https://www.scoresway.com/en_GB/soccer/usl-championship-2024/9b65qkln369bt9wde6c56vo5w/results,usl-championship-2024,9b65qkln369bt9wde6c56vo5w,USA_USL_Championship
2023,https://www.scoresway.com/en_GB/soccer/usl-championship-2023/8d7cvsipt9c6mgkshf4iv6o0k/results,usl-championship-2023,8d7cvsipt9c6mgkshf4iv6o0k,USA_USL_Championship
2022,https://www.scoresway.com/en_GB/soccer/usl-championship-2022/9hnaw5icujbf5hjeujmvseas4/results,usl-championship-2022,9hnaw5icujbf5hjeujmvseas4,USA_USL_Championship
2021,https://www.scoresway.com/en_GB/soccer/usl-championship-2021/eehfgeg470baa2jiiomay6h3o/results,usl-championship-2021,eehfgeg470baa2jiiomay6h3o,USA_USL_Championship
2020,https://www.scoresway.com/en_GB/soccer/usl-championship-2020/5vfm0jtsstmsi3wibf8ytzjhm/results,usl-championship-2020,5vfm0jtsstmsi3wibf8ytzjhm,USA_USL_Championship
2019,https://www.scoresway.com/en_GB/soccer/usl-championship-2019/7y908msua7pvw07itgelchu22/results,usl-championship-2019,7y908msua7pvw07itgelchu22,USA_USL_Championship
2018,https://www.scoresway.com/en_GB/soccer/usl-championship-2018/2wn0s8t9vq655sa17guhz3xbe/results,usl-championship-2018,2wn0s8t9vq655sa17guhz3xbe,USA_USL_Championship
2017,https://www.scoresway.com/en_GB/soccer/usl-championship-2017/59tvjnyoumuu2doli7zususq1/results,usl-championship-2017,59tvjnyoumuu2doli7zususq1,USA_USL_Championship
