liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Foul Won Penalty,Games Played,Goals,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Headed Goals,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalties Taken,Penalty Goals,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Scored,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Blocks,Interceptions,Penalties Conceded,Successful Launches,Unsuccessful Launches,Corners Taken (incl short corners),Hit Woodwork,Successful Corners into Box,Through balls,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Offsides,Total Big Chances Missed,Unsuccessful lay-offs,Attempts from Set Pieces,Left Foot Goals,Clean Sheets,GK Successful Distribution,Goal Kicks,Catches,Drops,GK Unsuccessful Distribution,Penalties Faced,Saves Made,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Overruns,Straight Red Cards,Total Red Cards,Punches,Saves Made from Inside Box,Total Big Chances Saved,Clearances Off the Line,Last Player Tackle,Goalkeeper Smother,Penalties Saved,Saves from Penalty,Own Goal Scored,Second Goal Assists,Crosses not Claimed,Red Cards - 2nd Yellow,Direct Corner Goals,Direct Setpiece Goals,Set Pieces Goals
USA_USL_League_One,2026,Richmond Kickers,bkdyfrz2tu9bormhwz3y70x04,A. Aldana Gallegos,Defender,44,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Richmond Kickers,7cwhgbq3ui2w0vfrw22zg92sq,A. Amer,Midfielder,18,6.0,5.0,1.0,7.0,14.0,1.0,31.0,3.0,18.0,12.0,6.0,62.0,48.0,2.0,,7.0,,6.0,6.0,,,,,12.0,7.0,5.0,,,4.0,35.0,133.0,,,1.0,8.0,4.0,2.0,19.0,,41.0,4.0,7.0,1.0,5.0,3.0,2.0,3.0,,,2.0,10.0,102.0,61.0,47.0,95.0,1.0,1.0,,,412.0,1.0,,,2.0,3.0,3.0,57.0,138.0,8.0,105.0,2.0,,33.0,196.0,17.0,4.0,,15.0,45.0,5.0,18.0,1.0,,,0.0,1.0,4.0,,,8.0,12.0,,3.0,,9.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Richmond Kickers,5sjyqe4344kkdx6v15jbb0is4,H. Anderson,Defender,3,20.0,7.0,13.0,7.0,36.0,1.0,58.0,4.0,79.0,39.0,40.0,105.0,96.0,7.0,,7.0,,6.0,6.0,,,,,59.0,32.0,27.0,,,1.0,14.0,188.0,,,1.0,27.0,20.0,10.0,29.0,,47.0,1.0,2.0,,7.0,1.0,,2.0,2.0,1.0,2.0,7.0,128.0,70.0,65.0,126.0,10.0,14.0,30.0,51.0,621.0,13.0,,,19.0,11.0,2.0,122.0,193.0,2.0,133.0,24.0,8.0,60.0,391.0,9.0,9.0,11.0,23.0,52.0,17.0,37.0,1.0,,,0.0,3.0,3.0,,1.0,18.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Richmond Kickers,3h4klx76chahvxu5t810fze21,D. Barnathan,Defender,2,18.0,7.0,11.0,7.0,16.0,1.0,44.0,1.0,43.0,16.0,27.0,27.0,104.0,5.0,,7.0,,7.0,7.0,,,,,25.0,9.0,16.0,,,2.0,39.0,182.0,,,1.0,17.0,4.0,1.0,31.0,,44.0,2.0,1.0,1.0,7.0,,,,,1.0,,19.0,123.0,42.0,95.0,118.0,4.0,5.0,,2.0,630.0,3.0,,,31.0,5.0,6.0,77.0,203.0,2.0,137.0,9.0,4.0,66.0,285.0,1.0,1.0,2.0,37.0,50.0,17.0,29.0,2.0,,,0.0,6.0,5.0,,6.0,17.0,,,,,,,,,,,,,2.0,4.0,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
USA_USL_League_One,2026,Richmond Kickers,7xmkuf6t0h8n9dirv85jx25n8,J. Erlandson,Defender,24,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Richmond Kickers,e1jyf71bxxp4zr4d0a04fjxt5,D. Espinal,Forward,19,8.0,5.0,3.0,6.0,31.0,2.0,70.0,3.0,48.0,30.0,18.0,76.0,52.0,6.0,,6.0,1.0,4.0,4.0,,1.0,,1.0,40.0,25.0,15.0,1.0,,5.0,17.0,139.0,,,,36.0,9.0,5.0,22.0,1.0,42.0,6.0,2.0,4.0,5.0,4.0,1.0,,,6.0,8.0,7.0,101.0,71.0,33.0,97.0,2.0,1.0,,5.0,428.0,13.0,1.0,,1.0,9.0,6.0,69.0,142.0,6.0,104.0,3.0,6.0,38.0,218.0,1.0,1.0,5.0,7.0,31.0,8.0,31.0,1.0,1.0,0.0,0.0,1.0,4.0,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Richmond Kickers,donr4l8zz4x3who55mji62dwp,Y. Fillion,Goalkeeper,1,1.0,,1.0,7.0,,,20.0,,1.0,,1.0,,161.0,,,7.0,,7.0,7.0,,,,,,,,,,,19.0,72.0,,,1.0,7.0,,,51.0,,18.0,,,,7.0,,,,,,,38.0,35.0,33.0,45.0,40.0,,,,,630.0,,,,10.0,,,124.0,198.0,,78.0,,,120.0,262.0,,,,120.0,112.0,8.0,,2.0,,,0.0,,,,14.0,55.0,,,,,,,,,,,,,2.0,39.0,68.0,10.0,,42.0,1.0,26.0,12.0,,13.0,,,,5.0,14.0,3.0,,,1.0,,,,,,,,,
USA_USL_League_One,2026,Richmond Kickers,1x89wne2srx1dupb7vt5gf3ai,T. Freeman,Forward,23,5.0,4.0,1.0,2.0,7.0,,8.0,,14.0,9.0,5.0,24.0,8.0,,,2.0,,2.0,2.0,,,,,9.0,5.0,4.0,,,3.0,1.0,14.0,,,1.0,5.0,1.0,,3.0,,,3.0,1.0,,2.0,2.0,,4.0,,1.0,,,9.0,12.0,3.0,11.0,,1.0,,,101.0,4.0,,,1.0,1.0,2.0,16.0,16.0,1.0,11.0,1.0,3.0,5.0,39.0,2.0,,3.0,1.0,6.0,1.0,4.0,,,,0.0,,,,,1.0,5.0,,3.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2026,Richmond Kickers,f003m28ypvpm2b2kiwgxzvrx0,B. Howell,Defender,34,4.0,2.0,2.0,4.0,4.0,,13.0,,16.0,6.0,10.0,7.0,16.0,1.0,,4.0,,4.0,4.0,,,,,12.0,4.0,8.0,,,1.0,5.0,36.0,,,,7.0,1.0,,2.0,,13.0,1.0,,,1.0,,3.0,1.0,1.0,2.0,,1.0,28.0,11.0,20.0,29.0,1.0,2.0,,1.0,129.0,2.0,,,6.0,2.0,3.0,13.0,38.0,,30.0,3.0,1.0,8.0,65.0,3.0,3.0,,5.0,7.0,4.0,3.0,,,,0.0,1.0,1.0,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
USA_USL_League_One,2026,Richmond Kickers,873vix8k05fstj7ttt2qf0fmc,L. Johnson,Forward,7,5.0,5.0,,5.0,4.0,1.0,10.0,2.0,19.0,13.0,6.0,21.0,8.0,5.0,,5.0,1.0,1.0,1.0,,1.0,1.0,,14.0,8.0,6.0,,,,10.0,25.0,,,1.0,5.0,4.0,3.0,5.0,,3.0,,1.0,1.0,1.0,,4.0,,,1.0,,,13.0,9.0,4.0,13.0,1.0,2.0,,,160.0,2.0,,1.0,1.0,6.0,2.0,16.0,25.0,2.0,13.0,3.0,2.0,12.0,49.0,,,,,10.0,2.0,12.0,,0.0,1.0,0.0,2.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
