liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Tackles Won,Unsuccessful Launches,Successful Long Passes,Recoveries,Aerial Duels lost,Successful Open Play Passes,Successful Passes Own Half,Total Passes,Total Clearances,Total Losses Of Possession,Unsuccessful Passes Own Half,Backward Passes,Duels lost,Goals Conceded Inside Box,Aerial Duels won,Duels won,Key Passes (Attempt Assists),Throw Ins to Own Player,Successful Launches,Touches,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels,Goals Conceded,Substitute Off,Successful Passes Opposition Half,Throw Ins to Opposition Player,Unsuccessful Short Passes,Goals Conceded Outside Box,Forward Passes,Unsuccessful Crosses open play,Leftside Passes,Foul Attempted Tackle,Index,Starts,Total Fouls Conceded,Ground Duels won,Unsuccessful Passes Opposition Half,Aerial Duels,Appearances,Unsuccessful Long Passes,Open Play Passes,Interceptions,Unsuccessful Crosses & Corners,Total Successful Passes ( Excl Crosses & Corners ) ,Ground Duels lost,Successful Short Passes,Rightside Passes,Time Played,Tackles Lost,Total Tackles,Ground Duels,Winning Goal,Times Tackled,Blocks,Substitute On,Unsuccessful lay-offs,Shots Off Target (inc woodwork),Clean Sheets,PutThrough/Blocked Distribution,Blocked Shots,Overruns,Successful Dribbles,Through balls,Total Touches In Opposition Box,Penalty Goals Conceded,PutThrough/Blocked Distribution Won,Handballs conceded,Unsuccessful Dribbles,Corners Taken (incl short corners),Successful Crosses & Corners,Yellow Cards,Total Shots,Corners Won,Total Fouls Won,Successful Lay-offs,Shots On Target ( inc goals ),Successful Crosses open play,Offsides,Unsuccessful Corners into Box,Penalties Conceded,Goals,Goals from Outside Box,Left Foot Goals,Home Goals,Away Goals,Penalties Taken,Goals from Inside Box,Headed Goals,Attempts from Set Pieces,Straight Red Cards,Total Red Cards,Assists (Intentional),Goal Assists,Right Foot Goals,Successful Corners into Box,Set Pieces Goals,Second Goal Assists,Hit Woodwork,Penalty Goals,Clearances Off the Line,Red Cards - 2nd Yellow,Foul Won Penalty,Saves from Penalty,GK Unsuccessful Distribution,Punches,Saves Made from Inside Box,Penalties Saved,Saves Made from Outside Box,Penalties Faced,Saves made - parried,Own Goal Scored,Goal Kicks,Saves Made,Saves made - caught,GK Successful Distribution,Last Player Tackle,Goalkeeper Smother,Catches,Penalties Off Target,Crosses not Claimed,Drops,Other Goals
Mexico_Liga_MX,2019-2020,Atlas FC,4g9ph2w0thush0notzdhkq1ka,J. Pérez,Forward,211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,a1ootdgvyfcn6u2tdmnts68ve,I. Reyes,Midfielder,187,1.0,,,1.0,,,12.0,5.0,14.0,,2.0,,3.0,,,,,,,,15.0,2.0,,,,7.0,,2.0,,3.0,,5.0,,10.0,,,,2.0,,1.0,,14.0,1.0,,12.0,,11.0,3.0,9.0,,,,0.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,mw8f3n0hwancpspwqgfl6fh1,L. Reyes,Midfielder,21,17.0,25.0,4.0,46.0,96.0,12.0,666.0,355.0,762.0,13.0,93.0,22.0,95.0,72.0,21.0,17.0,76.0,9.0,3.0,1.0,934.0,67.0,148.0,26.0,,340.0,,56.0,5.0,221.0,,222.0,16.0,10.0,16.0,31.0,59.0,45.0,29.0,17.0,11.0,733.0,10.0,,695.0,60.0,649.0,224.0,1468.0,9.0,34.0,119.0,0.0,7.0,4.0,1.0,,3.0,3.0,18.0,1.0,1.0,10.0,1.0,1.0,2.0,10.0,,3.0,,,4.0,3.0,,15.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,21051apcxzotsbfnwivngarbp,L. Reyes,Defender,14,17.0,17.0,27.0,18.0,75.0,9.0,341.0,146.0,479.0,23.0,267.0,23.0,106.0,62.0,24.0,7.0,84.0,21.0,84.0,5.0,919.0,120.0,146.0,29.0,2.0,233.0,20.0,68.0,5.0,218.0,46.0,26.0,12.0,10.0,17.0,17.0,77.0,171.0,16.0,17.0,52.0,455.0,22.0,74.0,359.0,53.0,341.0,129.0,1508.0,14.0,31.0,130.0,0.0,29.0,4.0,,,13.0,1.0,29.0,5.0,4.0,13.0,,15.0,3.0,12.0,1.0,19.0,30.0,20.0,1.0,16.0,16.0,33.0,1.0,3.0,13.0,2.0,23.0,,,,,,,,,,4.0,,,5.0,5.0,,7.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,cb2u04rzq9003bsqxl3kcgzpx,É. Rivera,Midfielder,25,5.0,2.0,,,13.0,6.0,42.0,23.0,51.0,3.0,15.0,3.0,17.0,15.0,2.0,2.0,11.0,1.0,,,82.0,9.0,26.0,2.0,1.0,19.0,,9.0,,12.0,,7.0,,10.0,1.0,4.0,9.0,6.0,8.0,5.0,,51.0,2.0,,42.0,9.0,42.0,15.0,134.0,2.0,4.0,18.0,1.0,2.0,1.0,4.0,,1.0,,1.0,,,3.0,,3.0,,1.0,,1.0,,,,2.0,,2.0,1.0,1.0,,,,,1.0,,,1.0,0.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,cexkin0o29ncglurh7l9akgyx,C. Robles,Defender,21,1.0,,,,1.0,,1.0,,3.0,,4.0,1.0,1.0,,,,,,,,5.0,2.0,,,,1.0,2.0,1.0,,2.0,,,,10.0,,,,1.0,,1.0,1.0,3.0,,,1.0,,1.0,,9.0,,,,0.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,ew34ex1in43myj1umh5xcx7md,A. Santamaría,Defender,5,9.0,15.0,5.0,14.0,28.0,10.0,213.0,165.0,253.0,29.0,44.0,11.0,17.0,36.0,3.0,13.0,49.0,1.0,2.0,2.0,361.0,34.0,85.0,7.0,1.0,55.0,,19.0,4.0,102.0,1.0,72.0,8.0,10.0,8.0,17.0,36.0,24.0,23.0,9.0,15.0,245.0,14.0,1.0,219.0,26.0,205.0,62.0,658.0,7.0,22.0,62.0,0.0,4.0,4.0,1.0,,,2.0,1.0,,,3.0,,3.0,,1.0,1.0,2.0,,1.0,5.0,1.0,2.0,11.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,92arh1x057t9cy2cvsiigtgix,J. Segura,Defender,4,10.0,6.0,4.0,24.0,37.0,20.0,282.0,215.0,357.0,37.0,65.0,24.0,13.0,38.0,11.0,23.0,51.0,,1.0,6.0,475.0,57.0,89.0,14.0,1.0,85.0,,33.0,3.0,153.0,,47.0,6.0,10.0,10.0,12.0,28.0,33.0,43.0,10.0,24.0,336.0,14.0,,300.0,18.0,276.0,144.0,879.0,6.0,12.0,46.0,0.0,2.0,10.0,,,1.0,3.0,8.0,,,13.0,,3.0,2.0,6.0,,,,,2.0,2.0,,3.0,,1.0,,1.0,,1.0,1.0,,,1.0,0.0,,1.0,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,a08drrso42apieu7i6g8formx,J. Torres,Forward,20,14.0,7.0,1.0,9.0,45.0,15.0,168.0,68.0,211.0,3.0,117.0,8.0,67.0,66.0,11.0,11.0,70.0,6.0,10.0,,414.0,42.0,136.0,14.0,5.0,105.0,1.0,36.0,3.0,44.0,14.0,27.0,8.0,10.0,10.0,15.0,59.0,49.0,26.0,14.0,6.0,210.0,7.0,15.0,169.0,51.0,160.0,73.0,867.0,4.0,11.0,110.0,0.0,29.0,,4.0,,9.0,4.0,19.0,7.0,4.0,20.0,,19.0,2.0,8.0,,12.0,,4.0,2.0,13.0,5.0,28.0,3.0,4.0,4.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,7ot6emo291avsnjabzt36a9uy,C. Trejo,Forward,24,11.0,6.0,1.0,3.0,19.0,10.0,78.0,22.0,104.0,4.0,62.0,7.0,25.0,36.0,3.0,5.0,32.0,3.0,,1.0,198.0,23.0,68.0,4.0,3.0,60.0,,19.0,1.0,31.0,1.0,24.0,,10.0,4.0,3.0,27.0,17.0,15.0,11.0,4.0,101.0,1.0,1.0,81.0,26.0,78.0,24.0,426.0,5.0,11.0,53.0,0.0,17.0,,7.0,,2.0,1.0,8.0,2.0,3.0,7.0,1.0,17.0,,3.0,,4.0,,1.0,,4.0,3.0,10.0,3.0,2.0,1.0,,,,1.0,,1.0,1.0,0.0,,1.0,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,bsijqtivxx9jbkjsh9c7ixu51,C. Vargas,Goalkeeper,12,18.0,2.0,77.0,144.0,130.0,1.0,182.0,250.0,546.0,13.0,201.0,28.0,,4.0,21.0,6.0,10.0,,,32.0,685.0,200.0,14.0,26.0,,96.0,,2.0,5.0,403.0,,73.0,,10.0,18.0,,4.0,172.0,7.0,18.0,198.0,245.0,,,346.0,3.0,202.0,70.0,1620.0,,2.0,7.0,0.0,,,,,,5.0,3.0,,,1.0,,,2.0,2.0,,,,,3.0,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,76.0,4.0,34.0,3.0,28.0,6.0,25.0,1.0,193.0,62.0,3.0,164.0,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,8k1t7dvtxrozusgv808jgfe21,B. Vázquez,Defender,35,2.0,,1.0,,1.0,6.0,3.0,4.0,6.0,2.0,2.0,,,6.0,4.0,1.0,2.0,,,,10.0,2.0,8.0,4.0,,,,1.0,,4.0,,,,10.0,,1.0,1.0,2.0,7.0,2.0,1.0,5.0,1.0,,4.0,,4.0,2.0,37.0,,,1.0,0.0,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,8oiw6d6y3tzcc58ijwwg0hh49,É. Zaldívar,Midfielder,6,13.0,5.0,3.0,18.0,46.0,9.0,339.0,174.0,394.0,16.0,70.0,9.0,60.0,46.0,11.0,14.0,47.0,1.0,15.0,1.0,512.0,45.0,93.0,13.0,8.0,175.0,1.0,38.0,2.0,129.0,3.0,120.0,11.0,10.0,11.0,14.0,33.0,39.0,23.0,13.0,7.0,384.0,7.0,3.0,349.0,37.0,331.0,85.0,795.0,6.0,11.0,70.0,0.0,13.0,1.0,2.0,,3.0,1.0,7.0,,,6.0,,3.0,2.0,2.0,1.0,2.0,,,3.0,3.0,,16.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2019-2020,Atlas FC,2shqhju5urexuezc5vicaxrrp,R. Álvarez,Midfielder,11,3.0,1.0,,6.0,8.0,1.0,60.0,25.0,72.0,,32.0,1.0,16.0,13.0,1.0,1.0,9.0,4.0,3.0,,118.0,9.0,22.0,3.0,2.0,41.0,,5.0,2.0,17.0,3.0,19.0,1.0,10.0,2.0,2.0,8.0,17.0,2.0,3.0,4.0,69.0,6.0,9.0,63.0,12.0,57.0,20.0,146.0,1.0,2.0,20.0,0.0,7.0,,1.0,,,,1.0,1.0,,1.0,,1.0,,1.0,,5.0,5.0,3.0,,,1.0,5.0,1.0,,1.0,,3.0,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
