liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Crosses open play,Rightside Passes,Penalties Conceded,Blocked Shots,Ground Duels won,Total Shots,Goal Assists,Unsuccessful Crosses open play,Successful Corners into Box,Goals Conceded,Overruns,Foul Attempted Tackle,Clearances Off the Line,Aerial Duels lost,Successful Launches,Goals Conceded Inside Box,Second Goal Assists,Total Losses Of Possession,Yellow Cards,Unsuccessful Corners into Box,Starts,Unsuccessful Passes Own Half,Total Clearances,Corners Taken (incl short corners),Times Tackled,Games Played,Through balls,Successful Lay-offs,PutThrough/Blocked Distribution Won,Unsuccessful Long Passes,Right Foot Goals,Leftside Passes,Penalties Taken,Tackles Won,Successful Short Passes,Successful Long Passes,Blocks,Successful Passes Opposition Half,Backward Passes,Successful Open Play Passes,Index,Penalty Goals Conceded,Total Successful Passes ( Excl Crosses & Corners ) ,Open Play Passes,Attempts from Set Pieces,Corners Won,GK Successful Distribution,Unsuccessful Dribbles,Recoveries,Goals Conceded Outside Box,Throw Ins to Own Player,Offsides,Key Passes (Attempt Assists),Goals from Inside Box,Shots On Target ( inc goals ),Total Tackles,Total Fouls Won,Appearances,Ground Duels lost,Total Unsuccessful Passes ( Excl Crosses & Corners ),Goals from Outside Box,Duels won,Assists (Intentional),Aerial Duels won,Total Fouls Conceded,Duels lost,Unsuccessful Short Passes,Forward Passes,Touches,Aerial Duels,Goals,Interceptions,Penalty Goals,PutThrough/Blocked Distribution,Total Passes,Unsuccessful Passes Opposition Half,Total Touches In Opposition Box,Successful Dribbles,Successful Passes Own Half,Clean Sheets,Unsuccessful Launches,Time Played,Duels,Tackles Lost,Shots Off Target (inc woodwork),Successful Crosses & Corners,Goal Kicks,Handballs conceded,Set Pieces Goals,Ground Duels,Unsuccessful Crosses & Corners,Home Goals,Away Goals,Winning Goal,Saves Made from Outside Box,Goalkeeper Smother,GK Unsuccessful Distribution,Punches,Saves made - parried,Saves Made,Saves Made from Inside Box,Drops,Catches,Penalties Faced,Foul Won Penalty,Headed Goals,Hit Woodwork,Substitute Off,Substitute On,Throw Ins to Opposition Player,Last Player Tackle,Left Foot Goals,Own Goal Scored,Unsuccessful lay-offs,Penalties Saved,Saves made - caught,Saves from Penalty,Total Red Cards,Red Cards - 2nd Yellow,Straight Red Cards,Other Goals,Crosses not Claimed,Penalties Off Target
USA_MLS_Next_Pro,2024,Minnesota United FC II,tc5nl1hz1w06jobp5ckktr3e,J. Adebayo-Smith,Forward,99,5.0,63.0,,7.0,47.0,35.0,1.0,11.0,,41.0,2.0,5.0,1.0,16.0,,35.0,,143.0,2.0,,17.0,7.0,5.0,,30.0,17.0,,10.0,11.0,5.0,3.0,51.0,2.0,8.0,214.0,7.0,3.0,145.0,127.0,175.0,10.0,1.0,221.0,231.0,2.0,12.0,,15.0,33.0,6.0,4.0,9.0,15.0,5.0,14.0,16.0,24.0,17.0,49.0,56.0,,66.0,1.0,19.0,14.0,65.0,51.0,36.0,506.0,35.0,5.0,5.0,2.0,16.0,277.0,60.0,102.0,7.0,81.0,1.0,1.0,1371.0,131.0,8.0,21.0,5.0,,1.0,,96.0,11.0,2.0,3.0,2.0,,,,,,,,,,,3.0,,2.0,6.0,,,,2.0,,5.0,,,,,,,,,
USA_MLS_Next_Pro,2024,Minnesota United FC II,6e688gqc8qzt0h9cutptkcd90,J. Arias,Midfielder,42,3.0,57.0,,,20.0,2.0,1.0,4.0,6.0,15.0,,7.0,,5.0,,12.0,,71.0,2.0,9.0,3.0,8.0,2.0,15.0,5.0,13.0,2.0,,3.0,12.0,,57.0,,6.0,163.0,8.0,1.0,87.0,43.0,169.0,10.0,1.0,171.0,207.0,,2.0,,,19.0,3.0,6.0,,7.0,,1.0,13.0,5.0,13.0,26.0,38.0,,21.0,1.0,1.0,10.0,31.0,26.0,52.0,298.0,6.0,,4.0,,9.0,209.0,45.0,1.0,2.0,93.0,,4.0,438.0,52.0,7.0,1.0,9.0,,,,46.0,15.0,,,0.0,,,,,,,,,,,,,,3.0,10.0,1.0,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Minnesota United FC II,96r1ukc1cr750c1zyk0zntc7o,L. Ayaz,Midfielder,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Minnesota United FC II,58839nfw30jxxroffd3a7q0wk,Hugo Bacharach,Defender,24,,103.0,1.0,2.0,33.0,5.0,1.0,1.0,,16.0,,5.0,,8.0,2.0,15.0,,71.0,,,9.0,23.0,22.0,,3.0,9.0,,,3.0,23.0,,184.0,,14.0,405.0,28.0,4.0,171.0,25.0,423.0,10.0,2.0,433.0,480.0,,1.0,,1.0,51.0,1.0,6.0,,4.0,1.0,2.0,21.0,3.0,9.0,24.0,60.0,,50.0,,17.0,15.0,32.0,37.0,181.0,603.0,25.0,1.0,12.0,,9.0,493.0,38.0,9.0,9.0,262.0,,7.0,661.0,82.0,7.0,3.0,,,,,57.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,1.0,1.0,,,,
USA_MLS_Next_Pro,2024,Minnesota United FC II,1unlspl01ht69hrm9apxt4oic,J. Banks,Forward,43,1.0,21.0,,1.0,7.0,2.0,1.0,,,9.0,1.0,2.0,,11.0,,7.0,,33.0,1.0,,1.0,3.0,,,7.0,12.0,1.0,1.0,4.0,,,17.0,,1.0,54.0,1.0,,38.0,22.0,47.0,10.0,,55.0,61.0,,1.0,,3.0,11.0,2.0,2.0,3.0,4.0,1.0,1.0,1.0,4.0,12.0,9.0,14.0,,10.0,1.0,3.0,2.0,20.0,14.0,9.0,114.0,14.0,1.0,1.0,,8.0,69.0,11.0,14.0,2.0,18.0,,,282.0,30.0,,1.0,1.0,,,,16.0,,0.0,1.0,0.0,,,,,,,,,,,1.0,1.0,,1.0,11.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Minnesota United FC II,7g1lvmpww9jrvojy55zengpw4,A. Bran,Midfielder,25,,32.0,,,9.0,4.0,,4.0,,1.0,,6.0,,3.0,1.0,1.0,,31.0,1.0,,3.0,3.0,,1.0,3.0,3.0,,,4.0,4.0,1.0,33.0,,3.0,99.0,9.0,,55.0,31.0,101.0,10.0,,108.0,118.0,1.0,2.0,,1.0,19.0,,1.0,,2.0,,3.0,6.0,2.0,3.0,10.0,18.0,1.0,11.0,,2.0,8.0,13.0,14.0,30.0,162.0,5.0,1.0,3.0,,7.0,126.0,19.0,1.0,1.0,53.0,1.0,1.0,225.0,24.0,3.0,1.0,,,1.0,1.0,19.0,4.0,1.0,0.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Minnesota United FC II,cit2gf4ogca252eu38z4gntp0,C. Casillas-Lopez,Midfielder,53,,8.0,,,4.0,,,1.0,,3.0,,3.0,,2.0,,2.0,,9.0,,,1.0,1.0,,,1.0,2.0,,1.0,1.0,1.0,,7.0,,1.0,25.0,,,15.0,7.0,24.0,10.0,,25.0,31.0,,,,1.0,5.0,1.0,,,,,,4.0,,2.0,9.0,7.0,,7.0,,3.0,5.0,11.0,6.0,10.0,41.0,5.0,,,,2.0,32.0,7.0,,,10.0,,1.0,91.0,18.0,3.0,,,,,,13.0,1.0,,,0.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Minnesota United FC II,8leht96i9to7hfltr2vsh80lw,J. Cephas,Forward,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Minnesota United FC II,eliciww307c6fs2mg347z1iei,C. Clark,Midfielder,37,,,,,3.0,,,2.0,,,,,,,,,,8.0,,,1.0,1.0,3.0,,3.0,1.0,,,2.0,,,12.0,,1.0,22.0,1.0,,16.0,9.0,23.0,10.0,,23.0,24.0,,,,1.0,1.0,,5.0,,,,,1.0,,1.0,4.0,1.0,,5.0,,2.0,,4.0,1.0,3.0,45.0,2.0,,,,3.0,24.0,2.0,,2.0,7.0,,,45.0,9.0,,,,,,,7.0,2.0,,,0.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
USA_MLS_Next_Pro,2024,Minnesota United FC II,dbc343lsh3l20pi4a4gmd94wk,G. Cruz,Midfielder,45,,21.0,,,16.0,1.0,,,,14.0,,7.0,,5.0,6.0,12.0,,41.0,1.0,,4.0,11.0,13.0,,3.0,8.0,,,5.0,6.0,,90.0,,8.0,169.0,15.0,2.0,54.0,31.0,173.0,10.0,,184.0,200.0,,,,1.0,24.0,2.0,12.0,,,,1.0,11.0,5.0,8.0,13.0,27.0,,22.0,,6.0,9.0,18.0,21.0,69.0,286.0,11.0,,9.0,,6.0,211.0,16.0,1.0,,130.0,1.0,4.0,423.0,40.0,3.0,,,,1.0,,29.0,,,,0.0,,,,,,,,,,,,,,1.0,4.0,2.0,,,,,,,,,,,,,
