root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Total Touches In Opposition Box,Unsuccessful Launches,Ground Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Total Passes,Substitute On,Unsuccessful Crosses & Corners,Open Play Passes,Total Tackles,Goals Conceded,Successful Dribbles,Successful Crosses open play,Index,Successful Open Play Passes,Rightside Passes,Shots On Target ( inc goals ),Time Played,PutThrough/Blocked Distribution Won,Ground Duels won,Throw Ins to Opposition Player,Foul Attempted Tackle,Successful Passes Opposition Half,Total Losses Of Possession,Duels,Times Tackled,Forward Passes,Tackles Lost,Unsuccessful Short Passes,Leftside Passes,Unsuccessful lay-offs,Duels lost,Tackles Won,Touches,Unsuccessful Passes Own Half,Shots Off Target (inc woodwork),Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Shots,Appearances,Total Fouls Won,Starts,Unsuccessful Long Passes,Throw Ins to Own Player,Successful Launches,Unsuccessful Dribbles,PutThrough/Blocked Distribution,Unsuccessful Crosses open play,Hit Woodwork,Goals Conceded Inside Box,Games Played,Duels won,Unsuccessful Passes Opposition Half,Substitute Off,Successful Long Passes,Successful Lay-offs,Total Clearances,Successful Short Passes,Successful Crosses & Corners,Goals Conceded Outside Box,Aerial Duels lost,Aerial Duels won,Recoveries,Ground Duels lost,Aerial Duels,Total Fouls Conceded,Backward Passes,Overruns,Corners Won,Successful Passes Own Half,Winning Goal,Offsides,Red Cards - 2nd Yellow,Total Red Cards,Key Passes (Attempt Assists),Through balls,Goal Kicks,GK Successful Distribution,Interceptions,Yellow Cards,Second Goal Assists,Successful Corners into Box,Corners Taken (incl short corners),Blocked Shots,Handballs conceded,Clean Sheets,Unsuccessful Corners into Box,Goal Assists,Goals,Assists (Intentional),Goals from Inside Box,Penalty Goals,Left Foot Goals,Penalties Taken,Home Goals,Away Goals,Blocks,Attempts from Set Pieces,Foul Won Penalty,Straight Red Cards,Right Foot Goals,Last Player Tackle,Clearances Off the Line,Goals from Outside Box,Headed Goals,Saves made - parried,Saves Made from Outside Box,Saves made - caught,Drops,Catches,Saves Made from Inside Box,Saves Made,GK Unsuccessful Distribution,Crosses not Claimed,Punches,Set Pieces Goals,Goalkeeper Smother,Penalties Conceded,Penalties Saved,Saves from Penalty,Penalties Faced,Penalty Goals Conceded,Other Goals,Own Goal Scored
testeo_ligas_norteamerica,USA_USL_Cup,2024,Chattanooga Red Wolves SC,Chattanooga_Red_Wolves_SC,dh7z6y65k0w1cfo69j83ih91w,T. Bush,Goalkeeper,1,1.0,26.0,1.0,130.0,183.0,1.0,,101.0,,12.0,1.0,,10.0,79.0,36.0,,545.0,,1.0,,,17.0,54.0,3.0,,102.0,,,44.0,,,,266.0,12.0,1.0,53.0,1.0,7.0,,6.0,53.0,,10.0,,,,,12.0,7.0,3.0,41.0,,27.0,,5.0,103.0,,,,2.0,60.0,,2.0,,1.0,,,113.0,0.0,,,,,,52.0,73.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,11.0,14.0,2.0,,3.0,21.0,35.0,13.0,,3.0,,1.0,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Chattanooga Red Wolves SC,Chattanooga_Red_Wolves_SC,9e565ryexasj1efhz4allokd0,C. Carriglitto,Goalkeeper,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Chattanooga Red Wolves SC,Chattanooga_Red_Wolves_SC,coagq01ad3g64sjpmu9u1mg9h,S. Cvetanovic,Forward,50,5.0,,7.0,17.0,19.0,3.0,,15.0,,3.0,3.0,,10.0,13.0,6.0,,87.0,,3.0,,1.0,9.0,5.0,10.0,2.0,3.0,,2.0,5.0,,7.0,,29.0,,1.0,2.0,1.0,4.0,,1.0,,,,2.0,,,,3.0,4.0,3.0,2.0,1.0,,,,17.0,,,3.0,,2.0,4.0,3.0,1.0,5.0,,,8.0,0.0,,,,1.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Chattanooga Red Wolves SC,Chattanooga_Red_Wolves_SC,enuonl3tkl8vdb22aniwls2ui,G. Fernandes,Defender,19,2.0,5.0,35.0,222.0,256.0,,1.0,249.0,8.0,13.0,2.0,,10.0,217.0,45.0,1.0,490.0,5.0,16.0,4.0,7.0,60.0,43.0,51.0,2.0,109.0,2.0,22.0,85.0,,28.0,6.0,337.0,13.0,,34.0,1.0,6.0,6.0,6.0,12.0,14.0,1.0,,8.0,1.0,,12.0,6.0,23.0,22.0,3.0,17.0,1.0,22.0,205.0,,1.0,9.0,7.0,28.0,19.0,16.0,14.0,17.0,1.0,,162.0,0.0,1.0,,,1.0,1.0,,,5.0,6.0,,,,2.0,1.0,,,,,,,,,,,,5.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Chattanooga Red Wolves SC,Chattanooga_Red_Wolves_SC,exaqbz828d475osubrz02u0yy,L. Folla,Defender,5,4.0,16.0,22.0,231.0,282.0,2.0,1.0,274.0,5.0,10.0,,,10.0,223.0,88.0,1.0,588.0,,9.0,,4.0,38.0,58.0,56.0,1.0,111.0,1.0,25.0,65.0,,24.0,4.0,347.0,24.0,,51.0,1.0,8.0,4.0,6.0,26.0,,8.0,,2.0,1.0,,9.0,8.0,32.0,28.0,,27.0,,32.0,204.0,,1.0,11.0,23.0,21.0,13.0,34.0,14.0,18.0,,,193.0,0.0,1.0,1.0,1.0,2.0,,,,1.0,4.0,,,,1.0,1.0,1.0,,,1.0,,1.0,,1.0,,0.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Chattanooga Red Wolves SC,Chattanooga_Red_Wolves_SC,ayd3hhutk6ahrbet7d5jz9vdg,O. Green,Defender,18,1.0,4.0,17.0,122.0,145.0,1.0,2.0,143.0,6.0,8.0,1.0,,10.0,120.0,2.0,,368.0,4.0,10.0,3.0,1.0,51.0,36.0,25.0,4.0,47.0,3.0,16.0,65.0,,10.0,3.0,208.0,9.0,,23.0,,5.0,4.0,4.0,7.0,18.0,,3.0,5.0,2.0,,7.0,5.0,15.0,16.0,,9.0,,10.0,113.0,,1.0,3.0,5.0,11.0,7.0,8.0,1.0,31.0,2.0,,71.0,0.0,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Chattanooga Red Wolves SC,Chattanooga_Red_Wolves_SC,dov7oaa3cfw70ymz6ilnjwp3o,F. Guerrero,Midfielder,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Chattanooga Red Wolves SC,Chattanooga_Red_Wolves_SC,5ok7sc9enrltxss201yo8cciy,O. Gómez Tapia,Midfielder,17,7.0,,14.0,68.0,82.0,,2.0,80.0,2.0,3.0,,,10.0,66.0,24.0,1.0,152.0,4.0,3.0,,5.0,25.0,21.0,22.0,2.0,25.0,1.0,10.0,19.0,,15.0,1.0,107.0,4.0,2.0,14.0,3.0,3.0,1.0,3.0,4.0,,,1.0,5.0,2.0,,3.0,3.0,7.0,12.0,3.0,4.0,,1.0,64.0,,,4.0,4.0,13.0,11.0,8.0,8.0,14.0,,1.0,43.0,0.0,,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Chattanooga Red Wolves SC,Chattanooga_Red_Wolves_SC,e59usmu5w20s5bg44d37f8qcq,O. Hernandez,Midfielder,13,1.0,1.0,27.0,93.0,117.0,2.0,9.0,110.0,7.0,6.0,,,10.0,87.0,32.0,1.0,292.0,5.0,13.0,1.0,1.0,51.0,47.0,30.0,8.0,33.0,2.0,19.0,18.0,,16.0,5.0,175.0,4.0,2.0,24.0,3.0,5.0,6.0,3.0,5.0,1.0,,6.0,11.0,,,6.0,5.0,14.0,29.0,2.0,10.0,2.0,1.0,83.0,3.0,,2.0,1.0,9.0,14.0,3.0,3.0,34.0,,1.0,45.0,0.0,,,1.0,6.0,,,,3.0,1.0,,3.0,6.0,,,,3.0,,1.0,,,,1.0,,0.0,1.0,2.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,
testeo_ligas_norteamerica,USA_USL_Cup,2024,Chattanooga Red Wolves SC,Chattanooga_Red_Wolves_SC,dntorsr8bza6jf3lf99p1r4t0,P. Hernandez,Defender,14,7.0,3.0,46.0,72.0,106.0,,9.0,103.0,10.0,4.0,6.0,,10.0,70.0,12.0,3.0,360.0,3.0,25.0,5.0,5.0,35.0,62.0,52.0,7.0,47.0,2.0,22.0,26.0,,24.0,8.0,216.0,12.0,1.0,34.0,4.0,4.0,9.0,4.0,12.0,27.0,2.0,6.0,5.0,9.0,,4.0,4.0,28.0,31.0,,8.0,3.0,7.0,64.0,,,3.0,3.0,26.0,21.0,6.0,8.0,21.0,1.0,1.0,37.0,0.0,3.0,,,3.0,1.0,,,6.0,1.0,,,,2.0,,1.0,,,1.0,,1.0,,,,0.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
