liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off,Foul Attempted Tackle,Unsuccessful Corners into Box,Successful Passes Own Half,Ground Duels lost,Starts,Unsuccessful Passes Opposition Half,Interceptions,Total Fouls Conceded,Recoveries,Ground Duels,Goals Conceded Inside Box,Unsuccessful Crosses & Corners,Key Passes (Attempt Assists),Appearances,Rightside Passes,Aerial Duels,PutThrough/Blocked Distribution,Total Passes,Index,Successful Launches,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Total Fouls Won,Unsuccessful Launches,Penalties Conceded,Throw Ins to Opposition Player,Unsuccessful Short Passes,Total Touches In Opposition Box,Corners Taken (incl short corners),Duels,Total Unsuccessful Passes ( Excl Crosses & Corners ),Duels won,Total Tackles,Touches,Aerial Duels won,Throw Ins to Own Player,Backward Passes,Successful Open Play Passes,Successful Long Passes,Open Play Passes,Successful Passes Opposition Half,Unsuccessful Long Passes,Ground Duels won,Duels lost,Times Tackled,Time Played,Forward Passes,Aerial Duels lost,PutThrough/Blocked Distribution Won,Successful Dribbles,Unsuccessful Crosses open play,Penalty Goals Conceded,Tackles Lost,Leftside Passes,Unsuccessful Passes Own Half,Goals Conceded,Total Clearances,Tackles Won,Total Losses Of Possession,Winning Goal,Blocks,Shots Off Target (inc woodwork),Successful Crosses & Corners,Successful Corners into Box,Total Shots,Unsuccessful Dribbles,Corners Won,Shots On Target ( inc goals ),Offsides,Saves Made from Inside Box,Catches,Saves Made,Saves made - parried,Penalties Faced,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Punches,Successful Crosses open play,Blocked Shots,Successful Lay-offs,Goals Conceded Outside Box,Attempts from Set Pieces,Right Foot Goals,Clean Sheets,Goals from Inside Box,Home Goals,Away Goals,Overruns,Goal Assists,Assists (Intentional),Hit Woodwork,Through balls,Left Foot Goals,Unsuccessful lay-offs,Saves Made from Outside Box,Headed Goals,Handballs conceded,Own Goal Scored,Goals from Outside Box,Last Player Tackle,Drops,Saves from Penalty,Goalkeeper Smother,Penalties Saved,Second Goal Assists,Foul Won Penalty,Penalty Goals,Penalties Taken,Set Pieces Goals,Saves made - caught,Clearances Off the Line,Crosses not Claimed
Concacaf_Concacaf_Champions_Cup,2025,Seattle Sounders FC,6glxg9gvqn1uc1jmwisnml68l,P. Arriola,Forward,17.0,4.0,2.0,,,,,,4.0,2.0,,46.0,9.0,4.0,24.0,1.0,2.0,15.0,22.0,3.0,5.0,1.0,4.0,55.0,3.0,7.0,120.0,10.0,,94.0,93.0,2.0,2.0,,3.0,23.0,14.0,,25.0,26.0,13.0,8.0,188.0,,8.0,22.0,94.0,1.0,120.0,49.0,3.0,13.0,12.0,6.0,245.0,36.0,3.0,2.0,3.0,5.0,,3.0,7.0,7.0,3.0,6.0,5.0,48.0,1.0,2.0,,1.0,,2.0,2.0,1.0,2.0,1.0,,,,,,,,,,1.0,3.0,1.0,,,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Seattle Sounders FC,3p7l8nat5o6ry2pmm8hgfnmui,J. Atencio,Midfielder,8.0,1.0,,1.0,,,,,1.0,,,23.0,8.0,1.0,4.0,,3.0,7.0,10.0,1.0,,1.0,1.0,13.0,3.0,,54.0,10.0,,47.0,45.0,1.0,,,,6.0,1.0,,13.0,7.0,4.0,,64.0,2.0,,7.0,46.0,2.0,53.0,25.0,1.0,2.0,9.0,3.0,77.0,17.0,1.0,,1.0,,,,17.0,3.0,1.0,,,11.0,0.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Seattle Sounders FC,7mnh4dln104xhunf6u9f2546i,C. Baker,Defender,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Seattle Sounders FC,dneo628ad0z1j9wjiznmlh52h,J. Bell,Defender,15.0,1.0,,,,,,,,1.0,,20.0,2.0,1.0,7.0,,2.0,6.0,4.0,1.0,,,1.0,16.0,8.0,,47.0,10.0,2.0,36.0,32.0,,1.0,,1.0,8.0,,,12.0,11.0,6.0,1.0,59.0,4.0,1.0,2.0,36.0,4.0,47.0,16.0,3.0,2.0,6.0,,90.0,16.0,4.0,,1.0,,,1.0,13.0,4.0,1.0,5.0,,12.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Seattle Sounders FC,bdrs643l8uzj01plxa25wncdm,J. Castro,Goalkeeper,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Seattle Sounders FC,5wttdjpftd57c2t5959sm2yg9,J. Ferreira,Forward,9.0,4.0,,,,,,1.0,3.0,,3.0,25.0,3.0,3.0,28.0,3.0,,11.0,9.0,3.0,9.0,5.0,4.0,23.0,,4.0,110.0,10.0,,88.0,82.0,1.0,,,,19.0,10.0,6.0,9.0,22.0,6.0,3.0,151.0,,1.0,28.0,85.0,6.0,107.0,67.0,3.0,6.0,3.0,1.0,229.0,27.0,,,2.0,5.0,,1.0,32.0,3.0,3.0,2.0,2.0,35.0,0.0,,3.0,4.0,2.0,4.0,,2.0,1.0,,,,,,,,,,,1.0,1.0,4.0,,1.0,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Seattle Sounders FC,27fyf4lu42ovf02lksw45pjo5,S. Frei,Goalkeeper,24.0,3.0,,,,,,,,,,46.0,,3.0,10.0,,,20.0,1.0,5.0,,,3.0,9.0,1.0,,73.0,10.0,7.0,55.0,41.0,1.0,8.0,,,,,,2.0,18.0,2.0,,94.0,1.0,,,26.0,14.0,38.0,9.0,18.0,1.0,,,270.0,47.0,,,,,1.0,,17.0,8.0,5.0,2.0,,19.0,0.0,,,,,,,,,,1.0,4.0,3.0,,1.0,31.0,3.0,25.0,2.0,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Seattle Sounders FC,bmnmlbq9uk9c7p1sxc09shl1x,Y. Gómez,Defender,28.0,4.0,,,,,,,1.0,2.0,,84.0,8.0,4.0,17.0,14.0,3.0,21.0,17.0,6.0,,,4.0,16.0,13.0,4.0,171.0,10.0,1.0,139.0,131.0,4.0,15.0,,,14.0,2.0,,30.0,32.0,18.0,5.0,225.0,9.0,,9.0,128.0,8.0,160.0,55.0,18.0,9.0,12.0,4.0,327.0,84.0,4.0,1.0,,,1.0,2.0,62.0,15.0,6.0,17.0,3.0,37.0,0.0,3.0,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Seattle Sounders FC,e1e506479mqo8j3geie6amuj8,S. Hawkins,Defender,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2025,Seattle Sounders FC,2iusvkm9t8r1widsfvbesnjf8,K. Kossa-Rienzi,Midfielder,85.0,2.0,,,,,,2.0,,,,3.0,1.0,,4.0,,,3.0,1.0,2.0,,,2.0,1.0,,,12.0,10.0,,8.0,8.0,,1.0,,,3.0,,,1.0,4.0,,,15.0,,1.0,1.0,8.0,,12.0,5.0,1.0,,1.0,1.0,19.0,7.0,,,,,,,3.0,,2.0,,,6.0,0.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
