liga,temporada,equipo,id,nombre,posicion,dorsal,Tackles Won,Straight Red Cards,Total Shots,Aerial Duels won,Successful Passes Opposition Half,Tackles Lost,Unsuccessful Short Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Goals Conceded Inside Box,Successful Passes Own Half,Successful Open Play Passes,Unsuccessful Launches,Unsuccessful Long Passes,Clean Sheets,Games Played,Total Clearances,Unsuccessful Crosses & Corners,Touches,Aerial Duels,Successful Crosses & Corners,Recoveries,Unsuccessful Crosses open play,Successful Crosses open play,Aerial Duels lost,Ground Duels won,Unsuccessful Dribbles,PutThrough/Blocked Distribution Won,Total Tackles,Throw Ins to Opposition Player,Red Cards - 2nd Yellow,Foul Attempted Tackle,Ground Duels,Index,Shots Off Target (inc woodwork),Blocks,Duels lost,Ground Duels lost,Successful Short Passes,Total Fouls Won,Duels won,Rightside Passes,Duels,Successful Long Passes,PutThrough/Blocked Distribution,Penalties Conceded,Goals Conceded Outside Box,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Launches,Goals Conceded,Total Passes,Total Losses Of Possession,Substitute On,Total Fouls Conceded,Times Tackled,Total Touches In Opposition Box,Substitute Off,Interceptions,Appearances,Time Played,Backward Passes,Starts,Total Red Cards,Forward Passes,Throw Ins to Own Player,Leftside Passes,Unsuccessful Passes Own Half,Open Play Passes,Penalty Goals Conceded,Yellow Cards,Clearances Off the Line,Winning Goal,Through balls,Unsuccessful Corners into Box,Goals,Offsides,Right Foot Goals,Corners Taken (incl short corners),Shots On Target ( inc goals ),Attempts from Set Pieces,Goals from Inside Box,Successful Corners into Box,Blocked Shots,Successful Dribbles,Second Goal Assists,Handballs conceded,Goal Assists,Corners Won,Hit Woodwork,Assists (Intentional),Goals from Outside Box,Penalties Taken,Successful Lay-offs,Set Pieces Goals,Home Goals,Away Goals,Headed Goals,Unsuccessful lay-offs,Own Goal Scored,Left Foot Goals,GK Successful Distribution,Drops,Punches,Saves Made,GK Unsuccessful Distribution,Saves made - parried,Saves made - caught,Saves Made from Outside Box,Goal Kicks,Catches,Saves Made from Inside Box,Foul Won Penalty,Penalties Faced,Goalkeeper Smother,Penalty Goals,Saves from Penalty,Penalties Saved,Last Man Tackle,Crosses not Claimed,Penalties Off Target,Other Goals
USA_USL_League_One,2021,Forward Madison FC,ltoddlfbimoyb6xgae4b2ktl,D. Gebhard,Forward,17,19.0,,25.0,14.0,436.0,10.0,122.0,23.0,148.0,146.0,24.0,211.0,637.0,11.0,24.0,5.0,27.0,20.0,36.0,1316.0,37.0,5.0,127.0,36.0,5.0,23.0,124.0,46.0,31.0,29.0,2.0,,7.0,245.0,10.0,11.0,1.0,144.0,121.0,622.0,66.0,138.0,83.0,282.0,20.0,59.0,,4.0,642.0,3.0,28.0,788.0,362.0,2.0,21.0,89.0,95.0,5.0,23.0,27.0,2231.0,285.0,25.0,,205.0,29.0,215.0,34.0,782.0,2.0,7.0,,1.0,3.0,,5.0,6.0,4.0,1.0,14.0,,5.0,,19.0,29.0,,5.0,1.0,18.0,1.0,1.0,,,12.0,,3.0,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,dhc0qpcxud7h64y5hx39bd9wq,Carlos Gómez,Midfielder,10,6.0,,7.0,6.0,104.0,2.0,27.0,5.0,32.0,27.0,8.0,110.0,203.0,,,,17.0,7.0,14.0,347.0,10.0,4.0,26.0,14.0,4.0,4.0,16.0,3.0,1.0,8.0,2.0,,3.0,29.0,10.0,5.0,2.0,17.0,13.0,200.0,5.0,22.0,87.0,39.0,10.0,5.0,,1.0,210.0,,9.0,237.0,61.0,9.0,6.0,7.0,22.0,8.0,8.0,17.0,610.0,71.0,8.0,,45.0,8.0,34.0,9.0,230.0,2.0,1.0,,0.0,1.0,,,,,,2.0,,,,6.0,3.0,,1.0,,4.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,cidnwzqg0kma0qr93phfiddzo,Aidan Hogan,Goalkeeper,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,3okzvmqu8lonkpjadhd8vnq0a,A. Jepson,Forward,29,12.0,,14.0,15.0,318.0,1.0,90.0,17.0,104.0,110.0,12.0,205.0,500.0,9.0,20.0,1.0,22.0,14.0,17.0,823.0,22.0,8.0,75.0,12.0,5.0,7.0,37.0,3.0,6.0,13.0,,,5.0,77.0,10.0,13.0,2.0,47.0,40.0,500.0,16.0,52.0,153.0,99.0,15.0,17.0,,3.0,515.0,,15.0,625.0,168.0,8.0,11.0,17.0,36.0,7.0,14.0,22.0,1253.0,146.0,14.0,,190.0,12.0,136.0,23.0,610.0,2.0,3.0,,0.0,3.0,4.0,,,,7.0,1.0,1.0,,3.0,6.0,9.0,,,3.0,4.0,,1.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,5y3ffas67ufbxhtmjmbq3e9xx,J. Keegan,Forward,7,5.0,,52.0,28.0,208.0,2.0,95.0,13.0,105.0,105.0,22.0,94.0,247.0,3.0,10.0,4.0,23.0,9.0,19.0,629.0,52.0,6.0,36.0,19.0,6.0,24.0,31.0,5.0,3.0,7.0,1.0,,8.0,76.0,10.0,28.0,2.0,69.0,45.0,287.0,19.0,59.0,98.0,128.0,9.0,11.0,,2.0,296.0,,24.0,401.0,178.0,1.0,17.0,22.0,99.0,5.0,5.0,23.0,1957.0,129.0,22.0,,93.0,6.0,81.0,19.0,351.0,2.0,1.0,,1.0,1.0,,6.0,27.0,3.0,1.0,24.0,,5.0,,12.0,5.0,,1.0,4.0,16.0,5.0,3.0,1.0,,11.0,,2.0,4.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,ate2xv18atyygibcdewjrwd0p,E. Leonard,Midfielder,3,23.0,,6.0,31.0,306.0,17.0,81.0,9.0,120.0,179.0,19.0,510.0,783.0,49.0,98.0,1.0,23.0,64.0,9.0,1339.0,58.0,5.0,88.0,9.0,5.0,27.0,59.0,2.0,18.0,40.0,28.0,,13.0,112.0,10.0,4.0,11.0,80.0,53.0,748.0,19.0,90.0,187.0,170.0,63.0,28.0,2.0,3.0,811.0,15.0,22.0,990.0,240.0,4.0,27.0,9.0,9.0,2.0,44.0,23.0,1705.0,77.0,19.0,,410.0,45.0,316.0,68.0,954.0,3.0,4.0,1.0,0.0,,,,,,,2.0,,,,4.0,,,,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,d27alvahua3o1ifftuzbiu82y,R. Lomeli,Midfielder,2,2.0,,3.0,1.0,47.0,3.0,14.0,4.0,16.0,17.0,3.0,36.0,82.0,1.0,3.0,,5.0,4.0,4.0,168.0,3.0,,14.0,4.0,,2.0,8.0,1.0,3.0,5.0,3.0,,2.0,13.0,10.0,1.0,,7.0,5.0,76.0,2.0,9.0,4.0,16.0,7.0,8.0,,,83.0,1.0,3.0,100.0,32.0,2.0,2.0,1.0,2.0,3.0,3.0,5.0,205.0,19.0,3.0,,27.0,26.0,50.0,5.0,99.0,,,,0.0,,,,,,,2.0,,,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,1fi8hsgic5vrhujjpfxxn4fhm,H. Martin,Defender,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,5tyrfuxsp7s9thsmhfqevuoyx,A. Molloy,Midfielder,6,50.0,,33.0,24.0,881.0,22.0,172.0,51.0,292.0,259.0,29.0,776.0,1476.0,26.0,87.0,5.0,27.0,29.0,102.0,2418.0,39.0,42.0,237.0,26.0,9.0,15.0,141.0,10.0,20.0,72.0,,,20.0,241.0,10.0,19.0,4.0,115.0,100.0,1475.0,45.0,165.0,511.0,280.0,140.0,40.0,,4.0,1615.0,7.0,33.0,1874.0,425.0,1.0,35.0,26.0,15.0,,35.0,27.0,2393.0,260.0,26.0,,602.0,10.0,501.0,69.0,1721.0,4.0,6.0,,0.0,4.0,56.0,4.0,,4.0,97.0,14.0,6.0,1.0,28.0,11.0,25.0,,2.0,3.0,11.0,,3.0,3.0,1.0,4.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,
USA_USL_League_One,2021,Forward Madison FC,9u37akzkhdyszhevgrjghq99m,A. Monis,Forward,38,1.0,,1.0,,3.0,1.0,1.0,,2.0,1.0,1.0,1.0,4.0,,,,1.0,,1.0,12.0,,,1.0,1.0,,,3.0,,,2.0,,,,4.0,10.0,,,1.0,1.0,4.0,,3.0,3.0,4.0,,,,,4.0,,1.0,5.0,4.0,1.0,,1.0,1.0,,,1.0,14.0,1.0,,,1.0,,,,5.0,,1.0,,0.0,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,5oam2171uz9x8kx4spxsf00dl,J. Pérez,Midfielder,33,7.0,,5.0,1.0,120.0,10.0,32.0,10.0,36.0,38.0,5.0,93.0,205.0,1.0,6.0,1.0,10.0,4.0,8.0,403.0,7.0,2.0,46.0,5.0,1.0,6.0,44.0,8.0,11.0,17.0,,,6.0,75.0,10.0,1.0,2.0,37.0,31.0,199.0,17.0,45.0,53.0,82.0,12.0,19.0,,2.0,211.0,,7.0,249.0,94.0,2.0,7.0,17.0,12.0,6.0,6.0,10.0,616.0,60.0,8.0,,60.0,8.0,76.0,10.0,243.0,1.0,1.0,,0.0,3.0,3.0,,,,6.0,4.0,2.0,,1.0,4.0,10.0,,,1.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,b7ph7dek8orcs55sx2jim25m,C. Rad,Defender,5,19.0,,1.0,13.0,218.0,14.0,84.0,4.0,109.0,146.0,11.0,264.0,464.0,22.0,62.0,1.0,12.0,49.0,11.0,880.0,23.0,6.0,62.0,11.0,6.0,10.0,40.0,1.0,6.0,33.0,33.0,,8.0,62.0,10.0,1.0,,32.0,22.0,435.0,4.0,53.0,170.0,85.0,41.0,12.0,,3.0,476.0,11.0,14.0,622.0,203.0,,15.0,3.0,6.0,1.0,25.0,12.0,1077.0,63.0,12.0,,347.0,55.0,42.0,48.0,603.0,2.0,4.0,,0.0,,,,,,,,,,,,3.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,jbh7l38xqsl14svx9rdu9hw5,R. Sierakowski,Forward,9,8.0,,25.0,45.0,220.0,12.0,117.0,15.0,116.0,125.0,23.0,126.0,326.0,4.0,8.0,1.0,27.0,17.0,16.0,760.0,106.0,2.0,36.0,16.0,2.0,61.0,62.0,6.0,10.0,20.0,1.0,,15.0,131.0,10.0,14.0,2.0,130.0,69.0,340.0,39.0,107.0,94.0,237.0,4.0,28.0,,5.0,344.0,,28.0,469.0,234.0,7.0,35.0,32.0,78.0,3.0,6.0,27.0,1855.0,142.0,20.0,,110.0,2.0,123.0,25.0,451.0,2.0,2.0,,1.0,,,6.0,8.0,4.0,1.0,11.0,1.0,5.0,,17.0,6.0,,1.0,,14.0,,,1.0,,17.0,,3.0,3.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,2f3zvhznnpnefag1k7elzq8t0,J. Sukow,Midfielder,19,17.0,,14.0,13.0,302.0,7.0,72.0,16.0,69.0,81.0,17.0,223.0,516.0,2.0,9.0,,22.0,5.0,9.0,816.0,23.0,4.0,71.0,8.0,4.0,10.0,58.0,6.0,6.0,24.0,1.0,,12.0,119.0,10.0,8.0,1.0,71.0,61.0,503.0,19.0,71.0,177.0,142.0,18.0,19.0,,3.0,521.0,,20.0,602.0,160.0,9.0,28.0,21.0,26.0,7.0,7.0,22.0,1330.0,183.0,13.0,,116.0,15.0,126.0,21.0,597.0,3.0,3.0,,2.0,1.0,1.0,2.0,1.0,,1.0,6.0,,2.0,,3.0,15.0,,2.0,3.0,3.0,,3.0,,,6.0,,2.0,0.0,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,54a2xankjy4asukg93gv7rxed,C. Tobin,Defender,13,17.0,,11.0,68.0,446.0,9.0,120.0,5.0,153.0,236.0,30.0,874.0,1264.0,43.0,116.0,5.0,28.0,143.0,1.0,1852.0,97.0,,124.0,1.0,,29.0,39.0,1.0,7.0,26.0,,,6.0,70.0,10.0,8.0,16.0,60.0,31.0,1177.0,13.0,107.0,530.0,167.0,143.0,9.0,2.0,4.0,1320.0,21.0,34.0,1556.0,257.0,,15.0,5.0,27.0,1.0,26.0,28.0,2519.0,80.0,28.0,,663.0,5.0,283.0,84.0,1490.0,4.0,5.0,1.0,1.0,1.0,,2.0,1.0,,,3.0,,2.0,,1.0,2.0,,,1.0,5.0,,,,,,,0.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,aivwolfof6izfr2xze9w7b4yd,J. Trimmingham,Defender,44,,,20.0,27.0,57.0,2.0,25.0,8.0,32.0,28.0,7.0,15.0,69.0,,3.0,,11.0,10.0,7.0,201.0,48.0,2.0,8.0,7.0,2.0,21.0,8.0,6.0,3.0,2.0,,,8.0,38.0,10.0,12.0,,51.0,30.0,66.0,2.0,35.0,28.0,86.0,4.0,3.0,,1.0,70.0,,8.0,98.0,75.0,5.0,13.0,17.0,36.0,4.0,,11.0,508.0,27.0,6.0,,15.0,,28.0,3.0,97.0,2.0,2.0,,1.0,,,4.0,4.0,2.0,,8.0,,3.0,,2.0,4.0,,,,1.0,1.0,,1.0,,8.0,,1.0,3.0,,3.0,,2.0,,,,,,,,,,,,,,,,,,,,,
USA_USL_League_One,2021,Forward Madison FC,4v2oh5flirf9wtc1u9u42apnu,M. Vang,Forward,8,5.0,,4.0,,73.0,2.0,22.0,3.0,24.0,25.0,4.0,43.0,116.0,,3.0,,11.0,1.0,2.0,196.0,3.0,,11.0,2.0,,3.0,20.0,2.0,,7.0,,,3.0,36.0,10.0,2.0,1.0,19.0,16.0,112.0,10.0,20.0,31.0,39.0,4.0,2.0,,,116.0,,4.0,141.0,48.0,8.0,7.0,6.0,7.0,4.0,1.0,11.0,327.0,29.0,3.0,,37.0,,44.0,3.0,141.0,,,,0.0,2.0,,,1.0,,,2.0,1.0,,,3.0,3.0,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
