liga,temporada,equipo,id,nombre,posicion,dorsal,Successful Open Play Passes,Time Played,Recoveries,Unsuccessful Passes Own Half,Successful Passes Opposition Half,Successful Passes Own Half,Total Passes,Ground Duels won,Starts,Throw Ins to Own Player,Unsuccessful Launches,Ground Duels lost,Aerial Duels lost,Successful Dribbles,Aerial Duels won,Unsuccessful Short Passes,Goals Conceded Inside Box,Unsuccessful Long Passes,Games Played,Aerial Duels,Ground Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Short Passes,Substitute Off,Duels lost,Total Losses Of Possession,Backward Passes,Appearances,Index,Open Play Passes,Successful Long Passes,PutThrough/Blocked Distribution Won,PutThrough/Blocked Distribution,Rightside Passes,Unsuccessful Passes Opposition Half,Overruns,Throw Ins to Opposition Player,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Duels,Unsuccessful Crosses open play,Forward Passes,Duels won,Winning Goal,Times Tackled,Foul Attempted Tackle,Tackles Won,Total Fouls Conceded,Leftside Passes,Total Tackles,Successful Launches,Blocks,Interceptions,Unsuccessful Dribbles,Handballs conceded,Substitute On,Total Shots,Total Fouls Won,Shots On Target ( inc goals ),Yellow Cards,Key Passes (Attempt Assists),Successful Lay-offs,Saves Made,Goal Kicks,GK Successful Distribution,Saves Made from Inside Box,GK Unsuccessful Distribution,Offsides,Shots Off Target (inc woodwork),Through balls,Total Touches In Opposition Box,Tackles Lost,Total Red Cards,Straight Red Cards,Attempts from Set Pieces,Saves Made from Outside Box,Punches,Goals from Outside Box,Goals,Right Foot Goals,Home Goals,Away Goals,Successful Crosses & Corners,Corners Won,Unsuccessful Corners into Box,Successful Crosses open play,Corners Taken (incl short corners),Goal Assists,Successful Corners into Box,Blocked Shots,Saves made - parried,Goalkeeper Smother,Assists (Intentional),Red Cards - 2nd Yellow,Goals from Inside Box,Headed Goals,Own Goal Scored,Catches,Clean Sheets,Hit Woodwork,Unsuccessful lay-offs,Penalty Goals Conceded,Left Foot Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Clearances Off the Line,Other Goals,Penalties Faced,Penalties Conceded,Goals Conceded Outside Box,Saves made - caught,Carries,Final Third Touches,Progressive Carries,Total Big Chances Saved,Total Big Chances Missed,Goals Openplay,Total Big Chances Created,Total Big Chances Scored,Direct Setpiece Goals,Set Pieces Goals,Penalties Off Target,Drops,Second Goal Assists,Penalties Saved,Saves from Penalty
USA_US_Open_Cup,2024,El Farolito SC,a9sh6xv74eyscy5pvnnhu0voq,Arthur Minota,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,El Farolito SC,ba5tbm4juuknyswme17gvzb6y,E. Arias,Midfielder,0,27.0,174.0,5.0,1.0,21.0,10.0,41.0,4.0,3.0,,,2.0,5.0,,5.0,10.0,3.0,1.0,3.0,10.0,6.0,30.0,29.0,3.0,7.0,21.0,10.0,3.0,10.0,38.0,1.0,1.0,2.0,13.0,14.0,,,11.0,63.0,,3.0,4.0,16.0,4.0,12.0,9.0,0.0,2.0,1.0,1.0,1.0,6.0,2.0,,,,,1.0,,3.0,2.0,2.0,,2.0,,,,,,,,1.0,,6.0,1.0,,,,,,,,,,,1.0,2.0,,1.0,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,El Farolito SC,9lu6clw660bj3gcwaf145blec,G. Arias,Midfielder,0,28.0,195.0,3.0,6.0,21.0,10.0,48.0,11.0,2.0,,6.0,11.0,,2.0,3.0,10.0,3.0,8.0,3.0,3.0,22.0,30.0,24.0,2.0,11.0,31.0,8.0,3.0,10.0,45.0,6.0,,2.0,7.0,19.0,,,18.0,88.0,1.0,3.0,7.0,25.0,4.0,22.0,14.0,0.0,5.0,4.0,2.0,5.0,11.0,6.0,2.0,2.0,2.0,3.0,1.0,1.0,5.0,3.0,3.0,1.0,1.0,,,,,,,1.0,2.0,,,4.0,,,2.0,,,,,,,,1.0,1.0,2.0,1.0,3.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,El Farolito SC,afv1mh7l2u85g5kow12uv7p7u,J. Arias,Midfielder,0,47.0,190.0,12.0,9.0,23.0,26.0,67.0,4.0,2.0,1.0,2.0,5.0,3.0,1.0,4.0,12.0,3.0,6.0,2.0,7.0,9.0,49.0,42.0,1.0,8.0,22.0,9.0,2.0,10.0,65.0,7.0,1.0,1.0,17.0,9.0,,,18.0,89.0,1.0,3.0,,16.0,,27.0,8.0,0.0,1.0,3.0,2.0,3.0,14.0,2.0,3.0,1.0,3.0,1.0,,,2.0,1.0,,,1.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,El Farolito SC,6oo4nkcr7cny8udddlpy4nkr9,D. Benson,Forward,0,55.0,300.0,7.0,5.0,45.0,14.0,87.0,7.0,3.0,1.0,2.0,10.0,11.0,1.0,21.0,26.0,4.0,2.0,3.0,32.0,17.0,59.0,57.0,,21.0,41.0,30.0,3.0,10.0,83.0,2.0,3.0,5.0,21.0,24.0,,,28.0,130.0,5.0,4.0,1.0,49.0,1.0,27.0,28.0,2.0,7.0,2.0,2.0,3.0,9.0,2.0,,,1.0,2.0,,,11.0,4.0,7.0,,6.0,1.0,,,,,,1.0,4.0,,22.0,,,,,,,,4.0,1.0,0.0,4.0,,1.0,,,,,,,,,,,4.0,2.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,El Farolito SC,66i5turn7a67w01447v3go6vp,D. Buitrago,Midfielder,0,34.0,46.0,8.0,1.0,28.0,11.0,45.0,5.0,,,2.0,3.0,,1.0,,5.0,,5.0,3.0,,8.0,35.0,31.0,,3.0,18.0,7.0,3.0,10.0,43.0,4.0,2.0,3.0,10.0,12.0,1.0,,10.0,66.0,,,3.0,8.0,,16.0,5.0,0.0,1.0,2.0,1.0,2.0,12.0,2.0,1.0,,,,,3.0,1.0,2.0,,1.0,2.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,4.0,2.0,1.0,,4.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,El Farolito SC,z3f70fxxloxoevp5n3j4a7kl,R. Córdoba,Defender,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,El Farolito SC,ail6w0rhf6kjxv4iiibkyu1p0,J. Escobar,Goalkeeper,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,El Farolito SC,7c9r2q0v9jiwj9ne0ir3wkf84,J. Higuera,Forward,0,21.0,83.0,2.0,,20.0,4.0,30.0,3.0,,,,8.0,1.0,,1.0,8.0,,,3.0,2.0,11.0,22.0,19.0,,9.0,22.0,7.0,3.0,10.0,29.0,3.0,1.0,4.0,7.0,16.0,,,8.0,53.0,,,8.0,13.0,8.0,9.0,4.0,0.0,4.0,3.0,1.0,3.0,7.0,1.0,,,1.0,2.0,,3.0,1.0,2.0,,2.0,3.0,1.0,,,,,,1.0,1.0,,6.0,,,,,,,,,,,,2.0,2.0,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_US_Open_Cup,2024,El Farolito SC,4a04icdfggqpz30svb4221qfo,K. Sacré,Midfielder,0,46.0,208.0,14.0,3.0,26.0,21.0,59.0,14.0,3.0,,3.0,5.0,5.0,,3.0,9.0,3.0,4.0,3.0,8.0,19.0,46.0,43.0,2.0,10.0,18.0,14.0,3.0,10.0,59.0,3.0,1.0,1.0,17.0,11.0,,,13.0,91.0,2.0,3.0,1.0,27.0,1.0,17.0,17.0,0.0,,2.0,6.0,2.0,11.0,8.0,,,2.0,,,,3.0,6.0,,2.0,,,,,,,,,3.0,,,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
