liga,temporada,equipo,id,nombre,posicion,dorsal,Duels,Total Fouls Won,Goals Conceded Outside Box,Total Clearances,PutThrough/Blocked Distribution Won,Throw Ins to Own Player,Throw Ins to Opposition Player,Unsuccessful Passes Opposition Half,Substitute On,Total Unsuccessful Passes ( Excl Crosses & Corners ),Tackles Lost,Total Passes,Unsuccessful Launches,Total Tackles,Unsuccessful Long Passes,Time Played,Successful Passes Own Half,Ground Duels lost,Goals Conceded Inside Box,Ground Duels won,Games Played,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Leftside Passes,Starts,Successful Short Passes,Total Fouls Conceded,Total Losses Of Possession,Foul Attempted Tackle,Unsuccessful Short Passes,Duels won,Ground Duels,Tackles Won,Times Tackled,Substitute Off,Recoveries,Index,Successful Open Play Passes,Touches,Appearances,Duels lost,Forward Passes,Goals Conceded,Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Winning Goal,Successful Dribbles,Aerial Duels lost,Successful Lay-offs,Shots On Target ( inc goals ),Interceptions,Aerial Duels,Backward Passes,Successful Passes Opposition Half,Unsuccessful Dribbles,Blocks,Blocked Shots,Rightside Passes,Overruns,Total Touches In Opposition Box,Foul Won Penalty,Total Shots,Aerial Duels won,Saves made - parried,Punches,Crosses not Claimed,Drops,GK Successful Distribution,Successful Long Passes,Goalkeeper Smother,Saves Made,Saves Made from Inside Box,GK Unsuccessful Distribution,Goal Kicks,Catches,Successful Launches,Saves Made from Outside Box,Handballs conceded,Key Passes (Attempt Assists),Yellow Cards,Shots Off Target (inc woodwork),Unsuccessful Crosses & Corners,Successful Crosses & Corners,Offsides,Assists (Intentional),Goal Assists,Unsuccessful Corners into Box,Successful Crosses open play,Corners Taken (incl short corners),Successful Corners into Box,Corners Won,Unsuccessful lay-offs,Clearances Off the Line,Unsuccessful Crosses open play,Goals,Left Foot Goals,Goals from Inside Box,Home Goals,Away Goals,Penalties Taken,Penalties Off Target,Headed Goals,Hit Woodwork,Penalty Goals Conceded,Penalties Faced,Penalties Saved,Saves from Penalty,Attempts from Set Pieces,Right Foot Goals,Saves made - caught,Last Player Tackle,Penalties Conceded,Red Cards - 2nd Yellow,Total Red Cards,Through balls,Penalty Goals,Clean Sheets,Own Goal Scored,Other Goals,Goals from Outside Box,Second Goal Assists,Set Pieces Goals,Straight Red Cards
Concacaf_Concacaf_U17,2025,Anguilla Under 17,5mobu8viru78cb7dsw1zr38r8,T. Anderson,Defender,15,11.0,1.0,1.0,2.0,1.0,4.0,2.0,2.0,2.0,5.0,1.0,7.0,1.0,5.0,2.0,56.0,2.0,5.0,3.0,6.0,3.0,1.0,3.0,2.0,1.0,2.0,1.0,10.0,1.0,3.0,6.0,11.0,4.0,1.0,1.0,4.0,10.0,2.0,27.0,3.0,5.0,5.0,4.0,7.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Anguilla Under 17,seqzfkaitoa8nufo7eqyflsk,K. Belle,Midfielder,11,58.0,15.0,3.0,7.0,3.0,,,7.0,1.0,15.0,3.0,33.0,2.0,13.0,4.0,309.0,13.0,22.0,12.0,32.0,4.0,6.0,8.0,2.0,3.0,18.0,2.0,41.0,1.0,11.0,33.0,54.0,10.0,15.0,1.0,14.0,10.0,18.0,123.0,4.0,25.0,17.0,15.0,33.0,18.0,0.0,5.0,3.0,2.0,1.0,1.0,4.0,3.0,5.0,9.0,1.0,1.0,11.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Anguilla Under 17,d9wjpuaazfo0w4tp9nmls6fx0,S. Browne,Goalkeeper,18,1.0,,2.0,10.0,,,,34.0,,66.0,,106.0,7.0,,65.0,358.0,32.0,1.0,14.0,,4.0,,32.0,6.0,4.0,16.0,,68.0,,1.0,,1.0,,,1.0,42.0,10.0,1.0,166.0,4.0,1.0,85.0,16.0,4.0,40.0,0.0,,,,,,,,8.0,,,,15.0,,,,,,14.0,5.0,1.0,4.0,34.0,24.0,1.0,30.0,17.0,34.0,59.0,3.0,3.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Anguilla Under 17,25r0fiwa4rotbphu8nnnj5hck,A. Charles,Forward,19,23.0,5.0,1.0,4.0,1.0,,,12.0,1.0,17.0,2.0,29.0,1.0,6.0,2.0,278.0,6.0,7.0,10.0,12.0,4.0,2.0,5.0,9.0,3.0,12.0,,29.0,,15.0,14.0,19.0,4.0,4.0,2.0,4.0,10.0,9.0,62.0,4.0,9.0,11.0,11.0,26.0,12.0,0.0,2.0,2.0,,,,4.0,6.0,6.0,3.0,,,3.0,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Anguilla Under 17,euwaxyg5x73t3lnsbm2o9z9xw,M. Connor,Midfielder,10,47.0,5.0,2.0,15.0,3.0,,,20.0,,32.0,8.0,58.0,7.0,14.0,14.0,323.0,14.0,21.0,13.0,21.0,4.0,7.0,16.0,11.0,4.0,23.0,9.0,51.0,4.0,18.0,24.0,42.0,6.0,9.0,2.0,17.0,10.0,23.0,130.0,4.0,23.0,32.0,15.0,52.0,26.0,0.0,2.0,2.0,,,1.0,5.0,7.0,13.0,3.0,2.0,,8.0,,,,1.0,3.0,,,,,,3.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Anguilla Under 17,6filsq7v1xr992v3mi42cebkk,T. Connor,Defender,20,18.0,1.0,3.0,34.0,2.0,,1.0,6.0,1.0,16.0,1.0,26.0,7.0,5.0,10.0,315.0,7.0,9.0,11.0,5.0,4.0,2.0,10.0,3.0,3.0,7.0,,19.0,,6.0,8.0,14.0,4.0,,,4.0,10.0,9.0,88.0,4.0,10.0,22.0,14.0,22.0,10.0,0.0,,1.0,,,2.0,4.0,,3.0,,3.0,,1.0,,1.0,,1.0,3.0,,,,,1.0,3.0,,,,1.0,2.0,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Anguilla Under 17,3u0erdpv53v6zl4ed8koxn11w,J. Gayle,Defender,13,5.0,1.0,,3.0,,3.0,3.0,2.0,,4.0,1.0,7.0,,2.0,,80.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,3.0,,8.0,,4.0,3.0,4.0,1.0,,1.0,,10.0,3.0,21.0,1.0,2.0,5.0,3.0,7.0,3.0,0.0,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Anguilla Under 17,3vbltxr3stkdwu711jeh9lwr8,K. Gumbs,Forward,7,56.0,8.0,3.0,9.0,4.0,,1.0,25.0,,30.0,5.0,43.0,4.0,13.0,7.0,358.0,7.0,26.0,14.0,22.0,4.0,9.0,7.0,16.0,4.0,12.0,3.0,66.0,1.0,23.0,26.0,48.0,8.0,14.0,1.0,10.0,10.0,13.0,126.0,4.0,30.0,23.0,17.0,43.0,13.0,0.0,2.0,4.0,,,1.0,8.0,3.0,9.0,8.0,,,1.0,1.0,2.0,,,4.0,,,,,,1.0,,,,,,,1.0,,,2.0,2.0,,2.0,3.0,,1.0,1.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Anguilla Under 17,4hsnwlvaodqnt6bs15dvnk7is,L. Gumbs,Defender,3,10.0,,2.0,8.0,1.0,3.0,6.0,5.0,2.0,6.0,2.0,7.0,5.0,3.0,5.0,126.0,,4.0,6.0,5.0,3.0,2.0,1.0,1.0,1.0,1.0,,17.0,,1.0,5.0,9.0,1.0,1.0,1.0,2.0,10.0,1.0,39.0,3.0,5.0,5.0,8.0,5.0,1.0,0.0,2.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2025,Anguilla Under 17,ax13nh0a6boliz2jvv4e7bswk,K. Herbert,Midfielder,12,7.0,,1.0,4.0,1.0,,,4.0,3.0,3.0,1.0,7.0,1.0,3.0,1.0,33.0,2.0,2.0,1.0,4.0,3.0,1.0,1.0,1.0,,4.0,,5.0,,2.0,5.0,6.0,2.0,,,3.0,10.0,4.0,19.0,3.0,2.0,3.0,2.0,7.0,4.0,0.0,1.0,,,,,1.0,1.0,2.0,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,1.0,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
