temporada,link,liga_url,cod_liga,folder
2021,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2021/4mte09odetwwtqibhbpstxtuy/results,leagues-cup-2019-2022-2021,4mte09odetwwtqibhbpstxtuy,Concacaf_Leagues_Cup_2019_2022
2020,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2020/3njp02uzrqz6xvbwnp521v1ii/results,leagues-cup-2019-2022-2020,3njp02uzrqz6xvbwnp521v1ii,Concacaf_Leagues_Cup_2019_2022
2019,https://www.scoresway.com/en_GB/soccer/leagues-cup-2019-2022-2019/3e9du1i86nmzqmmlmtt71g0a2/results,leagues-cup-2019-2022-2019,3e9du1i86nmzqmmlmtt71g0a2,Concacaf_Leagues_Cup_2019_2022
