root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Appearances,Goals Conceded Inside Box,Starts,Total Tackles,Duels won,Ground Duels won,Goals Conceded,Total Fouls Conceded,Recoveries,Total Passes,Touches,Unsuccessful Short Passes,Ground Duels,Index,Unsuccessful Passes Opposition Half,Games Played,Total Losses Of Possession,Leftside Passes,Successful Passes Opposition Half,Duels lost,Forward Passes,Duels,Total Successful Passes ( Excl Crosses & Corners ) ,Successful Passes Own Half,Total Unsuccessful Passes ( Excl Crosses & Corners ),Time Played,Backward Passes,Open Play Passes,Penalty Goals Conceded,Tackles Won,Ground Duels lost,Successful Short Passes,Successful Open Play Passes,Substitute Off,Interceptions,Total Fouls Won,Winning Goal,Rightside Passes,Saves Made,Saves Made from Inside Box,GK Successful Distribution,Unsuccessful Passes Own Half,Catches,GK Unsuccessful Distribution,Penalties Faced,Goal Kicks,Unsuccessful Long Passes,Successful Long Passes,Saves Made from Outside Box,Saves made - parried,Total Clearances,PutThrough/Blocked Distribution,Aerial Duels lost,PutThrough/Blocked Distribution Won,Foul Attempted Tackle,Substitute On,Aerial Duels,Successful Launches,Throw Ins to Own Player,Aerial Duels won,Tackles Lost,Throw Ins to Opposition Player,Blocks,Times Tackled,Successful Crosses & Corners,Successful Dribbles,Successful Corners into Box,Successful Lay-offs,Yellow Cards,Unsuccessful Crosses & Corners,Corners Won,Overruns,Unsuccessful Corners into Box,Unsuccessful Crosses open play,Corners Taken (incl short corners),Key Passes (Attempt Assists),Unsuccessful Dribbles,Successful Crosses open play,Total Touches In Opposition Box,Total Shots,Offsides,Shots On Target ( inc goals ),Unsuccessful Launches,Penalties Conceded,Handballs conceded,Shots Off Target (inc woodwork),Clearances Off the Line,Drops,Total Red Cards,Straight Red Cards,Attempts from Set Pieces,Blocked Shots,Red Cards - 2nd Yellow,Goals Conceded Outside Box,Through balls,Goal Assists,Goals,Left Foot Goals,Goals from Inside Box,Assists (Intentional),Right Foot Goals,Home Goals,Away Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Saves made - caught,Headed Goals,Hit Woodwork,Unsuccessful lay-offs,Goals from Outside Box,Own Goal Scored,Punches,Saves from Penalty,Penalties Saved,Set Pieces Goals,Clean Sheets,Goalkeeper Smother,Second Goal Assists,Last Man Tackle,Other Goals,Last Player Tackle
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,92vqvzjlb9mf03ci2f7c5q25m,D. Flores,Midfielder,0,4.0,1.0,,2.0,6.0,3.0,1.0,4.0,7.0,47.0,54.0,6.0,7.0,10.0,5.0,4.0,9.0,14.0,17.0,4.0,17.0,10.0,39.0,22.0,8.0,105.0,3.0,47.0,1.0,2.0,4.0,35.0,39.0,,,1.0,0.0,13.0,,,,3.0,,,,,2.0,4.0,,,1.0,1.0,,1.0,3.0,4.0,3.0,,1.0,3.0,,,,,,,,,2.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,ah8f2ohnousbqovkfikth187p,M. Lloyd,Goalkeeper,0,1.0,,1.0,1.0,1.0,1.0,,,7.0,23.0,35.0,1.0,1.0,10.0,3.0,1.0,5.0,5.0,4.0,,15.0,1.0,18.0,14.0,5.0,90.0,,2.0,,1.0,,10.0,1.0,,,,0.0,3.0,5.0,2.0,18.0,2.0,,2.0,,15.0,4.0,8.0,3.0,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,5wqoxdam99w0xeivobg2oowk,N. Lorenzo,Forward,0,6.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,3.0,33.0,54.0,5.0,11.0,10.0,6.0,6.0,17.0,8.0,24.0,7.0,12.0,11.0,28.0,4.0,5.0,127.0,6.0,33.0,,1.0,7.0,27.0,28.0,1.0,1.0,2.0,0.0,7.0,,,,1.0,,,,,,1.0,,,,1.0,,,1.0,5.0,,1.0,,,,,,4.0,,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,,2.0,2.0,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,evhupg7mozyts6ocnfpuwqkiy,B. López,Defender,0,4.0,2.0,2.0,3.0,13.0,9.0,2.0,3.0,10.0,126.0,157.0,10.0,14.0,10.0,17.0,4.0,26.0,36.0,43.0,6.0,64.0,19.0,104.0,61.0,22.0,224.0,7.0,123.0,,3.0,5.0,96.0,102.0,,1.0,5.0,0.0,19.0,,,,7.0,,,,,12.0,8.0,,,6.0,3.0,1.0,1.0,,2.0,5.0,,6.0,4.0,,1.0,1.0,,,1.0,,,,2.0,,,,2.0,,1.0,,,2.0,1.0,,,3.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,f3gi86mrnqbwfipbdo9rpliad,J. López,Midfielder,0,6.0,5.0,6.0,11.0,27.0,21.0,6.0,16.0,51.0,320.0,410.0,33.0,53.0,10.0,60.0,6.0,88.0,85.0,180.0,35.0,125.0,62.0,266.0,91.0,54.0,540.0,31.0,292.0,2.0,9.0,32.0,237.0,245.0,,7.0,8.0,0.0,79.0,,,,10.0,,,,,21.0,29.0,,,3.0,6.0,3.0,5.0,8.0,,9.0,3.0,1.0,6.0,2.0,1.0,,11.0,5.0,2.0,3.0,1.0,1.0,16.0,3.0,1.0,7.0,2.0,11.0,9.0,3.0,2.0,3.0,3.0,,,1.0,,1.0,3.0,,,,,1.0,5.0,,1.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,bfhcu7lbpsx2mr6xihtisx3x0,Y. Melo,Defender,0,3.0,2.0,3.0,2.0,8.0,7.0,2.0,6.0,6.0,54.0,94.0,10.0,13.0,10.0,18.0,3.0,25.0,23.0,24.0,7.0,15.0,15.0,42.0,19.0,12.0,224.0,15.0,52.0,2.0,1.0,6.0,39.0,40.0,2.0,2.0,4.0,0.0,1.0,,,,2.0,,,,,2.0,3.0,,,5.0,2.0,1.0,2.0,4.0,,2.0,,7.0,1.0,1.0,3.0,1.0,,1.0,1.0,,,1.0,8.0,,,,8.0,,,,1.0,1.0,,4.0,,1.0,,1.0,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,2vurjl8xvhdne12o1k8j574r9,H. Mörschel,Midfielder,0,6.0,5.0,6.0,9.0,31.0,24.0,6.0,14.0,26.0,238.0,318.0,26.0,47.0,10.0,28.0,6.0,42.0,89.0,126.0,26.0,57.0,57.0,210.0,84.0,28.0,538.0,40.0,234.0,2.0,6.0,23.0,192.0,206.0,1.0,7.0,13.0,0.0,52.0,,,,2.0,,,,,2.0,18.0,,,3.0,8.0,3.0,5.0,9.0,,10.0,,2.0,7.0,3.0,,,7.0,,2.0,,2.0,,2.0,6.0,,,2.0,1.0,10.0,5.0,,16.0,14.0,,7.0,,,2.0,7.0,,,,,1.0,4.0,,1.0,1.0,,2.0,,1.0,,2.0,1.0,1.0,,,,,,,,1.0,,,,,,2.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,9r45s74tg6224q2wxi93tfxwq,J. Pineda,Forward,0,3.0,,,1.0,4.0,4.0,,4.0,2.0,18.0,27.0,9.0,13.0,10.0,9.0,3.0,12.0,2.0,4.0,10.0,4.0,14.0,9.0,5.0,9.0,66.0,8.0,18.0,,,9.0,9.0,9.0,,,3.0,0.0,4.0,,,,,,,,,,,,,,3.0,1.0,1.0,1.0,3.0,1.0,,,,1.0,,,3.0,,,,,,,,,,,,,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,b2sqen24z3g6a6z1g9ry251t6,E. Reyes,Defender,0,5.0,5.0,5.0,1.0,10.0,7.0,6.0,,11.0,127.0,213.0,20.0,14.0,10.0,41.0,5.0,63.0,10.0,89.0,12.0,33.0,22.0,105.0,20.0,22.0,382.0,25.0,122.0,2.0,1.0,7.0,99.0,100.0,4.0,4.0,2.0,0.0,59.0,,,,,,,,,2.0,6.0,,,,6.0,5.0,,,,8.0,,2.0,3.0,,,,7.0,4.0,4.0,1.0,1.0,,19.0,7.0,2.0,2.0,17.0,4.0,12.0,5.0,3.0,27.0,17.0,1.0,6.0,,,,11.0,,,,,,8.0,,1.0,1.0,,2.0,2.0,2.0,,,0.0,2.0,,,,,,1.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,f2s89yqn3vacbdmtvsjvq0o9,M. Rodríguez,Defender,0,2.0,,,,2.0,2.0,,,,14.0,22.0,1.0,3.0,10.0,2.0,2.0,4.0,,6.0,1.0,5.0,3.0,12.0,6.0,2.0,21.0,3.0,13.0,,,1.0,12.0,11.0,,,1.0,0.0,6.0,,,,1.0,,,,,1.0,,,,,1.0,,,,2.0,,,4.0,,,,,1.0,,1.0,,,,1.0,1.0,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,bb2m5rjoki0opqynez0kh8vhm,D. Romero,Forward,0,6.0,5.0,6.0,8.0,35.0,26.0,6.0,14.0,6.0,91.0,174.0,20.0,54.0,10.0,22.0,6.0,44.0,21.0,52.0,37.0,15.0,72.0,70.0,19.0,21.0,536.0,35.0,83.0,2.0,5.0,28.0,68.0,62.0,1.0,1.0,16.0,2.0,20.0,,,,,,,,,1.0,2.0,,,1.0,9.0,9.0,6.0,8.0,,18.0,,,9.0,3.0,1.0,,10.0,1.0,2.0,,2.0,1.0,1.0,4.0,1.0,,1.0,,5.0,6.0,1.0,44.0,14.0,3.0,8.0,1.0,,1.0,6.0,,,,,,7.0,,1.0,1.0,1.0,6.0,1.0,6.0,1.0,2.0,5.0,1.0,,,,,3.0,,,,,,,,,3.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,2ruvwbb7da2ybsovhed91duui,C. Rossell,Defender,0,1.0,,,,,,,,,,,,,10.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,350u2k0p1mb4zb1ow8dtk9k44,M. Sambataro,Defender,0,6.0,5.0,6.0,8.0,17.0,15.0,6.0,5.0,24.0,225.0,355.0,35.0,26.0,10.0,72.0,6.0,106.0,5.0,110.0,15.0,115.0,32.0,168.0,64.0,57.0,456.0,22.0,217.0,2.0,7.0,11.0,152.0,162.0,6.0,5.0,3.0,0.0,83.0,,,,8.0,,,,,22.0,16.0,,,3.0,8.0,4.0,5.0,3.0,,6.0,3.0,35.0,2.0,1.0,14.0,1.0,6.0,6.0,4.0,2.0,,1.0,23.0,4.0,1.0,10.0,9.0,12.0,7.0,4.0,3.0,5.0,,,,3.0,,1.0,,,,,,3.0,4.0,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,e81zc97bmfjgwo978gplrx46i,X. Valdez,Goalkeeper,0,4.0,4.0,4.0,,5.0,2.0,4.0,1.0,32.0,70.0,107.0,1.0,3.0,10.0,8.0,4.0,11.0,18.0,2.0,1.0,31.0,6.0,59.0,57.0,11.0,360.0,,37.0,2.0,,1.0,50.0,33.0,,,2.0,0.0,21.0,8.0,7.0,44.0,3.0,4.0,2.0,2.0,25.0,10.0,9.0,1.0,4.0,2.0,,,,1.0,,3.0,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,dbqtzb8bzhttrc0o3vb0cgk5w,C. Ventura,Forward,0,3.0,,,1.0,4.0,4.0,,,3.0,25.0,43.0,3.0,5.0,10.0,4.0,3.0,8.0,6.0,17.0,4.0,8.0,8.0,22.0,5.0,3.0,89.0,9.0,25.0,,1.0,1.0,22.0,22.0,,2.0,1.0,0.0,2.0,,,,1.0,,,,,,,,,,2.0,3.0,2.0,,3.0,3.0,,1.0,,,,,,,2.0,,,,2.0,1.0,1.0,,2.0,,3.0,,,4.0,3.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,8kfp50u6n00gd2s7speku9i7e,R. Vásquez,Midfielder,0,6.0,2.0,5.0,2.0,19.0,17.0,3.0,11.0,16.0,150.0,234.0,23.0,34.0,10.0,40.0,6.0,61.0,31.0,101.0,21.0,43.0,40.0,126.0,28.0,24.0,426.0,33.0,144.0,1.0,,17.0,121.0,123.0,5.0,1.0,12.0,0.0,43.0,,,,1.0,,,,,1.0,5.0,,,,8.0,4.0,6.0,8.0,1.0,6.0,,2.0,2.0,2.0,1.0,,6.0,3.0,3.0,4.0,2.0,2.0,17.0,4.0,1.0,8.0,9.0,12.0,6.0,4.0,,17.0,11.0,,3.0,,,,8.0,,,,,,3.0,,1.0,,2.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Nations_League,2023-2024,Dominican Republic,Dominican_Republic,7jn2vr9iq2cg2ui6oaww1i6i2,L. de Lucas,Defender,0,5.0,5.0,5.0,9.0,29.0,25.0,6.0,9.0,28.0,229.0,286.0,14.0,39.0,10.0,19.0,5.0,35.0,47.0,61.0,18.0,85.0,47.0,200.0,139.0,29.0,450.0,11.0,217.0,2.0,9.0,14.0,177.0,188.0,,4.0,15.0,0.0,86.0,,,,10.0,,,,,15.0,23.0,,,5.0,2.0,4.0,1.0,6.0,,8.0,1.0,3.0,4.0,,1.0,1.0,3.0,,1.0,,,2.0,,,,,,,2.0,1.0,,7.0,4.0,1.0,,4.0,,,4.0,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,,,,,,,,2.0,,,,,
