liga,temporada,equipo,id,nombre,posicion,dorsal,Time Played,Substitute On,Appearances,Index,Games Played,Yellow Cards,Substitute Off,Goals Conceded Inside Box,Starts,Goals Conceded,Clean Sheets,Goals,Right Foot Goals,Open Play Passes,Successful Passes Opposition Half,Total Passes,Successful Short Passes,Total Shots,Touches,Total Touches In Opposition Box,Shots On Target ( inc goals ),Assists (Intentional),Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Goal Assists,Successful Crosses & Corners,Successful Crosses open play,Total Red Cards,Straight Red Cards,Headed Goals,Forward Passes,Unsuccessful Crosses open play,Throw Ins to Own Player,Successful Lay-offs,Corners Won,Backward Passes,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Fouls Conceded,Successful Dribbles,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Blocked Shots,Recoveries,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Ground Duels,Duels won,Successful Long Passes,Total Fouls Won,Unsuccessful Dribbles,Duels,Left Foot Goals,Unsuccessful Crosses & Corners,Handballs conceded,Ground Duels lost,Tackles Won,Duels lost,Tackles Lost,Ground Duels won,Successful Launches,PutThrough/Blocked Distribution Won,Aerial Duels lost,Set Pieces Goals,Goals from Outside Box,Attempts from Set Pieces,Aerial Duels won,Total Clearances,Aerial Duels,Unsuccessful lay-offs,Offsides,Unsuccessful Launches,Foul Attempted Tackle,Blocks,Interceptions,Corners Taken (incl short corners),Unsuccessful Corners into Box,Saves Made,GK Successful Distribution,Catches,Saves Made from Inside Box,Penalties Conceded,Throw Ins to Opposition Player,Penalties Off Target,Penalties Taken,Successful Corners into Box,Punches,Saves Made from Outside Box,Saves made - parried,Penalties Faced,GK Unsuccessful Distribution,Own Goal Scored,Goals Conceded Outside Box,Penalties Saved,Saves from Penalty,Clearances Off the Line,Hit Woodwork,Red Cards - 2nd Yellow,Foul Won Penalty,Penalty Goals,Goalkeeper Smother,Through balls,Saves made - caught,Drops
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,41m6tiurk38hl0q9jamm3rv1l,M. Gómez,Midfielder,17,131.0,,2.0,10.0,2.0,,2.0,5.0,2.0,6.0,,,,18.0,3.0,21.0,17.0,1.0,31.0,,,,2.0,,16.0,19.0,,,,,,,5.0,,,,,5.0,1.0,1.0,3.0,16.0,3.0,1.0,4.0,,2.0,9.0,2.0,2.0,,5.0,,,12.0,5.0,2.0,1.0,,14.0,,,,8.0,3.0,9.0,,4.0,,,1.0,,,,1.0,,2.0,,,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,45kw3ynqu4c8m9myzugkv6uw9,R. Lopez,Midfielder,13,270.0,,3.0,10.0,3.0,1.0,,8.0,3.0,10.0,,,,79.0,34.0,83.0,52.0,3.0,161.0,1.0,,,1.0,,54.0,57.0,,1.0,1.0,,,,46.0,2.0,20.0,,1.0,10.0,7.0,3.0,49.0,24.0,10.0,19.0,5.0,,26.0,26.0,,21.0,1.0,12.0,4.0,10.0,33.0,19.0,5.0,6.0,7.0,37.0,,5.0,,17.0,8.0,18.0,2.0,16.0,,2.0,1.0,,,1.0,3.0,2.0,4.0,,,3.0,4.0,,5.0,,,,,,,,4.0,,,,,,,,,,2.0,,,,1.0,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,evt2m9gv72yhjale1s91869d5,K. Menjívar,Defender,2,270.0,,3.0,10.0,3.0,,,8.0,3.0,10.0,,,,88.0,38.0,92.0,55.0,3.0,153.0,2.0,1.0,,24.0,,63.0,66.0,,2.0,2.0,,,,52.0,4.0,11.0,,1.0,9.0,8.0,2.0,38.0,30.0,7.0,18.0,6.0,1.0,26.0,7.0,3.0,23.0,1.0,12.0,6.0,7.0,24.0,12.0,11.0,4.0,,26.0,,4.0,,12.0,5.0,14.0,2.0,12.0,3.0,2.0,2.0,,,,,5.0,2.0,,,2.0,4.0,1.0,6.0,,,,,,,,6.0,,,,,,,,,1.0,2.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,57gs56i0jpybszqg65cpjc99l,R. Ramirez,Forward,11,82.0,1.0,2.0,10.0,2.0,,1.0,2.0,1.0,2.0,,,,16.0,8.0,18.0,11.0,1.0,30.0,1.0,,,2.0,,10.0,11.0,,,,,,,7.0,,,,,7.0,1.0,1.0,13.0,3.0,1.0,6.0,4.0,1.0,7.0,2.0,1.0,7.0,,1.0,,,14.0,4.0,,2.0,2.0,16.0,,,,10.0,,12.0,1.0,4.0,,,2.0,,,,,,2.0,,,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,bj8bbyowdl5fmthwxn0idlnt,S. Ramirez,Defender,19,15.0,1.0,1.0,10.0,1.0,,,1.0,,2.0,,,,8.0,5.0,8.0,6.0,1.0,16.0,1.0,1.0,,3.0,,6.0,6.0,,,,,,,4.0,1.0,,,,1.0,,,7.0,1.0,,2.0,,1.0,2.0,,2.0,3.0,,1.0,,,4.0,1.0,,,2.0,4.0,,1.0,,3.0,,3.0,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,7csd9e4ga2p90zyawcpgdc82x,T. Romero,Goalkeeper,18,180.0,,2.0,10.0,2.0,,,7.0,2.0,9.0,,,,15.0,5.0,44.0,11.0,,65.0,,,,5.0,,9.0,21.0,,,,,,,36.0,,,,,,23.0,,23.0,16.0,2.0,,1.0,,23.0,3.0,,18.0,,24.0,,5.0,3.0,2.0,10.0,,,3.0,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,8.0,,,1.0,,,6.0,16.0,1.0,4.0,,,,,,,2.0,2.0,1.0,11.0,,2.0,1.0,1.0,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,eubjn5oqwsiyfs8v4enndxhpl,R. Santamaria,Midfielder,12,19.0,1.0,1.0,10.0,1.0,,,,,,,,,8.0,3.0,8.0,3.0,1.0,14.0,,,,3.0,,3.0,3.0,,,,,,,4.0,,,,,,3.0,1.0,6.0,,1.0,2.0,,,5.0,1.0,,1.0,,3.0,1.0,4.0,2.0,2.0,,,1.0,3.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,,,1.0,,1.0,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,es5djm3819gnuyyn5rzc5fca1,A. Saravia,Midfielder,16,75.0,1.0,1.0,10.0,1.0,,,1.0,,1.0,,,,19.0,8.0,19.0,10.0,,34.0,,,,,,12.0,12.0,,,,,,,10.0,,,,,3.0,2.0,,10.0,4.0,4.0,5.0,1.0,,7.0,6.0,2.0,7.0,,4.0,1.0,,8.0,7.0,2.0,2.0,,11.0,,,,3.0,3.0,4.0,1.0,5.0,,1.0,1.0,,,,2.0,1.0,3.0,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,f1c38frevxtdgeucwwxzred49,F. Villalta,Forward,7,113.0,2.0,3.0,10.0,3.0,,1.0,5.0,1.0,7.0,,,,9.0,6.0,18.0,12.0,1.0,33.0,5.0,,,3.0,,6.0,12.0,,,,,,,4.0,,,,,9.0,3.0,1.0,12.0,6.0,1.0,3.0,2.0,,6.0,2.0,2.0,3.0,,2.0,,3.0,9.0,6.0,,4.0,4.0,11.0,,,2.0,4.0,1.0,5.0,,5.0,,,1.0,,,,1.0,1.0,2.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Concacaf_Concacaf_U17,2017 Panama,El Salvador Under 17,618dhnbchks1c17qhhe7nud49,G. Ávila,Defender,5,180.0,,2.0,10.0,2.0,,,7.0,2.0,9.0,,,,38.0,2.0,38.0,23.0,,65.0,,,,12.0,,23.0,23.0,,,,,,,17.0,,,,,5.0,6.0,,19.0,21.0,2.0,9.0,4.0,,15.0,4.0,,8.0,,1.0,1.0,7.0,12.0,9.0,,4.0,1.0,15.0,,,1.0,6.0,2.0,6.0,,6.0,,1.0,,,,,3.0,8.0,3.0,,,6.0,2.0,1.0,6.0,,,,,,,1.0,1.0,,,,,,,,,1.0,2.0,,,,,,,,,,,
