matchday,id,equipo_local,link_local,equipo_visitante,link_visitante,link_partido,date,season,liga,source
Matchday 1,18us50jy42ckrot772acyswlw,Austin II,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/d0c07im4a6oj8qa7f1zlt3pqs,Rapids II,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/iiolvosiuokkrl5iuoxcjo4p,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/match/view/18us50jy42ckrot772acyswlw,08/03/2025,2025,USA_MLS_Next_Pro,results
Matchday 1,19epvc985q9f39zjbuq7j8qac,Crown Legacy,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/6ubc4y1v6hr63mca7ica4hp90,NYCFC II,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/6ddsx316t3j0z6nolrky9k4r8,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/match/view/19epvc985q9f39zjbuq7j8qac,08/03/2025,2025,USA_MLS_Next_Pro,results
Matchday 1,19v8luqu49tvsrbhgb5v62x3o,Atlanta Utd II,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/erwnez7ksfkns4dqmyr1fhbe,New York RB II,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/4g68p0t2f5jzhzfr67i2rj1ex,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/match/view/19v8luqu49tvsrbhgb5v62x3o,08/03/2025,2025,USA_MLS_Next_Pro,results
Matchday 1,1abqtam15ovdje4pzabw1bvo4,Ventura County,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/8ijkk62897so5r3bq0wgwx4bu,Tacoma,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/5icuo8utnztpsd9l03gdd68dl,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/match/view/1abqtam15ovdje4pzabw1bvo4,08/03/2025,2025,USA_MLS_Next_Pro,results
Matchday 1,1asc6x93lhqxctdda2ddrtpn8,Inter Miami II,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/c7c4wwva2u1vb3rr7rwava044,Chattanooga,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/cwnjxlibb02fuh0vwgvac6h45,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/match/view/1asc6x93lhqxctdda2ddrtpn8,08/03/2025,2025,USA_MLS_Next_Pro,results
Matchday 1,1b8wddhx0zlqyywfruo0utd78,Houston II,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/7pmw399vh2v44cjle4fkklp1w,Sporting KC II,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/7fbej4xwoq4imaf5l39304m37,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/match/view/1b8wddhx0zlqyywfruo0utd78,09/03/2025,2025,USA_MLS_Next_Pro,results
Matchday 1,1bpv53e0pfqpy7ez327k1k7x0,New England II,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/csntc7hucmo21gknxc5y0kc4q,Union II,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/1zgjjyruyufrkh4xjvryqsb1i,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/match/view/1bpv53e0pfqpy7ez327k1k7x0,09/03/2025,2025,USA_MLS_Next_Pro,results
Matchday 1,1c82pb6vxi1f6zkcbw3gndv6c,Chicago Fire,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/8o8m08he36u0j4w08aj2iodn8,Huntsville,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/4gymgvqmve0m2vh89v84tt3x0,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/match/view/1c82pb6vxi1f6zkcbw3gndv6c,09/03/2025,2025,USA_MLS_Next_Pro,results
Matchday 1,1cp0asedtifnpvq8g261b8wlw,Cincinnati II,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/bd0378yx50xpdcgwkt9p9bmz8,TFC II,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/29nx7yxy1rdqv2oobqn5pjf8p,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/match/view/1cp0asedtifnpvq8g261b8wlw,09/03/2025,2025,USA_MLS_Next_Pro,results
Matchday 1,1d5ml4eul6sgi826551o6txqs,Orlando City B,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/479lsfr4cwlzewpbuda3y2xv4,Columbus II,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/teams/view/5b4ccd62yeeqdl2qk6jzsmjv8,https://www.scoresway.com/en_GB/soccer/mls-next-pro-2025/5e5i4swzbs0x8ymx32jsdz2tw/match/view/1d5ml4eul6sgi826551o6txqs,10/03/2025,2025,USA_MLS_Next_Pro,results
