liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Open Play Passes,Penalty Goals Conceded,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Starts,Substitute Off,Successful Launches,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Yellow Cards,Winning Goal,Corners Won,Overruns,Substitute On,Successful Dribbles,Throw Ins to Own Player,Total Big Chances Created,Throw Ins to Opposition Player,Handballs conceded,Penalties Conceded,Shots Off Target (inc woodwork),Total Shots,Unsuccessful Dribbles,Goals,Goals Openplay,Goals from Inside Box,Hit Woodwork,Offsides,Right Foot Goals,Shots On Target ( inc goals ),Total Big Chances Missed,Unsuccessful lay-offs,Home Goals,Away Goals,Assists (Intentional),Corners Taken (incl short corners),Goal Assists,Successful Crosses & Corners,Successful Crosses open play,Through balls,Unsuccessful Corners into Box,Red Cards - 2nd Yellow,Total Red Cards,GK Successful Distribution,Goal Kicks,Total Big Chances Saved,Left Foot Goals,Catches,Drops,GK Unsuccessful Distribution,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - caught,Saves made - parried,Total Big Chances Scored,Penalties Taken,Penalty Goals,Successful Corners into Box,Attempts from Set Pieces,Second Goal Assists,Foul Won Penalty,Goals Conceded Outside Box,Goals from Outside Box,Own Goal Scored,Last Player Tackle,Headed Goals,Direct Setpiece Goals,Set Pieces Goals,Clearances Off the Line,Crosses not Claimed,Goalkeeper Smother,Straight Red Cards,Penalties Off Target,Penalties Saved,Saves from Penalty,Other Goals
USA_USL_Championship,2026,Birmingham Legion FC,3dyn7hheqvs3gm3m84jrra9lg,S. Antwi,Midfielder,18,14.0,5.0,9.0,8.0,52.0,2.0,3.0,151.0,3.0,53.0,20.0,33.0,30.0,114.0,2.0,8.0,8.0,8.0,39.0,15.0,24.0,7.0,3.0,146.0,393.0,2.0,34.0,7.0,4.0,28.0,93.0,3.0,8.0,1.0,1.0,3.0,4.0,356.0,156.0,212.0,364.0,3.0,10.0,714.0,3.0,20.0,7.0,12.0,50.0,405.0,368.0,13.0,1.0,37.0,494.0,1.0,1.0,15.0,16.0,17.0,21.0,21.0,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Birmingham Legion FC,9m2l2wpu8cht54izobml845t6,N. Brown,Defender,77,4.0,2.0,2.0,2.0,17.0,,,16.0,,11.0,2.0,9.0,15.0,13.0,,2.0,,,7.0,,7.0,,1.0,7.0,45.0,,5.0,3.0,1.0,6.0,9.0,1.0,1.0,1.0,,1.0,,39.0,14.0,26.0,40.0,,2.0,102.0,,4.0,1.0,4.0,14.0,46.0,40.0,2.0,2.0,6.0,71.0,4.0,4.0,1.0,1.0,6.0,4.0,5.0,,0.0,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Birmingham Legion FC,9tbreewzjkg94c3wz8xu3d7je,K. Cole,Midfielder,8,5.0,3.0,2.0,6.0,14.0,,1.0,29.0,1.0,18.0,9.0,9.0,10.0,27.0,,6.0,4.0,4.0,13.0,6.0,7.0,,,27.0,88.0,2.0,5.0,2.0,1.0,7.0,23.0,,1.0,,,,,77.0,33.0,47.0,80.0,4.0,2.0,177.0,3.0,1.0,,1.0,20.0,91.0,80.0,6.0,,11.0,111.0,,,3.0,3.0,7.0,4.0,8.0,,0.0,,,5.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Birmingham Legion FC,8bjjne12yudwbzfzjdlygqx62,A. Daley,Defender,26,12.0,5.0,7.0,5.0,37.0,2.0,1.0,61.0,,48.0,20.0,28.0,49.0,66.0,3.0,5.0,6.0,6.0,36.0,15.0,21.0,5.0,1.0,49.0,152.0,2.0,27.0,10.0,5.0,13.0,2.0,1.0,5.0,2.0,,,2.0,125.0,65.0,62.0,125.0,3.0,7.0,376.0,6.0,11.0,7.0,7.0,53.0,154.0,127.0,10.0,3.0,27.0,262.0,5.0,5.0,3.0,7.0,26.0,6.0,20.0,1.0,0.0,1.0,1.0,,4.0,23.0,,6.0,1.0,1.0,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Birmingham Legion FC,2rsduabh7r8i29f9i6znwbfu1,R. Damus,Forward,9,15.0,11.0,4.0,5.0,15.0,4.0,,22.0,,36.0,22.0,14.0,36.0,5.0,5.0,5.0,4.0,4.0,21.0,11.0,10.0,1.0,5.0,7.0,33.0,1.0,11.0,2.0,,4.0,8.0,5.0,2.0,2.0,,3.0,,26.0,19.0,9.0,28.0,2.0,1.0,224.0,2.0,3.0,9.0,5.0,19.0,35.0,28.0,3.0,11.0,7.0,76.0,1.0,1.0,1.0,1.0,5.0,3.0,6.0,2.0,0.0,2.0,,3.0,2.0,,1.0,,,,2.0,4.0,,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Birmingham Legion FC,6han4f5xq1d0ii0ol2drgi4bu,G. Diarbian,Forward,19,9.0,8.0,1.0,8.0,67.0,9.0,1.0,165.0,1.0,95.0,53.0,42.0,173.0,25.0,3.0,8.0,8.0,8.0,86.0,45.0,41.0,3.0,7.0,24.0,165.0,2.0,89.0,6.0,3.0,17.0,52.0,8.0,8.0,4.0,,6.0,2.0,143.0,103.0,44.0,143.0,2.0,2.0,690.0,30.0,2.0,9.0,25.0,91.0,168.0,145.0,4.0,40.0,23.0,317.0,13.0,12.0,1.0,4.0,30.0,6.0,19.0,2.0,0.0,12.0,2.0,,12.0,2.0,2.0,,,,3.0,11.0,21.0,,,,,5.0,,8.0,3.0,,,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Birmingham Legion FC,exoz42w08grp9ljra160xu1w4,L. Duru,Defender,2,1.0,1.0,,2.0,11.0,,,11.0,,4.0,3.0,1.0,3.0,7.0,2.0,2.0,1.0,1.0,3.0,2.0,1.0,,1.0,7.0,24.0,,6.0,2.0,2.0,2.0,,1.0,1.0,1.0,,,2.0,18.0,8.0,11.0,17.0,1.0,,72.0,,3.0,2.0,,11.0,25.0,19.0,1.0,,6.0,40.0,,,2.0,3.0,3.0,3.0,3.0,,0.0,,,1.0,,3.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Birmingham Legion FC,ece6sffb02drwz4brwndn0rh0,R. Hamouda,Defender,4,32.0,10.0,22.0,8.0,24.0,,8.0,202.0,2.0,52.0,19.0,33.0,16.0,202.0,1.0,8.0,7.0,7.0,20.0,9.0,11.0,5.0,1.0,40.0,386.0,1.0,61.0,1.0,,21.0,135.0,1.0,7.0,2.0,1.0,,20.0,334.0,127.0,223.0,328.0,3.0,1.0,545.0,3.0,36.0,7.0,5.0,62.0,401.0,348.0,4.0,1.0,53.0,485.0,1.0,1.0,16.0,35.0,42.0,12.0,18.0,,0.0,,,1.0,2.0,5.0,,1.0,,,,,2.0,,,,,1.0,,,,,,,,,,2.0,2.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Birmingham Legion FC,72upvctajyq3fix38nc9mahre,K. Hughes,Defender,5,6.0,5.0,1.0,2.0,4.0,,1.0,42.0,1.0,13.0,8.0,5.0,1.0,33.0,,2.0,2.0,2.0,7.0,3.0,4.0,1.0,,34.0,85.0,1.0,8.0,1.0,1.0,4.0,22.0,,2.0,,1.0,,8.0,75.0,19.0,64.0,75.0,1.0,1.0,180.0,,5.0,4.0,2.0,10.0,93.0,83.0,2.0,1.0,10.0,109.0,,,5.0,8.0,6.0,4.0,2.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2026,Birmingham Legion FC,3yd4f60qwxrbs2rch6uobxqsp,P. Kavita,Defender,3,13.0,7.0,6.0,6.0,11.0,,3.0,105.0,2.0,22.0,11.0,11.0,2.0,92.0,1.0,6.0,5.0,5.0,9.0,4.0,5.0,2.0,1.0,77.0,208.0,1.0,21.0,3.0,1.0,11.0,39.0,1.0,4.0,1.0,2.0,,6.0,186.0,33.0,164.0,191.0,1.0,1.0,456.0,,28.0,4.0,3.0,26.0,219.0,197.0,2.0,1.0,22.0,265.0,,,9.0,16.0,14.0,8.0,6.0,1.0,1.0,,,2.0,,,,,1.0,1.0,,1.0,,1.0,,1.0,,,,1.0,,,0.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
