liga,temporada,equipo,id,nombre,posicion,dorsal,Total Losses Of Possession,Ground Duels lost,Shots Off Target (inc woodwork),Successful Dribbles,Total Fouls Conceded,Leftside Passes,Penalty Goals Conceded,Ground Duels won,Throw Ins to Opposition Player,Recoveries,Throw Ins to Own Player,Goals Conceded Outside Box,Total Passes,Clearances Off the Line,Touches,Aerial Duels lost,Shots On Target ( inc goals ),Unsuccessful Passes Own Half,Total Successful Passes ( Excl Crosses & Corners ) ,Time Played,Duels,Total Touches In Opposition Box,Corners Won,Ground Duels,Unsuccessful Crosses open play,Goals Conceded Inside Box,Unsuccessful Crosses & Corners,Index,Duels won,Hit Woodwork,Yellow Cards,Successful Open Play Passes,Successful Passes Own Half,Successful Lay-offs,Successful Short Passes,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Duels lost,Successful Crosses & Corners,Successful Crosses open play,Total Shots,Goals Conceded,Total Unsuccessful Passes ( Excl Crosses & Corners ),Total Tackles,Unsuccessful Short Passes,Backward Passes,Forward Passes,Aerial Duels won,Appearances,Clean Sheets,Successful Passes Opposition Half,Unsuccessful Dribbles,Games Played,Total Clearances,Tackles Won,Tackles Lost,Aerial Duels,Open Play Passes,Key Passes (Attempt Assists),Unsuccessful Launches,Times Tackled,Successful Long Passes,Total Fouls Won,Rightside Passes,Successful Launches,PutThrough/Blocked Distribution,Interceptions,Blocks,Starts,Foul Attempted Tackle,Unsuccessful Passes Opposition Half,Winning Goal,Corners Taken (incl short corners),Through balls,Substitute Off,Substitute On,Unsuccessful Corners into Box,Goals from Inside Box,Handballs conceded,Goals,Right Foot Goals,Blocked Shots,Overruns,Unsuccessful lay-offs,Home Goals,Away Goals,Successful Corners into Box,Last Player Tackle,Left Foot Goals,Offsides,Goals from Outside Box,Headed Goals,Straight Red Cards,Total Red Cards,Assists (Intentional),Goal Assists,Penalties Conceded,Attempts from Set Pieces,Red Cards - 2nd Yellow,Goal Kicks,GK Successful Distribution,Foul Won Penalty,Second Goal Assists,Saves Made from Outside Box,Saves Made,Penalties Faced,GK Unsuccessful Distribution,Punches,Catches,Goalkeeper Smother,Saves Made from Inside Box,Drops,Saves made - parried,Set Pieces Goals,Penalties Taken,Penalty Goals,Own Goal Scored,Saves made - caught,Saves from Penalty,Penalties Saved,Crosses not Claimed,Other Goals,Penalties Off Target
Mexico_Liga_MX,2023-2024,FC Juárez,apsv0c0r1zc7q3bjqex8033kl,J. Abella,Defender,4,245.0,48.0,3.0,3.0,15.0,260.0,4.0,50.0,39.0,69.0,132.0,7.0,702.0,1.0,1114.0,21.0,3.0,37.0,562.0,1530.0,131.0,9.0,11.0,98.0,35.0,17.0,35.0,10.0,62.0,1.0,3.0,547.0,250.0,2.0,499.0,55.0,8.0,69.0,14.0,14.0,6.0,24.0,140.0,33.0,85.0,105.0,297.0,12.0,17.0,5.0,326.0,6.0,17.0,37.0,18.0,15.0,33.0,684.0,12.0,24.0,13.0,63.0,14.0,40.0,9.0,28.0,22.0,3.0,17.0,8.0,138.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,FC Juárez,3zrr36fbez8ksgivu7ksfv6ne,D. Campillo,Defender,27,47.0,12.0,1.0,,1.0,21.0,1.0,10.0,8.0,18.0,16.0,,148.0,,238.0,6.0,3.0,11.0,115.0,329.0,29.0,4.0,2.0,22.0,,6.0,,10.0,11.0,,2.0,110.0,66.0,,106.0,18.0,4.0,18.0,,,4.0,6.0,33.0,8.0,15.0,9.0,67.0,1.0,5.0,,49.0,3.0,5.0,17.0,4.0,4.0,7.0,143.0,1.0,9.0,4.0,9.0,2.0,51.0,1.0,7.0,4.0,,4.0,1.0,22.0,1.0,,,1.0,1.0,,,,1.0,1.0,1.0,,,1.0,0.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,FC Juárez,5ltl37t0aom6i3aqd1u8attsk,J. Carmona,Midfielder,201,13.0,3.0,,1.0,,5.0,,1.0,1.0,2.0,7.0,,19.0,,34.0,,,2.0,11.0,43.0,5.0,1.0,,4.0,1.0,1.0,1.0,10.0,2.0,,,10.0,4.0,,11.0,2.0,1.0,3.0,,,,1.0,8.0,,6.0,2.0,9.0,1.0,2.0,,7.0,2.0,2.0,,,,1.0,18.0,2.0,,3.0,,,3.0,,3.0,1.0,,,,7.0,0.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,FC Juárez,85436l5up2xc6myludcmq2191,D. Chávez,Forward,13,137.0,48.0,10.0,10.0,14.0,74.0,2.0,38.0,,48.0,13.0,4.0,241.0,,428.0,27.0,2.0,15.0,156.0,906.0,135.0,43.0,8.0,86.0,10.0,16.0,10.0,10.0,60.0,,2.0,149.0,66.0,5.0,145.0,15.0,20.0,75.0,1.0,1.0,12.0,20.0,85.0,23.0,70.0,57.0,84.0,22.0,16.0,,91.0,10.0,16.0,16.0,15.0,8.0,49.0,233.0,11.0,7.0,20.0,11.0,6.0,26.0,4.0,32.0,9.0,2.0,12.0,8.0,80.0,0.0,,1.0,10.0,4.0,,1.0,,1.0,1.0,7.0,2.0,3.0,1.0,0.0,,,,4.0,,,,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,FC Juárez,5av0x4no7v8epor7wm4ss371m,A. Cruz,Defender,25,126.0,16.0,,6.0,2.0,16.0,2.0,23.0,10.0,33.0,72.0,2.0,296.0,,486.0,6.0,,34.0,212.0,765.0,50.0,2.0,,39.0,8.0,11.0,8.0,10.0,28.0,,,209.0,107.0,,198.0,31.0,11.0,22.0,6.0,6.0,,13.0,84.0,15.0,53.0,46.0,140.0,5.0,11.0,,111.0,3.0,11.0,11.0,7.0,8.0,11.0,292.0,6.0,13.0,7.0,14.0,2.0,94.0,3.0,30.0,6.0,4.0,9.0,1.0,58.0,0.0,,,4.0,2.0,,,,,,2.0,2.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,FC Juárez,ebd087qhfyhs6i8k2442xgb11,J. Dueñas,Midfielder,29,12.0,4.0,,,1.0,26.0,1.0,4.0,,10.0,1.0,1.0,89.0,,104.0,3.0,,3.0,81.0,78.0,12.0,,1.0,8.0,,2.0,1.0,10.0,5.0,,,80.0,30.0,,75.0,3.0,1.0,7.0,1.0,,,3.0,8.0,2.0,5.0,12.0,16.0,1.0,6.0,,52.0,1.0,6.0,,2.0,,4.0,88.0,2.0,,2.0,6.0,2.0,35.0,,2.0,,1.0,,1.0,6.0,0.0,2.0,,,6.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,FC Juárez,d5v66qyfnyed52vg60c8xblxx,A. Escoto,Forward,35,45.0,7.0,4.0,1.0,1.0,17.0,2.0,7.0,,9.0,,,73.0,,133.0,16.0,4.0,4.0,52.0,409.0,43.0,21.0,2.0,14.0,1.0,5.0,2.0,10.0,20.0,,,48.0,20.0,4.0,49.0,2.0,5.0,23.0,,,8.0,5.0,21.0,1.0,19.0,18.0,17.0,13.0,10.0,,32.0,4.0,10.0,4.0,,1.0,29.0,69.0,2.0,,6.0,3.0,6.0,21.0,,5.0,,,3.0,,19.0,1.0,1.0,,3.0,7.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,3.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,FC Juárez,1uwzexihmrqam59w77px5r3rp,Aitor García,Forward,33,162.0,48.0,15.0,21.0,11.0,73.0,4.0,44.0,1.0,41.0,5.0,3.0,316.0,,540.0,8.0,13.0,15.0,248.0,1150.0,108.0,32.0,16.0,92.0,21.0,22.0,26.0,10.0,52.0,1.0,2.0,246.0,97.0,7.0,231.0,12.0,5.0,56.0,3.0,2.0,28.0,25.0,68.0,13.0,56.0,89.0,68.0,8.0,15.0,,154.0,18.0,15.0,4.0,8.0,5.0,16.0,314.0,6.0,7.0,25.0,17.0,10.0,86.0,1.0,20.0,6.0,,14.0,7.0,79.0,1.0,3.0,1.0,7.0,1.0,2.0,3.0,1.0,4.0,2.0,10.0,6.0,,1.0,3.0,1.0,,2.0,3.0,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,FC Juárez,7ektssxzsojwqwjk3vy2mgjro,D. García,Midfielder,5,93.0,33.0,6.0,13.0,12.0,144.0,2.0,40.0,1.0,66.0,6.0,2.0,469.0,,609.0,12.0,5.0,15.0,410.0,895.0,95.0,1.0,1.0,73.0,4.0,19.0,4.0,10.0,50.0,1.0,,406.0,221.0,2.0,371.0,26.0,11.0,45.0,,,11.0,21.0,59.0,15.0,33.0,74.0,112.0,10.0,14.0,,189.0,3.0,14.0,11.0,8.0,7.0,22.0,464.0,12.0,6.0,8.0,39.0,12.0,139.0,,18.0,4.0,4.0,11.0,10.0,48.0,0.0,,3.0,9.0,3.0,,,,1.0,1.0,3.0,2.0,,1.0,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexico_Liga_MX,2023-2024,FC Juárez,dwum0a33ais17ui5lyfr6iswl,J. García,Defender,26,126.0,21.0,5.0,,15.0,176.0,4.0,23.0,,48.0,1.0,4.0,720.0,,877.0,32.0,3.0,45.0,600.0,1235.0,112.0,13.0,1.0,44.0,,21.0,,10.0,59.0,,4.0,573.0,430.0,,529.0,71.0,3.0,53.0,,,8.0,25.0,120.0,18.0,49.0,34.0,275.0,36.0,15.0,,170.0,1.0,15.0,67.0,7.0,11.0,68.0,690.0,2.0,28.0,1.0,71.0,5.0,235.0,6.0,4.0,19.0,3.0,13.0,8.0,75.0,0.0,,,,2.0,,1.0,,1.0,,1.0,,,1.0,0.0,,,,,,1.0,,,,,,,,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,
