liga,temporada,equipo,id,nombre,posicion,dorsal,Games Played,Goals,Yellow Cards,Total Red Cards,Straight Red Cards,Red Cards - 2nd Yellow,Substitute On,Substitute Off
Concacaf_Concacaf_U20,2024 Mexico,Costa Rica Under 20,4a7zvymnsu444xfhd5h19xxqs,W. Ramírez,Defender,16,4,0,2,1,1,0,0,2
Concacaf_Concacaf_U20,2024 Mexico,Costa Rica Under 20,d76vjem9bygpoxl7q2jrva8t0,B. Rodríguez,Midfielder,8,3,0,0,0,0,0,2,0
Concacaf_Concacaf_U20,2024 Mexico,Costa Rica Under 20,2eb4ow1em8164ikjbewzv3b4k,A. Rojas,Attacker,11,4,2,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Costa Rica Under 20,talseepehvmand1c6hr5hxqs,B. Rojas,Goalkeeper,1,4,0,0,0,0,0,0,0
Concacaf_Concacaf_U20,2024 Mexico,Costa Rica Under 20,ae4zix5sieggtpp5fu93g2fbo,F. Samadian,Defender,4,3,0,0,0,0,0,1,0
Concacaf_Concacaf_U20,2024 Mexico,Costa Rica Under 20,eu6pktmlz3r7qlbwoodmlgdn8,M. Wanchope,Midfielder,21,2,0,0,0,0,0,1,1
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,3uc4qh55coo2iswash20rd89g,M. Camejo,Midfielder,10,5,1,1,0,0,0,0,2
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,3aawieiwx379azn3g6pgd0efo,M. Campo,Midfielder,6,5,0,0,0,0,0,3,2
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,aqbtfatocqmra3wpw5t7szzf8,E. Casanova,Defender,2,5,0,1,0,0,0,0,2
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,f4w6ljguvjvqu93p6zkgki6ms,A. Casanova,Attacker,7,5,0,1,0,0,0,0,4
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,a6043mjs5lx8jejg4orrck07o,Y. Castañer,Attacker,18,5,0,0,0,0,0,3,1
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,c9qfbazmxdk7irju5tzz6e8t0,N. Chávez,Defender,16,5,0,0,0,0,0,1,0
Concacaf_Concacaf_U20,2024 Mexico,Cuba Under 20,eab21dp2nb0dj5xcotn3tz4k,D. Pérez,Attacker,9,5,1,0,0,0,0,1,4
