liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels won,Appearances,Backward Passes,Blocked Shots,Carries,Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals,Goals Conceded,Goals Conceded Outside Box,Goals Openplay,Goals from Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Overruns,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Right Foot Goals,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Through balls,Time Played,Times Tackled,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Passes Opposition Half,Unsuccessful Short Passes,Yellow Cards,Home Goals,Away Goals,Winning Goal,Substitute On,Aerial Duels lost,Foul Won Penalty,Goals Conceded Inside Box,Goals from Inside Box,Hit Woodwork,Left Foot Goals,Other Goals,Tackles Won,Total Big Chances Created,Total Big Chances Missed,Total Big Chances Scored,Unsuccessful Passes Own Half,Blocks,GK Successful Distribution,Goal Kicks,Handballs conceded,Interceptions,Penalties Conceded,Penalty Goals Conceded,Red Cards - 2nd Yellow,Successful Launches,Throw Ins to Opposition Player,Throw Ins to Own Player,Total Red Cards,Unsuccessful Launches,Unsuccessful Long Passes,Assists (Intentional),Clean Sheets,Total Big Chances Saved,GK Unsuccessful Distribution,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Attempts from Set Pieces,Corners Taken (incl short corners),Successful Corners into Box,Unsuccessful Corners into Box,Second Goal Assists,Catches,Goalkeeper Smother,Penalties Faced,Headed Goals,Penalties Taken,Clearances Off the Line,Last Player Tackle,Own Goal Scored,Unsuccessful lay-offs,Direct Setpiece Goals,Penalty Goals,Set Pieces Goals,Punches,Straight Red Cards,Drops,Penalties Saved,Saves from Penalty,Penalties Off Target,Saves made - caught,Direct Corner Goals,Crosses not Claimed
USA_MLS_Next_Pro,2026,Atlanta United 2,a63su8pudaernrvj1fi9006qc,L. Brennan,Midfielder,20,1.0,1.0,2.0,9.0,2.0,43.0,2.0,25.0,13.0,12.0,45.0,5.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,24.0,13.0,11.0,2.0,12.0,3.0,31.0,1.0,20.0,3.0,2.0,6.0,1.0,8.0,3.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,1.0,1.0,27.0,20.0,12.0,29.0,2.0,1.0,159.0,9.0,1.0,1.0,3.0,21.0,34.0,4.0,30.0,2.0,7.0,4.0,81.0,5.0,5.0,3.0,9.0,4.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Atlanta United 2,e94e66xl2k17r29za3kkxo650,A. Browne,Midfielder,61,,,1.0,1.0,,,,1.0,1.0,,5.0,1.0,,1.0,,,,,,,1.0,1.0,,,,,5.0,,,,,1.0,,3.0,,,,,,,,,,,5.0,5.0,,5.0,,,3.0,,,1.0,,,5.0,,5.0,,,,5.0,,,,,,,,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Atlanta United 2,d043ppr554ym2j2xf3fcmbqsq,L. Butts,Forward,38,27.0,14.0,8.0,25.0,4.0,19.0,1.0,49.0,25.0,24.0,56.0,18.0,3.0,8.0,,3.0,6.0,1.0,3.0,,22.0,12.0,10.0,3.0,11.0,4.0,59.0,1.0,6.0,4.0,3.0,11.0,,7.0,3.0,2.0,5.0,4.0,4.0,1.0,1.0,4.0,3.0,,42.0,27.0,18.0,44.0,1.0,1.0,362.0,5.0,1.0,6.0,2.0,34.0,61.0,7.0,44.0,4.0,17.0,17.0,109.0,,,1.0,15.0,17.0,1.0,2.0,1.0,0.0,4.0,13.0,1.0,5.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Atlanta United 2,74x5zysb9qkyyxuha65102z56,D. Chica,Defender,44,16.0,6.0,8.0,40.0,1.0,86.0,1.0,79.0,32.0,47.0,47.0,141.0,4.0,8.0,,1.0,10.0,2.0,1.0,,63.0,22.0,41.0,2.0,87.0,,291.0,,46.0,9.0,4.0,43.0,1.0,41.0,2.0,2.0,3.0,8.0,1.0,,,14.0,,25.0,239.0,90.0,167.0,232.0,6.0,,688.0,10.0,29.0,8.0,5.0,105.0,309.0,5.0,257.0,22.0,10.0,52.0,512.0,3.0,3.0,5.0,33.0,34.0,,1.0,0.0,1.0,,10.0,,8.0,1.0,,,,16.0,,1.0,,22.0,3.0,2.0,2.0,1.0,13.0,1.0,1.0,2.0,5.0,21.0,43.0,2.0,10.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Atlanta United 2,f69xf0cdfn1qe63t5tr5in10,D. Chong Qui,Defender,50,15.0,8.0,9.0,49.0,3.0,65.0,10.0,92.0,44.0,48.0,187.0,59.0,8.0,9.0,3.0,,9.0,1.0,,,77.0,37.0,40.0,8.0,8.0,1.0,200.0,2.0,46.0,18.0,8.0,36.0,,88.0,11.0,1.0,10.0,9.0,3.0,5.0,5.0,10.0,,1.0,153.0,101.0,61.0,156.0,10.0,,724.0,16.0,7.0,17.0,8.0,121.0,204.0,11.0,157.0,22.0,31.0,47.0,423.0,16.0,16.0,11.0,54.0,41.0,,,,0.0,,7.0,,8.0,,,,,12.0,4.0,3.0,,9.0,,,,,11.0,,1.0,,,21.0,51.0,,1.0,6.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Atlanta United 2,ax85rd5ngtjl6iqnalyw6pgk4,M. Cisset,Defender,64,21.0,15.0,7.0,31.0,,64.0,,60.0,25.0,35.0,45.0,127.0,4.0,7.0,,,9.0,,,,39.0,19.0,20.0,5.0,17.0,,285.0,,32.0,3.0,1.0,21.0,,125.0,5.0,5.0,,6.0,1.0,,,1.0,,23.0,237.0,105.0,146.0,228.0,4.0,,521.0,8.0,25.0,7.0,8.0,62.0,300.0,5.0,251.0,11.0,5.0,49.0,385.0,,,5.0,40.0,27.0,1.0,,,0.0,1.0,6.0,,9.0,,,,,7.0,2.0,,,9.0,4.0,,,,5.0,,1.0,,8.0,,4.0,,13.0,22.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Atlanta United 2,8vmttwry45aqhdprnzfc2a13o,R. Clarson,Goalkeeper,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Atlanta United 2,6q634opy4rb3nki6ydmgpbhg4,J. Donaldson,Goalkeeper,60,,,2.0,,,2.0,,1.0,,1.0,,34.0,,2.0,,,2.0,,,,1.0,,1.0,1.0,6.0,,38.0,,2.0,,,20.0,,10.0,1.0,,,2.0,,,,,,6.0,23.0,6.0,24.0,24.0,,,180.0,,1.0,,,21.0,50.0,,30.0,1.0,,20.0,68.0,,,,15.0,,,,,0.0,,,,2.0,,,,,1.0,,,,5.0,,13.0,7.0,,,,,,3.0,,,,16.0,20.0,,1.0,1.0,3.0,6.0,2.0,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Atlanta United 2,df1sz56t5hlfzirexly3phwyc,E. Dovlo,Forward,67,14.0,1.0,10.0,77.0,5.0,116.0,4.0,90.0,55.0,35.0,184.0,44.0,5.0,10.0,1.0,1.0,10.0,,1.0,,76.0,42.0,34.0,14.0,81.0,1.0,216.0,4.0,57.0,8.0,1.0,49.0,,16.0,15.0,4.0,4.0,8.0,4.0,6.0,6.0,16.0,1.0,8.0,166.0,110.0,64.0,160.0,4.0,,705.0,23.0,5.0,11.0,5.0,116.0,218.0,8.0,168.0,13.0,37.0,50.0,357.0,17.0,17.0,6.0,57.0,40.0,,1.0,0.0,0.0,2.0,13.0,,10.0,1.0,,1.0,,9.0,3.0,,1.0,10.0,2.0,,,,1.0,,1.0,,,,2.0,,3.0,10.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS_Next_Pro,2026,Atlanta United 2,6kp2pv58u27yf5tnclyhnuoh6,C. Dunbar,Forward,70,9.0,3.0,10.0,47.0,6.0,90.0,6.0,78.0,41.0,37.0,231.0,66.0,1.0,10.0,3.0,4.0,11.0,2.0,4.0,,69.0,35.0,34.0,21.0,34.0,2.0,186.0,2.0,58.0,14.0,6.0,34.0,2.0,54.0,24.0,13.0,12.0,10.0,6.0,14.0,3.0,7.0,3.0,9.0,157.0,146.0,40.0,163.0,3.0,,826.0,20.0,1.0,5.0,20.0,101.0,201.0,25.0,172.0,7.0,34.0,29.0,387.0,26.0,9.0,7.0,51.0,24.0,2.0,0.0,4.0,1.0,,6.0,,9.0,4.0,1.0,2.0,,4.0,5.0,7.0,3.0,4.0,,,,1.0,4.0,,1.0,,,,4.0,,1.0,5.0,2.0,1.0,,,,,,,4.0,24.0,10.0,11.0,,,,,,,,,,,,,,,,,,,,,,
