liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Backward Passes,Blocks,Carries,Clean Sheets,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Games Played,Goals Conceded,Goals Conceded Inside Box,Ground Duels,Ground Duels lost,Ground Duels won,Interceptions,Leftside Passes,Open Play Passes,Progressive Carries,Recoveries,Rightside Passes,Shots On Target ( inc goals ),Starts,Successful Dribbles,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Foul Attempted Tackle,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Substitute Off,Unsuccessful lay-offs,Hit Woodwork,Substitute On,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Yellow Cards,Successful Crosses & Corners,Successful Crosses open play,Total Fouls Won,GK Successful Distribution,GK Unsuccessful Distribution,Goal Kicks,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Successful Launches,Total Big Chances Saved,Corners Taken (incl short corners),Corners Won,Key Passes (Attempt Assists),Overruns,Successful Corners into Box,Successful Lay-offs,Total Big Chances Created,Unsuccessful Corners into Box,Offsides,Goals,Goals Openplay,Goals from Inside Box,Headed Goals,Total Big Chances Scored,Home Goals,Away Goals,Assists (Intentional),Goal Assists,Blocked Shots,Through balls,Catches,Saves made - parried,Clearances Off the Line,Handballs conceded,Attempts from Set Pieces,Goals from Outside Box,Right Foot Goals,Goalkeeper Smother,Goals Conceded Outside Box,Penalty Goals Conceded,Shots Created,Drops,Penalties Faced,Left Foot Goals,Penalties Conceded,Foul Won Penalty,Penalties Taken,Penalty Goals,Saves made - caught,Other Goals,Straight Red Cards,Total Red Cards,Last Player Tackle,Second Goal Assists,Red Cards - 2nd Yellow,Penalties Off Target,Crosses not Claimed,Direct Setpiece Goals,Set Pieces Goals,Penalties Saved,Saves from Penalty,Own Goal Scored
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,e1e506479mqo8j3geie6amuj8,S. Hawkins,Defender,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,7g27aztcta6kcxevz44b8lv4l,Kim Kee-Hee,Defender,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,103jal6mncou8a85jz8ceqg6i,P. Kingston,Midfielder,45,1.0,,1.0,3.0,5.0,,4.0,,9.0,2.0,7.0,9.0,7.0,3.0,1.0,1.0,8.0,2.0,6.0,1.0,1.0,15.0,2.0,1.0,2.0,,,1.0,,10.0,7.0,5.0,10.0,3.0,1.0,,2.0,55.0,,,3.0,1.0,7.0,15.0,,10.0,4.0,,5.0,36.0,,1.0,1.0,4.0,3.0,4.0,0.0,1.0,1.0,1.0,,,,,3.0,2.0,2.0,1.0,2.0,2.0,1.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,2iusvkm9t8r1widsfvbesnjf8,K. Kossa-Rienzi,Midfielder,85,8.0,1.0,7.0,4.0,31.0,1.0,28.0,1.0,37.0,14.0,23.0,38.0,42.0,4.0,4.0,3.0,29.0,13.0,16.0,5.0,60.0,130.0,11.0,13.0,,,4.0,1.0,13.0,102.0,43.0,64.0,92.0,5.0,7.0,8.0,26.0,341.0,2.0,,18.0,3.0,45.0,133.0,1.0,105.0,12.0,5.0,28.0,230.0,1.0,6.0,9.0,18.0,12.0,19.0,0.0,2.0,7.0,5.0,1.0,1.0,,,,2.0,2.0,,2.0,2.0,3.0,,,,,,,,2.0,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,dil2b9u1omrsdbxba5swbe9gq,A. Lopez,Defender,35,3.0,2.0,1.0,1.0,,1.0,,,3.0,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,1.0,,,,,,,,3.0,,,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,4dji8lgdl3psnfchdwpllvod0,G. Minoungou,Forward,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,5vsdc384lgj2t43i6t5ogur4l,J. Morris,Forward,13,15.0,8.0,7.0,2.0,5.0,,9.0,,23.0,15.0,8.0,21.0,7.0,2.0,2.0,2.0,8.0,7.0,1.0,,10.0,26.0,6.0,5.0,6.0,1.0,2.0,1.0,,15.0,12.0,6.0,17.0,,,,,161.0,2.0,,1.0,5.0,17.0,28.0,1.0,17.0,,11.0,11.0,42.0,1.0,1.0,1.0,12.0,,10.0,0.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,1.0,1.0,,,4.0,2.0,,1.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,9pij37xod9240dolmvy6wrvmx,D. Musovski,Forward,19,5.0,3.0,2.0,3.0,6.0,,6.0,,10.0,7.0,3.0,15.0,3.0,3.0,,,5.0,4.0,1.0,,1.0,13.0,4.0,3.0,3.0,2.0,,,1.0,9.0,4.0,5.0,8.0,1.0,,,,97.0,1.0,,2.0,1.0,10.0,13.0,3.0,9.0,1.0,7.0,4.0,31.0,,,,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,,,,3.0,,,1.0,,,,,,,,,,,,,,,2.0,,,2.0,1.0,,,2.0,1.0,2.0,1.0,2.0,2.0,0.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,66bdf9l614g2dx43x8003m162,N. Petković,Midfielder,44,2.0,1.0,1.0,2.0,,,3.0,,4.0,3.0,1.0,4.0,2.0,2.0,,,2.0,2.0,,,3.0,9.0,1.0,,4.0,1.0,,,2.0,9.0,6.0,3.0,7.0,,,,,22.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,9.0,,1.0,,14.0,,,,1.0,,,0.0,,1.0,1.0,,,,,2.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,51i5ikmh6oihzdwk5e0vmokq1,J. Ragen,Defender,25,16.0,7.0,9.0,4.0,6.0,2.0,42.0,1.0,34.0,14.0,20.0,7.0,96.0,4.0,4.0,3.0,18.0,7.0,11.0,2.0,51.0,230.0,19.0,8.0,97.0,,4.0,,8.0,204.0,54.0,168.0,213.0,3.0,4.0,,,360.0,2.0,,25.0,3.0,32.0,250.0,2.0,221.0,7.0,3.0,29.0,300.0,,10.0,18.0,19.0,10.0,11.0,0.0,,3.0,1.0,2.0,,,,,,,,1.0,1.0,4.0,8.0,,8.0,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,1.0
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,5uwkzz79ayagkh2ukysvgolwp,P. Rothrock,Forward,14,7.0,4.0,3.0,4.0,18.0,1.0,19.0,,37.0,24.0,13.0,51.0,8.0,4.0,3.0,3.0,30.0,20.0,10.0,1.0,2.0,41.0,16.0,6.0,13.0,3.0,2.0,1.0,,31.0,25.0,7.0,31.0,1.0,1.0,,7.0,233.0,10.0,2.0,1.0,7.0,31.0,41.0,8.0,31.0,2.0,15.0,10.0,101.0,8.0,2.0,2.0,12.0,2.0,8.0,1.0,3.0,,,5.0,,,1.0,2.0,4.0,4.0,1.0,1.0,1.0,7.0,,,,,,,,,,,3.0,2.0,,,2.0,,,,2.0,2.0,2.0,,2.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,16dzxpieo1asiprh1h3h4uz11,A. Rusnák,Midfielder,11,,,,4.0,32.0,1.0,49.0,,11.0,7.0,4.0,56.0,37.0,4.0,4.0,3.0,11.0,7.0,4.0,,23.0,133.0,23.0,14.0,49.0,2.0,4.0,,8.0,116.0,72.0,57.0,115.0,,,,,325.0,3.0,1.0,2.0,1.0,35.0,141.0,6.0,123.0,,5.0,18.0,184.0,2.0,1.0,3.0,22.0,4.0,15.0,0.0,,5.0,3.0,4.0,3.0,,,,8.0,2.0,,6.0,2.0,4.0,,,,,,,,,,7.0,,5.0,,2.0,5.0,,5.0,,2.0,2.0,1.0,,1.0,2.0,0.0,,,2.0,2.0,,,,,1.0,1.0,1.0,,1.0,,5.0,,,1.0,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,bo9momaa9orr52cbwpt348t90,R. Sailor,Defender,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,s9a51dj3nkad2e53b2jbgl5g,S. Gomez,Midfielder,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,9q91h72hhbibgekbjb8vcdxey,A. Thomas,Goalkeeper,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,4ctqowp9o7mwhajsc4gucql0p,N. Tolo,Defender,5,5.0,2.0,3.0,4.0,30.0,2.0,29.0,1.0,25.0,13.0,12.0,29.0,44.0,4.0,3.0,2.0,20.0,11.0,9.0,6.0,11.0,119.0,22.0,11.0,35.0,,4.0,3.0,4.0,97.0,39.0,61.0,94.0,1.0,1.0,3.0,18.0,335.0,5.0,,16.0,5.0,45.0,120.0,1.0,98.0,2.0,5.0,22.0,203.0,4.0,10.0,14.0,23.0,5.0,8.0,0.0,2.0,3.0,1.0,1.0,2.0,,,,6.0,6.0,1.0,2.0,2.0,4.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,9fbj8njpn0q6j87le4rnafjf8,Y. Tsukanome,Forward,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,bmnmlbq9uk9c7p1sxc09shl1x,Y. Gómez,Defender,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2026,Seattle Sounders FC,f4volqxnck01nospitq47qb8q,P. de la Vega,Forward,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
