root_folder,liga,temporada,equipo,equipo_folder,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Substitute On,Successful Launches,Open Play Passes,Corners Won,Backward Passes,Successful Crosses & Corners,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Total Passes,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Throw Ins to Opposition Player,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Blocks,Ground Duels,Forward Passes,Index,Duels won,Successful Long Passes,Successful Crosses open play,Total Fouls Won,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Saves Made,GK Successful Distribution,Penalties Conceded,Total Fouls Conceded,Rightside Passes,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Yellow Cards,PutThrough/Blocked Distribution Won,Substitute Off,Corners Taken (incl short corners),Foul Attempted Tackle,Aerial Duels won,Unsuccessful Dribbles,Offsides,Shots Off Target (inc woodwork),Total Shots,Total Touches In Opposition Box,Unsuccessful Corners into Box,Handballs conceded,Assists (Intentional),Goal Assists,Goals,Blocked Shots,Shots On Target ( inc goals ),Left Foot Goals,Headed Goals,Goals from Inside Box,Set Pieces Goals,Successful Corners into Box,Goals from Outside Box,Attempts from Set Pieces,Clearances Off the Line,Hit Woodwork,Unsuccessful lay-offs,Successful Lay-offs,Clean Sheets,Punches,Total Red Cards,Straight Red Cards,Crosses not Claimed,Through balls,Own Goal Scored,Right Foot Goals,Foul Won Penalty,Penalties Taken,Penalty Goals,Goals Conceded Outside Box,Goalkeeper Smother,Red Cards - 2nd Yellow,Penalties Saved,Saves from Penalty,Last Man Tackle,Other Goals
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,9gq8m9cblak7uf99faxup4rf9,K. Herrarte,Forward,7,3.0,125.0,,1.0,,39.0,,10.0,2.0,17.0,1.0,4.0,1.0,26.0,11.0,4.0,10.0,40.0,,25.0,3.0,14.0,2.0,16.0,,11.0,1.0,4.0,2.0,63.0,2.0,,13.0,14.0,25.0,6.0,1.0,1.0,1.0,15.0,1.0,3.0,4.0,2.0,8.0,11.0,25.0,26.0,2.0,3.0,9.0,1.0,2.0,5.0,,,,4.0,5.0,,,,,,,,,1.0,2.0,,3.0,3.0,1.0,3.0,,,,3.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,1829vpo3o3luacscg8lfvixg5,A. Herrera,Forward,11,1.0,339.0,2.0,,,63.0,,13.0,,40.0,,,6.0,38.0,13.0,4.0,20.0,73.0,3.0,51.0,7.0,20.0,2.0,17.0,1.0,12.0,4.0,,4.0,120.0,4.0,1.0,25.0,14.0,35.0,16.0,2.0,,7.0,33.0,,7.0,1.0,4.0,11.0,24.0,45.0,53.0,8.0,3.0,17.0,1.0,,14.0,,,,2.0,22.0,,,,,,,,,,,1.0,,,2.0,3.0,6.0,2.0,4.0,11.0,,,,,,3.0,2.0,,,,,,,1.0,,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,dz9u38ehsnyi41nctkftp6jf9,A. Hurtarte,Defender,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,9glloagg4wxjhvb77fhc1rrh1,N. Miranda,Forward,9,4.0,305.0,1.0,,,91.0,1.0,22.0,1.0,55.0,2.0,5.0,2.0,50.0,20.0,3.0,17.0,96.0,3.0,66.0,6.0,22.0,4.0,28.0,,15.0,4.0,3.0,1.0,143.0,4.0,,25.0,27.0,35.0,9.0,8.0,,3.0,27.0,,6.0,7.0,4.0,16.0,10.0,70.0,74.0,2.0,3.0,18.0,,,9.0,,,,2.0,37.0,,,,,,,,,1.0,1.0,2.0,4.0,1.0,,1.0,6.0,2.0,3.0,4.0,3.0,,,,,2.0,1.0,,,,,1.0,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,efvxs10x2bttgzr6yhbcxhall,M. Morales,Midfielder,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,2dkcm6hje2y32qk0fbemyulzp,I. Pacheco,Goalkeeper,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,9y5hpdc9aed7y57ujm5hz091x,R. Peña,Defender,24,1.0,270.0,5.0,,1.0,75.0,,7.0,1.0,29.0,8.0,12.0,1.0,51.0,21.0,4.0,14.0,75.0,2.0,46.0,4.0,26.0,1.0,20.0,10.0,11.0,3.0,,8.0,130.0,3.0,2.0,14.0,37.0,28.0,10.0,3.0,1.0,1.0,18.0,8.0,4.0,2.0,3.0,7.0,24.0,49.0,49.0,4.0,4.0,8.0,,6.0,7.0,,,,3.0,7.0,,,,,,,,,,,,1.0,1.0,3.0,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,c5un29uk5hhurzt69oln2evh1,J. Pinto,Defender,6,,360.0,8.0,,6.0,115.0,,5.0,,27.0,15.0,25.0,1.0,66.0,47.0,21.0,19.0,118.0,,57.0,7.0,44.0,,27.0,7.0,21.0,4.0,1.0,17.0,211.0,4.0,3.0,39.0,74.0,48.0,33.0,17.0,,9.0,43.0,15.0,7.0,,4.0,9.0,31.0,72.0,74.0,4.0,17.0,10.0,4.0,16.0,30.0,,,,2.0,8.0,,,,,,,,,1.0,1.0,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,c55x46qwwpntk14j1aric0vrp,M. Portillo,Forward,14,1.0,77.0,,3.0,,19.0,1.0,6.0,,12.0,1.0,1.0,4.0,10.0,1.0,,5.0,19.0,,13.0,1.0,6.0,2.0,6.0,,1.0,,3.0,1.0,37.0,3.0,1.0,5.0,6.0,92.0,6.0,,,1.0,14.0,2.0,1.0,1.0,3.0,4.0,4.0,13.0,13.0,9.0,,8.0,,,1.0,,,,5.0,3.0,,,,,,,,,,2.0,,,3.0,5.0,,2.0,5.0,6.0,10.0,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,8w6e5iru9ar09fkvm8almxolx,Luis Emanuel Pérez,Midfielder,20,1.0,59.0,,2.0,,22.0,,6.0,1.0,14.0,,1.0,,11.0,4.0,,5.0,23.0,,16.0,3.0,6.0,1.0,7.0,1.0,4.0,,2.0,,35.0,2.0,,4.0,7.0,11.0,,1.0,1.0,,4.0,,3.0,1.0,2.0,4.0,5.0,16.0,17.0,,,4.0,,,,,,,2.0,5.0,,,,,,,,,1.0,1.0,,,2.0,,1.0,1.0,2.0,2.0,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,1itzt9pm1i0yg8jivqa4eebqh,B. Ramírez,Forward,17,2.0,21.0,,1.0,,2.0,,,1.0,2.0,,,,2.0,1.0,,,2.0,,2.0,,,1.0,2.0,,,,,,5.0,1.0,,,,12.0,,,1.0,,,,,2.0,1.0,,1.0,2.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,6ohba4gi8qwogxddjryg2vc2x,A. Reyes,Midfielder,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,ysfvg3s91xrxo821rlz0g0yd,L. Rodríguez,Defender,5,,114.0,,,1.0,35.0,,2.0,,8.0,1.0,3.0,,8.0,22.0,2.0,2.0,35.0,,25.0,1.0,5.0,1.0,3.0,1.0,3.0,2.0,1.0,2.0,52.0,2.0,,10.0,12.0,14.0,5.0,5.0,,1.0,12.0,7.0,1.0,,2.0,7.0,6.0,30.0,30.0,2.0,,7.0,2.0,4.0,3.0,,,,5.0,15.0,,,,,,,,,,1.0,2.0,,2.0,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,ab36ugu4vsgjr4gqlp5eyi8d1,M. Russell,Midfielder,10,2.0,348.0,6.0,,2.0,144.0,3.0,12.0,4.0,71.0,1.0,7.0,2.0,52.0,51.0,4.0,24.0,149.0,1.0,99.0,6.0,31.0,4.0,32.0,3.0,18.0,4.0,5.0,6.0,202.0,4.0,,18.0,39.0,49.0,7.0,19.0,3.0,1.0,22.0,2.0,6.0,7.0,4.0,13.0,51.0,114.0,118.0,4.0,3.0,15.0,1.0,5.0,5.0,,,,4.0,47.0,,,,,,,,,,1.0,1.0,2.0,2.0,2.0,3.0,1.0,4.0,6.0,3.0,2.0,,,,1.0,1.0,2.0,,,1.0,,,,1.0,,,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,10kellfl878syi97an68yo8ut,F. Thompson,Midfielder,15,,57.0,,3.0,2.0,23.0,,3.0,,10.0,1.0,3.0,,13.0,5.0,1.0,7.0,25.0,,11.0,1.0,10.0,,6.0,1.0,4.0,,,4.0,32.0,3.0,1.0,4.0,10.0,14.0,1.0,4.0,,,4.0,,1.0,,3.0,3.0,7.0,13.0,15.0,,1.0,3.0,,2.0,1.0,,,,1.0,5.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,agzsz2brb4rjunv1tvwvq6xg5,A. Yanes,Defender,12,2.0,90.0,3.0,,,32.0,,4.0,,9.0,1.0,3.0,1.0,16.0,15.0,3.0,5.0,32.0,1.0,19.0,3.0,8.0,,7.0,2.0,10.0,1.0,3.0,3.0,60.0,1.0,,9.0,14.0,45.0,7.0,5.0,,3.0,10.0,1.0,3.0,2.0,1.0,2.0,14.0,24.0,24.0,1.0,3.0,3.0,,7.0,7.0,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
testeo_ligas_norteamerica,Concacaf_Concacaf_Champions_Cup,2016-2017,Antigua GFC,Antigua_GFC,98jovjh3h8tuu1rlc02tdux91,J. Saldivar,Defender,3,,180.0,,,1.0,94.0,,2.0,,12.0,11.0,13.0,5.0,38.0,50.0,8.0,21.0,96.0,,50.0,3.0,34.0,,16.0,,13.0,2.0,2.0,18.0,120.0,2.0,1.0,13.0,57.0,46.0,18.0,12.0,,,28.0,5.0,3.0,,2.0,5.0,13.0,61.0,62.0,15.0,8.0,10.0,,5.0,8.0,,,,2.0,24.0,,,,,,,,,,1.0,,,,10.0,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
