liga,temporada,equipo,id,nombre,posicion,dorsal,Key Passes (Attempt Assists),Substitute Off,Interceptions,Aerial Duels lost,Foul Attempted Tackle,PutThrough/Blocked Distribution,Successful Launches,Unsuccessful Launches,Headed Goals,Forward Passes,Penalty Goals Conceded,Successful Crosses open play,Successful Passes Own Half,Aerial Duels,Ground Duels lost,Successful Crosses & Corners,Total Passes,Unsuccessful Dribbles,Duels lost,Total Touches In Opposition Box,Games Played,Shots On Target ( inc goals ),Blocked Shots,Unsuccessful Long Passes,Backward Passes,Unsuccessful Crosses & Corners,Unsuccessful Passes Opposition Half,Ground Duels won,Starts,Goals Conceded Inside Box,Total Successful Passes ( Excl Crosses & Corners ) ,Total Losses Of Possession,Times Tackled,Time Played,Successful Open Play Passes,Goals,Unsuccessful Short Passes,Successful Short Passes,Shots Off Target (inc woodwork),Goals Conceded Outside Box,Successful Lay-offs,Tackles Lost,Total Clearances,Successful Long Passes,Goals Conceded,Touches,Appearances,Leftside Passes,Unsuccessful Passes Own Half,Total Shots,Recoveries,Hit Woodwork,Rightside Passes,Successful Dribbles,Total Tackles,Duels,Corners Won,Open Play Passes,PutThrough/Blocked Distribution Won,Through balls,Index,Duels won,Aerial Duels won,Yellow Cards,Goals from Inside Box,Successful Passes Opposition Half,Tackles Won,Total Fouls Won,Unsuccessful Crosses open play,Substitute On,Total Unsuccessful Passes ( Excl Crosses & Corners ),Ground Duels,Total Fouls Conceded,Clean Sheets,Home Goals,Away Goals,Winning Goal,Assists (Intentional),Corners Taken (incl short corners),Unsuccessful Corners into Box,Attempts from Set Pieces,Blocks,Offsides,Throw Ins to Own Player,Throw Ins to Opposition Player,Successful Corners into Box,Goal Assists,GK Successful Distribution,Penalties Conceded,GK Unsuccessful Distribution,Handballs conceded,Straight Red Cards,Right Foot Goals,Penalties Taken,Total Red Cards,Unsuccessful lay-offs,Goals from Outside Box,Penalty Goals,Foul Won Penalty,Other Goals,Left Foot Goals,Red Cards - 2nd Yellow,Clearances Off the Line,Penalties Saved,Saves Made,Catches,Saves from Penalty,Saves Made from Outside Box,Saves Made from Inside Box,Punches,Penalties Faced,Saves made - parried,Goalkeeper Smother,Set Pieces Goals,Drops,Saves made - caught,Crosses not Claimed,Own Goal Scored,Last Man Tackle,Second Goal Assists,Successful Fifty Fifty,Fifty Fifty,Penalties Off Target
USA_USL_Championship,2021,Miami FC,d539xjkdwt1i77f0czbvo8ull,B. Akinyode,Midfielder,30,10.0,2.0,54.0,26.0,42.0,60.0,1.0,5.0,,532.0,2.0,,672.0,57.0,131.0,,1602.0,8.0,157.0,21.0,32.0,4.0,7.0,32.0,304.0,3.0,136.0,192.0,32.0,29.0,1414.0,267.0,42.0,2803.0,1377.0,1.0,156.0,1357.0,6.0,6.0,4.0,35.0,24.0,57.0,35.0,2085.0,32.0,348.0,55.0,10.0,259.0,,418.0,15.0,125.0,380.0,4.0,1565.0,34.0,2.0,10.0,223.0,31.0,10.0,1.0,742.0,90.0,53.0,3.0,,188.0,323.0,55.0,7.0,0.0,1.0,0.0,,,,,9.0,,18.0,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,9.0,
USA_USL_Championship,2021,Miami FC,61esp7ett8p66f2agq9nuryp6,J. Anglin,Forward,99,3.0,4.0,3.0,9.0,8.0,9.0,1.0,5.0,,57.0,1.0,,86.0,16.0,28.0,,207.0,2.0,37.0,4.0,15.0,2.0,,10.0,26.0,,21.0,14.0,4.0,7.0,172.0,46.0,6.0,467.0,169.0,,25.0,159.0,1.0,1.0,1.0,5.0,14.0,13.0,8.0,275.0,15.0,76.0,14.0,3.0,28.0,,48.0,1.0,10.0,58.0,,204.0,5.0,1.0,10.0,21.0,7.0,1.0,,86.0,5.0,3.0,,11.0,35.0,42.0,14.0,,0.0,0.0,0.0,1.0,,,,4.0,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
USA_USL_Championship,2021,Miami FC,9480hrpcqzlfmnowbfwtno0r9,L. Antonelli,Defender,3,,5.0,10.0,3.0,3.0,5.0,2.0,8.0,,96.0,,,116.0,7.0,9.0,,210.0,,12.0,6.0,11.0,1.0,,13.0,13.0,,17.0,17.0,4.0,3.0,181.0,33.0,1.0,355.0,171.0,,16.0,169.0,,1.0,,1.0,15.0,12.0,4.0,267.0,11.0,30.0,12.0,1.0,24.0,,71.0,4.0,5.0,33.0,1.0,200.0,3.0,,10.0,21.0,4.0,1.0,,65.0,4.0,8.0,,7.0,29.0,26.0,5.0,,0.0,0.0,0.0,,,,,3.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Miami FC,11mgxgt8kvmipe8kfoia6r2ay,O. Bah,Forward,2,12.0,15.0,17.0,17.0,18.0,34.0,1.0,8.0,,170.0,3.0,4.0,130.0,24.0,69.0,7.0,506.0,13.0,86.0,42.0,23.0,4.0,4.0,22.0,98.0,23.0,121.0,58.0,16.0,21.0,377.0,231.0,27.0,1312.0,372.0,4.0,107.0,363.0,7.0,5.0,5.0,9.0,8.0,14.0,26.0,806.0,23.0,66.0,31.0,11.0,93.0,,172.0,14.0,30.0,151.0,6.0,499.0,20.0,2.0,10.0,65.0,7.0,2.0,3.0,254.0,21.0,14.0,18.0,7.0,129.0,127.0,31.0,,2.0,2.0,1.0,2.0,4.0,3.0,1.0,1.0,6.0,47.0,8.0,1.0,3.0,,,,1.0,,1.0,,,2.0,1.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,2.0,5.0,
USA_USL_Championship,2021,Miami FC,4581ukyxidcskytai6xqghfjd,R. Ballard,Midfielder,11,10.0,10.0,17.0,19.0,8.0,30.0,1.0,14.0,,228.0,,3.0,151.0,25.0,73.0,3.0,483.0,23.0,92.0,24.0,22.0,1.0,3.0,44.0,68.0,13.0,97.0,77.0,13.0,11.0,357.0,240.0,44.0,1144.0,348.0,,82.0,334.0,3.0,2.0,3.0,14.0,16.0,23.0,13.0,857.0,22.0,157.0,42.0,4.0,88.0,,30.0,18.0,32.0,175.0,7.0,474.0,8.0,,10.0,83.0,6.0,3.0,,209.0,18.0,28.0,13.0,9.0,126.0,150.0,16.0,,0.0,0.0,0.0,1.0,,,,1.0,,110.0,17.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,
USA_USL_Championship,2021,Miami FC,bigiacypufyahxaysge8nybbp,J. Caldwell,Goalkeeper,49,1.0,,1.0,1.0,2.0,3.0,55.0,114.0,,562.0,4.0,,469.0,15.0,6.0,,908.0,,7.0,2.0,31.0,,,301.0,,,214.0,,30.0,39.0,598.0,321.0,1.0,2720.0,354.0,,9.0,371.0,1.0,5.0,,,26.0,227.0,44.0,1192.0,31.0,201.0,96.0,1.0,238.0,,145.0,,,21.0,,500.0,,,10.0,14.0,14.0,3.0,,129.0,,1.0,,1.0,310.0,6.0,2.0,9.0,0.0,0.0,0.0,,,,,,,,,,,279.0,2.0,100.0,,,,,,,,,,,,,,5.0,114.0,18.0,5.0,39.0,74.0,18.0,9.0,35.0,3.0,,2.0,2.0,,,,,,,
USA_USL_Championship,2021,Miami FC,4dw662egycd9yn2e86ae4s7hl,C. Chapman-Page,Defender,4,4.0,5.0,28.0,40.0,6.0,12.0,5.0,36.0,1.0,497.0,1.0,,673.0,116.0,31.0,,1163.0,4.0,71.0,35.0,27.0,8.0,3.0,84.0,58.0,1.0,119.0,56.0,24.0,26.0,975.0,214.0,7.0,2194.0,939.0,2.0,104.0,925.0,11.0,4.0,,12.0,68.0,50.0,30.0,1416.0,27.0,420.0,70.0,19.0,117.0,,188.0,8.0,30.0,203.0,4.0,1121.0,4.0,,10.0,132.0,76.0,10.0,2.0,302.0,18.0,21.0,1.0,3.0,188.0,87.0,20.0,4.0,2.0,0.0,1.0,,,,,16.0,1.0,10.0,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Miami FC,ayn0mgkbm904wayuysv6hvhsl,C. Cortez,Forward,15,1.0,,,8.0,1.0,,,,1.0,6.0,1.0,,2.0,15.0,3.0,,19.0,,11.0,8.0,5.0,1.0,,,3.0,1.0,10.0,1.0,,2.0,10.0,13.0,1.0,78.0,8.0,1.0,9.0,10.0,,,,,,,2.0,28.0,5.0,6.0,,1.0,1.0,,4.0,,,19.0,2.0,17.0,,,10.0,8.0,7.0,,1.0,8.0,,1.0,1.0,5.0,9.0,4.0,5.0,,0.0,1.0,0.0,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2021,Miami FC,9tknltys66s9j8ljchwu5efv9,P. Craig,Defender,5,9.0,,38.0,51.0,10.0,17.0,16.0,51.0,2.0,748.0,2.0,,1036.0,135.0,39.0,,1865.0,1.0,90.0,29.0,33.0,8.0,,179.0,84.0,2.0,246.0,71.0,32.0,33.0,1531.0,369.0,5.0,2888.0,1480.0,2.0,155.0,1355.0,7.0,5.0,1.0,23.0,137.0,176.0,38.0,2240.0,33.0,475.0,90.0,15.0,205.0,,558.0,12.0,40.0,245.0,5.0,1800.0,9.0,5.0,10.0,155.0,84.0,6.0,2.0,495.0,17.0,20.0,2.0,1.0,334.0,110.0,27.0,7.0,1.0,1.0,0.0,,,,,34.0,1.0,5.0,4.0,,,,4.0,,2.0,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,2.0,
USA_USL_Championship,2021,Miami FC,dfyyn9gd8jlfs0krwucne5hbd,P. da Silva,Midfielder,98,24.0,11.0,5.0,39.0,19.0,26.0,1.0,7.0,,165.0,1.0,3.0,94.0,52.0,101.0,30.0,515.0,30.0,140.0,52.0,26.0,9.0,8.0,23.0,124.0,68.0,180.0,69.0,18.0,14.0,376.0,339.0,65.0,1509.0,354.0,2.0,116.0,363.0,15.0,2.0,15.0,1.0,3.0,13.0,16.0,894.0,26.0,109.0,27.0,24.0,57.0,2.0,117.0,19.0,6.0,222.0,20.0,483.0,6.0,5.0,10.0,82.0,13.0,5.0,1.0,312.0,5.0,44.0,11.0,8.0,139.0,170.0,31.0,3.0,2.0,0.0,1.0,3.0,58.0,34.0,8.0,1.0,2.0,7.0,,21.0,5.0,,,,1.0,,,,,2.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,5.0,8.0,
