liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,GK Successful Distribution,Throw Ins to Own Player,Successful Lay-offs,Successful Launches,Goals,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Unsuccessful Launches,Unsuccessful Long Passes,PutThrough/Blocked Distribution Won,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Set Pieces Goals,Unsuccessful Short Passes,Total Passes,Total Fouls Conceded,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Goals from Outside Box,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Long Passes,Total Fouls Won,Aerial Duels won,Duels,Total Clearances,Goals Conceded,Left Foot Goals,Unsuccessful Crosses & Corners,Games Played,Headed Goals,GK Unsuccessful Distribution,Ground Duels lost,Leftside Passes,Goals from Inside Box,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Clean Sheets,Tackles Won,Duels lost,Tackles Lost,Interceptions,Ground Duels won,Successful Dribbles,Blocked Shots,Substitute On,Successful Crosses & Corners,Successful Crosses open play,Offsides,Corners Won,Yellow Cards,Substitute Off,Throw Ins to Opposition Player,Unsuccessful Dribbles,Assists (Intentional),Goal Assists,Right Foot Goals,Handballs conceded,Saves Made,Punches,Goalkeeper Smother,Drops,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Hit Woodwork,Unsuccessful lay-offs,Successful Corners into Box,Corners Taken (incl short corners),Unsuccessful Corners into Box,Through balls,Goals Conceded Outside Box,Foul Won Penalty,Penalties Taken,Penalty Goals,Penalties Faced,Saves made - caught,Penalties Conceded,Own Goal Scored,Total Red Cards,Red Cards - 2nd Yellow,Last Man Tackle
Concacaf_Concacaf_Champions_Cup,2018,Santa Tecla FC,5dfwe4unnmw5n9qm599juuymt,H. Alas,Forward,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Santa Tecla FC,540ah0o5t9lv7v5qnhk703svd,J. Almeida,Goalkeeper,1,,180.0,13.0,,,7.0,,33.0,,4.0,20.0,32.0,,,,33.0,23.0,,,1.0,60.0,,10.0,4.0,,33.0,7.0,,27.0,25.0,2.0,,6.0,82.0,2.0,,,,,45.0,,46.0,1.0,,,17.0,,1.0,1.0,3.0,5.0,,,2.0,,6.0,,8.0,,16.0,27.0,1.0,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,3.0,2.0,,4.0,,,,,,,1.0,,,,,4.0,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Santa Tecla FC,b51qunc4l9ikzbmzsyf4ahped,G. Baires,Midfielder,11,1.0,50.0,,,,,,21.0,4.0,14.0,,,1.0,,,5.0,3.0,1.0,,4.0,21.0,,14.0,3.0,,4.0,3.0,1.0,4.0,5.0,,3.0,1.0,28.0,2.0,,,3.0,,7.0,1.0,55.0,3.0,,,3.0,1.0,,3.0,,3.0,,1.0,2.0,,,,7.0,,17.0,17.0,,,1.0,,,,3.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Santa Tecla FC,acq081nhaufdedbfzr5abvm51,J. Barahona,Defender,4,1.0,180.0,,13.0,,3.0,,87.0,14.0,39.0,6.0,9.0,3.0,3.0,1.0,29.0,32.0,5.0,,10.0,89.0,,62.0,4.0,4.0,19.0,23.0,1.0,19.0,7.0,2.0,4.0,2.0,134.0,2.0,,,13.0,,50.0,1.0,45.0,10.0,1.0,2.0,8.0,1.0,2.0,16.0,1.0,5.0,,2.0,2.0,,,5.0,2.0,,70.0,70.0,3.0,,3.0,6.0,2.0,5.0,8.0,2.0,,,1.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Santa Tecla FC,c7c2klmcg3j09uwe9qwx1x6mt,W. Canales,Midfielder,19,2.0,19.0,,,,,,6.0,2.0,3.0,,,,,,3.0,2.0,,,1.0,6.0,,5.0,2.0,,1.0,2.0,,3.0,,,,,12.0,2.0,,,3.0,,2.0,1.0,100.0,3.0,,,,1.0,,3.0,,2.0,,2.0,2.0,,,,,,5.0,5.0,,,,,,,3.0,2.0,1.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Santa Tecla FC,6zjbvx3svu0geq3ppgkusf6xh,M. Cornejo,Midfielder,16,4.0,162.0,,2.0,1.0,,,55.0,18.0,25.0,1.0,3.0,2.0,1.0,9.0,30.0,13.0,2.0,,14.0,55.0,4.0,37.0,2.0,1.0,17.0,18.0,,19.0,2.0,2.0,5.0,2.0,80.0,2.0,2.0,,9.0,,15.0,2.0,16.0,7.0,,,1.0,,4.0,22.0,2.0,3.0,,4.0,2.0,,,6.0,4.0,,38.0,38.0,13.0,,2.0,15.0,,,3.0,1.0,1.0,,,,,3.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Santa Tecla FC,9pwxnznkg0t5pjvpm3gc7ic45,R. Domínguez,Defender,3,,180.0,,1.0,,,,65.0,3.0,20.0,5.0,6.0,,,2.0,9.0,39.0,1.0,,2.0,67.0,5.0,45.0,4.0,,8.0,23.0,,5.0,8.0,2.0,,3.0,88.0,2.0,3.0,1.0,10.0,,27.0,,27.0,5.0,,,14.0,1.0,3.0,15.0,6.0,5.0,,,2.0,,,8.0,14.0,,57.0,59.0,5.0,,1.0,10.0,,9.0,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Santa Tecla FC,1u44jxe4yz7azt7jvnrxuhhhx,Ricardinho,Forward,22,,172.0,,,,,,33.0,13.0,20.0,,,1.0,2.0,4.0,15.0,10.0,4.0,,8.0,38.0,2.0,29.0,4.0,3.0,8.0,11.0,2.0,7.0,6.0,2.0,2.0,1.0,64.0,2.0,1.0,,10.0,,4.0,11.0,52.0,10.0,1.0,,1.0,4.0,1.0,15.0,1.0,5.0,,,2.0,,,1.0,10.0,,25.0,30.0,5.0,,4.0,5.0,,1.0,9.0,2.0,,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Santa Tecla FC,c7l7712a32boqnpvd7239spg5,A. Flores Jaco,Defender,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concacaf_Concacaf_Champions_Cup,2018,Santa Tecla FC,cd7oau2m8h9qsljn5i3vrzmqd,G. Mayén,Midfielder,10,3.0,180.0,,2.0,,1.0,2.0,82.0,26.0,46.0,3.0,7.0,1.0,,6.0,37.0,30.0,1.0,,13.0,93.0,5.0,64.0,4.0,4.0,20.0,18.0,4.0,26.0,6.0,2.0,1.0,2.0,129.0,2.0,2.0,1.0,16.0,,30.0,5.0,77.0,8.0,4.0,,9.0,5.0,1.0,23.0,,5.0,,8.0,2.0,,,9.0,19.0,2.0,66.0,73.0,7.0,,1.0,15.0,,,7.0,1.0,,,3.0,2.0,,1.0,2.0,,,2.0,,,2.0,1.0,,,,,,,,,,,1.0,8.0,5.0,1.0,1.0,,1.0,1.0,,,,,,,
