liga,temporada,equipo,id,nombre,posicion,dorsal,Aerial Duels,Aerial Duels lost,Aerial Duels won,Appearances,Assists (Intentional),Backward Passes,Blocked Shots,Blocks,Carries,Clean Sheets,Corners Taken (incl short corners),Corners Won,Duels,Duels lost,Duels won,Final Third Touches,Forward Passes,Foul Attempted Tackle,Games Played,Goal Assists,Goals Conceded,Goals Conceded Inside Box,Goals Conceded Outside Box,Ground Duels,Ground Duels lost,Ground Duels won,Handballs conceded,Interceptions,Key Passes (Attempt Assists),Leftside Passes,Offsides,Open Play Passes,Overruns,Progressive Carries,PutThrough/Blocked Distribution,PutThrough/Blocked Distribution Won,Recoveries,Rightside Passes,Shots Created,Shots Off Target (inc woodwork),Shots On Target ( inc goals ),Starts,Substitute Off,Successful Corners into Box,Successful Crosses & Corners,Successful Crosses open play,Successful Dribbles,Successful Lay-offs,Successful Long Passes,Successful Open Play Passes,Successful Passes Opposition Half,Successful Passes Own Half,Successful Short Passes,Tackles Lost,Tackles Won,Through balls,Throw Ins to Opposition Player,Throw Ins to Own Player,Time Played,Times Tackled,Total Big Chances Created,Total Big Chances Missed,Total Clearances,Total Fouls Conceded,Total Fouls Won,Total Losses Of Possession,Total Passes,Total Shots,Total Successful Passes ( Excl Crosses & Corners ) ,Total Tackles,Total Touches In Opposition Box,Total Unsuccessful Passes ( Excl Crosses & Corners ),Touches,Unsuccessful Corners into Box,Unsuccessful Crosses & Corners,Unsuccessful Crosses open play,Unsuccessful Dribbles,Unsuccessful Launches,Unsuccessful Long Passes,Unsuccessful Passes Opposition Half,Unsuccessful Passes Own Half,Unsuccessful Short Passes,Winning Goal,Substitute On,Yellow Cards,Attempts from Set Pieces,Clearances Off the Line,GK Successful Distribution,Goal Kicks,Successful Launches,Total Big Chances Saved,Penalties Conceded,Second Goal Assists,Goals,Goals Openplay,Goals from Inside Box,Goals from Outside Box,Right Foot Goals,Home Goals,Away Goals,Unsuccessful lay-offs,Last Player Tackle,Catches,Crosses not Claimed,Drops,GK Unsuccessful Distribution,Goalkeeper Smother,Penalties Faced,Punches,Saves Made,Saves Made from Inside Box,Saves Made from Outside Box,Saves made - parried,Hit Woodwork,Total Big Chances Scored,Left Foot Goals,Direct Setpiece Goals,Set Pieces Goals,Headed Goals,Penalty Goals Conceded,Straight Red Cards,Total Red Cards,Own Goal Scored,Other Goals,Penalties Taken,Penalty Goals,Foul Won Penalty,Saves made - caught,Red Cards - 2nd Yellow,Penalties Saved,Saves from Penalty,Penalties Off Target
USA_MLS,2026,Austin FC,57bm0oc2lfkox7u0b641kb2s,Jorge Alastuey,Midfielder,24,2.0,1.0,1.0,2.0,,4.0,1.0,,3.0,,,,7.0,5.0,2.0,8.0,8.0,1.0,2.0,,2.0,1.0,1.0,5.0,4.0,1.0,,,1.0,8.0,,22.0,,1.0,3.0,2.0,4.0,4.0,1.0,,,1.0,1.0,,,,,,,15.0,6.0,11.0,17.0,,1.0,,,,97.0,,,,4.0,3.0,,9.0,24.0,,17.0,1.0,2.0,7.0,37.0,,,,,,,3.0,4.0,7.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Austin FC,dneo628ad0z1j9wjiznmlh52h,J. Bell,Defender,15,19.0,10.0,9.0,13.0,,35.0,,9.0,49.0,,,2.0,40.0,16.0,24.0,34.0,109.0,1.0,13.0,,22.0,21.0,1.0,21.0,6.0,15.0,,5.0,4.0,53.0,1.0,286.0,,22.0,6.0,3.0,17.0,110.0,4.0,1.0,2.0,6.0,3.0,,,,7.0,,5.0,244.0,77.0,187.0,259.0,1.0,7.0,,4.0,5.0,644.0,2.0,,,39.0,3.0,,55.0,307.0,3.0,264.0,8.0,4.0,43.0,411.0,,3.0,3.0,2.0,8.0,17.0,30.0,16.0,26.0,0.0,7.0,1.0,,,10.0,10.0,,,,,2.0,,2.0,,,0.0,2.0,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,
USA_MLS,2026,Austin FC,elvrjpt1jlko4henaqvfid7o4,M. Burton,Midfielder,32,1.0,,1.0,2.0,,2.0,,,3.0,,,1.0,1.0,,1.0,8.0,3.0,,2.0,,3.0,3.0,,,,,,,,2.0,,9.0,,1.0,,,,2.0,,1.0,,,,,,,,,,9.0,5.0,4.0,9.0,,,,,,18.0,,,,,,,3.0,9.0,1.0,9.0,,1.0,,15.0,,1.0,1.0,,,,1.0,,,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Austin FC,e9g52c7vl608rt5wuf9o46l79,M. Desler,Defender,3,12.0,6.0,6.0,8.0,,57.0,1.0,3.0,71.0,2.0,,2.0,49.0,21.0,28.0,51.0,76.0,3.0,8.0,,11.0,11.0,,37.0,15.0,22.0,,8.0,4.0,98.0,,231.0,,22.0,7.0,3.0,20.0,15.0,4.0,1.0,2.0,5.0,2.0,,2.0,2.0,3.0,,6.0,205.0,81.0,141.0,214.0,2.0,8.0,,2.0,36.0,490.0,7.0,,,15.0,8.0,9.0,42.0,246.0,3.0,220.0,10.0,9.0,26.0,365.0,,3.0,3.0,3.0,8.0,11.0,19.0,10.0,15.0,0.0,3.0,2.0,,,,,2.0,,,,1.0,1.0,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2026,Austin FC,6dn08w1t5ihd1mpq0fbeaz85w,M. Đorđević,Defender,35,1.0,,1.0,2.0,,6.0,,,7.0,,,,3.0,,3.0,,6.0,,2.0,,3.0,2.0,1.0,2.0,,2.0,,,,10.0,,32.0,,1.0,,,2.0,10.0,,,,,,,,,,,1.0,26.0,2.0,24.0,25.0,1.0,,,,,41.0,,,,2.0,,1.0,6.0,32.0,,26.0,1.0,,6.0,38.0,,,,,1.0,1.0,2.0,4.0,5.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Austin FC,8u9628byics80cynd60zexs0k,N. Dubersarsky,Midfielder,20,8.0,6.0,2.0,10.0,,55.0,1.0,4.0,77.0,,,,61.0,32.0,29.0,46.0,98.0,4.0,10.0,,18.0,17.0,1.0,53.0,26.0,27.0,,8.0,4.0,108.0,,352.0,1.0,27.0,13.0,8.0,34.0,95.0,4.0,,,7.0,5.0,,,,2.0,1.0,5.0,308.0,125.0,187.0,307.0,9.0,9.0,,,,646.0,6.0,,,11.0,10.0,7.0,58.0,356.0,,312.0,18.0,2.0,44.0,444.0,,1.0,1.0,3.0,3.0,12.0,31.0,14.0,32.0,0.0,3.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
USA_MLS,2026,Austin FC,7m5wyvhq876dyap45egqs2tjo,E. Torres,Midfielder,38,,,,2.0,,3.0,,,7.0,,,1.0,5.0,2.0,3.0,6.0,4.0,,2.0,,3.0,3.0,,5.0,2.0,3.0,,1.0,,2.0,,11.0,,3.0,,,1.0,2.0,,,1.0,,,,,,2.0,,,9.0,3.0,6.0,9.0,,,,,,24.0,2.0,,,2.0,,1.0,6.0,11.0,1.0,9.0,,,2.0,23.0,,1.0,1.0,2.0,,,3.0,,2.0,0.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Austin FC,bnbdnb8khsglc2ranxnorc5bd,F. Torres,Forward,11,31.0,15.0,16.0,14.0,4.0,157.0,7.0,,167.0,1.0,54.0,14.0,115.0,55.0,60.0,341.0,138.0,5.0,14.0,5.0,23.0,21.0,2.0,84.0,40.0,44.0,2.0,2.0,29.0,160.0,4.0,510.0,1.0,73.0,21.0,4.0,49.0,88.0,34.0,6.0,9.0,14.0,6.0,20.0,28.0,7.0,5.0,16.0,28.0,418.0,308.0,167.0,419.0,5.0,8.0,5.0,,1.0,1169.0,20.0,2.0,1.0,6.0,12.0,27.0,201.0,543.0,15.0,447.0,13.0,31.0,96.0,778.0,23.0,51.0,17.0,10.0,6.0,15.0,129.0,18.0,81.0,0.0,,3.0,1.0,,,,,,,,1.0,1.0,1.0,,,0.0,1.0,2.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,
USA_MLS,2026,Austin FC,3cbmr8hg3kszw5wl04p3ol27e,C. Fodrey,Midfielder,19,27.0,17.0,10.0,12.0,,13.0,,1.0,19.0,,,3.0,49.0,32.0,17.0,42.0,12.0,3.0,12.0,,6.0,5.0,1.0,22.0,15.0,7.0,1.0,4.0,1.0,11.0,,42.0,,11.0,6.0,1.0,5.0,7.0,1.0,2.0,1.0,2.0,2.0,,1.0,1.0,,6.0,,20.0,15.0,7.0,21.0,,1.0,,,,230.0,3.0,,1.0,3.0,8.0,6.0,43.0,43.0,3.0,21.0,1.0,11.0,22.0,93.0,,6.0,6.0,1.0,1.0,3.0,26.0,2.0,19.0,0.0,10.0,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
USA_MLS,2026,Austin FC,ecp53k8d0t7yczah3aebn0yne,J. Gallagher,Defender,17,14.0,9.0,5.0,14.0,1.0,112.0,3.0,5.0,102.0,2.0,,11.0,92.0,48.0,44.0,153.0,88.0,4.0,14.0,1.0,26.0,24.0,2.0,78.0,39.0,39.0,2.0,9.0,11.0,103.0,2.0,325.0,1.0,54.0,17.0,3.0,23.0,33.0,12.0,2.0,3.0,12.0,3.0,,4.0,4.0,6.0,4.0,8.0,269.0,129.0,152.0,269.0,4.0,13.0,,23.0,44.0,1099.0,18.0,3.0,2.0,31.0,16.0,17.0,132.0,336.0,5.0,277.0,17.0,31.0,59.0,568.0,,18.0,18.0,9.0,19.0,26.0,57.0,20.0,33.0,0.0,2.0,1.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
