temporada,link,liga_url,cod_liga,folder
2026,https://www.scoresway.com/en_GB/soccer/us-open-cup-2026/5e1xetw29nk8519zs133hf28k/fixtures,us-open-cup-2026,5e1xetw29nk8519zs133hf28k,USA_US_Open_Cup
2025,https://www.scoresway.com/en_GB/soccer/us-open-cup-2025/cg9jkml9zkekrf2j9pv5s3w9g/fixtures,us-open-cup-2025,cg9jkml9zkekrf2j9pv5s3w9g,USA_US_Open_Cup
2024,https://www.scoresway.com/en_GB/soccer/us-open-cup-2024/dh2sb8k8qnboef5ev5p1a01lg/results,us-open-cup-2024,dh2sb8k8qnboef5ev5p1a01lg,USA_US_Open_Cup
2023,https://www.scoresway.com/en_GB/soccer/us-open-cup-2023/5375c8qg9sy48l9wr2o8sjpxw/results,us-open-cup-2023,5375c8qg9sy48l9wr2o8sjpxw,USA_US_Open_Cup
2022,https://www.scoresway.com/en_GB/soccer/us-open-cup-2022/dhzyoostrc6so36xhzo5l1kb8/results,us-open-cup-2022,dhzyoostrc6so36xhzo5l1kb8,USA_US_Open_Cup
2020,https://www.scoresway.com/en_GB/soccer/us-open-cup-2020/3n0zoyhnmxo7iu70s0oqjep9m/results,us-open-cup-2020,3n0zoyhnmxo7iu70s0oqjep9m,USA_US_Open_Cup
2019,https://www.scoresway.com/en_GB/soccer/us-open-cup-2019/c7tmg7pxkutef9ymogovz4huy/results,us-open-cup-2019,c7tmg7pxkutef9ymogovz4huy,USA_US_Open_Cup
2018,https://www.scoresway.com/en_GB/soccer/us-open-cup-2018/cxw5w4qfd7logmfcqvoby2noq/results,us-open-cup-2018,cxw5w4qfd7logmfcqvoby2noq,USA_US_Open_Cup
2017,https://www.scoresway.com/en_GB/soccer/us-open-cup-2017/cd8sfgfqq5fv387wemrjmlrl5/results,us-open-cup-2017,cd8sfgfqq5fv387wemrjmlrl5,USA_US_Open_Cup
2016,https://www.scoresway.com/en_GB/soccer/us-open-cup-2016/jd3ycveqnkjvntl7b8wndb6x/results,us-open-cup-2016,jd3ycveqnkjvntl7b8wndb6x,USA_US_Open_Cup
2015,https://www.scoresway.com/en_GB/soccer/us-open-cup-2015/dw87u5m9on9qg02b3zxu947op/results,us-open-cup-2015,dw87u5m9on9qg02b3zxu947op,USA_US_Open_Cup
2014,https://www.scoresway.com/en_GB/soccer/us-open-cup-2014/9dix6hbqctygcjh4rk65f7qda/results,us-open-cup-2014,9dix6hbqctygcjh4rk65f7qda,USA_US_Open_Cup
