liga,temporada,equipo,id,nombre,posicion,dorsal,Unsuccessful Crosses open play,Time Played,Throw Ins to Own Player,Open Play Passes,Backward Passes,Successful Passes Opposition Half,Yellow Cards,Unsuccessful Long Passes,Shots Off Target (inc woodwork),Aerial Duels lost,Total Losses Of Possession,Successful Passes Own Half,Total Tackles,Unsuccessful Short Passes,Penalty Goals Conceded,Total Passes,Total Fouls Conceded,Successful Dribbles,Successful Short Passes,Goals Conceded Inside Box,Total Shots,Total Unsuccessful Passes ( Excl Crosses & Corners ),Rightside Passes,Key Passes (Attempt Assists),Unsuccessful Passes Opposition Half,Recoveries,Starts,PutThrough/Blocked Distribution,Unsuccessful Passes Own Half,Touches,Appearances,Foul Attempted Tackle,Blocks,Ground Duels,Forward Passes,Total Touches In Opposition Box,Index,Duels won,Successful Long Passes,Total Fouls Won,Unsuccessful Dribbles,Duels,Total Clearances,Goals Conceded,Unsuccessful Crosses & Corners,Games Played,Ground Duels lost,Leftside Passes,Successful Open Play Passes,Total Successful Passes ( Excl Crosses & Corners ) ,Aerial Duels,Tackles Won,Duels lost,Interceptions,Ground Duels won,Substitute On,Successful Lay-offs,Successful Launches,Goals,Corners Won,Successful Crosses & Corners,Unsuccessful Launches,PutThrough/Blocked Distribution Won,Goals Conceded Outside Box,Set Pieces Goals,Substitute Off,Successful Corners into Box,Blocked Shots,Throw Ins to Opposition Player,Corners Taken (incl short corners),Goals from Outside Box,Shots On Target ( inc goals ),Attempts from Set Pieces,Successful Crosses open play,Aerial Duels won,Left Foot Goals,Unsuccessful Corners into Box,Assists (Intentional),Goal Assists,Tackles Lost,Handballs conceded,Clean Sheets,Through balls,Right Foot Goals,Goals from Inside Box,Unsuccessful lay-offs,Offsides,Foul Won Penalty,Hit Woodwork,Penalties Taken,Penalty Goals,Own Goal Scored,Total Red Cards,Straight Red Cards,Headed Goals,Last Man Tackle,Second Goal Assists,Saves Made,GK Successful Distribution,Crosses not Claimed,Punches,Goalkeeper Smother,Catches,Saves Made from Outside Box,Saves made - parried,Saves Made from Inside Box,Penalties Faced,Saves made - caught,GK Unsuccessful Distribution,Penalties Conceded,Clearances Off the Line,Penalties Saved,Drops,Saves from Penalty,Red Cards - 2nd Yellow,Penalties Off Target,Other Goals,Times Tackled,Home Goals,Away Goals,Winning Goal,Goal Kicks
USA_USL_Championship,2019,Ventura County FC,e19db5akf12css4kgvtll4ve1,G. Acheampong,Defender,44,8.0,534.0,,241.0,44.0,105.0,3.0,16.0,4.0,10.0,114.0,86.0,17.0,42.0,1.0,244.0,14.0,11.0,159.0,11.0,7.0,58.0,49.0,6.0,54.0,41.0,7.0,13.0,21.0,391.0,11.0,5.0,3.0,75.0,85.0,9.0,10.0,37.0,27.0,3.0,8.0,91.0,5.0,12.0,17.0,11.0,44.0,66.0,185.0,186.0,16.0,10.0,54.0,11.0,31.0,4.0,2.0,1.0,2.0,5.0,5.0,3.0,9.0,1.0,,5.0,1.0,2.0,,5.0,1.0,3.0,,3.0,6.0,1.0,4.0,1.0,1.0,7.0,,,2.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,23.0,2.0,0.0,0.0,
USA_USL_Championship,2019,Ventura County FC,4fkfrnveufr55r9a4sv5e2a96,O. Cervantes,Midfielder,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,Ventura County FC,7lzda1yh1eixs7rqn46y1ulpm,E. Cuello,Midfielder,27,5.0,519.0,4.0,222.0,53.0,125.0,2.0,15.0,4.0,6.0,107.0,74.0,16.0,39.0,1.0,243.0,7.0,13.0,176.0,7.0,8.0,54.0,43.0,13.0,54.0,41.0,6.0,10.0,9.0,396.0,6.0,4.0,1.0,79.0,81.0,11.0,10.0,45.0,13.0,12.0,9.0,89.0,5.0,7.0,9.0,6.0,38.0,66.0,172.0,189.0,10.0,12.0,44.0,10.0,41.0,,2.0,2.0,1.0,5.0,10.0,1.0,6.0,,,2.0,5.0,2.0,,10.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,3.0,3.0,4.0,,2.0,2.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,0.0,1.0,0.0,
USA_USL_Championship,2019,Ventura County FC,7x3sqcf8wtq2qwyqcbv2itw8a,M. Cuevas,Defender,58,3.0,345.0,32.0,147.0,30.0,59.0,1.0,11.0,,6.0,50.0,73.0,10.0,14.0,2.0,152.0,4.0,1.0,120.0,6.0,,25.0,41.0,6.0,20.0,24.0,4.0,4.0,8.0,248.0,4.0,2.0,,27.0,49.0,2.0,10.0,16.0,7.0,3.0,2.0,36.0,7.0,7.0,3.0,4.0,14.0,32.0,122.0,127.0,9.0,7.0,20.0,5.0,13.0,,,1.0,,,5.0,7.0,3.0,1.0,,1.0,,,8.0,,,,,5.0,3.0,,,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,0.0,
USA_USL_Championship,2019,Ventura County FC,2v5j1i5ae9fnciilwy3op8and,N. DePuy,Defender,62,,1901.0,6.0,1005.0,67.0,274.0,6.0,109.0,8.0,39.0,211.0,576.0,21.0,89.0,2.0,1048.0,29.0,5.0,752.0,37.0,14.0,198.0,302.0,3.0,134.0,107.0,21.0,10.0,64.0,1304.0,26.0,11.0,14.0,79.0,457.0,19.0,10.0,115.0,98.0,17.0,,190.0,92.0,40.0,,26.0,36.0,222.0,815.0,850.0,111.0,14.0,75.0,38.0,43.0,5.0,,19.0,2.0,,,46.0,5.0,3.0,,1.0,,1.0,,,,6.0,,,72.0,,,,,7.0,,3.0,,1.0,2.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,,,2.0,2.0,0.0,0.0,
USA_USL_Championship,2019,Ventura County FC,6kp2pv58u27yf5tnclyhnuoh6,C. Dunbar,Forward,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,Ventura County FC,e7q60ne93c6289xwnt9zj65wq,M. Ferkranus,Defender,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA_USL_Championship,2019,Ventura County FC,56013u8ftfhov3nzr13ph0mi,J. Fiddes,Defender,69,44.0,1958.0,165.0,775.0,129.0,300.0,4.0,70.0,3.0,34.0,307.0,322.0,55.0,113.0,3.0,792.0,34.0,11.0,571.0,33.0,3.0,183.0,244.0,7.0,154.0,89.0,21.0,38.0,73.0,1360.0,26.0,16.0,15.0,160.0,389.0,7.0,10.0,117.0,38.0,26.0,7.0,219.0,57.0,37.0,44.0,26.0,68.0,30.0,596.0,609.0,59.0,36.0,102.0,29.0,92.0,5.0,,8.0,,12.0,13.0,46.0,11.0,4.0,,3.0,,3.0,34.0,,,,,13.0,25.0,,,,1.0,19.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,17.0,,,0.0,
USA_USL_Championship,2019,Ventura County FC,em6t2ro1fu80161vtpbzbemll,M. Gallagher,Defender,63,3.0,1210.0,9.0,679.0,43.0,207.0,3.0,54.0,3.0,27.0,134.0,392.0,19.0,70.0,1.0,722.0,15.0,5.0,496.0,26.0,4.0,124.0,195.0,7.0,80.0,83.0,14.0,11.0,47.0,893.0,16.0,4.0,13.0,57.0,321.0,11.0,10.0,79.0,102.0,14.0,1.0,130.0,49.0,29.0,3.0,16.0,24.0,163.0,564.0,598.0,73.0,14.0,51.0,22.0,33.0,2.0,,5.0,,1.0,1.0,16.0,5.0,3.0,,2.0,,2.0,2.0,,,1.0,,1.0,46.0,,,,1.0,5.0,2.0,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,0.0,1.0
USA_USL_Championship,2019,Ventura County FC,5zz06vapojwj7bga8oszzelbe,L. Gonzalez,Midfielder,55,1.0,16.0,,14.0,2.0,8.0,,2.0,,,6.0,4.0,2.0,,,14.0,1.0,1.0,12.0,,,2.0,4.0,,2.0,4.0,,,1.0,22.0,1.0,,,5.0,7.0,,10.0,3.0,,,1.0,5.0,,,1.0,1.0,2.0,1.0,12.0,12.0,,1.0,2.0,,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,
